Date,open,high,low,close,volume
2017-11-22,8095.19,8310.89,8045.76,8214.69,8078.580801
2017-11-23,8214.69,8279.76,7980,7989,7811.7934
2017-11-24,7988.96,8340,7876,8199.19,9289.989257
2017-11-25,8199.83,8737,8114.78,8717.99,11611.66638
2017-11-26,8718,9366.6,8538.2,9271.06,12021.21549
2017-11-27,9278.99,9721.7,9267,9708.07,13272.45254
2017-11-28,9708.06,9968,9582.25,9868.82,11214.92993
2017-11-29,9877.63,11395,9250,9824.68,33432.33996
2017-11-30,9833.7,10618.29,9000,9947.67,25433.45836
2017-12-01,9927.29,10949.89,9370.11,10840.45,16708.03225
2017-12-02,10840.45,11200,10637.69,10872,9267.161055
2017-12-03,10875.68,11800.01,10513.16,11250,14238.52588
2017-12-04,11250,11613.07,10850,11613.07,13621.48197
2017-12-05,11613.07,11850,11384.25,11677,11875.03378
2017-12-06,11676.99,13700,11659.8,13623.5,19784.87349
2017-12-07,13623,16615.62,13085.9,16599.99,25787.67656
2017-12-08,16599.99,16666.66,13482.42,15800,25473.39531
2017-12-09,15799.87,15998.5,12701.05,14607.49,16587.47293
2017-12-10,14601.01,15385,13011,14691,18487.98304
2017-12-11,14690.99,17270,14677.19,16470,16583.72316
2017-12-12,16470,17428.42,15967.29,16650.01,13517.8921
2017-12-13,16650.01,17107.03,15497.69,16250,17136.70586
2017-12-14,16245.02,16830.45,15852.69,16404.99,13409.52429
2017-12-15,16404.99,17934,16337.19,17471.5,18998.38814
2017-12-16,17477.98,19377,17269.99,19187.78,9761.220809
2017-12-17,19187.78,19666,18465,18953,9749.249155
2017-12-18,18953,19220,17835.2,18940.57,14678.94145
2017-12-19,18940.58,19160.79,16831.26,17700,21528.13767
2017-12-20,17700,17950,15343.04,16466.98,31172.22881
2017-12-21,16466.98,17281.17,15005,15600.01,20377.86044
2017-12-22,15600,15795.61,11159.93,14009.79,57444.8858
2017-12-23,13980,15756.22,13496.48,14619,21786.40866
2017-12-24,14619,14619.1,12488,14157.87,18519.48932
2017-12-25,14107.87,14650,13210,13911.28,11564.54433
2017-12-26,13925.5,16147.87,13746.95,15764.44,15051.16402
2017-12-27,15764.45,16480.52,14484,15364.93,15643.75488
2017-12-28,15390.05,15474.19,13500,14470.07,16557.21732
2017-12-29,14436.99,15111,13998,14340,13505.70299
2017-12-30,14351,14463.28,12050,12640,21749.67445
2017-12-31,12640,14296.06,12491.21,13880,11583.41865
2018-01-01,13880,13941.75,12801.38,13443.41,7688.030685
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.6693
2018-01-03,14670.96,15500,14546.28,15155.62,12275.0012
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859
