,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
0,2013-06-06,123.3,117.0,121.9,21921.97,2623564.82,118.97,direct,,0.0,0.0,0.0,0.0,72565.75,72565.75,0.0,678371.7,678371.7,72565.75
1,2013-06-07,119.13,106.15,118.97,65643.28,7357062.32,111.0,direct,,0.0,0.0,0.0,0.0,51664.95,51664.95,0.0,1479197.1,1479197.1,51664.95
2,2013-06-08,113.19,107.0,111.0,17113.57,1862090.61,107.89,direct,,0.0,0.0,0.0,0.0,30641.84,30641.84,0.0,544904.92,544904.92,30641.84
3,2013-06-09,108.99,88.0,107.89,149250.92,14628128.89,100.44,direct,,0.0,0.0,0.0,0.0,45316.52,45316.52,0.0,2663435.78,2663435.78,45316.52
4,2013-06-10,110.63,95.0,100.44,64125.61,6764668.73,106.35,direct,,0.0,0.0,0.0,0.0,56151.74,56151.74,0.0,838584.64,838584.64,56151.74
5,2013-06-11,109.6,103.23,106.35,15933.45,1704624.52,109.0,direct,,0.0,0.0,0.0,0.0,72795.65,72795.65,0.0,485855.51,485855.51,72795.65
6,2013-06-12,112.25,106.0,109.0,17540.54,1916593.99,108.78,direct,,0.0,0.5439,0.5439,0.0,44171.21,44171.21,0.0,424916.44,424916.44,44171.21
7,2013-06-13,110.3,100.3,108.78,30276.66,3186391.58,103.95,direct,,0.0,0.6237,0.6237,0.0,76030.07,76030.07,0.0,893874.37,893874.37,76030.07
8,2013-06-14,104.7,97.1,103.95,35923.53,3615245.12,99.99,direct,,0.0,6.999,6.999,0.0,48390.16,48390.16,0.0,525731.42,525731.42,48390.16
9,2013-06-15,103.7,97.5,99.99,22476.84,2257850.79,99.8,direct,,0.0,0.0,0.0,0.0,25436.03,25436.03,0.0,505438.1,505438.1,25436.03
10,2013-06-16,101.75,98.9,99.8,8619.58,861313.23,99.9,direct,,0.0,0.0,0.0,0.0,20223.76,20223.76,0.0,208650.14,208650.14,20223.76
11,2013-06-17,102.4,98.9,99.9,15024.77,1516435.36,101.95,direct,,0.0,0.0,0.0,0.0,60422.71,60422.71,0.0,457643.36,457643.36,60422.71
12,2013-06-18,113.3,101.03,101.95,60446.31,6491826.47,107.35,direct,,0.0,0.0,0.0,0.0,68569.81,68569.81,0.0,716011.62,716011.62,68569.81
13,2013-06-19,110.99,104.66,107.35,17421.0,1879212.32,108.25,direct,,0.0,2306.81,2306.81,0.0,56978.47,56978.47,0.0,329060.52,329060.52,56978.47
14,2013-06-20,114.48,107.12,108.25,42909.53,4774161.1,111.29,direct,,0.0,5410.92,5410.92,0.0,69221.27,69221.27,0.0,657745.05,657745.05,69221.27
15,2013-06-21,115.01,107.56,111.29,37916.61,4221551.74,109.5,direct,,0.0,26601.93,26601.93,0.0,77588.42,77588.42,0.0,712819.82,712819.82,77588.42
16,2013-06-22,109.96,107.51,109.5,7196.65,781056.97,108.2,direct,,0.0,68019.93,68019.93,0.0,105665.96,105665.96,0.0,357418.14,357418.14,105665.96
17,2013-06-23,109.0,106.2,108.2,10974.21,1179572.74,107.9,direct,,0.0,46645.17,46645.17,0.0,82120.53,82120.53,0.0,310880.4,310880.4,82120.53
18,2013-06-24,108.33,100.76,107.9,28755.72,2970209.43,102.1,direct,,0.0,52626.42,52626.42,0.0,101976.46,101976.46,0.0,785840.22,785840.22,101976.46
19,2013-06-25,109.98,100.0,102.1,93495.87,9737161.74,103.33,direct,,0.0,51018.15,51018.15,0.0,115642.8,115642.8,0.0,691786.08,691786.08,115642.8
20,2013-06-26,105.49,101.83,103.33,13074.01,1361155.01,104.0,direct,,0.0,43970.16,43970.16,0.0,87131.2,87131.2,0.0,425013.68,425013.68,87131.2
21,2013-06-27,104.0,100.06,104.0,14516.46,1481838.89,101.74,direct,,0.0,39620.61,39620.61,0.0,119560.78,119560.78,0.0,475181.76,475181.76,119560.78
