min_1k_count,Date
0,2009-01-03
0,2009-01-04
0,2009-01-05
0,2009-01-06
0,2009-01-07
0,2009-01-08
0,2009-01-09
1,2009-01-10
1,2009-01-11
1,2009-01-12
1,2009-01-13
1,2009-01-14
1,2009-01-15
1,2009-01-16
1,2009-01-17
1,2009-01-18
2,2009-01-19
2,2009-01-20
2,2009-01-21
2,2009-01-22
2,2009-01-23
3,2009-01-24
4,2009-01-25
3,2009-01-26
3,2009-01-27
3,2009-01-28
3,2009-01-29
3,2009-01-30
3,2009-01-31
4,2009-02-01
5,2009-02-02
5,2009-02-03
5,2009-02-04
5,2009-02-05
6,2009-02-06
7,2009-02-07
7,2009-02-08
6,2009-02-09
6,2009-02-10
6,2009-02-11
6,2009-02-12
6,2009-02-13
8,2009-02-14
8,2009-02-15
8,2009-02-16
10,2009-02-17
10,2009-02-18
10,2009-02-19
10,2009-02-20
10,2009-02-21
11,2009-02-22
11,2009-02-23
11,2009-02-24
11,2009-02-25
11,2009-02-26
10,2009-02-27
10,2009-02-28
10,2009-03-01
10,2009-03-02
12,2009-03-03
11,2009-03-04
11,2009-03-05
11,2009-03-06
12,2009-03-07
12,2009-03-08
12,2009-03-09
12,2009-03-10
12,2009-03-11
12,2009-03-12
12,2009-03-13
13,2009-03-14
13,2009-03-15
12,2009-03-16
12,2009-03-17
12,2009-03-18
12,2009-03-19
12,2009-03-20
13,2009-03-21
14,2009-03-22
15,2009-03-23
15,2009-03-24
16,2009-03-25
15,2009-03-26
15,2009-03-27
16,2009-03-28
16,2009-03-29
16,2009-03-30
15,2009-03-31
15,2009-04-01
15,2009-04-02
16,2009-04-03
17,2009-04-04
17,2009-04-05
17,2009-04-06
18,2009-04-07
19,2009-04-08
20,2009-04-09
20,2009-04-10
20,2009-04-11
20,2009-04-12
20,2009-04-13
20,2009-04-14
20,2009-04-15
20,2009-04-16
21,2009-04-17
21,2009-04-18
21,2009-04-19
20,2009-04-20
21,2009-04-21
21,2009-04-22
21,2009-04-23
23,2009-04-24
23,2009-04-25
23,2009-04-26
23,2009-04-27
25,2009-04-28
26,2009-04-29
26,2009-04-30
26,2009-05-01
29,2009-05-02
29,2009-05-03
28,2009-05-04
28,2009-05-05
28,2009-05-06
28,2009-05-07
28,2009-05-08
29,2009-05-09
30,2009-05-10
31,2009-05-11
31,2009-05-12
31,2009-05-13
31,2009-05-14
31,2009-05-15
31,2009-05-16
31,2009-05-17
33,2009-05-18
34,2009-05-19
34,2009-05-20
34,2009-05-21
34,2009-05-22
34,2009-05-23
34,2009-05-24
34,2009-05-25
34,2009-05-26
34,2009-05-27
34,2009-05-28
33,2009-05-29
34,2009-05-30
35,2009-05-31
35,2009-06-01
35,2009-06-02
35,2009-06-03
35,2009-06-04
35,2009-06-05
35,2009-06-06
35,2009-06-07
35,2009-06-08
35,2009-06-09
35,2009-06-10
35,2009-06-11
35,2009-06-12
35,2009-06-13
36,2009-06-14
36,2009-06-15
36,2009-06-16
36,2009-06-17
37,2009-06-18
38,2009-06-19
38,2009-06-20
38,2009-06-21
37,2009-06-22
37,2009-06-23
38,2009-06-24
37,2009-06-25
37,2009-06-26
37,2009-06-27
39,2009-06-28
39,2009-06-29
39,2009-06-30
39,2009-07-01
39,2009-07-02
39,2009-07-03
39,2009-07-04
39,2009-07-05
39,2009-07-06
39,2009-07-07
39,2009-07-08
40,2009-07-09
41,2009-07-10
41,2009-07-11
43,2009-07-12
43,2009-07-13
43,2009-07-14
43,2009-07-15
43,2009-07-16
43,2009-07-17
43,2009-07-18
43,2009-07-19
44,2009-07-20
44,2009-07-21
44,2009-07-22
44,2009-07-23
44,2009-07-24
44,2009-07-25
44,2009-07-26
44,2009-07-27
44,2009-07-28
44,2009-07-29
45,2009-07-30
46,2009-07-31
46,2009-08-01
46,2009-08-02
46,2009-08-03
46,2009-08-04
46,2009-08-05
46,2009-08-06
45,2009-08-07
47,2009-08-08
47,2009-08-09
48,2009-08-10
48,2009-08-11
48,2009-08-12
48,2009-08-13
48,2009-08-14
48,2009-08-15
48,2009-08-16
48,2009-08-17
48,2009-08-18
48,2009-08-19
48,2009-08-20
49,2009-08-21
49,2009-08-22
49,2009-08-23
49,2009-08-24
50,2009-08-25
49,2009-08-26
49,2009-08-27
49,2009-08-28
50,2009-08-29
51,2009-08-30
52,2009-08-31
53,2009-09-01
53,2009-09-02
53,2009-09-03
53,2009-09-04
53,2009-09-05
53,2009-09-06
53,2009-09-07
53,2009-09-08
53,2009-09-09
53,2009-09-10
53,2009-09-11
53,2009-09-12
53,2009-09-13
53,2009-09-14
54,2009-09-15
55,2009-09-16
54,2009-09-17
55,2009-09-18
55,2009-09-19
55,2009-09-20
55,2009-09-21
54,2009-09-22
54,2009-09-23
55,2009-09-24
54,2009-09-25
56,2009-09-26
56,2009-09-27
56,2009-09-28
55,2009-09-29
55,2009-09-30
55,2009-10-01
56,2009-10-02
56,2009-10-03
57,2009-10-04
57,2009-10-05
57,2009-10-06
57,2009-10-07
57,2009-10-08
58,2009-10-09
58,2009-10-10
58,2009-10-11
59,2009-10-12
60,2009-10-13
60,2009-10-14
62,2009-10-15
62,2009-10-16
62,2009-10-17
62,2009-10-18
62,2009-10-19
61,2009-10-20
62,2009-10-21
62,2009-10-22
64,2009-10-23
65,2009-10-24
66,2009-10-25
66,2009-10-26
66,2009-10-27
67,2009-10-28
66,2009-10-29
66,2009-10-30
67,2009-10-31
67,2009-11-01
67,2009-11-02
68,2009-11-03
68,2009-11-04
68,2009-11-05
68,2009-11-06
68,2009-11-07
71,2009-11-08
71,2009-11-09
72,2009-11-10
70,2009-11-11
70,2009-11-12
70,2009-11-13
70,2009-11-14
71,2009-11-15
71,2009-11-16
71,2009-11-17
71,2009-11-18
71,2009-11-19
73,2009-11-20
75,2009-11-21
75,2009-11-22
75,2009-11-23
75,2009-11-24
75,2009-11-25
75,2009-11-26
75,2009-11-27
75,2009-11-28
75,2009-11-29
76,2009-11-30
77,2009-12-01
77,2009-12-02
78,2009-12-03
78,2009-12-04
78,2009-12-05
79,2009-12-06
80,2009-12-07
82,2009-12-08
82,2009-12-09
82,2009-12-10
82,2009-12-11
82,2009-12-12
82,2009-12-13
83,2009-12-14
83,2009-12-15
84,2009-12-16
85,2009-12-17
85,2009-12-18
85,2009-12-19
87,2009-12-20
90,2009-12-21
90,2009-12-22
90,2009-12-23
90,2009-12-24
91,2009-12-25
92,2009-12-26
93,2009-12-27
93,2009-12-28
93,2009-12-29
93,2009-12-30
93,2009-12-31
93,2010-01-01
97,2010-01-02
98,2010-01-03
99,2010-01-04
99,2010-01-05
99,2010-01-06
100,2010-01-07
102,2010-01-08
104,2010-01-09
104,2010-01-10
106,2010-01-11
107,2010-01-12
107,2010-01-13
110,2010-01-14
111,2010-01-15
111,2010-01-16
111,2010-01-17
112,2010-01-18
114,2010-01-19
114,2010-01-20
116,2010-01-21
116,2010-01-22
117,2010-01-23
117,2010-01-24
119,2010-01-25
121,2010-01-26
121,2010-01-27
123,2010-01-28
124,2010-01-29
124,2010-01-30
125,2010-01-31
126,2010-02-01
125,2010-02-02
127,2010-02-03
129,2010-02-04
132,2010-02-05
136,2010-02-06
142,2010-02-07
144,2010-02-08
144,2010-02-09
143,2010-02-10
143,2010-02-11
142,2010-02-12
143,2010-02-13
145,2010-02-14
144,2010-02-15
146,2010-02-16
151,2010-02-17
153,2010-02-18
154,2010-02-19
156,2010-02-20
158,2010-02-21
157,2010-02-22
160,2010-02-23
160,2010-02-24
158,2010-02-25
158,2010-02-26
161,2010-02-27
162,2010-02-28
167,2010-03-01
166,2010-03-02
165,2010-03-03
167,2010-03-04
168,2010-03-05
170,2010-03-06
169,2010-03-07
168,2010-03-08
170,2010-03-09
171,2010-03-10
170,2010-03-11
172,2010-03-12
174,2010-03-13
175,2010-03-14
175,2010-03-15
177,2010-03-16
176,2010-03-17
176,2010-03-18
176,2010-03-19
176,2010-03-20
178,2010-03-21
178,2010-03-22
181,2010-03-23
183,2010-03-24
182,2010-03-25
187,2010-03-26
191,2010-03-27
194,2010-03-28
193,2010-03-29
195,2010-03-30
197,2010-03-31
200,2010-04-01
202,2010-04-02
205,2010-04-03
205,2010-04-04
