1m_rv,1w_rv,1y_rv,2w_rv,3m_rv,6m_rv,Date
0.0,0.0,0.0,0.0,0.0,0.0,2010-07-18
251.564975694909,251.564975694909,251.564975694909,251.564975694909,251.564975694909,251.564975694909,2010-07-19
506.685425422442,506.685425422442,506.685425422442,506.685425422442,506.685425422442,506.685425422442,2010-07-20
461.84463185587,461.84463185587,461.84463185587,461.84463185587,461.84463185587,461.84463185587,2010-07-21
416.912379033134,416.912379033134,416.912379033134,416.912379033134,416.912379033134,416.912379033134,2010-07-22
388.248071339228,388.248071339228,388.248071339228,388.248071339228,388.248071339228,388.248071339228,2010-07-23
377.004237971105,377.004237971105,377.004237971105,377.004237971105,377.004237971105,377.004237971105,2010-07-24
371.404563041675,371.404563041675,371.404563041675,371.404563041675,371.404563041675,371.404563041675,2010-07-25
363.667624955987,228.395348246597,363.667624955987,363.667624955987,363.667624955987,363.667624955987,2010-07-26
363.719432828274,252.105668753578,363.719432828274,363.719432828274,363.719432828274,363.719432828274,2010-07-27
350.44845899668,260.197663055793,350.44845899668,350.44845899668,350.44845899668,350.44845899668,2010-07-28
335.826203819888,255.657302156234,335.826203819888,335.826203819888,335.826203819888,335.826203819888,2010-07-29
325.114591968248,242.384190669299,325.114591968248,325.114591968248,325.114591968248,325.114591968248,2010-07-30
313.032386029975,206.904885429293,313.032386029975,313.032386029975,313.032386029975,313.032386029975,2010-07-31
303.349759611205,183.257395385985,303.349759611205,303.349759611205,303.349759611205,303.349759611205,2010-08-01
292.583550316772,157.701005580724,292.583550316772,218.555846821886,292.583550316772,292.583550316772,2010-08-02
282.577539272203,137.992060190084,282.577539272203,211.792456824553,282.577539272203,282.577539272203,2010-08-03
274.655850297104,136.159715475298,274.655850297104,205.657316296482,274.655850297104,274.655850297104,2010-08-04
267.46852110624,132.503305588377,267.46852110624,195.781924567216,267.46852110624,267.46852110624,2010-08-05
261.185668746553,104.097529216231,261.185668746553,177.188567799163,261.185668746553,261.185668746553,2010-08-06
254.319915751482,89.281352962559,254.319915751482,154.189778589841,254.319915751482,254.319915751482,2010-08-07
247.734122462177,56.0076003311793,247.734122462177,130.938843735658,247.734122462177,247.734122462177,2010-08-08
244.615327677292,79.9386001926085,244.615327677292,123.885201699926,244.615327677292,244.615327677292,2010-08-09
240.809796096218,93.0774062452881,240.809796096218,118.20794364794,240.809796096218,240.809796096218,2010-08-10
235.541603731439,87.5699404768154,235.541603731439,116.008454229207,235.541603731439,235.541603731439,2010-08-11
232.13628628911,109.281422884214,232.13628628911,117.750058649878,232.13628628911,232.13628628911,2010-08-12
228.197837815532,110.313576605205,228.197837815532,108.1652680598,228.197837815532,228.197837815532,2010-08-13
225.44914479593,111.06486871236,225.44914479593,104.23525982404,225.44914479593,225.44914479593,2010-08-14
222.828908907649,112.511663560782,222.828908907649,90.5586665206434,222.828908907649,222.828908907649,2010-08-15
218.449914444669,98.8938722842353,218.449914444669,89.9244097007705,218.449914444669,218.449914444669,2010-08-16
214.576936696866,83.8892930887903,214.576936696866,91.4925523754475,214.576936696866,214.576936696866,2010-08-17
213.651061518544,109.032772388014,213.651061518544,100.777643158663,213.651061518544,213.651061518544,2010-08-18
166.959432300581,100.199563668093,210.911831238823,105.144026892781,210.911831238823,210.911831238823,2010-08-19
160.903650973772,97.2671825432686,207.445350100293,104.913617442762,207.445350100293,207.445350100293,2010-08-20
155.185613175428,93.8177596431531,204.054498712182,104.157477926753,204.054498712182,204.054498712182,2010-08-21
147.388403519233,92.6305826185021,200.748807900254,105.223927485457,200.748807900254,200.748807900254,2010-08-22
136.612496099322,95.3903584051637,197.784632880211,97.2451938411017,197.784632880211,197.784632880211,2010-08-23
124.104553053541,92.4620168394142,194.913118708934,88.9806475391877,194.913118708934,194.913118708934,2010-08-24
112.689415576683,60.2786645222496,192.452170286796,87.1118372964523,192.452170286796,192.452170286796,2010-08-25
106.237504006773,51.2290032437608,190.115348120333,78.6415574617972,190.115348120333,190.115348120333,2010-08-26
101.029774833933,50.9600615535063,187.87026870226,76.4119201484064,187.87026870226,187.87026870226,2010-08-27
99.8136666359318,51.0045228178149,185.469827631824,75.1601451521592,185.469827631824,185.469827631824,2010-08-28
97.8143999984387,41.4869174016072,183.281080026528,73.6110296806007,183.281080026528,183.281080026528,2010-08-29
100.968836517566,102.893684060828,185.413943638024,99.3150756937481,185.413943638024,185.413943638024,2010-08-30
107.407747159457,141.814709506653,187.148638241995,118.812477860118,187.148638241995,187.148638241995,2010-08-31
103.778894633603,142.96230049266,185.262339943234,108.762692420619,185.262339943234,185.262339943234,2010-09-01
103.091372592235,142.22723022652,183.220132883359,106.337324616121,183.220132883359,183.220132883359,2010-09-02
103.311474340051,141.962804522494,182.547137106494,106.864411756013,182.547137106494,182.547137106494,2010-09-03
104.833650657664,160.293546463008,182.547137106494,113.038353144621,182.547137106494,182.547137106494,2010-09-04
105.394380514558,167.451545609501,181.5536320295,113.908485948551,181.5536320295,181.5536320295,2010-09-05
105.747860110352,131.416024303605,181.059436048967,115.509626105265,181.059436048967,181.059436048967,2010-09-06
107.047826432947,52.2199147258933,180.56356056015,119.941344008929,180.56356056015,180.56356056015,2010-09-07
106.688494266787,30.5170969746523,178.726267941371,119.626165823551,178.726267941371,178.726267941371,2010-09-08
102.89248757204,27.8852489391119,177.831865880789,122.038735915946,177.831865880789,177.831865880789,2010-09-09
100.157736484946,24.7625864053593,177.483756381845,123.712917575388,177.483756381845,177.483756381845,2010-09-10
100.638061135354,29.2009123338157,176.934369345845,131.373236778254,176.934369345845,176.934369345845,2010-09-11
100.654268738082,29.2009123338157,176.934369345845,131.373236778254,176.934369345845,176.934369345845,2010-09-12
98.9875685376661,28.7772095601942,176.801363553771,110.034414468166,176.801363553771,176.801363553771,2010-09-13
105.413546009822,110.933509303279,176.863077265481,86.8287370454074,176.863077265481,176.863077265481,2010-09-14
111.760977235158,156.129316101885,177.323434126546,111.621970240919,177.323434126546,177.323434126546,2010-09-15
111.763105883801,156.129316101885,177.323434126546,112.097068510954,177.323434126546,177.323434126546,2010-09-16
115.254474359977,174.266158190274,177.307754082489,124.257503908908,177.307754082489,177.307754082489,2010-09-17
107.74870697983,153.48786259808,175.468004949107,113.984943657662,175.468004949107,175.468004949107,2010-09-18
106.245100717066,135.226197507929,173.715358926216,110.162333141025,173.715358926216,173.715358926216,2010-09-19
106.101169692104,123.694668465398,172.127412780268,105.149181591468,172.127412780268,172.127412780268,2010-09-20
106.211581258119,93.4200850300678,170.535399808992,100.43094108898,170.535399808992,170.535399808992,2010-09-21
105.956761724023,34.7180652880154,169.421095907671,101.881322798366,169.421095907671,169.421095907671,2010-09-22
105.672249872471,32.9568203728098,168.333061324134,100.475834896937,168.333061324134,168.333061324134,2010-09-23
106.43252242906,31.7940917078793,167.366052031033,97.8312639776194,167.366052031033,167.366052031033,2010-09-24
106.946994694051,29.0220512236762,166.417739783735,95.841143880584,166.417739783735,166.417739783735,2010-09-25
106.684183256333,22.9852155522259,165.186791628512,91.7589012037162,165.186791628512,165.186791628512,2010-09-26
106.750870871485,16.7089117817233,163.978755840078,88.4262316064665,163.978755840078,163.978755840078,2010-09-27
107.013373686323,13.3217578773613,162.748152302354,66.7556472458661,162.748152302354,162.748152302354,2010-09-28
106.443663848509,10.3906383387142,161.209876417498,25.7659027552015,161.209876417498,161.209876417498,2010-09-29
89.4336972626186,8.08451329999132,159.677890798933,24.5745472101039,159.677890798933,159.677890798933,2010-09-30
67.7256121861968,7.53281597939193,158.38401369247,23.6142988089396,158.38401369247,158.38401369247,2010-10-01
67.6006188997839,8.06380997287697,157.128403000321,21.92478465596,157.128403000321,157.128403000321,2010-10-02
66.1857282819471,7.18310917606259,155.85005892936,16.4643217927319,155.85005892936,155.85005892936,2010-10-03
64.5831698409872,7.65415862783739,154.605979332949,12.4586729548778,154.605979332949,154.605979332949,2010-10-04
63.6789802494796,10.9534885952564,153.399441611324,12.1088814405402,153.399441611324,153.399441611324,2010-10-05
63.0204200262789,16.8771160584297,152.373873143632,14.4939074636649,152.373873143632,152.373873143632,2010-10-06
62.4305059237898,21.8457229521507,151.314962693076,17.6338541510044,151.314962693076,151.314962693076,2010-10-07
120.603217206534,181.402254040712,161.932476253387,135.053120172345,161.932476253387,161.932476253387,2010-10-08
154.173792208816,243.502939074729,170.929273612925,182.280943813938,170.929273612925,170.929273612925,2010-10-09
160.336938598888,251.830509942017,172.874969557371,191.88319082767,172.874969557371,172.874969557371,2010-10-10
163.410398468385,257.47132718432,173.462347344125,197.017745723617,173.462347344125,173.462347344125,2010-10-11
162.130040383867,265.173707144982,172.730555547774,198.877210825218,172.730555547774,172.730555547774,2010-10-12
160.449850768549,266.211004890827,171.959706640324,200.92822377219,171.959706640324,171.959706640324,2010-10-13
158.461702987279,263.335127484425,171.721666853648,202.224609992104,171.721666853648,171.721666853648,2010-10-14
154.868538830581,222.827841632943,170.970651408766,204.261324430671,170.970651408766,170.970651408766,2010-10-15
153.336872244671,212.130771178605,170.233757921336,205.495997361937,170.233757921336,170.233757921336,2010-10-16
151.246352711021,126.008544649805,169.360631627784,205.949237246925,169.360631627784,169.360631627784,2010-10-17
151.418445156884,98.8978876376432,168.36368057933,207.332229525489,168.36368057933,168.36368057933,2010-10-18
152.447328697473,92.4225083067344,167.514125611662,209.617892452246,149.239560836654,167.514125611662,2010-10-19
153.292874519426,87.2043707836006,166.735613743574,211.170967482796,146.633803448649,166.735613743574,2010-10-20
153.684792147358,65.7493986624012,165.874111712019,211.329679524985,144.186522265234,165.874111712019,2010-10-21
152.64293228262,59.3486747905414,164.984018011253,175.133172658724,141.249063236571,164.984018011253,2010-10-22
152.000011509845,62.0152645970666,164.342316252195,162.82460322669,137.404508158166,164.342316252195,2010-10-23
159.063873031211,119.1617100773,166.183806315659,122.787919135799,136.040952990299,166.183806315659,2010-10-24
178.990663463381,211.385888414399,172.102069485896,164.56907407336,141.610559001622,172.102069485896,2010-10-25
227.211193769955,354.489254203773,191.704972199611,265.859044688844,165.769687831533,191.704972199611,2010-10-26
230.996725201881,356.345762401411,192.967681783155,272.749460143815,167.073662255416,192.967681783155,2010-10-27
231.341466648223,354.379555226116,192.699590327131,273.635783546401,167.52863712141,192.699590327131,2010-10-28
232.257255996575,361.843393577546,191.861920055764,274.363344834538,167.143357391028,191.861920055764,2010-10-29
232.808305948882,361.244093247811,190.886222882014,271.452416066076,165.992298867808,190.886222882014,2010-10-30
228.590312553309,346.197144897291,189.73524299384,267.933526767965,164.952482698947,189.73524299384,2010-10-31
228.716111329266,294.838799671875,188.717451269583,267.267914473855,163.69549886573,188.717451269583,2010-11-01
229.729438561699,132.040350354328,188.117469791017,268.614000237983,163.905514869605,188.117469791017,2010-11-02
238.545805727439,148.609936103744,190.228921237537,285.347303281019,167.907638914343,190.228921237537,2010-11-03
245.469671474499,194.11393058923,192.791256064952,297.342128686098,172.142303544266,192.791256064952,2010-11-04
246.731588338962,204.818091714149,193.233438235866,298.796745938918,173.739845222092,193.233438235866,2010-11-05
249.493145153456,222.027411875578,194.627922113479,300.923348484077,176.621100237403,194.627922113479,2010-11-06
268.502499595874,294.042809056979,204.074347888581,323.648244521774,189.767647671318,204.074347888581,2010-11-07
266.133851282912,328.786570769455,205.533414107668,311.976560402212,192.945233169038,205.533414107668,2010-11-08
276.173767570792,395.125715327359,211.729726790428,299.63132229439,202.165314387131,211.729726790428,2010-11-09
308.907529001695,461.114706844195,224.190401352548,357.179856361731,219.499495798598,224.190401352548,2010-11-10
319.980627897671,478.445111909274,229.060057140297,379.708837979304,226.868563254908,229.060057140297,2010-11-11
319.458159303301,478.925427540801,228.151355585584,380.660300080221,226.363929017694,228.151355585584,2010-11-12
322.287697386583,483.600924273537,229.021284331329,386.002145008338,228.522727892622,229.021284331329,2010-11-13
