Active Address Count,Date
0,2009-01-03
0,2009-01-04
0,2009-01-05
0,2009-01-06
0,2009-01-07
0,2009-01-08
0,2009-01-09
0,2009-01-10
0,2009-01-11
8,2009-01-12
0,2009-01-13
4,2009-01-14
14,2009-01-15
6,2009-01-16
0,2009-01-17
4,2009-01-18
18,2009-01-19
9,2009-01-20
3,2009-01-21
11,2009-01-22
11,2009-01-23
11,2009-01-24
2,2009-01-25
21,2009-01-26
4,2009-01-27
0,2009-01-28
13,2009-01-29
0,2009-01-30
21,2009-01-31
3,2009-02-01
2,2009-02-02
15,2009-02-03
0,2009-02-04
0,2009-02-05
0,2009-02-06
27,2009-02-07
2,2009-02-08
45,2009-02-09
0,2009-02-10
16,2009-02-11
0,2009-02-12
0,2009-02-13
0,2009-02-14
14,2009-02-15
31,2009-02-16
0,2009-02-17
0,2009-02-18
17,2009-02-19
0,2009-02-20
0,2009-02-21
12,2009-02-22
0,2009-02-23
0,2009-02-24
0,2009-02-25
0,2009-02-26
37,2009-02-27
8,2009-02-28
0,2009-03-01
0,2009-03-02
9,2009-03-03
26,2009-03-04
9,2009-03-05
0,2009-03-06
0,2009-03-07
27,2009-03-08
0,2009-03-09
0,2009-03-10
0,2009-03-11
4,2009-03-12
14,2009-03-13
0,2009-03-14
0,2009-03-15
49,2009-03-16
0,2009-03-17
15,2009-03-18
0,2009-03-19
13,2009-03-20
0,2009-03-21
12,2009-03-22
0,2009-03-23
0,2009-03-24
0,2009-03-25
29,2009-03-26
0,2009-03-27
21,2009-03-28
0,2009-03-29
0,2009-03-30
33,2009-03-31
0,2009-04-01
0,2009-04-02
0,2009-04-03
0,2009-04-04
18,2009-04-05
0,2009-04-06
0,2009-04-07
0,2009-04-08
0,2009-04-09
0,2009-04-10
8,2009-04-11
9,2009-04-12
2,2009-04-13
0,2009-04-14
0,2009-04-15
0,2009-04-16
0,2009-04-17
5,2009-04-18
9,2009-04-19
117,2009-04-20
2,2009-04-21
0,2009-04-22
0,2009-04-23
0,2009-04-24
0,2009-04-25
16,2009-04-26
0,2009-04-27
0,2009-04-28
21,2009-04-29
0,2009-04-30
0,2009-05-01
16,2009-05-02
4,2009-05-03
31,2009-05-04
11,2009-05-05
0,2009-05-06
0,2009-05-07
0,2009-05-08
0,2009-05-09
0,2009-05-10
3,2009-05-11
0,2009-05-12
6,2009-05-13
6,2009-05-14
11,2009-05-15
0,2009-05-16
0,2009-05-17
0,2009-05-18
0,2009-05-19
0,2009-05-20
0,2009-05-21
0,2009-05-22
0,2009-05-23
0,2009-05-24
0,2009-05-25
0,2009-05-26
0,2009-05-27
0,2009-05-28
61,2009-05-29
0,2009-05-30
0,2009-05-31
2,2009-06-01
0,2009-06-02
0,2009-06-03
0,2009-06-04
0,2009-06-05
0,2009-06-06
0,2009-06-07
0,2009-06-08
0,2009-06-09
0,2009-06-10
0,2009-06-11
0,2009-06-12
0,2009-06-13
0,2009-06-14
0,2009-06-15
0,2009-06-16
0,2009-06-17
0,2009-06-18
0,2009-06-19
0,2009-06-20
0,2009-06-21
61,2009-06-22
0,2009-06-23
5,2009-06-24
21,2009-06-25
0,2009-06-26
0,2009-06-27
2,2009-06-28
2,2009-06-29
4,2009-06-30
3,2009-07-01
2,2009-07-02
0,2009-07-03
0,2009-07-04
0,2009-07-05
0,2009-07-06
0,2009-07-07
0,2009-07-08
0,2009-07-09
0,2009-07-10
0,2009-07-11
0,2009-07-12
0,2009-07-13
0,2009-07-14
0,2009-07-15
0,2009-07-16
0,2009-07-17
0,2009-07-18
0,2009-07-19
122,2009-07-20
0,2009-07-21
0,2009-07-22
0,2009-07-23
0,2009-07-24
0,2009-07-25
0,2009-07-26
0,2009-07-27
0,2009-07-28
3,2009-07-29
2,2009-07-30
0,2009-07-31
0,2009-08-01
0,2009-08-02
0,2009-08-03
0,2009-08-04
0,2009-08-05
0,2009-08-06
112,2009-08-07
0,2009-08-08
0,2009-08-09
0,2009-08-10
0,2009-08-11
0,2009-08-12
0,2009-08-13
0,2009-08-14
0,2009-08-15
0,2009-08-16
0,2009-08-17
0,2009-08-18
0,2009-08-19
0,2009-08-20
0,2009-08-21
0,2009-08-22
0,2009-08-23
0,2009-08-24
0,2009-08-25
48,2009-08-26
0,2009-08-27
0,2009-08-28
0,2009-08-29
2,2009-08-30
7,2009-08-31
0,2009-09-01
0,2009-09-02
15,2009-09-03
0,2009-09-04
0,2009-09-05
0,2009-09-06
14,2009-09-07
0,2009-09-08
0,2009-09-09
0,2009-09-10
0,2009-09-11
0,2009-09-12
0,2009-09-13
0,2009-09-14
0,2009-09-15
2,2009-09-16
102,2009-09-17
0,2009-09-18
0,2009-09-19
0,2009-09-20
9,2009-09-21
41,2009-09-22
0,2009-09-23
0,2009-09-24
28,2009-09-25
0,2009-09-26
17,2009-09-27
0,2009-09-28
45,2009-09-29
0,2009-09-30
0,2009-10-01
11,2009-10-02
0,2009-10-03
0,2009-10-04
0,2009-10-05
15,2009-10-06
0,2009-10-07
0,2009-10-08
0,2009-10-09
0,2009-10-10
0,2009-10-11
74,2009-10-12
0,2009-10-13
0,2009-10-14
0,2009-10-15
81,2009-10-16
0,2009-10-17
8,2009-10-18
0,2009-10-19
102,2009-10-20
19,2009-10-21
40,2009-10-22
0,2009-10-23
8,2009-10-24
0,2009-10-25
0,2009-10-26
17,2009-10-27
0,2009-10-28
43,2009-10-29
0,2009-10-30
0,2009-10-31
0,2009-11-01
0,2009-11-02
0,2009-11-03
42,2009-11-04
0,2009-11-05
0,2009-11-06
0,2009-11-07
0,2009-11-08
0,2009-11-09
0,2009-11-10
52,2009-11-11
0,2009-11-12
13,2009-11-13
0,2009-11-14
0,2009-11-15
0,2009-11-16
0,2009-11-17
0,2009-11-18
83,2009-11-19
0,2009-11-20
0,2009-11-21
0,2009-11-22
0,2009-11-23
0,2009-11-24
0,2009-11-25
0,2009-11-26
0,2009-11-27
0,2009-11-28
0,2009-11-29
0,2009-11-30
167,2009-12-01
0,2009-12-02
0,2009-12-03
0,2009-12-04
20,2009-12-05
4,2009-12-06
0,2009-12-07
31,2009-12-08
23,2009-12-09
0,2009-12-10
0,2009-12-11
68,2009-12-12
0,2009-12-13
335,2009-12-14
9,2009-12-15
18,2009-12-16
10,2009-12-17
0,2009-12-18
2,2009-12-19
0,2009-12-20
2,2009-12-21
0,2009-12-22
0,2009-12-23
0,2009-12-24
2,2009-12-25
0,2009-12-26
6,2009-12-27
0,2009-12-28
0,2009-12-29
0,2009-12-30
0,2009-12-31
4,2010-01-01
0,2010-01-02
0,2010-01-03
85,2010-01-04
0,2010-01-05
0,2010-01-06
0,2010-01-07
0,2010-01-08
0,2010-01-09
0,2010-01-10
0,2010-01-11
216,2010-01-12
4,2010-01-13
12,2010-01-14
6,2010-01-15
7,2010-01-16
0,2010-01-17
3,2010-01-18
0,2010-01-19
0,2010-01-20
12,2010-01-21
8,2010-01-22
4,2010-01-23
2,2010-01-24
61,2010-01-25
20,2010-01-26
21,2010-01-27
22,2010-01-28
21,2010-01-29
38,2010-01-30
20,2010-01-31
19,2010-02-01
22,2010-02-02
7,2010-02-03
45,2010-02-04
249,2010-02-05
33,2010-02-06
16,2010-02-07
129,2010-02-08
421,2010-02-09
609,2010-02-10
77,2010-02-11
43,2010-02-12
88,2010-02-13
56,2010-02-14
102,2010-02-15
23,2010-02-16
30,2010-02-17
63,2010-02-18
6,2010-02-19
15,2010-02-20
130,2010-02-21
273,2010-02-22
2,2010-02-23
112,2010-02-24
146,2010-02-25
24,2010-02-26
12,2010-02-27
108,2010-02-28
36,2010-03-01
45,2010-03-02
109,2010-03-03
390,2010-03-04
4,2010-03-05
97,2010-03-06
118,2010-03-07
188,2010-03-08
83,2010-03-09
49,2010-03-10
67,2010-03-11
9,2010-03-12
37,2010-03-13
9,2010-03-14
10,2010-03-15
28,2010-03-16
28,2010-03-17
85,2010-03-18
136,2010-03-19
81,2010-03-20
13,2010-03-21
45,2010-03-22
85,2010-03-23
37,2010-03-24
355,2010-03-25
83,2010-03-26
28,2010-03-27
22,2010-03-28
74,2010-03-29
14,2010-03-30
29,2010-03-31
33,2010-04-01
23,2010-04-02
31,2010-04-03
75,2010-04-04
