count of whale,Date
1643,2018-07-02
1640,2018-07-03
1640,2018-07-04
1636,2018-07-05
1640,2018-07-06
1640,2018-07-07
1650,2018-07-08
1653,2018-07-09
1651,2018-07-10
1660,2018-07-11
1658,2018-07-12
1659,2018-07-13
1657,2018-07-14
1656,2018-07-15
1652,2018-07-16
1653,2018-07-17
1656,2018-07-18
1656,2018-07-19
1647,2018-07-20
1645,2018-07-21
1643,2018-07-22
1640,2018-07-23
1638,2018-07-24
1637,2018-07-25
1640,2018-07-26
1639,2018-07-27
1640,2018-07-28
1639,2018-07-29
1641,2018-07-30
1640,2018-07-31
1639,2018-08-01
1639,2018-08-02
1636,2018-08-03
1637,2018-08-04
1637,2018-08-05
1639,2018-08-06
1641,2018-08-07
1643,2018-08-08
1647,2018-08-09
1649,2018-08-10
1650,2018-08-11
1649,2018-08-12
1650,2018-08-13
1647,2018-08-14
1645,2018-08-15
1639,2018-08-16
1636,2018-08-17
1634,2018-08-18
1629,2018-08-19
1621,2018-08-20
1615,2018-08-21
1604,2018-08-22
1595,2018-08-23
1594,2018-08-24
1587,2018-08-25
1584,2018-08-26
1571,2018-08-27
1568,2018-08-28
1555,2018-08-29
1550,2018-08-30
1548,2018-08-31
1547,2018-09-01
1548,2018-09-02
1546,2018-09-03
1548,2018-09-04
1547,2018-09-05
1542,2018-09-06
1540,2018-09-07
1540,2018-09-08
1540,2018-09-09
1545,2018-09-10
1546,2018-09-11
1547,2018-09-12
1548,2018-09-13
1545,2018-09-14
1551,2018-09-15
1549,2018-09-16
1553,2018-09-17
1554,2018-09-18
1553,2018-09-19
1549,2018-09-20
1550,2018-09-21
1556,2018-09-22
1558,2018-09-23
1553,2018-09-24
1556,2018-09-25
1554,2018-09-26
1555,2018-09-27
1553,2018-09-28
1556,2018-09-29
1557,2018-09-30
1553,2018-10-01
1555,2018-10-02
1558,2018-10-03
1556,2018-10-04
1559,2018-10-05
1560,2018-10-06
1558,2018-10-07
1557,2018-10-08
1558,2018-10-09
1561,2018-10-10
1561,2018-10-11
1566,2018-10-12
1564,2018-10-13
1565,2018-10-14
1566,2018-10-15
1568,2018-10-16
1568,2018-10-17
1568,2018-10-18
1565,2018-10-19
1566,2018-10-20
1568,2018-10-21
1571,2018-10-22
1578,2018-10-23
1581,2018-10-24
1591,2018-10-25
1595,2018-10-26
1592,2018-10-27
1593,2018-10-28
1586,2018-10-29
1584,2018-10-30
1589,2018-10-31
1592,2018-11-01
1591,2018-11-02
1590,2018-11-03
1586,2018-11-04
1586,2018-11-05
1585,2018-11-06
1585,2018-11-07
1584,2018-11-08
1588,2018-11-09
1592,2018-11-10
1590,2018-11-11
1584,2018-11-12
1584,2018-11-13
1579,2018-11-14
1582,2018-11-15
1583,2018-11-16
1577,2018-11-17
1581,2018-11-18
1576,2018-11-19
1575,2018-11-20
1577,2018-11-21
1583,2018-11-22
1583,2018-11-23
1577,2018-11-24
1570,2018-11-25
1568,2018-11-26
1571,2018-11-27
1567,2018-11-28
1574,2018-11-29
1574,2018-11-30
1572,2018-12-01
1572,2018-12-02
1572,2018-12-03
1572,2018-12-04
1568,2018-12-05
1561,2018-12-06
1561,2018-12-07
1555,2018-12-08
1559,2018-12-09
1564,2018-12-10
1563,2018-12-11
1563,2018-12-12
1564,2018-12-13
1559,2018-12-14
1561,2018-12-15
1557,2018-12-16
1552,2018-12-17
1554,2018-12-18
1552,2018-12-19
1559,2018-12-20
1555,2018-12-21
1555,2018-12-22
1557,2018-12-23
1553,2018-12-24
1550,2018-12-25
1548,2018-12-26
1546,2018-12-27
1546,2018-12-28
1544,2018-12-29
1543,2018-12-30
1535,2018-12-31
1538,2019-01-01
1535,2019-01-02
1538,2019-01-03
1537,2019-01-04
1533,2019-01-05
1534,2019-01-06
1535,2019-01-07
1538,2019-01-08
1538,2019-01-09
1539,2019-01-10
1537,2019-01-11
1537,2019-01-12
1541,2019-01-13
1539,2019-01-14
1525,2019-01-15
1527,2019-01-16
1519,2019-01-17
1522,2019-01-18
1521,2019-01-19
1520,2019-01-20
1521,2019-01-21
1521,2019-01-22
1524,2019-01-23
1530,2019-01-24
1528,2019-01-25
1532,2019-01-26
1532,2019-01-27
1530,2019-01-28
1532,2019-01-29
1534,2019-01-30
1535,2019-01-31
1536,2019-02-01
1537,2019-02-02
1539,2019-02-03
1537,2019-02-04
1539,2019-02-05
1535,2019-02-06
1527,2019-02-07
1530,2019-02-08
1533,2019-02-09
1534,2019-02-10
1538,2019-02-11
1532,2019-02-12
1538,2019-02-13
1533,2019-02-14
1535,2019-02-15
1534,2019-02-16
1538,2019-02-17
1532,2019-02-18
1533,2019-02-19
1533,2019-02-20
1521,2019-02-21
1519,2019-02-22
1518,2019-02-23
1521,2019-02-24
1523,2019-02-25
1522,2019-02-26
1522,2019-02-27
1521,2019-02-28
1522,2019-03-01
1523,2019-03-02
1526,2019-03-03
1521,2019-03-04
1519,2019-03-05
1523,2019-03-06
1521,2019-03-07
1524,2019-03-08
1525,2019-03-09
1525,2019-03-10
1523,2019-03-11
1519,2019-03-12
1521,2019-03-13
1523,2019-03-14
1528,2019-03-15
1606,2019-03-16
1608,2019-03-17
1612,2019-03-18
1609,2019-03-19
1607,2019-03-20
1609,2019-03-21
1606,2019-03-22
1607,2019-03-23
1607,2019-03-24
1604,2019-03-25
1605,2019-03-26
1608,2019-03-27
1610,2019-03-28
1623,2019-03-29
1622,2019-03-30
1623,2019-03-31
1627,2019-04-01
1623,2019-04-02
1624,2019-04-03
1625,2019-04-04
1627,2019-04-05
1624,2019-04-06
1626,2019-04-07
1623,2019-04-08
1620,2019-04-09
1621,2019-04-10
1626,2019-04-11
1623,2019-04-12
1625,2019-04-13
1629,2019-04-14
1625,2019-04-15
1623,2019-04-16
1624,2019-04-17
1623,2019-04-18
1619,2019-04-19
1619,2019-04-20
1620,2019-04-21
1620,2019-04-22
1621,2019-04-23
1619,2019-04-24
1619,2019-04-25
1615,2019-04-26
1615,2019-04-27
1621,2019-04-28
1625,2019-04-29
1625,2019-04-30
1623,2019-05-01
1620,2019-05-02
1615,2019-05-03
1613,2019-05-04
1614,2019-05-05
1617,2019-05-06
1624,2019-05-07
1629,2019-05-08
1625,2019-05-09
1622,2019-05-10
1626,2019-05-11
1631,2019-05-12
1627,2019-05-13
