Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Communication Services.csv_Open,S&P 500 Communication Services.csv_High,S&P 500 Communication Services.csv_Low,S&P 500 Communication Services.csv_Close,S&P 500 Communication Services.csv_Volume,S&P 500 Communication Services.csv_Dividends,S&P 500 Communication Services.csv_Stock Splits,S&P 500 Communication Services.csv_Capital Gains
2018.10.10,2018.10.10,6633.22,6487.86,6631.79,49264.39,323664963.2,6581.07,direct,727552095.9,825263479.8,1552815576.0,1500399656.0,1431373906.0,2931773563.0,3054194956.0,4778807192.0,7833002214.0,61188544452.0,45.24331652317858,45.252837453685736,43.51087755032324,43.548954010009766,4050700,0.0,0.0,0.0
2018.10.11,2018.10.11,6581.59,6171.95,6581.07,104258.49,654924117.8,6209.47,direct,1044912101.0,1443875454.0,2488787617.0,1817744538.0,2344576961.0,4162321436.0,3942752156.0,7991912211.0,11934664366.0,8114941371.0,43.46328147157927,44.04393474170949,42.76840245965699,43.17771530151367,8840700,0.0,0.0,0.0
2018.10.12,2018.10.12,6296.56,6173.86,6209.47,46195.91,289840137.5,6250.85,direct,675167997.9,795261203.3,1470429264.0,1353554058.0,1656743411.0,3010297470.0,2751788005.0,5099122199.0,7850910204.0,6026966306.0,44.20574253284882,44.26285720420445,43.39663799341197,44.13911056518555,5877600,0.0,0.0,0.0
2018.10.15,2018.10.15,7234.83,6244.77,6277.73,177320.05,1190524168.0,6612.36,direct,1051322127.0,2402778482.0,3454100609.0,1956324564.0,3529519931.0,5485844495.0,3978804997.0,11019973369.0,14998778365.0,9767471974.0,43.98681166269473,44.43420087684539,43.78691574490535,43.9677734375,1576900,0.0,0.0,0.0
2018.10.16,2018.10.16,6724.91,6545.54,6612.69,49191.34,324232509.8,6583.05,direct,697706068.4,1028505647.0,1726211716.0,1349109070.0,1716990640.0,3066099710.0,2747603390.0,5693448287.0,8441051678.0,5645999375.0,44.443716357064034,45.21950856956269,44.367567090568166,45.12907791137695,3707300,0.0,0.0,0.0
2018.10.17,2018.10.17,6589.2,6511.6,6583.05,33538.55,220418636.6,6574.52,direct,832159152.5,883751580.6,1715910733.0,1547877507.0,1604817913.0,3152695420.0,3156854330.0,4827522109.0,7984376505.0,5764987847.0,45.443204097078926,45.443204097078926,44.84351272478784,45.3099365234375,4571000,0.0,0.0,0.0
2018.10.18,2018.10.18,6616.27,6445.05,6576.4,50725.31,331761115.5,6488.72,direct,747296928.0,895539328.2,1642836321.0,1331670597.0,1545791933.0,2877462530.0,2726217020.0,4772526623.0,7498743643.0,5464297757.0,45.20523044730805,45.20523044730805,44.1457748724708,44.48179244995117,21297200,0.0,0.0,0.0
2018.10.19,2018.10.19,6503.09,6449.36,6489.37,36599.64,237855085.4,6469.28,direct,549079428.4,899345396.7,1448424825.0,1040463424.0,1452305358.0,2492768782.0,2185406561.0,4418729203.0,6604135764.0,4691560995.0,44.738814168072686,45.129088784717545,44.30094579450448,44.472286224365234,3544400,0.0,0.0,0.0
2018.10.22,2018.10.22,6531.23,6460.38,6509.87,31239.03,202766914.4,6483.23,direct,798549228.8,847055329.3,1645604558.0,1347464474.0,1502087500.0,2849551974.0,2816948264.0,4231281097.0,7048229361.0,5092953970.0,44.72928770189737,44.853030718302776,44.27237756179839,44.44371795654297,2711700,0.0,0.0,0.0
2018.10.23,2018.10.23,6496.2,6438.99,6484.32,34071.62,220913293.6,6470.22,direct,800685842.9,1034835017.0,1835520860.0,1335583136.0,1623146305.0,2958729441.0,2776134268.0,4581839384.0,7357973652.0,5218237800.0,43.81547795180054,44.53891609489049,43.44233884833257,44.34853744506836,2779600,0.0,0.0,0.0
2018.10.24,2018.10.24,6538.35,6465.73,6470.63,34111.66,222068131.8,6476.25,direct,738060132.2,978278168.6,1716338301.0,1266043149.0,1502930255.0,2768973404.0,2633340329.0,4353373201.0,6986713530.0,4843159554.0,44.33901486863293,44.33901486863293,42.18774255471349,42.23533630371094,3552300,0.0,0.0,0.0
