Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Healthcare.csv_Open,S&P 500 Healthcare.csv_High,S&P 500 Healthcare.csv_Low,S&P 500 Healthcare.csv_Close,S&P 500 Healthcare.csv_Volume,S&P 500 Healthcare.csv_Dividends,S&P 500 Healthcare.csv_Stock Splits,S&P 500 Healthcare.csv_Capital Gains
2013.10.10,2013.10.10,141.69,138.51,139.5,11075.87,1551392.78,140.41,direct,0.0,745721.72,745721.72,26.82,1054335.88,1054362.56,53.64,2605959.05,2606012.41,1060921.11,42.42211496588642,43.063597239547285,42.42211496588642,43.03827667236328,7330100,0.0,0.0,0.0
2013.10.11,2013.10.11,141.85,138.87,140.41,7250.91,1013106.32,140.1,direct,0.0,604297.53,604297.53,1227.28,911548.04,912775.32,2454.55,2191518.45,2193973.01,929950.18,43.00451845036247,43.29993583235567,42.99607611384382,43.24085235595703,4694600,0.0,0.0,0.0
2013.10.14,2013.10.14,153.69,146.03,147.53,29993.56,4512823.6,151.37,direct,0.0,1448960.56,1448960.56,14.38,1794091.73,1794105.36,28.76,4925072.71,4925101.47,1799332.16,43.02983424944886,43.55314636230469,42.92010642552812,43.55314636230469,8858200,0.0,0.0,0.0
2013.10.15,2013.10.15,158.1,150.62,151.37,15730.1,2416464.87,158.09,direct,0.0,919438.79,919438.79,6.007,1354127.8,1354132.54,12.01,3449262.95,3449275.6,1359991.36,43.50251487028123,43.6375632912678,43.24929948340746,43.27462005615234,8043100,0.0,0.0,0.0
2013.10.16,2013.10.16,162.99,144.2,158.09,42783.96,6636228.59,152.82,direct,0.0,1138420.36,1138420.36,235.95,1589149.2,1589386.07,471.91,4898911.01,4899381.69,1598877.72,43.48561631489618,44.177739602757775,43.48561631489618,44.16085815429688,7239000,0.0,0.0,0.0
2013.10.17,2013.10.17,159.94,150.75,152.82,15875.81,2470394.92,157.59,direct,0.0,1040448.58,1040448.58,537.22,1369294.78,1369832.16,1074.45,3382888.4,3383961.59,1375467.58,43.924533281082965,44.57445469035408,43.924533281082965,44.5322494506836,6823400,0.0,0.0,0.0
2013.10.18,2013.10.18,168.29,156.49,157.59,25893.02,4225505.93,168.28,direct,0.0,992401.01,992401.01,0.0,1422913.42,1422913.42,0.0,4241389.7,4241389.7,1425728.74,44.582905818759926,44.60822639353837,44.12711615389632,44.355010986328125,7646000,0.0,0.0,0.0
2013.10.21,2013.10.21,197.37,183.18,186.1,24102.06,4613540.34,192.78,direct,0.0,1688864.61,1688864.61,8.714,2127261.75,2127269.47,17.43,5397263.59,5397280.94,2152916.92,44.39721018874103,44.40565252633499,44.00894637443676,44.12711334228516,4103300,0.0,0.0,0.0
2013.10.22,2013.10.22,205.5,192.79,192.78,33864.61,6761835.59,202.99,direct,0.0,2112998.02,2112998.02,9.135,2615901.68,2615909.8,18.27,6431545.31,6431563.58,2635433.38,44.2537169257007,44.64198068980228,44.20307256611042,44.54069519042969,5053300,0.0,0.0,0.0
2013.10.23,2013.10.23,227.98,200.7,202.99,39894.52,8526441.87,227.97,direct,0.0,2163191.37,2163191.37,0.0,2751226.31,2751226.31,0.0,7961268.65,7961268.65,2782841.19,44.43095918940072,44.56600757034876,44.2452664581694,44.45627975463867,5140800,0.0,0.0,0.0
2013.10.24,2013.10.24,233.38,175.3,227.97,96749.13,19649229.29,206.98,direct,0.0,2145668.52,2145668.52,2396.83,2593896.13,2596292.96,4793.66,10059904.82,10064698.48,2661721.4,44.62509103577556,44.7094982862477,44.42252007425719,44.45627975463867,3725600,0.0,0.0,0.0
2013.10.25,2013.10.25,208.97,176.6,206.98,36749.63,6934330.09,197.88,direct,0.0,1865705.64,1865705.64,0.0,2267865.08,2267865.08,0.0,5992681.03,5992681.03,2321957.56,44.51537322998047,44.53225146284202,44.28747844865507,44.51537322998047,3855900,0.0,0.0,0.0
2013.10.28,2013.10.28,209.79,200.42,206.91,11072.23,2287257.98,206.9,direct,0.0,1558523.91,1558523.91,51.33,2085841.66,2085891.32,102.68,4741839.72,4741943.17,2106502.69,44.523821260666665,44.760155205740006,44.44785631834902,44.66730880737305,8983400,0.0,0.0,0.0
2013.10.29,2013.10.29,216.5,204.2,206.9,10016.58,2119311.77,216.0,direct,0.0,1497275.28,1497275.28,0.0,1967606.64,1967606.64,0.0,4503258.72,4503258.72,1976879.52,44.802346197208266,44.97115426436039,44.66729459179458,44.96271514892578,7262900,0.0,0.0,0.0
2013.10.30,2013.10.30,216.49,203.99,216.0,13472.97,2853902.33,208.0,direct,0.0,1464681.92,1464681.92,25.48,1859266.24,1859291.2,50.94,4754349.6,4754399.52,1876384.64,45.12308261294345,45.15684551318371,44.58288908832875,44.71793746948242,8240300,0.0,0.0,0.0
2013.10.31,2013.10.31,214.99,205.43,208.0,5289.31,1121246.74,211.17,direct,0.0,1304680.06,1304680.06,131.05,1680978.66,1681109.59,262.06,3798540.74,3798802.59,1694297.15,44.70950650258932,44.88675693144335,44.48161171414501,44.54069519042969,5904000,0.0,0.0,0.0
2013.11.11,2013.11.11,375.99,321.41,336.32,17999.67,6330618.38,362.98,direct,0.0,7028900.8,7028900.8,0.906,7548212.66,7548212.66,1.812,16340005.68,16340009.31,8027103.06,44.81922301784725,45.0555601000774,44.81922301784725,44.97959518432617,5095700,0.0,0.0,0.0
2013.11.12,2013.11.12,391.79,358.97,362.98,22027.67,8309810.54,380.04,direct,0.0,11427837.0,11427837.0,1560.44,12327536.1,12329098.06,3120.89,26577804.77,26580924.9,12883812.05,44.903635901592224,44.988039943100745,44.75170605103065,44.95427703857422,3064100,0.0,0.0,0.0
2013.11.13,2013.11.13,444.97,372.17,380.04,36015.4,14780190.21,434.85,direct,0.0,14059370.17,14059370.17,3081.78,15130040.45,15133119.18,6161.82,34007174.64,34013340.82,15744892.25,44.76858853354446,45.207496643066406,44.65886070121201,45.207496643066406,5214800,0.0,0.0,0.0
2013.11.14,2013.11.14,447.49,402.54,434.85,31406.18,13453174.7,433.4,direct,39.01,14562270.34,14562309.34,2059.52,15536315.17,15538378.15,4119.03,36364747.72,36368865.02,16445974.09,45.32566395174988,45.63796277876758,45.30878249896408,45.58731842041016,6201800,0.0,0.0,0.0
2013.11.15,2013.11.15,457.92,412.97,433.4,28126.4,12273745.93,433.92,direct,0.0,10086409.65,10086409.65,2793.58,11125170.74,11127965.18,5588.89,25115610.7,25121195.25,11977493.76,45.60420369376228,45.84897994995117,45.51135730556594,45.84897994995117,4004400,0.0,0.0,0.0
2013.11.18,2013.11.18,787.93,521.98,528.3,72071.71,45461600.44,785.43,direct,411.96,78252218.11,78252626.53,15119.53,80367522.47,80382642.0,30239.05,173467580.0,173497819.0,100381480.6,45.8911772776808,46.01778656131635,45.545115551525846,45.64640426635742,3796600,0.0,0.0,0.0
2013.11.19,2013.11.19,900.92,502.61,785.43,99101.83,69095497.89,645.69,direct,58.02,31299958.34,31300016.46,2923.04,32774940.3,32777865.27,5846.08,81544248.21,81550098.16,47349590.57,45.5113516193664,45.76457018092221,45.39318467453781,45.697044372558594,4515100,0.0,0.0,0.0
2013.11.20,2013.11.20,649.99,453.29,645.69,91594.45,50748177.23,637.97,direct,12.76,55376542.42,55376555.18,1330.81,56600998.25,56602331.6,2661.61,126454910.9,126457577.7,67698320.52,45.739242102571815,46.04310177209076,45.6463989544921,45.83208847045898,4744000,0.0,0.0,0.0
2013.11.21,2013.11.21,784.32,595.19,637.97,38732.06,27128283.04,764.91,direct,22.95,41476342.16,41476365.1,4774.57,42879753.13,42884526.17,9546.08,94005228.41,94014782.14,50820926.36,45.98402502739911,46.161275453927374,45.89962098233076,46.01778793334961,4590300,0.0,0.0,0.0
2013.11.22,2013.11.22,821.99,682.28,764.91,30150.23,22686962.77,802.0,direct,616.42,37209351.4,37209960.92,3564.89,38518560.26,38522129.16,7129.78,81502367.8,81509497.58,44558975.64,46.24567793157559,46.63394165039063,46.19503357789239,46.63394165039063,5924700,0.0,0.0,0.0
2013.11.25,2013.11.25,849.99,758.95,795.01,26381.41,21438670.96,829.99,direct,396.9,24460817.89,24461216.28,10358.28,25718277.64,25728635.91,20716.55,54917674.43,54938390.98,30387793.08,46.87871695213136,47.02220445506621,46.74366856474253,46.81963348388672,5270100,0.0,0.0,0.0
2013.11.26,2013.11.26,974.96,825.08,829.99,31613.86,28285852.13,969.96,direct,6707.27,32682113.53,32688825.65,31931.08,34711900.32,34743841.11,63871.87,76749617.54,76813479.7,67613874.68,46.8280730756832,46.94624001337427,46.65082266914659,46.68458557128906,5035300,0.0,0.0,0.0
2013.11.27,2013.11.27,1094.78,914.27,969.96,37859.08,37868643.04,1079.89,direct,6128.38,61102443.97,61108577.74,51456.76,63734233.09,63785689.85,102913.52,134380194.1,134483096.9,159819594.8,46.752121038787465,46.90405092048682,46.5748705834077,46.66771697998047,4449500,0.0,0.0,0.0
2013.11.29,2013.11.29,1241.92,1049.96,1101.38,38706.56,45030632.96,1206.93,direct,7311.58,67753984.6,67761298.59,45054.7,70242191.49,70287234.11,90097.32,148290878.6,148380976.0,191914216.9,46.760546092427255,46.81962955571479,46.54109046895304,46.64237594604492,2837700,0.0,0.0,0.0
2013.12.10,2013.12.10,1067.7,911.96,918.95,22103.22,21734994.03,1033.72,direct,51499.93,52168013.3,52219513.23,56451.45,55420230.8,55476682.25,112902.9,115097868.4,115210771.3,220857131.1,46.68458506225748,46.68458506225748,46.31319958235491,46.51577377319336,3545500,0.0,0.0,0.0
2013.12.11,2013.12.11,1056.76,856.06,1033.72,24360.35,23051224.54,919.93,direct,399921.17,57355308.08,57755229.25,407087.42,58903338.68,59310416.91,814165.65,121349530.2,122163695.8,272216845.1,46.52422641130578,46.52422641130578,45.65485236667647,45.71393585205078,9989200,0.0,0.0,0.0
2013.12.12,2013.12.12,940.98,839.51,919.93,9913.21,8798283.62,899.98,direct,1092449.72,34518561.9,35611002.63,1099766.56,35506397.95,36606155.51,2199524.12,74873575.11,77073099.23,186087874.6,45.6970338496696,45.73923586027491,45.36785365921835,45.38473510742188,5645400,0.0,0.0,0.0
2013.12.13,2013.12.13,989.89,882.11,899.98,17372.49,16173632.88,936.77,direct,453827.59,38254276.96,38708104.55,456684.74,39281538.94,39738223.68,913369.49,80951878.85,81865238.97,150568775.1,45.51980358056093,45.61264997678957,45.22438615602294,45.41851806640625,4319500,0.0,0.0,0.0
2013.12.16,2013.12.16,924.94,714.03,919.88,41325.66,32899151.97,759.92,direct,52442.08,41406680.54,41459130.22,62997.37,42793139.38,42856136.75,125994.74,90531929.32,90657931.66,245798996.5,45.58731465115611,45.89961667215992,45.41850657687123,45.50291061401367,6211600,0.0,0.0,0.0
2013.12.17,2013.12.17,779.96,678.88,759.92,31714.24,22933905.57,714.97,direct,20791.33,58302600.43,58323391.76,32481.09,59419812.56,59452293.64,64962.17,122296826.8,122361781.8,209644390.0,45.51979642690343,45.59576135553329,45.072449191532,45.28346252441406,5132600,0.0,0.0,0.0
2013.12.18,2013.12.18,716.99,454.86,714.97,110503.1,62529030.46,540.98,direct,306329.93,34703628.97,35009958.89,321504.41,36519655.55,36841159.96,643008.83,83264411.95,83907420.78,179793107.1,45.41006845007279,46.42293308869685,45.15685309536875,46.40605163574219,10210000,0.0,0.0,0.0
2013.12.19,2013.12.19,745.96,522.44,540.98,45761.94,29980041.32,731.95,direct,458918.01,23657202.24,24116120.25,463141.36,24971096.41,25434237.77,926282.73,54822945.21,55749227.93,89461761.65,46.2963176439896,46.33852288066687,46.04310232296342,46.30475997924805,6691000,0.0,0.0,0.0
2013.12.20,2013.12.20,774.39,621.25,731.95,34767.79,24291048.02,649.96,direct,60680.27,6293783.67,6354463.93,62357.16,7428821.81,7491178.98,124714.32,17802306.91,17927021.23,73212443.34,46.4361315557914,46.6734387274218,46.35137668516074,46.53783416748047,6813200,0.225,0.0,0.0
2013.12.23,2013.12.23,724.92,631.01,639.49,15066.3,10210388.76,713.24,direct,2738.84,2723870.69,2726609.53,3440.67,3509504.55,3512949.5,6880.63,8226089.35,8232964.98,8683547.22,46.78360893643795,46.79208280524529,46.5886776231984,46.71580505371094,3849400,0.0,0.0,0.0
2013.12.24,2013.12.24,729.94,665.98,713.24,10945.64,7647250.76,702.75,direct,784.27,2732214.7,2733001.78,2517.95,3604236.09,3606758.96,5035.2,7886070.76,7891109.48,9358163.35,46.724275003110826,46.74122597119776,46.56324242281831,46.631046295166016,3291900,0.0,0.0,0.0
2013.12.26,2013.12.26,829.63,707.21,707.25,23529.7,18209291.31,801.98,direct,183244.41,6948683.53,7131927.94,191264.21,7691164.64,7882428.85,382528.42,18106061.87,18488590.29,50669986.6,46.648014043347295,46.97854995727539,46.648014043347295,46.97854995727539,2592600,0.0,0.0,0.0
2013.12.27,2013.12.27,836.83,767.87,801.98,13884.58,11073604.45,803.05,direct,579376.48,5295102.91,5874479.39,581496.54,6120092.23,6701588.77,1162985.04,15377805.21,16540798.28,51742141.69,47.114160516743866,47.114160516743866,46.85142523303181,46.936180114746094,2668100,0.0,0.0,0.0
2013.12.30,2013.12.30,818.83,780.96,784.96,10482.78,8411786.62,804.83,direct,216153.19,5406429.43,5622590.67,218302.09,6225698.08,6444000.17,436612.23,17708811.31,18145423.54,68465487.7,46.93616959726131,47.01244735717773,46.69885921470611,47.01244735717773,2374200,0.0,0.0,0.0
2013.12.31,2013.12.31,813.94,776.96,804.83,9167.06,7294004.88,805.94,direct,169094.27,2554080.28,2723166.49,169747.08,3163370.92,3333118.0,339502.23,10863966.43,11203460.59,40033288.37,47.05483393498374,47.08873588782717,46.80904962647111,46.98703002929688,6008000,0.0,0.0,0.0
2014.10.10,2014.10.10,378.13,353.32,360.91,28410.42,10394856.2,361.71,direct,839.89,63383853.97,63384693.14,98352.57,72676086.21,72774435.16,195554.89,145490248.0,145685799.3,90027748.96,54.220432237063314,54.88008700407573,53.9462890625,53.9462890625,15606800,0.0,0.0,0.0
2014.10.13,2014.10.13,391.22,366.04,373.17,23576.02,8935310.47,387.32,direct,992.31,63480950.12,63481941.66,143579.52,78460469.78,78604049.31,285342.52,157137401.1,157422743.6,93227823.3,53.9720008788447,53.9977007858697,52.60985024975206,52.66981887817383,17937500,0.0,0.0,0.0
2014.10.14,2014.10.14,407.74,385.72,387.32,28866.7,11549913.84,397.1,direct,2933.38,79775650.7,79778585.27,31597.25,94115110.4,94146707.64,49998.86,188431427.4,188481426.3,135744969.8,52.98679188211588,53.16670102015108,51.91591893972837,52.27573394775391,19321000,0.0,0.0,0.0
2014.10.15,2014.10.15,397.87,388.23,397.1,22484.5,8867207.18,393.17,direct,1571.11,48781077.64,48782650.32,89214.2,60703120.43,60792338.57,168913.7,121617318.1,121786231.8,75962508.14,51.68461389375167,52.07869435705128,50.725109372615776,51.84738540649414,32120100,0.0,0.0,0.0
2014.10.16,2014.10.16,398.84,371.56,393.17,20785.9,7999668.99,379.77,direct,1159.44,48655236.14,48656398.24,49244.78,59956640.68,60005885.45,95831.16,120078956.0,120174787.2,71472562.09,51.14489903288538,52.19006893829829,50.93072441655676,51.58181381225586,30185000,0.0,0.0,0.0
