Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Industrials.csv_Open,S&P 500 Industrials.csv_High,S&P 500 Industrials.csv_Low,S&P 500 Industrials.csv_Close,S&P 500 Industrials.csv_Volume,S&P 500 Industrials.csv_Dividends,S&P 500 Industrials.csv_Stock Splits,S&P 500 Industrials.csv_Capital Gains
2013.10.10,2013.10.10,141.69,138.51,139.5,11075.87,1551392.78,140.41,direct,0.0,745721.72,745721.72,26.82,1054335.88,1054362.56,53.64,2605959.05,2606012.41,1060921.11,37.721163334198295,38.25475788094992,37.64728062691859,38.23834228515625,14282100,0.0,0.0,0.0
2013.10.11,2013.10.11,141.85,138.87,140.41,7250.91,1013106.32,140.1,direct,0.0,604297.53,604297.53,1227.28,911548.04,912775.32,2454.55,2191518.45,2193973.01,929950.18,38.17267064433091,38.48462022750632,38.14804411697969,38.4189453125,8039000,0.0,0.0,0.0
2013.10.14,2013.10.14,153.69,146.03,147.53,29993.56,4512823.6,151.37,direct,0.0,1448960.56,1448960.56,14.38,1794091.73,1794105.36,28.76,4925072.71,4925101.47,1799332.16,38.238334892910856,38.5913265021712,38.13161475157088,38.56669998168945,9823100,0.0,0.0,0.0
2013.10.15,2013.10.15,158.1,150.62,151.37,15730.1,2416464.87,158.09,direct,0.0,919438.79,919438.79,6.007,1354127.8,1354132.54,12.01,3449262.95,3449275.6,1359991.36,38.48462715418636,38.58313641287378,38.13984005145105,38.180885314941406,13450200,0.0,0.0,0.0
2013.10.16,2013.10.16,162.99,144.2,158.09,42783.96,6636228.59,152.82,direct,0.0,1138420.36,1138420.36,235.95,1589149.2,1589386.07,471.91,4898911.01,4899381.69,1598877.72,38.36146963435432,38.517442812622335,38.14803248874801,38.43535232543945,11994900,0.0,0.0,0.0
2013.10.17,2013.10.17,159.94,150.75,152.82,15875.81,2470394.92,157.59,direct,0.0,1040448.58,1040448.58,537.22,1369294.78,1369832.16,1074.45,3382888.4,3383961.59,1375467.58,38.28759970186311,38.739103794926585,38.27939190303027,38.73089599609375,10314700,0.0,0.0,0.0
2013.10.18,2013.10.18,168.29,156.49,157.59,25893.02,4225505.93,168.28,direct,0.0,992401.01,992401.01,0.0,1422913.42,1422913.42,0.0,4241389.7,4241389.7,1425728.74,38.96896307645385,39.23165648221351,38.8868694299337,39.14956283569336,12946800,0.0,0.0,0.0
2013.10.21,2013.10.21,197.37,183.18,186.1,24102.06,4613540.34,192.78,direct,0.0,1688864.61,1688864.61,8.714,2127261.75,2127269.47,17.43,5397263.59,5397280.94,2152916.92,39.20701375843039,39.28910737759637,39.17417944231536,39.24806213378906,6115400,0.0,0.0,0.0
2013.10.22,2013.10.22,205.5,192.79,192.78,33864.61,6761835.59,202.99,direct,0.0,2112998.02,2112998.02,9.135,2615901.68,2615909.8,18.27,6431545.31,6431563.58,2635433.38,39.37941458256122,39.74061716534232,39.37941458256122,39.51076126098633,8021700,0.0,0.0,0.0
2013.10.23,2013.10.23,227.98,200.7,202.99,39894.52,8526441.87,227.97,direct,0.0,2163191.37,2163191.37,0.0,2751226.31,2751226.31,0.0,7961268.65,7961268.65,2782841.19,39.45330082375165,39.55181005851854,39.26449015230173,39.52718353271485,8815400,0.0,0.0,0.0
2013.10.24,2013.10.24,233.38,175.3,227.97,96749.13,19649229.29,206.98,direct,0.0,2145668.52,2145668.52,2396.83,2593896.13,2596292.96,4793.66,10059904.82,10064698.48,2661721.4,39.601066945304446,39.86376033038506,39.56822948928133,39.82271194458008,8296900,0.0,0.0,0.0
2013.10.25,2013.10.25,208.97,176.6,206.98,36749.63,6934330.09,197.88,direct,0.0,1865705.64,1865705.64,0.0,2267865.08,2267865.08,0.0,5992681.03,5992681.03,2321957.56,39.91301088543595,40.04435756975765,39.68315497076097,40.02793884277344,10031400,0.0,0.0,0.0
2013.10.28,2013.10.28,209.79,200.42,206.91,11072.23,2287257.98,206.9,direct,0.0,1558523.91,1558523.91,51.33,2085841.66,2085891.32,102.68,4741839.72,4741943.17,2106502.69,39.896595346304935,40.07719822600995,39.88017974956104,39.97047805786133,6626200,0.0,0.0,0.0
2013.10.29,2013.10.29,216.5,204.2,206.9,10016.58,2119311.77,216.0,direct,0.0,1497275.28,1497275.28,0.0,1967606.64,1967606.64,0.0,4503258.72,4503258.72,1976879.52,40.0279401449898,40.08540725708008,39.82271074833849,40.08540725708008,7591100,0.0,0.0,0.0
2013.10.30,2013.10.30,216.49,203.99,216.0,13472.97,2853902.33,208.0,direct,0.0,1464681.92,1464681.92,25.48,1859266.24,1859291.2,50.94,4754349.6,4754399.52,1876384.64,40.17570924444268,40.21675763277795,39.7898800728205,39.9048080444336,8914100,0.0,0.0,0.0
2013.10.31,2013.10.31,214.99,205.43,208.0,5289.31,1121246.74,211.17,direct,0.0,1304680.06,1304680.06,131.05,1680978.66,1681109.59,262.06,3798540.74,3798802.59,1694297.15,39.83912694020057,40.18391393303707,39.74882551037311,39.91300964355469,9897500,0.0,0.0,0.0
2013.11.11,2013.11.11,375.99,321.41,336.32,17999.67,6330618.38,362.98,direct,0.0,7028900.8,7028900.8,0.906,7548212.66,7548212.66,1.812,16340005.68,16340009.31,8027103.06,40.52869680531556,40.55332646020048,40.41376885435855,40.50407028198242,5319400,0.0,0.0,0.0
2013.11.12,2013.11.12,391.79,358.97,362.98,22027.67,8309810.54,380.04,direct,0.0,11427837.0,11427837.0,1560.44,12327536.1,12329098.06,3120.89,26577804.77,26580924.9,12883812.05,40.364527608187785,40.59438672668535,40.3234823435981,40.520503997802734,10837900,0.0,0.0,0.0
2013.11.13,2013.11.13,444.97,372.17,380.04,36015.4,14780190.21,434.85,direct,0.0,14059370.17,14059370.17,3081.78,15130040.45,15133119.18,6161.82,34007174.64,34013340.82,15744892.25,40.30705676688662,40.75856399536133,40.27422243972226,40.75856399536133,9779500,0.0,0.0,0.0
2013.11.14,2013.11.14,447.49,402.54,434.85,31406.18,13453174.7,433.4,direct,39.01,14562270.34,14562309.34,2059.52,15536315.17,15538378.15,4119.03,36364747.72,36368865.02,16445974.09,40.70109072320379,41.0048293181608,40.70109072320379,40.914527893066406,11060700,0.0,0.0,0.0
2013.11.15,2013.11.15,457.92,412.97,433.4,28126.4,12273745.93,433.92,direct,0.0,10086409.65,10086409.65,2793.58,11125170.74,11127965.18,5588.89,25115610.7,25121195.25,11977493.76,41.02946969096744,41.09514461558817,40.87349644232237,41.05409622192383,7836800,0.0,0.0,0.0
2013.11.18,2013.11.18,787.93,521.98,528.3,72071.71,45461600.44,785.43,direct,411.96,78252218.11,78252626.53,15119.53,80367522.47,80382642.0,30239.05,173467580.0,173497819.0,100381480.6,41.25111293735268,41.3742518405329,41.02125699173882,41.11976623535156,6686900,0.0,0.0,0.0
2013.11.19,2013.11.19,900.92,502.61,785.43,99101.83,69095497.89,645.69,direct,58.02,31299958.34,31300016.46,2923.04,32774940.3,32777865.27,5846.08,81544248.21,81550098.16,47349590.57,41.095138334112114,41.18543664433418,40.77497782285243,40.82423400878906,9411800,0.0,0.0,0.0
2013.11.20,2013.11.20,649.99,453.29,645.69,91594.45,50748177.23,637.97,direct,12.76,55376542.42,55376555.18,1330.81,56600998.25,56602331.6,2661.61,126454910.9,126457577.7,67698320.52,40.97200698112387,40.97200698112387,40.55334028398696,40.64363861083984,9381700,0.0,0.0,0.0
2013.11.21,2013.11.21,784.32,595.19,637.97,38732.06,27128283.04,764.91,direct,22.95,41476342.16,41476365.1,4774.57,42879753.13,42884526.17,9546.08,94005228.41,94014782.14,50820926.36,40.81602309447531,41.0130415600775,40.68467640688984,40.97199630737305,6829300,0.0,0.0,0.0
2013.11.22,2013.11.22,821.99,682.28,764.91,30150.23,22686962.77,802.0,direct,616.42,37209351.4,37209960.92,3564.89,38518560.26,38522129.16,7129.78,81502367.8,81509497.58,44558975.64,41.09514241662816,41.33320617675781,40.95558477505309,41.33320617675781,5430400,0.0,0.0,0.0
2013.11.25,2013.11.25,849.99,758.95,795.01,26381.41,21438670.96,829.99,direct,396.9,24460817.89,24461216.28,10358.28,25718277.64,25728635.91,20716.55,54917674.43,54938390.98,30387793.08,41.41530428159378,41.46455734616733,41.14439990022749,41.24291229248047,7895000,0.0,0.0,0.0
2013.11.26,2013.11.26,974.96,825.08,829.99,31613.86,28285852.13,969.96,direct,6707.27,32682113.53,32688825.65,31931.08,34711900.32,34743841.11,63871.87,76749617.54,76813479.7,67613874.68,41.251102806697226,41.423494723570734,41.20184663121124,41.32498550415039,8142500,0.0,0.0,0.0
2013.11.27,2013.11.27,1094.78,914.27,969.96,37859.08,37868643.04,1079.89,direct,6128.38,61102443.97,61108577.74,51456.76,63734233.09,63785689.85,102913.52,134380194.1,134483096.9,159819594.8,41.4235104077375,41.5548571272136,41.38246514506738,41.48918533325195,3774500,0.0,0.0,0.0
2013.11.29,2013.11.29,1241.92,1049.96,1101.38,38706.56,45030632.96,1206.93,direct,7311.58,67753984.6,67761298.59,45054.7,70242191.49,70287234.11,90097.32,148290878.6,148380976.0,191914216.9,41.64515736496837,41.686202626437,41.32499994133921,41.3742561340332,6964900,0.0,0.0,0.0
2013.12.10,2013.12.10,1067.7,911.96,918.95,22103.22,21734994.03,1033.72,direct,51499.93,52168013.3,52219513.23,56451.45,55420230.8,55476682.25,112902.9,115097868.4,115210771.3,220857131.1,41.35783031866169,41.57947845048791,41.210064897444205,41.34141159057617,10114300,0.0,0.0,0.0
2013.12.11,2013.12.11,1056.76,856.06,1033.72,24360.35,23051224.54,919.93,direct,399921.17,57355308.08,57755229.25,407087.42,58903338.68,59310416.91,814165.65,121349530.2,122163695.8,272216845.1,41.35783463206519,41.35783463206519,40.65184490851782,40.69289016723633,11225000,0.0,0.0,0.0
2013.12.12,2013.12.12,940.98,839.51,919.93,9913.21,8798283.62,899.98,direct,1092449.72,34518561.9,35611002.63,1099766.56,35506397.95,36606155.51,2199524.12,74873575.11,77073099.23,186087874.6,40.59437419757671,40.857067567736166,40.57795547049774,40.73392868041992,9293200,0.0,0.0,0.0
2013.12.13,2013.12.13,989.89,882.11,899.98,17372.49,16173632.88,936.77,direct,453827.59,38254276.96,38708104.55,456684.74,39281538.94,39738223.68,913369.49,80951878.85,81865238.97,150568775.1,40.79960693913233,40.94737236342528,40.66826024326662,40.85707092285156,6254100,0.0,0.0,0.0
2013.12.16,2013.12.16,924.94,714.03,919.88,41325.66,32899151.97,759.92,direct,52442.08,41406680.54,41459130.22,62997.37,42793139.38,42856136.75,125994.74,90531929.32,90657931.66,245798996.5,40.98842664315634,41.38246681750945,40.98842664315634,41.24291229248047,9108300,0.0,0.0,0.0
2013.12.17,2013.12.17,779.96,678.88,759.92,31714.24,22933905.57,714.97,direct,20791.33,58302600.43,58323391.76,32481.09,59419812.56,59452293.64,64962.17,122296826.8,122361781.8,209644390.0,41.38245943530181,41.4317156226415,41.16081128960177,41.22648620605469,11324000,0.0,0.0,0.0
