Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Technology.csv_Open,S&P 500 Technology.csv_High,S&P 500 Technology.csv_Low,S&P 500 Technology.csv_Close,S&P 500 Technology.csv_Volume,S&P 500 Technology.csv_Dividends,S&P 500 Technology.csv_Stock Splits,S&P 500 Technology.csv_Capital Gains
2013.10.10,2013.10.10,141.69,138.51,139.5,11075.87,1551392.78,140.41,direct,0.0,745721.72,745721.72,26.82,1054335.88,1054362.56,53.64,2605959.05,2606012.41,1060921.11,27.67780755647484,27.937938318437027,27.66046517490525,27.90325355529785,8204800,0.0,0.0,0.0
2013.10.11,2013.10.11,141.85,138.87,140.41,7250.91,1013106.32,140.1,direct,0.0,604297.53,604297.53,1227.28,911548.04,912775.32,2454.55,2191518.45,2193973.01,929950.18,27.85122294977509,28.13736724853516,27.825211034513508,28.13736724853516,8908600,0.0,0.0,0.0
2013.10.14,2013.10.14,153.69,146.03,147.53,29993.56,4512823.6,151.37,direct,0.0,1448960.56,1448960.56,14.38,1794091.73,1794105.36,28.76,4925072.71,4925101.47,1799332.16,27.972617543879856,28.258761855385018,27.929263247272623,28.232749938964844,7139800,0.0,0.0,0.0
2013.10.15,2013.10.15,158.1,150.62,151.37,15730.1,2416464.87,158.09,direct,0.0,919438.79,919438.79,6.007,1354127.8,1354132.54,12.01,3449262.95,3449275.6,1359991.36,28.16337521871808,28.302110926880424,28.05065142217361,28.059324264526367,7250300,0.0,0.0,0.0
2013.10.16,2013.10.16,162.99,144.2,158.09,42783.96,6636228.59,152.82,direct,0.0,1138420.36,1138420.36,235.95,1589149.2,1589386.07,471.91,4898911.01,4899381.69,1598877.72,28.18071974595773,28.37148259963168,28.163377367649147,28.328125,8192200,0.0,0.0,0.0
2013.10.17,2013.10.17,159.94,150.75,152.82,15875.81,2470394.92,157.59,direct,0.0,1040448.58,1040448.58,537.22,1369294.78,1369832.16,1074.45,3382888.4,3383961.59,1375467.58,28.146036755934794,28.362811536817325,28.08534008190534,28.33679962158203,7421100,0.0,0.0,0.0
2013.10.18,2013.10.18,168.29,156.49,157.59,25893.02,4225505.93,168.28,direct,0.0,992401.01,992401.01,0.0,1422913.42,1422913.42,0.0,4241389.7,4241389.7,1425728.74,28.63161149131416,28.83971341435877,28.536230065035195,28.82237434387207,7934700,0.0,0.0,0.0
2013.10.21,2013.10.21,197.37,183.18,186.1,24102.06,4613540.34,192.78,direct,0.0,1688864.61,1688864.61,8.714,2127261.75,2127269.47,17.43,5397263.59,5397280.94,2152916.92,28.943767419420585,29.0564879151574,28.91775219848714,28.97844886779785,5401500,0.0,0.0,0.0
2013.10.22,2013.10.22,205.5,192.79,192.78,33864.61,6761835.59,202.99,direct,0.0,2112998.02,2112998.02,9.135,2615901.68,2615909.8,18.27,6431545.31,6431563.58,2635433.38,29.082503774192208,29.108515687975988,28.81370187011811,28.96977996826172,16358100,0.0,0.0,0.0
2013.10.23,2013.10.23,227.98,200.7,202.99,39894.52,8526441.87,227.97,direct,0.0,2163191.37,2163191.37,0.0,2751226.31,2751226.31,0.0,7961268.65,7961268.65,2782841.19,28.83104515075684,28.89174182329868,28.700978962326843,28.83104515075684,5133300,0.0,0.0,0.0
2013.10.24,2013.10.24,233.38,175.3,227.97,96749.13,19649229.29,206.98,direct,0.0,2145668.52,2145668.52,2396.83,2593896.13,2596292.96,4793.66,10059904.82,10064698.48,2661721.4,28.865730661683376,28.98712400993369,28.787691608133795,28.900415420532227,3533600,0.0,0.0,0.0
2013.10.25,2013.10.25,208.97,176.6,206.98,36749.63,6934330.09,197.88,direct,0.0,1865705.64,1865705.64,0.0,2267865.08,2267865.08,0.0,5992681.03,5992681.03,2321957.56,29.10851580846695,29.177885322471468,28.961110552788085,29.04781913757324,3381300,0.0,0.0,0.0
2013.10.28,2013.10.28,209.79,200.42,206.91,11072.23,2287257.98,206.9,direct,0.0,1558523.91,1558523.91,51.33,2085841.66,2085891.32,102.68,4741839.72,4741943.17,2106502.69,29.125861354964115,29.169215652072307,29.00446799997285,29.14320373535156,5010500,0.0,0.0,0.0
2013.10.29,2013.10.29,216.5,204.2,206.9,10016.58,2119311.77,216.0,direct,0.0,1497275.28,1497275.28,0.0,1967606.64,1967606.64,0.0,4503258.72,4503258.72,1976879.52,29.30794245560591,29.40332386480814,29.195218671301472,29.33395767211914,4975000,0.0,0.0,0.0
2013.10.30,2013.10.30,216.49,203.99,216.0,13472.97,2853902.33,208.0,direct,0.0,1464681.92,1464681.92,25.48,1859266.24,1859291.2,50.94,4754349.6,4754399.52,1876384.64,29.394658667550228,29.411997737490537,29.151868688021665,29.27326202392578,5574500,0.0,0.0,0.0
2013.10.31,2013.10.31,214.99,205.43,208.0,5289.31,1121246.74,211.17,direct,0.0,1304680.06,1304680.06,131.05,1680978.66,1681109.59,262.06,3798540.74,3798802.59,1694297.15,29.212568414122234,29.34263460633295,29.143202203938344,29.177886962890625,28712000,0.0,0.0,0.0
2013.11.11,2013.11.11,375.99,321.41,336.32,17999.67,6330618.38,362.98,direct,0.0,7028900.8,7028900.8,0.906,7548212.66,7548212.66,1.812,16340005.68,16340009.31,8027103.06,29.38598797643174,29.455357492153347,29.307948925105208,29.42934226989746,7829900,0.0,0.0,0.0
2013.11.12,2013.11.12,391.79,358.97,362.98,22027.67,8309810.54,380.04,direct,0.0,11427837.0,11427837.0,1560.44,12327536.1,12329098.06,3120.89,26577804.77,26580924.9,12883812.05,29.29928140055018,29.56808002311985,29.29928140055018,29.507383346557617,4709700,0.0,0.0,0.0
2013.11.13,2013.11.13,444.97,372.17,380.04,36015.4,14780190.21,434.85,direct,0.0,14059370.17,14059370.17,3081.78,15130040.45,15133119.18,6161.82,34007174.64,34013340.82,15744892.25,29.38598580343348,29.76751149624861,29.36864342578549,29.758838653564453,6748400,0.0,0.0,0.0
2013.11.14,2013.11.14,447.49,402.54,434.85,31406.18,13453174.7,433.4,direct,39.01,14562270.34,14562309.34,2059.52,15536315.17,15538378.15,4119.03,36364747.72,36368865.02,16445974.09,29.56807948408071,29.70681521479672,29.524725188429592,29.680803298950195,8478500,0.0,0.0,0.0
2013.11.15,2013.11.15,457.92,412.97,433.4,28126.4,12273745.93,433.92,direct,0.0,10086409.65,10086409.65,2793.58,11125170.74,11127965.18,5588.89,25115610.7,25121195.25,11977493.76,29.66345418754694,29.767508442761216,29.64611181167789,29.741493225097656,7706300,0.0,0.0,0.0
