,0
2021-01-01,0.350197
2021-01-02,0.35207534
2021-01-03,0.36004624
2021-01-04,0.37081176
2021-01-05,0.3781899
2021-01-06,0.37117398
2021-01-07,0.36948794
2021-01-08,0.36140066
2021-01-09,0.35982555
2021-01-10,0.36315003
2021-01-11,0.3680266
2021-01-12,0.37373042
2021-01-13,0.37636423
2021-01-14,0.37318078
2021-01-15,0.37589726
2021-01-16,0.37470347
2021-01-17,0.37339258
2021-01-18,0.3725367
2021-01-19,0.37135586
2021-01-20,0.37095332
2021-01-21,0.37173176
2021-01-22,0.30605885
2021-01-23,0.2738438
2021-01-24,0.27422187
2021-01-25,0.28228495
2021-01-26,0.29375044
2021-01-27,0.31438765
2021-01-28,0.36125818
2021-01-29,0.37600908
2021-01-30,0.43594876
2021-01-31,0.45337126
2021-02-01,0.44861633
2021-02-02,0.4457479
2021-02-03,0.43401608
2021-02-04,0.42280683
2021-02-05,0.42741108
2021-02-06,0.4415442
2021-02-07,0.4515428
2021-02-08,0.45415065
2021-02-09,0.4509327
2021-02-10,0.4376671
2021-02-11,0.4332365
2021-02-12,0.4380132
2021-02-13,0.43812513
2021-02-14,0.4359313
2021-02-15,0.4379663
2021-02-16,0.4361029
2021-02-17,0.43649206
2021-02-18,0.4349288
2021-02-19,0.43878895
2021-02-20,0.45222986
2021-02-21,0.45819187
2021-02-22,0.45853916
2021-02-23,0.45797637
2021-02-24,0.44242942
2021-02-25,0.4234432
2021-02-26,0.39563644
2021-02-27,0.41780725
2021-02-28,0.42095095
2021-03-01,0.40225717
2021-03-02,0.38275638
2021-03-03,0.37717235
2021-03-04,0.36858022
2021-03-05,0.36964405
2021-03-06,0.4335928
2021-03-07,0.45744923
2021-03-08,0.45621747
2021-03-09,0.4518055
2021-03-10,0.44367093
2021-03-11,0.45637783
2021-03-12,0.4644594
2021-03-13,0.4743854
2021-03-14,0.47992605
2021-03-15,0.48082277
2021-03-16,0.4770917
2021-03-17,0.47665727
2021-03-18,0.4741672
2021-03-19,0.4783887
2021-03-20,0.46028093
2021-03-21,0.457674
2021-03-22,0.4579951
2021-03-23,0.4577857
2021-03-24,0.46465454
2021-03-25,0.47109333
2021-03-26,0.46773526
2021-03-27,0.46503133
2021-03-28,0.47018424
2021-03-29,0.4714531
2021-03-30,0.47038513
2021-03-31,0.48276645
2021-04-01,0.4861856
2021-04-02,0.48568362
2021-04-03,0.47089127
2021-04-04,0.46192455
2021-04-05,0.44608414
2021-04-06,0.43249723
2021-04-07,0.4269382
2021-04-08,0.42778775
2021-04-09,0.40782458
2021-04-10,0.4012783
2021-04-11,0.39866552
2021-04-12,0.39486906
2021-04-13,0.39248496
2021-04-14,0.39627698
2021-04-15,0.396985
2021-04-16,0.40669352
2021-04-17,0.41175276
2021-04-18,0.4108351
2021-04-19,0.40999982
2021-04-20,0.4103477
2021-04-21,0.40936604
2021-04-22,0.40990603
2021-04-23,0.41505823
2021-04-24,0.4045632
2021-04-25,0.3920675
2021-04-26,0.38015288
2021-04-27,0.36511287
2021-04-28,0.34363818
2021-04-29,0.31995675
2021-04-30,0.33343363
2021-05-01,0.33786866
2021-05-02,0.33217865
2021-05-03,0.32608184
2021-05-04,0.3188379
2021-05-05,0.3154419
2021-05-06,0.31497246
2021-05-07,0.34465724
2021-05-08,0.35344046
2021-05-09,0.356929
2021-05-10,0.3593956
2021-05-11,0.35896546
2021-05-12,0.36193243
2021-05-13,0.3915106
2021-05-14,0.42108455
2021-05-15,0.43038648
2021-05-16,0.43018013
2021-05-17,0.4265713
2021-05-18,0.42233515
2021-05-19,0.4179298
2021-05-20,0.41560066
2021-05-21,0.42098266
2021-05-22,0.42444482
2021-05-23,0.41907716
2021-05-24,0.41001296
2021-05-25,0.4023656
2021-05-26,0.40141958
2021-05-27,0.40330127
2021-05-28,0.38973007
2021-05-29,0.38897982
2021-05-30,0.38705128
2021-05-31,0.38450134
2021-06-01,0.38148257
2021-06-02,0.37760693
2021-06-03,0.37323084
2021-06-04,0.37693653
2021-06-05,0.35708374
2021-06-06,0.3475895
2021-06-07,0.3458565
2021-06-08,0.34601685
2021-06-09,0.34868082
2021-06-10,0.3406249
2021-06-11,0.31168324
2021-06-12,0.26194122
2021-06-13,0.2431236
2021-06-14,0.23937045
2021-06-15,0.238047
2021-06-16,0.24411698
2021-06-17,0.28725505
2021-06-18,0.30159822
2021-06-19,0.34406453
2021-06-20,0.35868487
2021-06-21,0.3590977
2021-06-22,0.35947612
2021-06-23,0.35600927
2021-06-24,0.356972
2021-06-25,0.36240697
2021-06-26,0.36628932
2021-06-27,0.37185976
2021-06-28,0.37155336
2021-06-29,0.37063137
2021-06-30,0.36903954
2021-07-01,0.37851274
2021-07-02,0.37926006
2021-07-03,0.38196072
2021-07-04,0.37766188
2021-07-05,0.37904453
2021-07-06,0.3784744
2021-07-07,0.38161048
2021-07-08,0.37497795
2021-07-09,0.3733009
2021-07-10,0.37075442
2021-07-11,0.3666223
2021-07-12,0.36660835
2021-07-13,0.3676873
2021-07-14,0.36700857
2021-07-15,0.3765043
2021-07-16,0.35560217
2021-07-17,0.34118226
