,0
2021-01-01,1.2049339
2021-01-02,1.20929
2021-01-03,1.200125
2021-01-04,1.2211103
2021-01-05,1.2656814
2021-01-06,1.210169
2021-01-07,1.1829717
2021-01-08,1.2074717
2021-01-09,1.1561651
2021-01-10,1.2057976
2021-01-11,1.1826997
2021-01-12,1.133715
2021-01-13,1.2017305
2021-01-14,1.1635888
2021-01-15,1.1615957
2021-01-16,1.2563549
2021-01-17,1.2717645
2021-01-18,1.262253
2021-01-19,1.2650825
2021-01-20,1.2810255
2021-01-21,1.2991822
2021-01-22,1.2779003
2021-01-23,1.2613335
2021-01-24,1.2639477
2021-01-25,1.2528431
2021-01-26,1.185805
2021-01-27,1.2334834
2021-01-28,1.2507519
2021-01-29,1.2379191
2021-01-30,1.2817171
2021-01-31,1.29802
2021-02-01,1.294052
2021-02-02,1.2448751
2021-02-03,1.2263863
2021-02-04,1.2304415
2021-02-05,1.2041295
2021-02-06,1.2240986
2021-02-07,1.2361221
2021-02-08,1.2700851
2021-02-09,1.2347915
2021-02-10,1.2747368
2021-02-11,1.2401859
2021-02-12,1.2526424
2021-02-13,1.2284787
2021-02-14,1.2222352
2021-02-15,1.2136078
2021-02-16,1.1290284
2021-02-17,1.1441537
2021-02-18,1.1410248
2021-02-19,1.1773294
2021-02-20,1.1369574
2021-02-21,1.1604387
2021-02-22,1.1845746
2021-02-23,1.1520821
2021-02-24,1.2011822
2021-02-25,1.2463351
2021-02-26,1.2390478
2021-02-27,1.2959867
2021-02-28,1.2933851
2021-03-01,1.2734845
2021-03-02,1.2173164
2021-03-03,1.2187686
2021-03-04,1.2496357
2021-03-05,1.2159084
2021-03-06,1.2769048
2021-03-07,1.2851409
2021-03-08,1.2708168
2021-03-09,1.2251914
2021-03-10,1.211432
2021-03-11,1.217334
2021-03-12,1.1799338
2021-03-13,1.1888633
2021-03-14,1.2055073
2021-03-15,1.190675
2021-03-16,1.1574383
2021-03-17,1.1854053
2021-03-18,1.1774822
2021-03-19,1.2728868
2021-03-20,1.2791184
2021-03-21,1.2435783
2021-03-22,1.246465
2021-03-23,1.1902735
2021-03-24,1.20524
2021-03-25,1.1855394
2021-03-26,1.1486613
2021-03-27,1.175228
2021-03-28,1.1626722
2021-03-29,1.1440876
2021-03-30,1.0936368
2021-03-31,1.1243348
2021-04-01,1.1253034
2021-04-02,1.1111567
2021-04-03,1.1136575
2021-04-04,1.1111315
2021-04-05,1.091899
2021-04-06,1.0334466
2021-04-07,1.0471455
2021-04-08,1.0460674
2021-04-09,1.0181792
2021-04-10,1.0219947
2021-04-11,1.0322365
2021-04-12,1.0261807
2021-04-13,0.9897333
2021-04-14,0.9888515
2021-04-15,0.98078704
2021-04-16,0.9990145
2021-04-17,0.8727856
2021-04-18,0.84764445
2021-04-19,0.8424167
2021-04-20,0.7793761
2021-04-21,0.85244733
2021-04-22,0.8388592
2021-04-23,0.79695725
2021-04-24,0.811267
2021-04-25,0.8184049
2021-04-26,0.7957571
2021-04-27,0.74847037
2021-04-28,0.7390246
2021-04-29,0.8428454
2021-04-30,0.8618681
2021-05-01,0.8681023
2021-05-02,0.86468923
2021-05-03,0.8651321
2021-05-04,0.8535949
2021-05-05,0.871408
2021-05-06,0.9551476
2021-05-07,0.95739883
2021-05-08,0.97661924
2021-05-09,0.9774968
2021-05-10,0.97044295
2021-05-11,0.93969584
2021-05-12,1.0069679
2021-05-13,0.949194
2021-05-14,0.9906564
2021-05-15,1.0545042
2021-05-16,1.0576005
2021-05-17,1.0685624
2021-05-18,1.0350904
2021-05-19,1.0528151
2021-05-20,1.0944272
2021-05-21,1.0825284
2021-05-22,1.0927323
2021-05-23,1.1119877
2021-05-24,1.1015991
2021-05-25,1.0497673
2021-05-26,1.0985302
2021-05-27,1.0369855
2021-05-28,1.0287929
2021-05-29,0.99580336
2021-05-30,1.0069429
