,0
2021-01-01,1.1862663
2021-01-02,1.2012113
2021-01-03,1.2025943
2021-01-04,1.2152196
2021-01-05,1.18319
2021-01-06,1.118515
2021-01-07,1.1418585
2021-01-08,1.1411762
2021-01-09,1.1552615
2021-01-10,1.1391053
2021-01-11,1.1386342
2021-01-12,1.1053888
2021-01-13,1.1922245
2021-01-14,1.0905422
2021-01-15,1.1342812
2021-01-16,1.234763
2021-01-17,1.2254324
2021-01-18,1.2457358
2021-01-19,1.256047
2021-01-20,1.268407
2021-01-21,1.2456969
2021-01-22,1.2524987
2021-01-23,1.2314374
2021-01-24,1.2245748
2021-01-25,1.218322
2021-01-26,1.2136137
2021-01-27,1.2459309
2021-01-28,1.2418052
2021-01-29,1.2464129
2021-01-30,1.3056389
2021-01-31,1.2996849
2021-02-01,1.2991816
2021-02-02,1.3018605
2021-02-03,1.3088756
2021-02-04,1.2961246
2021-02-05,1.2362856
2021-02-06,1.232172
2021-02-07,1.2735656
2021-02-08,1.30822
2021-02-09,1.3459377
2021-02-10,1.3360099
2021-02-11,1.2802414
2021-02-12,1.2962697
2021-02-13,1.2510382
2021-02-14,1.2431955
2021-02-15,1.2264864
2021-02-16,1.2033484
2021-02-17,1.1815113
2021-02-18,1.1665429
2021-02-19,1.2266312
2021-02-20,1.1474088
2021-02-21,1.1811928
2021-02-22,1.2136339
2021-02-23,1.2360785
2021-02-24,1.2482889
2021-02-25,1.3011109
2021-02-26,1.3078419
2021-02-27,1.3300728
2021-02-28,1.3161803
2021-03-01,1.3033913
2021-03-02,1.294973
2021-03-03,1.2940452
2021-03-04,1.2999583
2021-03-05,1.2211064
2021-03-06,1.3119507
2021-03-07,1.299818
2021-03-08,1.2963626
2021-03-09,1.2993742
2021-03-10,1.2128356
2021-03-11,1.2548047
2021-03-12,1.2185405
2021-03-13,1.2062328
2021-03-14,1.205142
2021-03-15,1.2024682
2021-03-16,1.1981736
2021-03-17,1.2193582
2021-03-18,1.2033654
2021-03-19,1.3224391
2021-03-20,1.2931606
2021-03-21,1.2707981
2021-03-22,1.2557724
2021-03-23,1.2424105
2021-03-24,1.2409791
2021-03-25,1.1918087
2021-03-26,1.1631511
2021-03-27,1.1719161
2021-03-28,1.1640157
2021-03-29,1.1514454
2021-03-30,1.1343247
2021-03-31,1.1395621
2021-04-01,1.127598
2021-04-02,1.1378996
2021-04-03,1.120196
2021-04-04,1.1129345
2021-04-05,1.0997908
2021-04-06,1.0808055
2021-04-07,1.0829464
2021-04-08,1.0566157
2021-04-09,1.0284444
2021-04-10,1.0306816
2021-04-11,1.0344394
2021-04-12,1.0324607
2021-04-13,1.0255617
2021-04-14,1.0165436
2021-04-15,1.0111637
2021-04-16,1.0146798
2021-04-17,0.886578
2021-04-18,0.85991716
2021-04-19,0.8643027
2021-04-20,0.8499848
2021-04-21,0.87277186
2021-04-22,0.86329335
2021-04-23,0.8180365
2021-04-24,0.8307683
2021-04-25,0.81265396
2021-04-26,0.79357034
2021-04-27,0.76267374
2021-04-28,0.7685456
2021-04-29,0.9014785
2021-04-30,0.8833988
2021-05-01,0.88779986
2021-05-02,0.88780916
2021-05-03,0.8928819
2021-05-04,0.89893353
2021-05-05,0.90231144
2021-05-06,1.001246
2021-05-07,0.97352314
2021-05-08,0.9940651
2021-05-09,0.9890054
2021-05-10,0.98746395
2021-05-11,0.99161
2021-05-12,1.0463946
2021-05-13,0.9843885
2021-05-14,0.9921609
2021-05-15,1.0651807
2021-05-16,1.0737336
2021-05-17,1.0864468
2021-05-18,1.1007174
2021-05-19,1.0891593
2021-05-20,1.1238241
2021-05-21,1.1107365
2021-05-22,1.1038651
2021-05-23,1.1040095
2021-05-24,1.1060357
2021-05-25,1.1111519
2021-05-26,1.1302452
2021-05-27,1.0430595
2021-05-28,1.0404204
2021-05-29,0.98864347
2021-05-30,1.0114924
2021-05-31,1.0224961
2021-06-01,1.034917
2021-06-02,1.0473713
2021-06-03,1.0743426
2021-06-04,0.98714316
2021-06-05,0.9968584
2021-06-06,0.98295546
2021-06-07,0.97121596
2021-06-08,0.9565559
2021-06-09,0.9693082
