,0
2021-01-01,0.47017658
2021-01-02,0.5029958
2021-01-03,0.5043957
2021-01-04,0.50626284
2021-01-05,0.5116921
2021-01-06,0.503124
2021-01-07,0.6467039
2021-01-08,0.6878088
2021-01-09,0.68514997
2021-01-10,0.70060194
2021-01-11,0.7147801
2021-01-12,0.691499
2021-01-13,0.7148769
2021-01-14,0.69355184
2021-01-15,0.6841814
2021-01-16,0.7028362
2021-01-17,0.7063321
2021-01-18,0.71186554
2021-01-19,0.7087907
2021-01-20,0.70056975
2021-01-21,0.7188896
2021-01-22,0.7225186
2021-01-23,0.71785283
2021-01-24,0.71809363
2021-01-25,0.7206527
2021-01-26,0.6974258
2021-01-27,0.70057
2021-01-28,0.7719107
2021-01-29,0.8002185
2021-01-30,0.83674425
2021-01-31,0.8498366
2021-02-01,0.86166155
2021-02-02,0.8501164
2021-02-03,0.8592252
2021-02-04,0.87835646
2021-02-05,0.816266
2021-02-06,0.79183203
2021-02-07,0.79351455
2021-02-08,0.79528326
2021-02-09,0.75905097
2021-02-10,0.7595871
2021-02-11,0.75858665
2021-02-12,0.76767206
2021-02-13,0.7841488
2021-02-14,0.78277725
2021-02-15,0.7869561
2021-02-16,0.75013
2021-02-17,0.75971496
2021-02-18,0.7599928
2021-02-19,0.76708025
2021-02-20,0.7747367
2021-02-21,0.78701866
2021-02-22,0.7818213
2021-02-23,0.74887353
2021-02-24,0.7437388
2021-02-25,0.7681218
2021-02-26,0.75085413
2021-02-27,0.75767183
2021-02-28,0.77547294
2021-03-01,0.7893087
2021-03-02,0.77144265
2021-03-03,0.77801126
2021-03-04,0.7526915
2021-03-05,0.76638764
2021-03-06,0.75804305
2021-03-07,0.7543583
2021-03-08,0.75558984
2021-03-09,0.72937876
2021-03-10,0.73827136
2021-03-11,0.7672457
2021-03-12,0.7721877
2021-03-13,0.78701407
2021-03-14,0.7873733
2021-03-15,0.7830615
2021-03-16,0.7754996
2021-03-17,0.76319426
2021-03-18,0.7875925
2021-03-19,0.80136514
2021-03-20,0.7993218
2021-03-21,0.815194
2021-03-22,0.8097434
2021-03-23,0.79149896
2021-03-24,0.81293976
2021-03-25,0.80365473
2021-03-26,0.7967941
2021-03-27,0.79735655
2021-03-28,0.7744562
2021-03-29,0.7554848
2021-03-30,0.707043
2021-03-31,0.70976716
2021-04-01,0.71399426
2021-04-02,0.726424
2021-04-03,0.7301186
2021-04-04,0.7386763
2021-04-05,0.7254518
2021-04-06,0.68815535
2021-04-07,0.6777765
2021-04-08,0.68750644
2021-04-09,0.6507351
2021-04-10,0.6529393
2021-04-11,0.6576009
2021-04-12,0.6401215
2021-04-13,0.6366867
2021-04-14,0.63146365
2021-04-15,0.6388098
2021-04-16,0.6242047
2021-04-17,0.62135917
2021-04-18,0.61969566
2021-04-19,0.60916877
2021-04-20,0.5755619
2021-04-21,0.60448635
2021-04-22,0.58109736
2021-04-23,0.59832937
2021-04-24,0.6081717
2021-04-25,0.5981748
2021-04-26,0.5860392
2021-04-27,0.5556033
2021-04-28,0.5427407
2021-04-29,0.54216695
2021-04-30,0.5576734
2021-05-01,0.5500454
2021-05-02,0.5591692
2021-05-03,0.5612337
2021-05-04,0.55240905
2021-05-05,0.55040777
2021-05-06,0.5657374
2021-05-07,0.58190274
2021-05-08,0.58732516
2021-05-09,0.5845049
2021-05-10,0.5756744
2021-05-11,0.56243384
2021-05-12,0.5982292
2021-05-13,0.6050476
2021-05-14,0.6371806
2021-05-15,0.6492188
2021-05-16,0.6547217
2021-05-17,0.6629519
2021-05-18,0.6429112
2021-05-19,0.6337517
2021-05-20,0.63240194
2021-05-21,0.6189618
2021-05-22,0.5992954
2021-05-23,0.60056365
2021-05-24,0.60482085
2021-05-25,0.59070146
2021-05-26,0.59824544
2021-05-27,0.60211474
2021-05-28,0.58188295
2021-05-29,0.5714447
2021-05-30,0.5743572
2021-05-31,0.5705888
2021-06-01,0.5582189
2021-06-02,0.5615517
2021-06-03,0.56337243
2021-06-04,0.5560641
2021-06-05,0.53963625
2021-06-06,0.544911
2021-06-07,0.5343148
2021-06-08,0.51186216
2021-06-09,0.52236784
2021-06-10,0.48330304
2021-06-11,0.49664456
2021-06-12,0.48081467
2021-06-13,0.46905813
2021-06-14,0.45925206
2021-06-15,0.446593
2021-06-16,0.4395223
2021-06-17,0.42432496
2021-06-18,0.5102932
2021-06-19,0.5791662
2021-06-20,0.5979281
2021-06-21,0.61250556
2021-06-22,0.6077397
2021-06-23,0.60671717
2021-06-24,0.61162543
2021-06-25,0.6184065
2021-06-26,0.6205031
2021-06-27,0.62758625
2021-06-28,0.62710536
2021-06-29,0.6247078
2021-06-30,0.62720555
2021-07-01,0.625826
2021-07-02,0.6400149
2021-07-03,0.6474877
2021-07-04,0.6635028
2021-07-05,0.6766377
2021-07-06,0.6687805
2021-07-07,0.6862826
2021-07-08,0.68930453
2021-07-09,0.7271156
2021-07-10,0.7573144
2021-07-11,0.7745042
2021-07-12,0.7876508
2021-07-13,0.7686237
2021-07-14,0.7740423
2021-07-15,0.78241694
2021-07-16,0.7811728
2021-07-17,0.72698665
2021-07-18,0.7314582
2021-07-19,0.75345397
2021-07-20,0.7290625
2021-07-21,0.7507444
2021-07-22,0.7710238
2021-07-23,0.7786019
2021-07-24,0.77948844
2021-07-25,0.7819456
2021-07-26,0.7889107
2021-07-27,0.7580422
2021-07-28,0.75807565
2021-07-29,0.75238425
2021-07-30,0.76545477
2021-07-31,0.77247244
2021-08-01,0.7732683
2021-08-02,0.78128386
2021-08-03,0.76237875
2021-08-04,0.7520209
2021-08-05,0.7659891
2021-08-06,0.76029706
2021-08-07,0.71778524
2021-08-08,0.7205864
2021-08-09,0.71807826
2021-08-10,0.6862236
2021-08-11,0.69707817
2021-08-12,0.7018882
2021-08-13,0.7078148
2021-08-14,0.69683754
2021-08-15,0.67279136
2021-08-16,0.6498438
2021-08-17,0.6013558
2021-08-18,0.54846877
2021-08-19,0.5258007
2021-08-20,0.5177451
2021-08-21,0.5235641
2021-08-22,0.5266553
2021-08-23,0.5239748
2021-08-24,0.50419956
2021-08-25,0.5142158
2021-08-26,0.5315034
2021-08-27,0.5183266
2021-08-28,0.5343185
2021-08-29,0.538884
2021-08-30,0.5484625
2021-08-31,0.5447041
2021-09-01,0.5293719
2021-09-02,0.5353371
2021-09-03,0.53013444
2021-09-04,0.47854364
2021-09-05,0.47588608
2021-09-06,0.47427237
2021-09-07,0.44944817
2021-09-08,0.46029854
2021-09-09,0.44631568
2021-09-10,0.4246033
2021-09-11,0.43815407
2021-09-12,0.44251126
2021-09-13,0.44589752
2021-09-14,0.44571114
2021-09-15,0.46989024
2021-09-16,0.48504025
2021-09-17,0.46297044
2021-09-18,0.45196563
2021-09-19,0.4778467
2021-09-20,0.51215273
2021-09-21,0.5274253
2021-09-22,0.5225102
2021-09-23,0.5515489
2021-09-24,0.5913625
2021-09-25,0.59809464
2021-09-26,0.6005006
2021-09-27,0.61989987
2021-09-28,0.59868836
2021-09-29,0.6113943
2021-09-30,0.6254197
