,0
2021-01-01,0.49617666
2021-01-02,0.50035983
2021-01-03,0.51310337
2021-01-04,0.5178162
2021-01-05,0.55808556
2021-01-06,0.5303498
2021-01-07,0.6873878
2021-01-08,0.7842059
2021-01-09,0.7979388
2021-01-10,0.7963011
2021-01-11,0.77860934
2021-01-12,0.763698
2021-01-13,0.75754
2021-01-14,0.7514944
2021-01-15,0.7296636
2021-01-16,0.7376513
2021-01-17,0.7506791
2021-01-18,0.74188787
2021-01-19,0.73545116
2021-01-20,0.7559916
2021-01-21,0.750512
2021-01-22,0.7487386
2021-01-23,0.7435606
2021-01-24,0.7330688
2021-01-25,0.72433597
2021-01-26,0.7274991
2021-01-27,0.72661054
2021-01-28,0.79210585
2021-01-29,0.8538042
2021-01-30,0.8933571
2021-01-31,0.9064949
2021-02-01,0.8975207
2021-02-02,0.89736027
2021-02-03,0.9047292
2021-02-04,0.92076087
2021-02-05,0.8303171
2021-02-06,0.76872706
2021-02-07,0.7623704
2021-02-08,0.7646046
2021-02-09,0.77881396
2021-02-10,0.7910011
2021-02-11,0.7902564
2021-02-12,0.78201264
2021-02-13,0.78265893
2021-02-14,0.7873539
2021-02-15,0.7870288
2021-02-16,0.7964983
2021-02-17,0.8000436
2021-02-18,0.7927947
2021-02-19,0.79169947
2021-02-20,0.79332876
2021-02-21,0.79958177
2021-02-22,0.8048327
2021-02-23,0.80589724
2021-02-24,0.7939211
2021-02-25,0.82004917
2021-02-26,0.78931046
2021-02-27,0.7737463
2021-02-28,0.78920907
2021-03-01,0.8080987
2021-03-02,0.8298827
2021-03-03,0.8224196
2021-03-04,0.78521246
2021-03-05,0.77207816
2021-03-06,0.7545058
2021-03-07,0.75897896
2021-03-08,0.76739746
2021-03-09,0.778004
2021-03-10,0.777634
2021-03-11,0.8017058
2021-03-12,0.8127677
2021-03-13,0.82144046
2021-03-14,0.82253814
2021-03-15,0.823489
2021-03-16,0.81859756
2021-03-17,0.7965288
2021-03-18,0.7932984
2021-03-19,0.7953777
2021-03-20,0.794128
2021-03-21,0.804157
2021-03-22,0.8088268
2021-03-23,0.81681544
2021-03-24,0.83106035
2021-03-25,0.81116694
2021-03-26,0.7958723
2021-03-27,0.77855295
2021-03-28,0.746991
2021-03-29,0.7132379
2021-03-30,0.6787662
2021-03-31,0.6775081
2021-04-01,0.6781591
2021-04-02,0.6832071
2021-04-03,0.68151546
2021-04-04,0.6708499
2021-04-05,0.66010857
2021-04-06,0.6533765
2021-04-07,0.63154525
2021-04-08,0.6214481
2021-04-09,0.5774714
2021-04-10,0.5683815
2021-04-11,0.5683943
2021-04-12,0.56462985
2021-04-13,0.5644901
2021-04-14,0.57185423
2021-04-15,0.5678011
2021-04-16,0.5575857
2021-04-17,0.556387
2021-04-18,0.55408233
2021-04-19,0.5476775
2021-04-20,0.5411707
2021-04-21,0.54795426
2021-04-22,0.54724777
2021-04-23,0.55883205
2021-04-24,0.57410043
2021-04-25,0.5690549
2021-04-26,0.55675143
2021-04-27,0.54081875
2021-04-28,0.5317145
2021-04-29,0.5281601
2021-04-30,0.55828655
2021-05-01,0.56347495
2021-05-02,0.56029046
2021-05-03,0.5554286
2021-05-04,0.5514239
2021-05-05,0.55441594
2021-05-06,0.5668446
2021-05-07,0.59314156
2021-05-08,0.5976109
2021-05-09,0.59297067
2021-05-10,0.590712
2021-05-11,0.5844299
2021-05-12,0.60847205
2021-05-13,0.62955874
2021-05-14,0.6573538
2021-05-15,0.686662
2021-05-16,0.69036204
2021-05-17,0.6878043
2021-05-18,0.6823577
2021-05-19,0.66634667
2021-05-20,0.6457311
2021-05-21,0.6252776
2021-05-22,0.59850013
2021-05-23,0.58735174
2021-05-24,0.58889717
2021-05-25,0.59276044
2021-05-26,0.60083133
2021-05-27,0.60066134
2021-05-28,0.582789
2021-05-29,0.56663334
2021-05-30,0.561534
2021-05-31,0.5649653
2021-06-01,0.5658808
2021-06-02,0.569992
2021-06-03,0.56269664
2021-06-04,0.5502694
2021-06-05,0.5231295
2021-06-06,0.5137138
2021-06-07,0.51565117
2021-06-08,0.5183451
2021-06-09,0.5234572
2021-06-10,0.49351224
2021-06-11,0.48414525
2021-06-12,0.45621815
2021-06-13,0.43852276
2021-06-14,0.4328042
2021-06-15,0.42535844
2021-06-16,0.42662862
2021-06-17,0.39608184
2021-06-18,0.5028666
2021-06-19,0.6174283
2021-06-20,0.6556471
2021-06-21,0.6716547
2021-06-22,0.6718291
2021-06-23,0.6600094
2021-06-24,0.6437089
2021-06-25,0.6528067
2021-06-26,0.66560805
2021-06-27,0.66340053
2021-06-28,0.667707
2021-06-29,0.66407716
2021-06-30,0.65398246
2021-07-01,0.6587008
2021-07-02,0.67170846
2021-07-03,0.6766078
2021-07-04,0.6774658
2021-07-05,0.6820228
2021-07-06,0.6860102
2021-07-07,0.6999122
2021-07-08,0.69927394
2021-07-09,0.72394156
2021-07-10,0.79369485
2021-07-11,0.81686115
2021-07-12,0.8201598
2021-07-13,0.81504446
2021-07-14,0.81655174
2021-07-15,0.80699784
2021-07-16,0.80283034
2021-07-17,0.75437266
2021-07-18,0.7385955
2021-07-19,0.7435825
2021-07-20,0.7546291
2021-07-21,0.7794812
2021-07-22,0.81155485
2021-07-23,0.835081
2021-07-24,0.8258048
2021-07-25,0.8132469
2021-07-26,0.80655444
2021-07-27,0.7986777
2021-07-28,0.7996208
2021-07-29,0.8009866
2021-07-30,0.80344456
2021-07-31,0.80589706
2021-08-01,0.80620545
2021-08-02,0.8065136
2021-08-03,0.8076135
2021-08-04,0.79893166
2021-08-05,0.79928905
2021-08-06,0.7795088
2021-08-07,0.739579
2021-08-08,0.7224696
2021-08-09,0.72050095
2021-08-10,0.71916276
2021-08-11,0.7208653
2021-08-12,0.730332
2021-08-13,0.7402461
2021-08-14,0.72592604
2021-08-15,0.6925001
2021-08-16,0.65663666
2021-08-17,0.6189678
2021-08-18,0.55109555
2021-08-19,0.51398575
2021-08-20,0.5030677
2021-08-21,0.50590354
2021-08-22,0.5153277
2021-08-23,0.5219546
2021-08-24,0.5265629
2021-08-25,0.52976954
2021-08-26,0.5454334
2021-08-27,0.5448819
2021-08-28,0.5524934
2021-08-29,0.5653684
2021-08-30,0.57554954
2021-08-31,0.58455586
2021-09-01,0.57076126
2021-09-02,0.55906636
2021-09-03,0.54028803
2021-09-04,0.4850806
2021-09-05,0.46663517
2021-09-06,0.46525162
2021-09-07,0.47255155
2021-09-08,0.47934932
2021-09-09,0.4648529
2021-09-10,0.4430464
2021-09-11,0.43997163
2021-09-12,0.44750136
2021-09-13,0.45617506
2021-09-14,0.4649011
2021-09-15,0.49091202
2021-09-16,0.5033286
2021-09-17,0.4813656
2021-09-18,0.4665031
2021-09-19,0.49302334
2021-09-20,0.53501135
2021-09-21,0.5824049
2021-09-22,0.58577836
2021-09-23,0.60514235
2021-09-24,0.655098
2021-09-25,0.669277
2021-09-26,0.66939795
2021-09-27,0.6664176
2021-09-28,0.66448396
2021-09-29,0.67057157
2021-09-30,0.6697274
2021-10-01,0.69274706
2021-10-02,0.720932
2021-10-03,0.7311107
2021-10-04,0.73594934
2021-10-05,0.7298726
2021-10-06,0.7546786
2021-10-07,0.7701173
2021-10-08,0.7735082
2021-10-09,0.771982
2021-10-10,0.76531106
2021-10-11,0.7613225
2021-10-12,0.76012194
2021-10-13,0.746171
2021-10-14,0.73755187
2021-10-15,0.7598701
2021-10-16,0.78512925
2021-10-17,0.7692796
2021-10-18,0.7375912
2021-10-19,0.70829606
2021-10-20,0.70691967
2021-10-21,0.6891508
2021-10-22,0.6312764
2021-10-23,0.63032573
2021-10-24,0.63110274
2021-10-25,0.626808
2021-10-26,0.6200022
2021-10-27,0.5880926
2021-10-28,0.60860676
2021-10-29,0.6083134
2021-10-30,0.5818973
2021-10-31,0.5700551
2021-11-01,0.5604509
2021-11-02,0.56000555
2021-11-03,0.518203
2021-11-04,0.5003586
2021-11-05,0.51920265
2021-11-06,0.5225679
2021-11-07,0.5269448
2021-11-08,0.524421
2021-11-09,0.5152814
2021-11-10,0.51701623
2021-11-11,0.51466227
2021-11-12,0.4778695
2021-11-13,0.4324711
2021-11-14,0.42116135
2021-11-15,0.4232596
2021-11-16,0.42400768
2021-11-17,0.41056392
2021-11-18,0.42179453
2021-11-19,0.42634255
2021-11-20,0.41279054
2021-11-21,0.41868117
2021-11-22,0.4295539
2021-11-23,0.4495467
2021-11-24,0.48732415
2021-11-25,0.45866027
2021-11-26,0.5052617
2021-11-27,0.5846026
2021-11-28,0.6097106
2021-11-29,0.61162126
2021-11-30,0.6058909
2021-12-01,0.656478
2021-12-02,0.68381447
2021-12-03,0.7621598
2021-12-04,0.8056763
2021-12-05,0.80709064
2021-12-06,0.80971324
2021-12-07,0.8111476
2021-12-08,0.8239273
2021-12-09,0.83582425
2021-12-10,0.8427868
2021-12-11,0.8435638
2021-12-12,0.8369247
2021-12-13,0.83639294
2021-12-14,0.83926725
2021-12-15,0.8465156
2021-12-16,0.85496944
2021-12-17,0.8533671
2021-12-18,0.88814074
2021-12-19,0.91059726
2021-12-20,0.92878544
2021-12-21,0.94159657
2021-12-22,0.9649132
2021-12-23,0.9516953
2021-12-24,0.93698114
2021-12-25,0.9239518
2021-12-26,0.8998998
2021-12-27,0.87716323
2021-12-28,0.8475731
