,0
2021-01-01,0.47137263
2021-01-02,0.4832233
2021-01-03,0.4952702
2021-01-04,0.4979813
2021-01-05,0.5013395
2021-01-06,0.4804351
2021-01-07,0.75632495
2021-01-08,0.7600509
2021-01-09,0.7540278
2021-01-10,0.7535033
2021-01-11,0.75369257
2021-01-12,0.7537159
2021-01-13,0.75249845
2021-01-14,0.73591024
2021-01-15,0.7043842
2021-01-16,0.7366527
2021-01-17,0.7374354
2021-01-18,0.7372718
2021-01-19,0.7376869
2021-01-20,0.73741084
2021-01-21,0.7304686
2021-01-22,0.7360665
2021-01-23,0.7318137
2021-01-24,0.72471935
2021-01-25,0.7150905
2021-01-26,0.7044583
2021-01-27,0.7125949
2021-01-28,0.815677
2021-01-29,0.8459687
2021-01-30,0.8808346
2021-01-31,0.87780344
2021-02-01,0.87533706
2021-02-02,0.87520397
2021-02-03,0.9153989
2021-02-04,0.91259414
2021-02-05,0.7706207
2021-02-06,0.752054
2021-02-07,0.7624198
2021-02-08,0.7674473
2021-02-09,0.7716422
2021-02-10,0.7707356
2021-02-11,0.7608483
2021-02-12,0.7629657
2021-02-13,0.7721101
2021-02-14,0.7746259
2021-02-15,0.7744284
2021-02-16,0.77360666
2021-02-17,0.7741548
2021-02-18,0.7762363
2021-02-19,0.77817804
2021-02-20,0.7817868
2021-02-21,0.78381854
2021-02-22,0.7838153
2021-02-23,0.78291774
2021-02-24,0.78048766
2021-02-25,0.8153483
2021-02-26,0.756317
2021-02-27,0.76001704
2021-02-28,0.78380316
2021-03-01,0.7973415
2021-03-02,0.81416404
2021-03-03,0.7959127
2021-03-04,0.744502
2021-03-05,0.75528425
2021-03-06,0.7410483
2021-03-07,0.74382555
2021-03-08,0.753321
2021-03-09,0.759882
2021-03-10,0.7500995
2021-03-11,0.7978866
2021-03-12,0.79585266
2021-03-13,0.8049663
2021-03-14,0.801838
2021-03-15,0.799175
2021-03-16,0.7967247
2021-03-17,0.7770122
2021-03-18,0.7794672
2021-03-19,0.77900624
2021-03-20,0.77896017
2021-03-21,0.7870117
2021-03-22,0.7948271
2021-03-23,0.8025298
2021-03-24,0.81941485
2021-03-25,0.78083575
2021-03-26,0.7748499
2021-03-27,0.7587815
2021-03-28,0.71302533
2021-03-29,0.684983
2021-03-30,0.65753543
2021-03-31,0.65916747
2021-04-01,0.6661516
2021-04-02,0.66698754
2021-04-03,0.65878737
2021-04-04,0.64857674
2021-04-05,0.63792664
2021-04-06,0.6295759
2021-04-07,0.60892224
2021-04-08,0.6012994
2021-04-09,0.5428292
2021-04-10,0.55257297
2021-04-11,0.55654097
2021-04-12,0.548858
2021-04-13,0.5439394
2021-04-14,0.55257124
2021-04-15,0.5416794
2021-04-16,0.53485334
2021-04-17,0.5411708
2021-04-18,0.53713113
2021-04-19,0.52794343
2021-04-20,0.5198322
2021-04-21,0.5290632
2021-04-22,0.5285788
2021-04-23,0.5477164
2021-04-24,0.5609944
2021-04-25,0.5490315
2021-04-26,0.5350511
2021-04-27,0.52152973
2021-04-28,0.5194549
2021-04-29,0.5143553
2021-04-30,0.55865777
2021-05-01,0.54457635
2021-05-02,0.5420433
2021-05-03,0.5401126
2021-05-04,0.5373223
2021-05-05,0.546325
2021-05-06,0.55217654
2021-05-07,0.5857035
2021-05-08,0.57751626
2021-05-09,0.5761503
2021-05-10,0.57515633
2021-05-11,0.57451993
2021-05-12,0.61021346
2021-05-13,0.6204505
2021-05-14,0.65405846
2021-05-15,0.67847943
2021-05-16,0.67211187
2021-05-17,0.6693401
2021-05-18,0.66943884
2021-05-19,0.64919245
2021-05-20,0.6305454
2021-05-21,0.6149401
2021-05-22,0.5801911
2021-05-23,0.58295625
2021-05-24,0.5834613
2021-05-25,0.58286446
2021-05-26,0.58876145
2021-05-27,0.58777505
2021-05-28,0.5572766
2021-05-29,0.55038196
2021-05-30,0.55133986
2021-05-31,0.550295
2021-06-01,0.5476578
2021-06-02,0.5478142
2021-06-03,0.5372526
2021-06-04,0.52535695
2021-06-05,0.5007783
2021-06-06,0.5023541
2021-06-07,0.50515777
2021-06-08,0.50556654
2021-06-09,0.5063429
2021-06-10,0.4667965
2021-06-11,0.4722732
2021-06-12,0.4364488
2021-06-13,0.42676157
2021-06-14,0.41874927
2021-06-15,0.41060394
2021-06-16,0.41068107
2021-06-17,0.36923236
2021-06-18,0.53922516
2021-06-19,0.626983
2021-06-20,0.6309002
2021-06-21,0.64054763
2021-06-22,0.65192443
2021-06-23,0.64634687
2021-06-24,0.63078797
2021-06-25,0.64955777
2021-06-26,0.65012133
2021-06-27,0.6518609
2021-06-28,0.6538936
2021-06-29,0.6573544
2021-06-30,0.65376955
2021-07-01,0.65286934
2021-07-02,0.6573805
2021-07-03,0.656453
2021-07-04,0.6633965
2021-07-05,0.67053455
2021-07-06,0.6776741
2021-07-07,0.6836777
2021-07-08,0.6823786
2021-07-09,0.7204976
2021-07-10,0.79600775
2021-07-11,0.7948643
2021-07-12,0.79565895
2021-07-13,0.7989826
2021-07-14,0.7988865
2021-07-15,0.79979706
2021-07-16,0.7997127
2021-07-17,0.7236103
2021-07-18,0.7320116
2021-07-19,0.740874
2021-07-20,0.7487243
2021-07-21,0.77504337
2021-07-22,0.8059146
2021-07-23,0.81649506
2021-07-24,0.7989347
2021-07-25,0.79556394
2021-07-26,0.7920306
2021-07-27,0.78835857
2021-07-28,0.7822441
2021-07-29,0.78083485
2021-07-30,0.79222286
2021-07-31,0.7923311
2021-08-01,0.79016304
2021-08-02,0.78937906
2021-08-03,0.78894174
2021-08-04,0.77325946
2021-08-05,0.78256756
2021-08-06,0.7546927
2021-08-07,0.6897833
2021-08-08,0.70511085
2021-08-09,0.7063703
2021-08-10,0.7048649
2021-08-11,0.70400214
2021-08-12,0.7168496
2021-08-13,0.71642
2021-08-14,0.7001927
2021-08-15,0.65158767
2021-08-16,0.6232504
2021-08-17,0.59959245
2021-08-18,0.52929187
2021-08-19,0.49884745
2021-08-20,0.49228194
2021-08-21,0.49942446
2021-08-22,0.5026637
2021-08-23,0.50058967
2021-08-24,0.50097406
2021-08-25,0.5064267
2021-08-26,0.52860093
2021-08-27,0.5139073
2021-08-28,0.53352904
2021-08-29,0.54936665
2021-08-30,0.5600802
2021-08-31,0.5681867
2021-09-01,0.5440997
2021-09-02,0.5382298
2021-09-03,0.51474905
2021-09-04,0.4562446
2021-09-05,0.45964733
2021-09-06,0.46199208
2021-09-07,0.46108788
2021-09-08,0.4618137
2021-09-09,0.443054
2021-09-10,0.42025828
2021-09-11,0.43231785
2021-09-12,0.43970472
2021-09-13,0.4424427
2021-09-14,0.44570115
2021-09-15,0.4799753
2021-09-16,0.487477
2021-09-17,0.4592837
2021-09-18,0.45318246
2021-09-19,0.496811
2021-09-20,0.537214
2021-09-21,0.57568777
2021-09-22,0.56434625
2021-09-23,0.59692717
2021-09-24,0.6490183
2021-09-25,0.64834094
2021-09-26,0.64847136
2021-09-27,0.6495996
2021-09-28,0.65239376
2021-09-29,0.66200435
2021-09-30,0.6613884
2021-10-01,0.68666756
2021-10-02,0.7137575
2021-10-03,0.71316284
2021-10-04,0.7153941
2021-10-05,0.7188034
2021-10-06,0.75773585
2021-10-07,0.7548648
2021-10-08,0.7556954
2021-10-09,0.7513898
2021-10-10,0.7510166
2021-10-11,0.75113124
2021-10-12,0.7512778
2021-10-13,0.73127884
2021-10-14,0.72427094
2021-10-15,0.7552599
2021-10-16,0.77702147
2021-10-17,0.74801993
2021-10-18,0.71743387
2021-10-19,0.6862208
2021-10-20,0.7007318
2021-10-21,0.67350274
2021-10-22,0.55475926
2021-10-23,0.61205184
2021-10-24,0.6099544
2021-10-25,0.596022
2021-10-26,0.58450407
2021-10-27,0.5409458
2021-10-28,0.5965515
2021-10-29,0.5851148
2021-10-30,0.54929554
2021-10-31,0.5477321
2021-11-01,0.548975
2021-11-02,0.5450457
2021-11-03,0.48649418
2021-11-04,0.48676273
2021-11-05,0.51362634
2021-11-06,0.5110879
2021-11-07,0.5067776
2021-11-08,0.50105035
2021-11-09,0.49572396
2021-11-10,0.49889484
2021-11-11,0.49429113
2021-11-12,0.44833004
2021-11-13,0.40799642
2021-11-14,0.41238278
2021-11-15,0.41335145
2021-11-16,0.4119206
2021-11-17,0.3916861
2021-11-18,0.40534347
2021-11-19,0.4087581
2021-11-20,0.3938519
2021-11-21,0.4081619
2021-11-22,0.421969
2021-11-23,0.4336506
2021-11-24,0.4819699
2021-11-25,0.42716423
2021-11-26,0.514088
2021-11-27,0.59217155
2021-11-28,0.5902253
2021-11-29,0.5870984
2021-11-30,0.5864042
2021-12-01,0.6527542
2021-12-02,0.66970754
2021-12-03,0.773255
2021-12-04,0.76774096
2021-12-05,0.7732113
2021-12-06,0.78460145
2021-12-07,0.79668987
2021-12-08,0.8255668
2021-12-09,0.8244177
2021-12-10,0.822929
2021-12-11,0.82165134
2021-12-12,0.8263731
2021-12-13,0.8319658
2021-12-14,0.8382335
2021-12-15,0.8408135
2021-12-16,0.8404256
2021-12-17,0.8417826
2021-12-18,0.88801205
2021-12-19,0.90282655
2021-12-20,0.91720986
2021-12-21,0.93363315
2021-12-22,0.95259166
2021-12-23,0.9301463
2021-12-24,0.93108684
2021-12-25,0.906963
2021-12-26,0.8840799
2021-12-27,0.8578243
2021-12-28,0.83055615
