,0
2021-01-01,0.38195574
2021-01-02,0.39662683
2021-01-03,0.40735063
2021-01-04,0.42541817
2021-01-05,0.43089294
2021-01-06,0.46142602
2021-01-07,0.5231501
2021-01-08,0.5610363
2021-01-09,0.5643307
2021-01-10,0.5816726
2021-01-11,0.5748263
2021-01-12,0.5840213
2021-01-13,0.60369414
2021-01-14,0.5817072
2021-01-15,0.56231964
2021-01-16,0.58233285
2021-01-17,0.57068646
2021-01-18,0.560487
2021-01-19,0.5621565
2021-01-20,0.5552456
2021-01-21,0.5685494
2021-01-22,0.5648339
2021-01-23,0.5546135
2021-01-24,0.5489404
2021-01-25,0.5598999
2021-01-26,0.5469035
2021-01-27,0.5726144
2021-01-28,0.6199073
2021-01-29,0.64015543
2021-01-30,0.69363576
2021-01-31,0.7065924
2021-02-01,0.69542634
2021-02-02,0.7051376
2021-02-03,0.69268984
2021-02-04,0.6691478
2021-02-05,0.63283026
2021-02-06,0.6224501
2021-02-07,0.6254588
2021-02-08,0.62382185
2021-02-09,0.6150082
2021-02-10,0.6089233
2021-02-11,0.59567076
2021-02-12,0.6035864
2021-02-13,0.59569544
2021-02-14,0.6038574
2021-02-15,0.58630735
2021-02-16,0.5669036
2021-02-17,0.5772997
2021-02-18,0.5745828
2021-02-19,0.5597098
2021-02-20,0.5726858
2021-02-21,0.59145033
2021-02-22,0.5965422
2021-02-23,0.5807112
2021-02-24,0.5880238
2021-02-25,0.6022437
2021-02-26,0.5912838
2021-02-27,0.5781584
2021-02-28,0.59905505
2021-03-01,0.5987253
2021-03-02,0.5726025
2021-03-03,0.5828001
2021-03-04,0.5452168
2021-03-05,0.5725109
2021-03-06,0.6316619
2021-03-07,0.63652074
2021-03-08,0.6588347
2021-03-09,0.6495563
2021-03-10,0.6599435
2021-03-11,0.6804101
2021-03-12,0.68680906
2021-03-13,0.69729406
2021-03-14,0.7020436
2021-03-15,0.6949463
2021-03-16,0.6754906
2021-03-17,0.7167911
2021-03-18,0.7349414
2021-03-19,0.7243834
2021-03-20,0.7119498
2021-03-21,0.710544
2021-03-22,0.72237676
2021-03-23,0.68553317
