,0
2021-01-01,0.3961581
2021-01-02,0.415661
2021-01-03,0.4433363
2021-01-04,0.47936666
2021-01-05,0.5015276
2021-01-06,0.49336547
2021-01-07,0.5828501
2021-01-08,0.5850774
2021-01-09,0.57935834
2021-01-10,0.57279843
2021-01-11,0.5697122
2021-01-12,0.5667293
2021-01-13,0.58284366
2021-01-14,0.56518996
2021-01-15,0.53281903
2021-01-16,0.5575669
2021-01-17,0.55649793
2021-01-18,0.5565219
2021-01-19,0.55521566
2021-01-20,0.5537482
2021-01-21,0.5597067
2021-01-22,0.55087996
2021-01-23,0.5509938
2021-01-24,0.5516301
2021-01-25,0.55568993
2021-01-26,0.5546049
2021-01-27,0.569571
2021-01-28,0.6342197
2021-01-29,0.6590692
2021-01-30,0.7201148
2021-01-31,0.7112649
2021-02-01,0.7066728
2021-02-02,0.70911384
2021-02-03,0.6870235
2021-02-04,0.6745869
2021-02-05,0.6145242
2021-02-06,0.6176858
2021-02-07,0.6237849
2021-02-08,0.6280621
2021-02-09,0.629092
2021-02-10,0.63001263
2021-02-11,0.6150787
2021-02-12,0.605427
2021-02-13,0.6126757
2021-02-14,0.60563534
2021-02-15,0.60144943
2021-02-16,0.5922682
2021-02-17,0.58794
2021-02-18,0.5887679
2021-02-19,0.5871186
2021-02-20,0.6177485
2021-02-21,0.6145576
2021-02-22,0.61508304
2021-02-23,0.612251
2021-02-24,0.60803294
2021-02-25,0.64774317
2021-02-26,0.6376619
2021-02-27,0.6211663
2021-02-28,0.63111156
2021-03-01,0.64076746
2021-03-02,0.6433476
2021-03-03,0.6289776
2021-03-04,0.5661068
2021-03-05,0.6074147
2021-03-06,0.67032486
2021-03-07,0.6785536
2021-03-08,0.6737091
2021-03-09,0.6748203
2021-03-10,0.66442084
2021-03-11,0.6988078
2021-03-12,0.69483036
2021-03-13,0.71966606
2021-03-14,0.7137962
2021-03-15,0.71119654
2021-03-16,0.7133477
2021-03-17,0.74238795
2021-03-18,0.75735277
2021-03-19,0.7460409
2021-03-20,0.7184855
2021-03-21,0.71970946
2021-03-22,0.7238222
2021-03-23,0.72467536
2021-03-24,0.76354575
2021-03-25,0.72143024
2021-03-26,0.70822084
2021-03-27,0.7346973
2021-03-28,0.70477587
2021-03-29,0.6784382
2021-03-30,0.65113384
2021-03-31,0.6560499
2021-04-01,0.65931106
2021-04-02,0.6220446
2021-04-03,0.60489297
2021-04-04,0.5957295
2021-04-05,0.588383
2021-04-06,0.5758799
2021-04-07,0.56187636
2021-04-08,0.56273687
2021-04-09,0.53097
2021-04-10,0.544563
2021-04-11,0.53524387
2021-04-12,0.527477
2021-04-13,0.5162704
2021-04-14,0.51005536
2021-04-15,0.4764775
2021-04-16,0.45635352
2021-04-17,0.45935822
2021-04-18,0.45738375
2021-04-19,0.45688874
2021-04-20,0.4506927
2021-04-21,0.47298673
2021-04-22,0.4503412
2021-04-23,0.4452383
2021-04-24,0.41967008
2021-04-25,0.3993057
2021-04-26,0.38187772
2021-04-27,0.360879
2021-04-28,0.38082153
2021-04-29,0.3791328
2021-04-30,0.387645
2021-05-01,0.3962942
2021-05-02,0.3852006
2021-05-03,0.38527876
2021-05-04,0.37857366
2021-05-05,0.3830477
2021-05-06,0.37956917
2021-05-07,0.3887236
2021-05-08,0.39213488
2021-05-09,0.39104497
2021-05-10,0.39312884
2021-05-11,0.38875407
2021-05-12,0.43323168
2021-05-13,0.5517639
2021-05-14,0.5893237
2021-05-15,0.6188785
2021-05-16,0.6186948
2021-05-17,0.604273
2021-05-18,0.6048519
2021-05-19,0.61966604
2021-05-20,0.5951507
2021-05-21,0.5916647
2021-05-22,0.5785188
2021-05-23,0.5799556
2021-05-24,0.58605856
2021-05-25,0.5881348
2021-05-26,0.57659376
2021-05-27,0.5767565
2021-05-28,0.59764224
2021-05-29,0.5876527
2021-05-30,0.5822257
2021-05-31,0.5838788
2021-06-01,0.57711554
2021-06-02,0.562373
2021-06-03,0.5633151
2021-06-04,0.5641931
2021-06-05,0.5580102
2021-06-06,0.5556611
2021-06-07,0.55644035
2021-06-08,0.55029154
2021-06-09,0.55413675
2021-06-10,0.53680015
2021-06-11,0.48506224
2021-06-12,0.43202698
2021-06-13,0.39201996
2021-06-14,0.37366956
2021-06-15,0.3577547
2021-06-16,0.35538775
2021-06-17,0.32350194
2021-06-18,0.37295607
2021-06-19,0.4054878
2021-06-20,0.42074147
2021-06-21,0.44355798
2021-06-22,0.45851117
2021-06-23,0.45274913
2021-06-24,0.45295256
2021-06-25,0.46342516
2021-06-26,0.4254896
2021-06-27,0.43038315
2021-06-28,0.43689197
2021-06-29,0.43288794
2021-06-30,0.43331584
2021-07-01,0.4474206
2021-07-02,0.4466002
2021-07-03,0.44651124
2021-07-04,0.44964635
2021-07-05,0.4558154
2021-07-06,0.45561394
2021-07-07,0.45965594
2021-07-08,0.47935337
2021-07-09,0.49719536
2021-07-10,0.54353666
2021-07-11,0.5336363
2021-07-12,0.52901256
2021-07-13,0.5306293
2021-07-14,0.54357594
2021-07-15,0.5382446
2021-07-16,0.5210473
2021-07-17,0.49204427
2021-07-18,0.5099422
2021-07-19,0.529073
2021-07-20,0.54548717
2021-07-21,0.6154512
2021-07-22,0.6288679
2021-07-23,0.6117389
2021-07-24,0.6004857
2021-07-25,0.6012861
2021-07-26,0.6052488
2021-07-27,0.6078394
2021-07-28,0.60762966
2021-07-29,0.60702014
2021-07-30,0.6064043
2021-07-31,0.59857696
2021-08-01,0.6009335
2021-08-02,0.5986832
2021-08-03,0.6021481
2021-08-04,0.6140268
2021-08-05,0.62697655
2021-08-06,0.59682524
2021-08-07,0.5615886
2021-08-08,0.56750387
2021-08-09,0.5704944
2021-08-10,0.5680156
2021-08-11,0.57030517
2021-08-12,0.5969727
2021-08-13,0.5946963
2021-08-14,0.58291215
2021-08-15,0.5611291
2021-08-16,0.5410809
2021-08-17,0.5171036
2021-08-18,0.46529943
2021-08-19,0.4346297
2021-08-20,0.43033707
2021-08-21,0.4305234
2021-08-22,0.43166196
2021-08-23,0.43496606
2021-08-24,0.43574855
2021-08-25,0.43478572
2021-08-26,0.44203007
2021-08-27,0.43343338
2021-08-28,0.44177815
2021-08-29,0.4385209
2021-08-30,0.4375173
2021-08-31,0.43012816
2021-09-01,0.40095055
2021-09-02,0.35924682
2021-09-03,0.3841179
2021-09-04,0.38934696
2021-09-05,0.40223658
2021-09-06,0.4197025
2021-09-07,0.42925283
2021-09-08,0.44655073
2021-09-09,0.42722493
2021-09-10,0.3974426
2021-09-11,0.40400973
2021-09-12,0.40495732
2021-09-13,0.40694863
2021-09-14,0.4035174
2021-09-15,0.43473178
2021-09-16,0.43213683
2021-09-17,0.4149993
2021-09-18,0.43070582
2021-09-19,0.4446398
2021-09-20,0.4602302
2021-09-21,0.47609988
2021-09-22,0.46324205
2021-09-23,0.46961078
2021-09-24,0.5093785
2021-09-25,0.5011664
2021-09-26,0.49229005
2021-09-27,0.49173728
2021-09-28,0.49137565
2021-09-29,0.51568574
2021-09-30,0.5125189
2021-10-01,0.5872727
2021-10-02,0.60089886
2021-10-03,0.5875949
2021-10-04,0.5817001
2021-10-05,0.58368677
2021-10-06,0.5521874
2021-10-07,0.5558002
2021-10-08,0.56381345
2021-10-09,0.55910784
2021-10-10,0.56128705
2021-10-11,0.5669729
2021-10-12,0.56987244
2021-10-13,0.5442272
2021-10-14,0.5247831
2021-10-15,0.57890195
2021-10-16,0.5725474
2021-10-17,0.5571971
2021-10-18,0.54844594
2021-10-19,0.5353427
2021-10-20,0.53873956
2021-10-21,0.53478193
2021-10-22,0.49615788
2021-10-23,0.4999109
2021-10-24,0.5001302
2021-10-25,0.4992773
2021-10-26,0.4987022
2021-10-27,0.48413247
2021-10-28,0.51102996
2021-10-29,0.46199208
2021-10-30,0.4323417
2021-10-31,0.4273354
2021-11-01,0.43325633
2021-11-02,0.42917454
2021-11-03,0.40674737
2021-11-04,0.40364468
2021-11-05,0.39463967
2021-11-06,0.41516256
2021-11-07,0.4099589
2021-11-08,0.40701884
2021-11-09,0.40074155
2021-11-10,0.40115
2021-11-11,0.40743104
2021-11-12,0.3314157
2021-11-13,0.32490396
2021-11-14,0.3303752
2021-11-15,0.3330293
2021-11-16,0.33066982
