,0
2021-01-01,0.49982154
2021-01-02,0.5146634
2021-01-03,0.52017283
2021-01-04,0.5131855
2021-01-05,0.5124219
2021-01-06,0.5091989
2021-01-07,0.6669745
2021-01-08,0.72090065
2021-01-09,0.7140073
2021-01-10,0.70006156
2021-01-11,0.7021801
2021-01-12,0.6972209
2021-01-13,0.7183028
2021-01-14,0.70438576
2021-01-15,0.6653357
2021-01-16,0.66683775
2021-01-17,0.6633698
2021-01-18,0.65694064
2021-01-19,0.6402914
2021-01-20,0.6603109
2021-01-21,0.6552525
2021-01-22,0.66108626
2021-01-23,0.65601104
2021-01-24,0.6511459
2021-01-25,0.6538942
2021-01-26,0.66325974
2021-01-27,0.67861265
2021-01-28,0.7469167
2021-01-29,0.79075885
2021-01-30,0.8068395
2021-01-31,0.81351167
2021-02-01,0.81076425
2021-02-02,0.79286283
2021-02-03,0.7794021
2021-02-04,0.7515973
2021-02-05,0.6361171
2021-02-06,0.6294044
2021-02-07,0.62988776
2021-02-08,0.63140196
2021-02-09,0.62818813
2021-02-10,0.62098736
2021-02-11,0.61289656
2021-02-12,0.6049954
2021-02-13,0.6112901
2021-02-14,0.6073852
2021-02-15,0.60407263
2021-02-16,0.6048281
2021-02-17,0.59895366
2021-02-18,0.586367
2021-02-19,0.5901627
2021-02-20,0.60246843
2021-02-21,0.60014117
2021-02-22,0.60131586
2021-02-23,0.6081891
2021-02-24,0.58000433
2021-02-25,0.5796572
2021-02-26,0.5397234
2021-02-27,0.52723217
2021-02-28,0.5258297
2021-03-01,0.544212
2021-03-02,0.54745054
2021-03-03,0.5367749
2021-03-04,0.5539701
2021-03-05,0.5776977
2021-03-06,0.6344737
2021-03-07,0.63760155
2021-03-08,0.63961786
2021-03-09,0.6207434
2021-03-10,0.62630254
2021-03-11,0.6401694
2021-03-12,0.64255494
2021-03-13,0.6559674
2021-03-14,0.6413781
2021-03-15,0.638567
2021-03-16,0.6242624
2021-03-17,0.6355408
2021-03-18,0.6317708
2021-03-19,0.62387586
2021-03-20,0.60881156
2021-03-21,0.6039537
2021-03-22,0.5870934
2021-03-23,0.59224844
2021-03-24,0.62570906
2021-03-25,0.6353721
2021-03-26,0.6144838
2021-03-27,0.6282172
2021-03-28,0.6220187
2021-03-29,0.60210764
2021-03-30,0.5854594
2021-03-31,0.5911265
2021-04-01,0.57705057
2021-04-02,0.53444034
2021-04-03,0.53383064
2021-04-04,0.52612364
2021-04-05,0.5131754
2021-04-06,0.50062966
2021-04-07,0.4976578
2021-04-08,0.48504037
2021-04-09,0.4804078
