,0
2021-01-01,0.51160926
2021-01-02,0.5100731
2021-01-03,0.5020113
2021-01-04,0.5068818
2021-01-05,0.51328087
2021-01-06,0.52535653
2021-01-07,0.6721651
2021-01-08,0.7484066
2021-01-09,0.767264
2021-01-10,0.7424683
2021-01-11,0.7289392
2021-01-12,0.72276443
2021-01-13,0.7321832
2021-01-14,0.738371
2021-01-15,0.7064435
2021-01-16,0.7137098
2021-01-17,0.7074937
2021-01-18,0.7126645
2021-01-19,0.70386046
2021-01-20,0.7149271
2021-01-21,0.7149651
2021-01-22,0.7132891
2021-01-23,0.7128103
2021-01-24,0.71145886
2021-01-25,0.7176547
2021-01-26,0.7176346
2021-01-27,0.74052155
2021-01-28,0.8016245
2021-01-29,0.85661685
2021-01-30,0.8789755
2021-01-31,0.8845607
2021-02-01,0.8754922
2021-02-02,0.87351704
2021-02-03,0.87160647
2021-02-04,0.83315504
2021-02-05,0.7168769
2021-02-06,0.6725071
2021-02-07,0.67283934
2021-02-08,0.69375354
2021-02-09,0.70231926
2021-02-10,0.7105645
2021-02-11,0.7000478
2021-02-12,0.6808318
2021-02-13,0.68061274
2021-02-14,0.67980933
2021-02-15,0.68490696
2021-02-16,0.6773049
2021-02-17,0.67646754
2021-02-18,0.6608546
2021-02-19,0.66359925
2021-02-20,0.6786494
2021-02-21,0.6878928
2021-02-22,0.6865642
2021-02-23,0.67860776
2021-02-24,0.6710861
2021-02-25,0.648367
2021-02-26,0.6282228
2021-02-27,0.60405433
2021-02-28,0.60660595
2021-03-01,0.61885875
2021-03-02,0.6392219
2021-03-03,0.63569075
2021-03-04,0.6321705
2021-03-05,0.664076
2021-03-06,0.7039108
2021-03-07,0.728841
2021-03-08,0.7255244
2021-03-09,0.7137482
2021-03-10,0.70608014
2021-03-11,0.72272444
2021-03-12,0.73395157
2021-03-13,0.7374218
2021-03-14,0.7353947
2021-03-15,0.72998637
2021-03-16,0.72125965
2021-03-17,0.72245854
2021-03-18,0.73133814
2021-03-19,0.7377877
2021-03-20,0.71475804
2021-03-21,0.70003134
2021-03-22,0.69517833
2021-03-23,0.6982619
2021-03-24,0.73858666
2021-03-25,0.75886524
2021-03-26,0.7363956
2021-03-27,0.74366677
2021-03-28,0.73627293
2021-03-29,0.7183999
2021-03-30,0.69292337
2021-03-31,0.6850574
2021-04-01,0.6740305
2021-04-02,0.6402322
2021-04-03,0.6214012
2021-04-04,0.61240095
2021-04-05,0.6041507
2021-04-06,0.59449106
2021-04-07,0.5750556
2021-04-08,0.58772486
2021-04-09,0.57715213
2021-04-10,0.5760391
2021-04-11,0.5751505
2021-04-12,0.5771064
2021-04-13,0.5782448
2021-04-14,0.5807556
2021-04-15,0.57714117
2021-04-16,0.58472466
2021-04-17,0.6014484
2021-04-18,0.60077953
2021-04-19,0.6018467
2021-04-20,0.59792185
2021-04-21,0.60393244
2021-04-22,0.6002806
2021-04-23,0.6191981
2021-04-24,0.6291158
2021-04-25,0.62351674
2021-04-26,0.59540135
2021-04-27,0.56170213
2021-04-28,0.5536324
2021-04-29,0.5540957
2021-04-30,0.5654008
2021-05-01,0.5666123
2021-05-02,0.57258344
2021-05-03,0.5723182
2021-05-04,0.57710654
2021-05-05,0.5875708
2021-05-06,0.5773641
2021-05-07,0.5856308
2021-05-08,0.58257914
2021-05-09,0.58508486
2021-05-10,0.58364075
2021-05-11,0.58597517
2021-05-12,0.5859143
2021-05-13,0.6420684
2021-05-14,0.67698056
2021-05-15,0.68282163
2021-05-16,0.67892814
2021-05-17,0.67579323
2021-05-18,0.677849
2021-05-19,0.68068874
2021-05-20,0.6782435
2021-05-21,0.64394593
2021-05-22,0.61178786
2021-05-23,0.60056305
2021-05-24,0.60307235
2021-05-25,0.60859823
2021-05-26,0.6166917
2021-05-27,0.61989033
2021-05-28,0.6190384
2021-05-29,0.60683507
2021-05-30,0.59985936
2021-05-31,0.60097814
2021-06-01,0.6017788
2021-06-02,0.6055705
2021-06-03,0.6000188
2021-06-04,0.5768666
2021-06-05,0.56188005
2021-06-06,0.56312734
2021-06-07,0.5659521
2021-06-08,0.5707956
2021-06-09,0.5661366
2021-06-10,0.56479937
2021-06-11,0.50635815
2021-06-12,0.45037928
2021-06-13,0.43183115
2021-06-14,0.43957242
2021-06-15,0.45021084
2021-06-16,0.4455618
2021-06-17,0.44248182
2021-06-18,0.4720785
2021-06-19,0.5211482
2021-06-20,0.54489845
2021-06-21,0.5605118
2021-06-22,0.5676245
2021-06-23,0.56409186
2021-06-24,0.55373746
2021-06-25,0.55083984
2021-06-26,0.5480162
2021-06-27,0.5465458
2021-06-28,0.54767984
2021-06-29,0.5445039
2021-06-30,0.5230104
2021-07-01,0.50381947
2021-07-02,0.5052994
2021-07-03,0.50859874
2021-07-04,0.5126144
2021-07-05,0.51405466
2021-07-06,0.5187682
2021-07-07,0.5224745
2021-07-08,0.54071176
2021-07-09,0.5666449
2021-07-10,0.5997469
2021-07-11,0.6119382
2021-07-12,0.61328566
2021-07-13,0.6053448
2021-07-14,0.5943656
2021-07-15,0.58825046
2021-07-16,0.5721015
2021-07-17,0.54184705
2021-07-18,0.5349813
2021-07-19,0.54554003
2021-07-20,0.5591144
2021-07-21,0.5535772
2021-07-22,0.556884
2021-07-23,0.5559122
2021-07-24,0.5597008
2021-07-25,0.5629171
2021-07-26,0.5669391
2021-07-27,0.57200295
2021-07-28,0.576084
2021-07-29,0.5748312
2021-07-30,0.5827691
2021-07-31,0.5873017
2021-08-01,0.5915623
2021-08-02,0.5986944
2021-08-03,0.6035815
2021-08-04,0.5919833
2021-08-05,0.5826052
2021-08-06,0.55948114
2021-08-07,0.53425187
2021-08-08,0.53002375
2021-08-09,0.53120047
2021-08-10,0.53273314
2021-08-11,0.55107486
2021-08-12,0.5779703
2021-08-13,0.59042263
2021-08-14,0.56674844
2021-08-15,0.5307252
2021-08-16,0.50265104
2021-08-17,0.48102167
2021-08-18,0.47825953
2021-08-19,0.48103195
2021-08-20,0.4946073
2021-08-21,0.4975007
2021-08-22,0.497366
2021-08-23,0.4959486
2021-08-24,0.49495876
2021-08-25,0.50181186
2021-08-26,0.50490826
2021-08-27,0.49614197
2021-08-28,0.5093053
2021-08-29,0.5117595
2021-08-30,0.5058644
2021-08-31,0.49861333
2021-09-01,0.48655957
2021-09-02,0.4700543
2021-09-03,0.4696967
2021-09-04,0.4516436
2021-09-05,0.44153035
2021-09-06,0.4421605
2021-09-07,0.445918
2021-09-08,0.44826654
2021-09-09,0.4329488
2021-09-10,0.40222794
2021-09-11,0.3888891
2021-09-12,0.38835457
2021-09-13,0.39194065
2021-09-14,0.39330307
2021-09-15,0.40476847
2021-09-16,0.40691483
2021-09-17,0.4039037
2021-09-18,0.4484523
2021-09-19,0.49069226
2021-09-20,0.52623194
2021-09-21,0.5536828
2021-09-22,0.5503887
2021-09-23,0.5501413
2021-09-24,0.5669959
2021-09-25,0.57280034
2021-09-26,0.57163715
2021-09-27,0.5643696
2021-09-28,0.5549013
2021-09-29,0.56804353
2021-09-30,0.5736253
2021-10-01,0.6017906
2021-10-02,0.6342697
2021-10-03,0.64138955
2021-10-04,0.63705105
2021-10-05,0.63159263
2021-10-06,0.63414687
2021-10-07,0.6306319
2021-10-08,0.64678496
2021-10-09,0.65044737
2021-10-10,0.6518826
2021-10-11,0.64868313
2021-10-12,0.6469448
2021-10-13,0.63299906
2021-10-14,0.6254394
2021-10-15,0.6600911
2021-10-16,0.6356786
2021-10-17,0.6086007
2021-10-18,0.5714411
2021-10-19,0.5476798
2021-10-20,0.54492176
2021-10-21,0.5451636
2021-10-22,0.5279297
2021-10-23,0.5179625
2021-10-24,0.5186226
2021-10-25,0.5200147
2021-10-26,0.52475065
2021-10-27,0.5053064
2021-10-28,0.5242175
2021-10-29,0.51235974
2021-10-30,0.48332328
2021-10-31,0.46737468
2021-11-01,0.4660759
2021-11-02,0.47117567
2021-11-03,0.47844267
2021-11-04,0.4979883
2021-11-05,0.47552007
2021-11-06,0.47274727
2021-11-07,0.4772427
2021-11-08,0.49111485
2021-11-09,0.49989784
2021-11-10,0.5094175
2021-11-11,0.5049445
2021-11-12,0.4361679
2021-11-13,0.42186388
2021-11-14,0.41600913
2021-11-15,0.42908752
2021-11-16,0.43194827
2021-11-17,0.43070436
2021-11-18,0.42365658
