,0
2021-01-01,0.59861434
2021-01-02,0.63014233
2021-01-03,0.66950405
2021-01-04,0.7210636
2021-01-05,0.74749315
2021-01-06,0.7116492
2021-01-07,0.6978702
2021-01-08,0.6951584
2021-01-09,0.69781077
2021-01-10,0.70805764
2021-01-11,0.71854866
2021-01-12,0.7321377
2021-01-13,0.72955596
2021-01-14,0.74490654
2021-01-15,0.70828503
2021-01-16,0.73671424
2021-01-17,0.7338433
2021-01-18,0.731634
2021-01-19,0.7312635
2021-01-20,0.7277232
2021-01-21,0.7402107
2021-01-22,0.68423545
2021-01-23,0.67877936
2021-01-24,0.6782487
2021-01-25,0.67746085
2021-01-26,0.6782676
2021-01-27,0.6795265
2021-01-28,0.6894761
2021-01-29,0.68408084
2021-01-30,0.6948929
2021-01-31,0.70826477
2021-02-01,0.7222431
2021-02-02,0.73744166
2021-02-03,0.6214529
2021-02-04,0.5963334
2021-02-05,0.60745424
2021-02-06,0.6148699
2021-02-07,0.61035645
2021-02-08,0.60142124
2021-02-09,0.5952895
2021-02-10,0.5506048
2021-02-11,0.556477
2021-02-12,0.5344137
2021-02-13,0.5331485
2021-02-14,0.53344464
2021-02-15,0.5272893
2021-02-16,0.5216811
2021-02-17,0.515345
2021-02-18,0.5043481
2021-02-19,0.4259429
2021-02-20,0.43123284
2021-02-21,0.44524854
2021-02-22,0.4463548
2021-02-23,0.44540486
2021-02-24,0.42992353
2021-02-25,0.40817767
2021-02-26,0.4344927
2021-02-27,0.4926929
2021-02-28,0.48355964
2021-03-01,0.4748013
2021-03-02,0.4693272
2021-03-03,0.38478017
2021-03-04,0.4054547
2021-03-05,0.42032382
2021-03-06,0.441319
2021-03-07,0.4414754
2021-03-08,0.44106716
2021-03-09,0.44244254
2021-03-10,0.46548912
2021-03-11,0.47535035
2021-03-12,0.50379676
2021-03-13,0.55759627
2021-03-14,0.5661256
2021-03-15,0.5728478
2021-03-16,0.57584476
2021-03-17,0.5515007
2021-03-18,0.552552
2021-03-19,0.55953985
2021-03-20,0.5929832
2021-03-21,0.5836451
2021-03-22,0.5793555
2021-03-23,0.5785884
2021-03-24,0.57689726
2021-03-25,0.57488966
2021-03-26,0.5428141
2021-03-27,0.583129
2021-03-28,0.5833612
2021-03-29,0.58382785
2021-03-30,0.5854152
2021-03-31,0.581408
2021-04-01,0.55892646
2021-04-02,0.5878397
2021-04-03,0.58375746
2021-04-04,0.57964885
2021-04-05,0.5753112
2021-04-06,0.57266986
2021-04-07,0.570502
2021-04-08,0.5529907
2021-04-09,0.5445993
2021-04-10,0.50695485
2021-04-11,0.4962492
2021-04-12,0.48527965
2021-04-13,0.4704771
2021-04-14,0.451838
2021-04-15,0.45513675
2021-04-16,0.5305765
2021-04-17,0.51456475
2021-04-18,0.50395536
2021-04-19,0.49404296
2021-04-20,0.4846624
2021-04-21,0.5058614
2021-04-22,0.5056706
2021-04-23,0.506585
2021-04-24,0.50101566
2021-04-25,0.46867612
2021-04-26,0.42698106
2021-04-27,0.38507637
2021-04-28,0.38718113
2021-04-29,0.38899314
2021-04-30,0.40302587
2021-05-01,0.35607052
2021-05-02,0.35682863
2021-05-03,0.36089095
2021-05-04,0.36192185
2021-05-05,0.36777657
2021-05-06,0.4135119
2021-05-07,0.4116056
2021-05-08,0.43943855
2021-05-09,0.43750584
2021-05-10,0.43635768
2021-05-11,0.43675095
2021-05-12,0.45465124
2021-05-13,0.5548014
2021-05-14,0.51400745
2021-05-15,0.530505
2021-05-16,0.5301894
2021-05-17,0.52975327
2021-05-18,0.5307779
2021-05-19,0.5100529
2021-05-20,0.508211
2021-05-21,0.5299345
2021-05-22,0.5242239
2021-05-23,0.53038776
2021-05-24,0.5368372
2021-05-25,0.5441575
2021-05-26,0.5441352
2021-05-27,0.5411235
2021-05-28,0.53131455
2021-05-29,0.5309905
2021-05-30,0.5405501
2021-05-31,0.5507573
2021-06-01,0.5623565
2021-06-02,0.572737
2021-06-03,0.5966452
2021-06-04,0.55890834
2021-06-05,0.5570024
2021-06-06,0.55448765
2021-06-07,0.5514137
2021-06-08,0.54961604
2021-06-09,0.5514646
2021-06-10,0.53152376
2021-06-11,0.45381528
2021-06-12,0.42362443
2021-06-13,0.4226174
2021-06-14,0.42090696
2021-06-15,0.41692054
2021-06-16,0.43436033
2021-06-17,0.4464142
2021-06-18,0.44559819
2021-06-19,0.46524745
2021-06-20,0.47516426
2021-06-21,0.4839576
2021-06-22,0.4943239
2021-06-23,0.47856265
2021-06-24,0.47703615
2021-06-25,0.4805693
2021-06-26,0.48890808
2021-06-27,0.4865808
2021-06-28,0.48414358
2021-06-29,0.48284566
2021-06-30,0.43466073
2021-07-01,0.405603
2021-07-02,0.4086472
2021-07-03,0.41614676
2021-07-04,0.4163963
2021-07-05,0.41500318
2021-07-06,0.4146173
2021-07-07,0.41462836
2021-07-08,0.4128748
2021-07-09,0.41438073
2021-07-10,0.42934734
2021-07-11,0.43087062
2021-07-12,0.4326353
2021-07-13,0.4352258
2021-07-14,0.45930725
2021-07-15,0.45620462
2021-07-16,0.44257295
2021-07-17,0.44079593
2021-07-18,0.44062212
2021-07-19,0.44004583
2021-07-20,0.4402889
2021-07-21,0.46522686
2021-07-22,0.46277076
2021-07-23,0.47054732
2021-07-24,0.48189163
2021-07-25,0.47845888
2021-07-26,0.4755907
2021-07-27,0.4731213
2021-07-28,0.48540497
2021-07-29,0.4929682
2021-07-30,0.47965372
2021-07-31,0.47891012
2021-08-01,0.47794086
2021-08-02,0.4766435
2021-08-03,0.47582895
2021-08-04,0.4646387
2021-08-05,0.4613463
2021-08-06,0.47209415
2021-08-07,0.4438846
