,0
2021-01-01,0.4407174
2021-01-02,0.41049305
2021-01-03,0.41621068
2021-01-04,0.44672874
2021-01-05,0.45108077
2021-01-06,0.45421973
2021-01-07,0.458403
2021-01-08,0.4867434
2021-01-09,0.45752105
2021-01-10,0.47251317
2021-01-11,0.48640007
2021-01-12,0.48103446
2021-01-13,0.51989317
2021-01-14,0.53310865
2021-01-15,0.53486836
2021-01-16,0.5316115
2021-01-17,0.53632647
2021-01-18,0.5433323
2021-01-19,0.54513294
2021-01-20,0.57016057
2021-01-21,0.6702856
2021-01-22,0.67025876
2021-01-23,0.65226144
2021-01-24,0.64538705
2021-01-25,0.6308845
2021-01-26,0.65363497
2021-01-27,0.6843099
2021-01-28,0.7509768
2021-01-29,0.7561504
2021-01-30,0.7789055
2021-01-31,0.7823674
2021-02-01,0.7803797
2021-02-02,0.8029749
2021-02-03,0.8098185
2021-02-04,0.8261774
2021-02-05,0.82485884
2021-02-06,0.8255661
2021-02-07,0.8276266
2021-02-08,0.8207767
2021-02-09,0.84167665
2021-02-10,0.8054224
2021-02-11,0.78660446
2021-02-12,0.796576
2021-02-13,0.8002371
2021-02-14,0.80020213
2021-02-15,0.7973593
2021-02-16,0.8167133
2021-02-17,0.790226
2021-02-18,0.7489896
2021-02-19,0.68219054
2021-02-20,0.69236046
2021-02-21,0.69906354
2021-02-22,0.7000634
2021-02-23,0.69584
2021-02-24,0.6821711
2021-02-25,0.6445277
2021-02-26,0.5862602
2021-02-27,0.5770614
2021-02-28,0.5932133
2021-03-01,0.5984098
2021-03-02,0.5889967
2021-03-03,0.57861036
2021-03-04,0.5746139
2021-03-05,0.5521945
2021-03-06,0.5993963
2021-03-07,0.6041758
2021-03-08,0.6042485
2021-03-09,0.59284174
2021-03-10,0.61773545
2021-03-11,0.62374306
2021-03-12,0.6568518
2021-03-13,0.6561162
2021-03-14,0.65927565
2021-03-15,0.66429
2021-03-16,0.6501106
2021-03-17,0.65937406
2021-03-18,0.6601239
2021-03-19,0.68589455
2021-03-20,0.6916223
2021-03-21,0.69587165
2021-03-22,0.6970923
2021-03-23,0.67765635
2021-03-24,0.691557
2021-03-25,0.7410278
2021-03-26,0.7167194
2021-03-27,0.72804415
2021-03-28,0.719107
2021-03-29,0.71085143
2021-03-30,0.66044307
2021-03-31,0.67692775
2021-04-01,0.6671339
2021-04-02,0.6905867
2021-04-03,0.6892785
2021-04-04,0.70245093
2021-04-05,0.694448
2021-04-06,0.6720848
2021-04-07,0.66858804
2021-04-08,0.6660393
2021-04-09,0.65865606
2021-04-10,0.6352886
2021-04-11,0.63314706
2021-04-12,0.6291985
2021-04-13,0.6042286
2021-04-14,0.60307145
2021-04-15,0.6069311
2021-04-16,0.632201
2021-04-17,0.601442
2021-04-18,0.60008556
2021-04-19,0.59211946
2021-04-20,0.58032805
2021-04-21,0.58647704
2021-04-22,0.58153933
2021-04-23,0.50857186
2021-04-24,0.5205567
2021-04-25,0.51140946
2021-04-26,0.49942943
2021-04-27,0.47998375
2021-04-28,0.48602703
2021-04-29,0.49736008
2021-04-30,0.58437246
2021-05-01,0.5749366
2021-05-02,0.55685735
2021-05-03,0.5427201
2021-05-04,0.5292585
2021-05-05,0.534937
2021-05-06,0.5398586
2021-05-07,0.55931735
2021-05-08,0.56846964
2021-05-09,0.5799375
2021-05-10,0.59483
2021-05-11,0.6082377
2021-05-12,0.61040944
2021-05-13,0.632586
2021-05-14,0.62848115
2021-05-15,0.6726088
2021-05-16,0.6761539
2021-05-17,0.6789676
2021-05-18,0.6760696
2021-05-19,0.70522887
2021-05-20,0.7145298
2021-05-21,0.7495501
2021-05-22,0.7182102
2021-05-23,0.72971743
2021-05-24,0.74919456
2021-05-25,0.77565855
2021-05-26,0.78378576
2021-05-27,0.7605086
2021-05-28,0.6724627
2021-05-29,0.65743345
2021-05-30,0.6640066
2021-05-31,0.6588857
2021-06-01,0.6740031
2021-06-02,0.66496557
