,0
2021-01-01,0.40143672
2021-01-02,0.39291325
2021-01-03,0.40036553
2021-01-04,0.41295296
2021-01-05,0.42562187
2021-01-06,0.43272215
2021-01-07,0.42746824
2021-01-08,0.4493918
2021-01-09,0.44414726
2021-01-10,0.4491052
2021-01-11,0.46648672
2021-01-12,0.487074
2021-01-13,0.519114
2021-01-14,0.53006816
2021-01-15,0.5296203
2021-01-16,0.5241296
2021-01-17,0.5291464
2021-01-18,0.54402846
2021-01-19,0.5534229
2021-01-20,0.5657745
2021-01-21,0.65555376
2021-01-22,0.6934627
2021-01-23,0.6854678
2021-01-24,0.6764115
2021-01-25,0.66621107
2021-01-26,0.6705504
2021-01-27,0.6847564
2021-01-28,0.75364983
2021-01-29,0.77661484
2021-01-30,0.7999776
2021-01-31,0.8185954
2021-02-01,0.82461065
2021-02-02,0.83245575
2021-02-03,0.828639
2021-02-04,0.84240294
2021-02-05,0.8453428
2021-02-06,0.8467044
2021-02-07,0.84187907
2021-02-08,0.8397931
2021-02-09,0.8364521
2021-02-10,0.81881267
2021-02-11,0.7966159
2021-02-12,0.78410196
2021-02-13,0.7829071
2021-02-14,0.78704435
2021-02-15,0.7850913
2021-02-16,0.7872078
2021-02-17,0.78502715
2021-02-18,0.76252335
2021-02-19,0.68536013
2021-02-20,0.6507114
2021-02-21,0.65197766
2021-02-22,0.6566908
2021-02-23,0.6645434
2021-02-24,0.65892
2021-02-25,0.64847004
2021-02-26,0.5900202
2021-02-27,0.5655544
2021-02-28,0.57343215
2021-03-01,0.58762425
2021-03-02,0.6062965
2021-03-03,0.5862709
2021-03-04,0.57352376
2021-03-05,0.5505972
2021-03-06,0.59081894
2021-03-07,0.6184551
2021-03-08,0.6205613
2021-03-09,0.6238859
2021-03-10,0.630961
2021-03-11,0.6383324
2021-03-12,0.65924746
2021-03-13,0.67383486
2021-03-14,0.67127806
2021-03-15,0.67141736
2021-03-16,0.6759018
2021-03-17,0.68301994
2021-03-18,0.68555945
2021-03-19,0.70299333
2021-03-20,0.7109373
2021-03-21,0.71137065
2021-03-22,0.71192753
2021-03-23,0.7082922
2021-03-24,0.70996547
2021-03-25,0.7584153
2021-03-26,0.7553802
2021-03-27,0.73972017
2021-03-28,0.72582495
2021-03-29,0.6999695
2021-03-30,0.68828183
2021-03-31,0.66994745
2021-04-01,0.6559244
2021-04-02,0.66479087
2021-04-03,0.67557263
2021-04-04,0.67873496
2021-04-05,0.6762123
2021-04-06,0.66867876
2021-04-07,0.6550028
2021-04-08,0.6443974
2021-04-09,0.6382638
2021-04-10,0.6087611
2021-04-11,0.59151953
2021-04-12,0.5929937
2021-04-13,0.59283626
