,0
2021-01-01,0.52648336
2021-01-02,0.54087013
2021-01-03,0.5608996
2021-01-04,0.5832622
2021-01-05,0.60148394
2021-01-06,0.5841141
2021-01-07,0.6569017
2021-01-08,0.68493813
2021-01-09,0.6951883
2021-01-10,0.69346094
2021-01-11,0.697317
2021-01-12,0.7022402
2021-01-13,0.703025
2021-01-14,0.7448501
2021-01-15,0.6941545
2021-01-16,0.6866019
2021-01-17,0.68544996
2021-01-18,0.6884881
2021-01-19,0.6889049
2021-01-20,0.6870219
2021-01-21,0.6818759
2021-01-22,0.6339281
2021-01-23,0.633606
2021-01-24,0.6489772
2021-01-25,0.6659185
2021-01-26,0.67988247
2021-01-27,0.6850761
2021-01-28,0.76768875
2021-01-29,0.78227407
2021-01-30,0.7790401
2021-01-31,0.7692703
2021-02-01,0.764928
2021-02-02,0.7596805
2021-02-03,0.695514
2021-02-04,0.6976665
2021-02-05,0.6230726
2021-02-06,0.6148083
2021-02-07,0.61559576
2021-02-08,0.61443543
2021-02-09,0.60961545
2021-02-10,0.5984734
2021-02-11,0.59683025
2021-02-12,0.5514843
2021-02-13,0.5585281
2021-02-14,0.5612234
2021-02-15,0.5617001
2021-02-16,0.5573429
2021-02-17,0.5587642
2021-02-18,0.55768627
2021-02-19,0.5604652
2021-02-20,0.5914644
2021-02-21,0.6060365
2021-02-22,0.62644565
2021-02-23,0.6416406
2021-02-24,0.5931122
2021-02-25,0.60234916
2021-02-26,0.49961722
2021-02-27,0.54216236
2021-02-28,0.56518215
2021-03-01,0.58492905
2021-03-02,0.6019628
2021-03-03,0.597772
2021-03-04,0.60861266
2021-03-05,0.6065352
2021-03-06,0.630828
2021-03-07,0.6369598
2021-03-08,0.6463288
2021-03-09,0.6555175
2021-03-10,0.67034346
2021-03-11,0.67426574
2021-03-12,0.67057097
2021-03-13,0.68940353
2021-03-14,0.6919496
2021-03-15,0.69883186
2021-03-16,0.7048271
2021-03-17,0.6852057
2021-03-18,0.71989113
2021-03-19,0.71238995
2021-03-20,0.6865319
2021-03-21,0.6772229
2021-03-22,0.66741335
2021-03-23,0.65206975
2021-03-24,0.67012405
2021-03-25,0.6506526
2021-03-26,0.6555224
2021-03-27,0.60553646
2021-03-28,0.5963649
2021-03-29,0.58287704
2021-03-30,0.5666453
2021-03-31,0.57621413
2021-04-01,0.567251
2021-04-02,0.56481075
2021-04-03,0.5608236
2021-04-04,0.55609554
2021-04-05,0.55015785
2021-04-06,0.5401882
2021-04-07,0.5143893
2021-04-08,0.4864923
2021-04-09,0.48277077
2021-04-10,0.48447466
2021-04-11,0.47586504
2021-04-12,0.46534362
2021-04-13,0.44868577
2021-04-14,0.44511425
2021-04-15,0.44866055
2021-04-16,0.42687625
2021-04-17,0.43580276
2021-04-18,0.43705404
2021-04-19,0.43954495
2021-04-20,0.4350666
2021-04-21,0.4534402
2021-04-22,0.42244124
2021-04-23,0.43689045
2021-04-24,0.41511062
2021-04-25,0.41736
2021-04-26,0.4208499
2021-04-27,0.41826314
2021-04-28,0.4063497
2021-04-29,0.39105767
2021-04-30,0.39900944
2021-05-01,0.41235724
2021-05-02,0.400428
2021-05-03,0.39325583
2021-05-04,0.3820626
2021-05-05,0.3802917
2021-05-06,0.44174477
2021-05-07,0.44820255
2021-05-08,0.44891945
2021-05-09,0.45349208
2021-05-10,0.4592105
2021-05-11,0.46732104
2021-05-12,0.46977404
2021-05-13,0.53613883
2021-05-14,0.57919776
2021-05-15,0.5991645
2021-05-16,0.5919033
2021-05-17,0.59095895
2021-05-18,0.59474045
2021-05-19,0.56900144
2021-05-20,0.5539675
2021-05-21,0.5558254
2021-05-22,0.5593204
2021-05-23,0.5583999
2021-05-24,0.56026256
2021-05-25,0.55955106
2021-05-26,0.5696629
2021-05-27,0.568377
2021-05-28,0.5640134
2021-05-29,0.56045556
2021-05-30,0.56143606
2021-05-31,0.56430745
2021-06-01,0.5638235
2021-06-02,0.56297374
2021-06-03,0.5638782
2021-06-04,0.5231648
2021-06-05,0.5179009
2021-06-06,0.51970136
2021-06-07,0.52010983
2021-06-08,0.51684445
2021-06-09,0.5061691
2021-06-10,0.49225387
2021-06-11,0.44871444
2021-06-12,0.38863188
2021-06-13,0.3493927
2021-06-14,0.32459512
2021-06-15,0.3132979
2021-06-16,0.3058266
2021-06-17,0.3636335
2021-06-18,0.3766766
2021-06-19,0.5023944
2021-06-20,0.492078
2021-06-21,0.49748552
2021-06-22,0.49507627
2021-06-23,0.5008635
2021-06-24,0.49426207
2021-06-25,0.4955983
2021-06-26,0.5083922
2021-06-27,0.50837255
2021-06-28,0.5129391
2021-06-29,0.5113177
2021-06-30,0.54389304
2021-07-01,0.53552395
2021-07-02,0.5451206
2021-07-03,0.5441917
2021-07-04,0.5451327
2021-07-05,0.5488104
2021-07-06,0.550153
2021-07-07,0.5497787
2021-07-08,0.54479176
2021-07-09,0.5352758
2021-07-10,0.529699
2021-07-11,0.52915823
2021-07-12,0.5307927
2021-07-13,0.52847767
2021-07-14,0.5342907
2021-07-15,0.54058194
2021-07-16,0.5264661
2021-07-17,0.5379233
2021-07-18,0.5176379
2021-07-19,0.49322113
2021-07-20,0.47043487
2021-07-21,0.46978396
2021-07-22,0.48507577
2021-07-23,0.46982673
2021-07-24,0.4957366
2021-07-25,0.4888674
2021-07-26,0.48282644
2021-07-27,0.47549063
2021-07-28,0.5199685
2021-07-29,0.48024923
2021-07-30,0.48497805
2021-07-31,0.47767782
2021-08-01,0.4812256
2021-08-02,0.48436424
2021-08-03,0.48582408
2021-08-04,0.48814607
2021-08-05,0.481015
2021-08-06,0.500465
2021-08-07,0.49908182
2021-08-08,0.4986226
2021-08-09,0.49947387
2021-08-10,0.49818268
2021-08-11,0.48794922
2021-08-12,0.49062827
2021-08-13,0.46842587
2021-08-14,0.4620374
2021-08-15,0.45044
2021-08-16,0.437914
2021-08-17,0.4241289
2021-08-18,0.41566902
2021-08-19,0.40032485
2021-08-20,0.39916712
2021-08-21,0.40286294
2021-08-22,0.41348976
2021-08-23,0.42493638
2021-08-24,0.43504393
2021-08-25,0.3798756
2021-08-26,0.37425113
2021-08-27,0.37560582
2021-08-28,0.36364555
2021-08-29,0.35931155
2021-08-30,0.35513124
2021-08-31,0.34721607
2021-09-01,0.34006542
2021-09-02,0.3764635
2021-09-03,0.36639312
2021-09-04,0.38285032
2021-09-05,0.39035085
2021-09-06,0.40176767
2021-09-07,0.40956917
2021-09-08,0.41897687
2021-09-09,0.47622567
2021-09-10,0.46356258
2021-09-11,0.4986448
2021-09-12,0.49396023
2021-09-13,0.49264175
2021-09-14,0.49146843
2021-09-15,0.4856433
2021-09-16,0.48413038
2021-09-17,0.49081677
2021-09-18,0.5316829
2021-09-19,0.52391
2021-09-20,0.52178514
2021-09-21,0.51925975
2021-09-22,0.493084
2021-09-23,0.4870703
2021-09-24,0.49009484
2021-09-25,0.48908237
2021-09-26,0.49546972
2021-09-27,0.5038529
2021-09-28,0.5102563
2021-09-29,0.53158486
2021-09-30,0.5565032
2021-10-01,0.53914875
2021-10-02,0.52952725
2021-10-03,0.5349387
2021-10-04,0.5420554
2021-10-05,0.54895043
2021-10-06,0.5241801
2021-10-07,0.5118358
2021-10-08,0.5112431
2021-10-09,0.48418456
2021-10-10,0.49961782
2021-10-11,0.5098193
2021-10-12,0.51922745
2021-10-13,0.5240084
2021-10-14,0.54343426
2021-10-15,0.554497
2021-10-16,0.51869524
2021-10-17,0.5207834
2021-10-18,0.5213428
2021-10-19,0.5208444
2021-10-20,0.54395306
2021-10-21,0.58038247
2021-10-22,0.5750608
2021-10-23,0.5761025
2021-10-24,0.56886405
2021-10-25,0.56420064
2021-10-26,0.55918115
2021-10-27,0.5414388
2021-10-28,0.52006483
2021-10-29,0.51936483
2021-10-30,0.5254863
2021-10-31,0.51589817
2021-11-01,0.5079492
2021-11-02,0.49593347
2021-11-03,0.49578527
2021-11-04,0.4565341
2021-11-05,0.45893848
2021-11-06,0.46761182
2021-11-07,0.46984765
2021-11-08,0.47200295
2021-11-09,0.4714571
2021-11-10,0.46811086
2021-11-11,0.45676935
2021-11-12,0.4392527
2021-11-13,0.43832803
2021-11-14,0.4425068
2021-11-15,0.44835156
2021-11-16,0.45038736
2021-11-17,0.42372078
2021-11-18,0.3735265
2021-11-19,0.38465172
2021-11-20,0.38979134
2021-11-21,0.3913228
2021-11-22,0.39311993
2021-11-23,0.39047152
2021-11-24,0.38515276
2021-11-25,0.3764163
2021-11-26,0.3983598
2021-11-27,0.41847804
2021-11-28,0.42760977
2021-11-29,0.44127017
2021-11-30,0.45160466
2021-12-01,0.5646365
2021-12-02,0.59612525
2021-12-03,0.61285937
2021-12-04,0.6127813
2021-12-05,0.61558014
2021-12-06,0.6232781
2021-12-07,0.6335801
2021-12-08,0.60900736
2021-12-09,0.6028933
2021-12-10,0.592268
2021-12-11,0.592007
2021-12-12,0.5983125
2021-12-13,0.6084849
2021-12-14,0.61635154
2021-12-15,0.5981713
2021-12-16,0.62598324
2021-12-17,0.6270504
2021-12-18,0.6506098
2021-12-19,0.6511191
2021-12-20,0.6569786
2021-12-21,0.65882903
2021-12-22,0.65341306
2021-12-23,0.65406215
2021-12-24,0.6534151
2021-12-25,0.647581
2021-12-26,0.641182
2021-12-27,0.6349371
2021-12-28,0.6216097
