,0
2021-01-01,0.29269257
2021-01-02,0.30661607
2021-01-03,0.31605572
2021-01-04,0.31365773
2021-01-05,0.3073359
2021-01-06,0.30673984
2021-01-07,0.2965429
2021-01-08,0.28482953
2021-01-09,0.27961025
2021-01-10,0.29114625
2021-01-11,0.3013302
2021-01-12,0.32290018
2021-01-13,0.32063502
2021-01-14,0.31379607
2021-01-15,0.30604947
2021-01-16,0.3155202
2021-01-17,0.3221056
2021-01-18,0.34344345
2021-01-19,0.35196385
2021-01-20,0.3517337
2021-01-21,0.35590225
2021-01-22,0.35420585
2021-01-23,0.37077302
2021-01-24,0.37746963
2021-01-25,0.38617784
2021-01-26,0.3754354
2021-01-27,0.36597356
2021-01-28,0.3454653
2021-01-29,0.32205024
2021-01-30,0.30128318
2021-01-31,0.5182907
2021-02-01,0.48288164
2021-02-02,0.42405882
2021-02-03,0.3537882
2021-02-04,0.28142443
2021-02-05,0.22497688
2021-02-06,0.18217501
2021-02-07,0.15327586
2021-02-08,0.13258907
2021-02-09,0.10259846
2021-02-10,0.08260423
2021-02-11,0.07171478
2021-02-12,0.06584051
2021-02-13,0.063914716
2021-02-14,0.06824562
2021-02-15,0.07039013
2021-02-16,0.06577768
2021-02-17,0.06718871
2021-02-18,0.06684648
2021-02-19,0.06764766
2021-02-20,0.0685738
2021-02-21,0.06678375
2021-02-22,0.06520465
2021-02-23,0.060012557
2021-02-24,0.057817176
2021-02-25,0.045045346
2021-02-26,0.0377944
2021-02-27,0.026241431
2021-02-28,0.019964358
2021-03-01,0.01619752
2021-03-02,0.36780974
2021-03-03,0.25532562
2021-03-04,0.17815956
2021-03-05,0.14337096
2021-03-06,0.120887615
2021-03-07,0.115292385
2021-03-08,0.10099259
2021-03-09,0.072989546
2021-03-10,0.067052
2021-03-11,0.06246046
2021-03-12,0.055180322
2021-03-13,0.04543098
2021-03-14,0.039196957
2021-03-15,0.033218898
2021-03-16,0.032084916
2021-03-17,0.027266074
2021-03-18,0.023137337
2021-03-19,0.0199979
2021-03-20,0.017637804
2021-03-21,0.01832539
2021-03-22,0.02204059
2021-03-23,0.015412353
2021-03-24,0.010093186
2021-03-25,0.0025919187
2021-03-26,0.0020955915
2021-03-27,0.00053030404
2021-03-28,0.0041336897
2021-03-29,-0.00092423876
2021-03-30,-0.0060039456
2021-03-31,-0.006959834
2021-04-01,0.34464192
2021-04-02,0.26605064
2021-04-03,0.21370657
2021-04-04,0.18682015
2021-04-05,0.16854218
2021-04-06,0.13897838
2021-04-07,0.11596396
2021-04-08,0.10686544
2021-04-09,0.098716214
2021-04-10,0.10059615
2021-04-11,0.10244172
2021-04-12,0.091156445
2021-04-13,0.0807121
2021-04-14,0.074609995
2021-04-15,0.078564554
2021-04-16,0.071662925
2021-04-17,0.06560813
2021-04-18,0.062487412
2021-04-19,0.053962503
2021-04-20,0.037932068
2021-04-21,0.036105644
2021-04-22,0.026512753
2021-04-23,0.03009745
2021-04-24,0.02307743
2021-04-25,0.02525445
2021-04-26,0.021892997
2021-04-27,0.017546758
2021-04-28,0.010855452
2021-04-29,0.010236501
2021-04-30,0.01549332
2021-05-01,0.26223138
2021-05-02,0.20143892
2021-05-03,0.16467978
2021-05-04,0.14069405
2021-05-05,0.11133091
2021-05-06,0.10892622
2021-05-07,0.09638354
2021-05-08,0.09035674
2021-05-09,0.08856975
2021-05-10,0.08572585
2021-05-11,0.073135525
2021-05-12,0.06782927
2021-05-13,0.063351125
2021-05-14,0.065961115
2021-05-15,0.0722935
2021-05-16,0.075180374
2021-05-17,0.07444723
2021-05-18,0.06690515
2021-05-19,0.06436216
2021-05-20,0.06388205
2021-05-21,0.064711995
2021-05-22,0.06518977
2021-05-23,0.06647383
2021-05-24,0.0699709
2021-05-25,0.065491356
2021-05-26,0.060927577
2021-05-27,0.059940476
2021-05-28,0.056429964
2021-05-29,0.06100739
2021-05-30,0.0715975
2021-05-31,0.43335855
2021-06-01,0.38360015
2021-06-02,0.31944245
2021-06-03,0.2715667
2021-06-04,0.23268168
2021-06-05,0.20584445
2021-06-06,0.19061776
2021-06-07,0.1754919
2021-06-08,0.14736232
2021-06-09,0.14104146
2021-06-10,0.115390174
2021-06-11,0.09982926
2021-06-12,0.085821256
2021-06-13,0.08233231
2021-06-14,0.08018023
2021-06-15,0.07216917
2021-06-16,0.06791533
2021-06-17,0.06424049
2021-06-18,0.0604329
2021-06-19,0.060491476
2021-06-20,0.0641751
2021-06-21,0.06316621
2021-06-22,0.05703396
2021-06-23,0.049790535
2021-06-24,0.04645486
2021-06-25,0.04449632
2021-06-26,0.04438214
2021-06-27,0.046888642
2021-06-28,0.045120522
2021-06-29,0.038852993
2021-06-30,0.23180118
2021-07-01,0.18157011
2021-07-02,0.14198698
2021-07-03,0.12262056
2021-07-04,0.10253098
2021-07-05,0.08664312
2021-07-06,0.06781458
2021-07-07,0.053206738
2021-07-08,0.037986405
2021-07-09,0.04317767
2021-07-10,0.04496607
2021-07-11,0.050073143
2021-07-12,0.051366534
2021-07-13,0.04693791
2021-07-14,0.04641194
2021-07-15,0.046599664
2021-07-16,0.046348106
2021-07-17,0.045468353
2021-07-18,0.04637284
2021-07-19,0.044751167
2021-07-20,0.04032075
2021-07-21,0.03361458
2021-07-22,0.03427546
2021-07-23,0.029354904
2021-07-24,0.031100636
2021-07-25,0.033252038
2021-07-26,0.034118325
2021-07-27,0.029548924
2021-07-28,0.026999965
2021-07-29,0.028264819
2021-07-30,0.31764212
2021-07-31,0.26641992
2021-08-01,0.23000449
2021-08-02,0.19892347
2021-08-03,0.16510868
2021-08-04,0.14509791
2021-08-05,0.1272517
2021-08-06,0.113973655
2021-08-07,0.11218043
2021-08-08,0.11100956
2021-08-09,0.10765597
2021-08-10,0.10187167
2021-08-11,0.09361982
2021-08-12,0.08738317
2021-08-13,0.08845861
2021-08-14,0.08662916
2021-08-15,0.087352656
2021-08-16,0.08839103
2021-08-17,0.08705121
2021-08-18,0.08296548
2021-08-19,0.08442382
2021-08-20,0.083593346
2021-08-21,0.081051886
2021-08-22,0.08501292
2021-08-23,0.09034975
2021-08-24,0.092126176
2021-08-25,0.09428651
2021-08-26,0.09501353
2021-08-27,0.09591022
2021-08-28,0.108351156
2021-08-29,0.26852587
2021-08-30,0.25149608
2021-08-31,0.23120533
2021-09-01,0.2126633
2021-09-02,0.17647585
2021-09-03,0.15230137
2021-09-04,0.13224417
2021-09-05,0.12276295
2021-09-06,0.11577959
2021-09-07,0.102190726
2021-09-08,0.091325566
2021-09-09,0.07873447
2021-09-10,0.07735392
2021-09-11,0.07435182
2021-09-12,0.076751254
2021-09-13,0.077854045
2021-09-14,0.07295768
2021-09-15,0.07132279
2021-09-16,0.06977046
2021-09-17,0.067881115
2021-09-18,0.067298666
2021-09-19,0.065906316
2021-09-20,0.065527774
2021-09-21,0.05856017
2021-09-22,0.05148423
2021-09-23,0.046422858
2021-09-24,0.043627225
2021-09-25,0.04157809
2021-09-26,0.041379057
2021-09-27,0.04264099
2021-09-28,0.30538392
2021-09-29,0.25384608
2021-09-30,0.21063504
2021-10-01,0.18503536
2021-10-02,0.16502808
2021-10-03,0.15806557
2021-10-04,0.14230566
2021-10-05,0.11766838
2021-10-06,0.088397354
2021-10-07,0.07581414
2021-10-08,0.0607091
2021-10-09,0.05355762
2021-10-10,0.048870966
2021-10-11,0.04779795
2021-10-12,0.04465618
2021-10-13,0.04207679
2021-10-14,0.041094083
2021-10-15,0.04133732
2021-10-16,0.041133605
2021-10-17,0.04077581
2021-10-18,0.040111948
2021-10-19,0.036113456
2021-10-20,0.03523682
2021-10-21,0.03151806
2021-10-22,0.026571233
2021-10-23,0.024144579
2021-10-24,0.023061547
2021-10-25,0.023176638
2021-10-26,0.02089708
2021-10-27,0.01891812
2021-10-28,0.26577666
2021-10-29,0.18386413
2021-10-30,0.1322106
2021-10-31,0.105233535
2021-11-01,0.08379529
2021-11-02,0.055763505
2021-11-03,0.04167621
2021-11-04,0.030706534
2021-11-05,0.026760308
2021-11-06,0.03004982
2021-11-07,0.032939203
2021-11-08,0.03348552
2021-11-09,0.028211715
2021-11-10,0.029610625
2021-11-11,0.035381965
2021-11-12,0.03621421
2021-11-13,0.036127374
2021-11-14,0.03762781
2021-11-15,0.041483525
2021-11-16,0.032974415
2021-11-17,0.030337946
2021-11-18,0.024281062
2021-11-19,0.022919836
2021-11-20,0.021170558
2021-11-21,0.01880913
2021-11-22,0.016557815
2021-11-23,0.010278698
2021-11-24,0.008521628
2021-11-25,0.004228957
2021-11-26,0.008957866
2021-11-27,0.19327593
2021-11-28,0.14262399
2021-11-29,0.1143452
2021-11-30,0.09146799
2021-12-01,0.081045486
2021-12-02,0.06750268
2021-12-03,0.057995025
2021-12-04,0.048491307
2021-12-05,0.050062593
2021-12-06,0.05224544
2021-12-07,0.047017053
2021-12-08,0.04102065
2021-12-09,0.035911873
2021-12-10,0.039346565
2021-12-11,0.05113942
2021-12-12,0.053911347
2021-12-13,0.056734584
2021-12-14,0.05215569
2021-12-15,0.049393658
2021-12-16,0.0494725
2021-12-17,0.053533625
2021-12-18,0.053620767
2021-12-19,0.049118534
2021-12-20,0.047768354
2021-12-21,0.04275331
2021-12-22,0.04297164
2021-12-23,0.042678338
2021-12-24,0.035278916
2021-12-25,0.027879417
2021-12-26,0.030178098
