,0
2021-01-01,0.2842934
2021-01-02,0.27663067
2021-01-03,0.2839816
2021-01-04,0.2740679
2021-01-05,0.2808677
2021-01-06,0.2755189
2021-01-07,0.27077898
2021-01-08,0.26933452
2021-01-09,0.2819819
2021-01-10,0.27869517
2021-01-11,0.2857193
2021-01-12,0.27348724
2021-01-13,0.27688536
2021-01-14,0.27965522
2021-01-15,0.28325105
2021-01-16,0.2842845
2021-01-17,0.28821802
2021-01-18,0.29621065
2021-01-19,0.30610362
2021-01-20,0.3099953
2021-01-21,0.32211426
2021-01-22,0.3275932
2021-01-23,0.33579177
2021-01-24,0.33803457
2021-01-25,0.33966792
2021-01-26,0.34743413
2021-01-27,0.34533736
2021-01-28,0.33389893
2021-01-29,0.3366
2021-01-30,0.33441868
2021-01-31,0.5694409
2021-02-01,0.5685506
2021-02-02,0.58231527
2021-02-03,0.57183063
2021-02-04,0.5785099
2021-02-05,0.57377934
2021-02-06,0.573306
2021-02-07,0.5709872
2021-02-08,0.58292794
2021-02-09,0.58244234
2021-02-10,0.5882148
2021-02-11,0.5793147
2021-02-12,0.58997774
2021-02-13,0.5875893
2021-02-14,0.5854604
2021-02-15,0.5873004
2021-02-16,0.59177536
2021-02-17,0.5952079
2021-02-18,0.589177
2021-02-19,0.58606595
2021-02-20,0.5781939
2021-02-21,0.5661529
2021-02-22,0.553274
2021-02-23,0.5352563
2021-02-24,0.5226497
2021-02-25,0.5037571
2021-02-26,0.4835039
2021-02-27,0.45576277
2021-02-28,0.44274765
2021-03-01,0.42672572
2021-03-02,0.54667675
2021-03-03,0.54354286
2021-03-04,0.54835784
2021-03-05,0.5299275
2021-03-06,0.5296793
2021-03-07,0.5236034
2021-03-08,0.52130646
2021-03-09,0.5137346
2021-03-10,0.5228938
2021-03-11,0.5221584
2021-03-12,0.5289037
2021-03-13,0.5208187
2021-03-14,0.5351521
2021-03-15,0.53767633
2021-03-16,0.53847295
2021-03-17,0.5444656
2021-03-18,0.55477285
2021-03-19,0.56104994
2021-03-20,0.5664556
2021-03-21,0.57098955
2021-03-22,0.5760628
2021-03-23,0.5759974
2021-03-24,0.5724819
2021-03-25,0.5673925
2021-03-26,0.56154436
2021-03-27,0.5581184
2021-03-28,0.54506457
2021-03-29,0.5299561
2021-03-30,0.5220347
2021-03-31,0.51661855
2021-04-01,0.5019766
2021-04-02,0.49094355
2021-04-03,0.4887359
2021-04-04,0.45992085
2021-04-05,0.45270315
2021-04-06,0.42780796
2021-04-07,0.41017723
2021-04-08,0.3935807
2021-04-09,0.38728902
2021-04-10,0.37094983
2021-04-11,0.35683915
2021-04-12,0.33072606
2021-04-13,0.3235997
2021-04-14,0.31467503
2021-04-15,0.2999759
2021-04-16,0.29276165
2021-04-17,0.29192495
