,0
2021-01-01,0.3182302
2021-01-02,0.31119165
2021-01-03,0.3029376
2021-01-04,0.2907505
2021-01-05,0.2854029
2021-01-06,0.28347465
2021-01-07,0.28386638
2021-01-08,0.28585887
2021-01-09,0.2891037
2021-01-10,0.2935046
2021-01-11,0.29656413
2021-01-12,0.30231142
2021-01-13,0.30842358
2021-01-14,0.31306
2021-01-15,0.31584543
2021-01-16,0.31782392
2021-01-17,0.3198366
2021-01-18,0.32180846
2021-01-19,0.32443818
2021-01-20,0.32816544
2021-01-21,0.332425
2021-01-22,0.33680406
2021-01-23,0.34100798
2021-01-24,0.34497827
2021-01-25,0.3480473
2021-01-26,0.35068485
2021-01-27,0.35344613
2021-01-28,0.35600075
2021-01-29,0.3581707
2021-01-30,0.35987172
2021-01-31,0.615832
2021-02-01,0.6497398
2021-02-02,0.66979
2021-02-03,0.689157
2021-02-04,0.7089266
2021-02-05,0.73020595
2021-02-06,0.75279456
2021-02-07,0.77517617
2021-02-08,0.7972262
2021-02-09,0.8089118
2021-02-10,0.8173189
2021-02-11,0.8223758
2021-02-12,0.8253226
2021-02-13,0.8292562
2021-02-14,0.8373174
2021-02-15,0.8515208
2021-02-16,0.8613931
2021-02-17,0.8732748
2021-02-18,0.88676286
2021-02-19,0.9014548
2021-02-20,0.9167725
2021-02-21,0.9322504
2021-02-22,0.9464803
2021-02-23,0.95621264
2021-02-24,0.9656846
2021-02-25,0.975011
2021-02-26,0.9845131
2021-02-27,0.9942783
2021-02-28,1.0040194
2021-03-01,1.0011064
2021-03-02,0.5186034
2021-03-03,0.4999154
2021-03-04,0.46709618
2021-03-05,0.4280817
2021-03-06,0.39161664
2021-03-07,0.3618503
2021-03-08,0.3329751
2021-03-09,0.31046116
2021-03-10,0.29629835
2021-03-11,0.28751457
2021-03-12,0.2826664
2021-03-13,0.28083634
2021-03-14,0.28063995
2021-03-15,0.27432424
2021-03-16,0.26265597
2021-03-17,0.24891473
2021-03-18,0.2345417
2021-03-19,0.22141057
2021-03-20,0.2111466
2021-03-21,0.20431417
2021-03-22,0.19581082
2021-03-23,0.18561739
2021-03-24,0.17931888
2021-03-25,0.17609972
2021-03-26,0.17537221
2021-03-27,0.17646357
2021-03-28,0.17878199
2021-03-29,0.17386022
2021-03-30,0.17224517
2021-03-31,0.17156264
2021-04-01,0.48798883
2021-04-02,0.46454766
2021-04-03,0.43863842
2021-04-04,0.4181087
2021-04-05,0.40036702
2021-04-06,0.3828225
2021-04-07,0.36903316
2021-04-08,0.35746765
2021-04-09,0.34808218
2021-04-10,0.3415596
2021-04-11,0.33818334
2021-04-12,0.334612
2021-04-13,0.33308882
2021-04-14,0.3327881
2021-04-15,0.33316517
2021-04-16,0.33426028
2021-04-17,0.3359937
2021-04-18,0.33804363
2021-04-19,0.3408064
2021-04-20,0.33919638
2021-04-21,0.33789176
2021-04-22,0.33711278
2021-04-23,0.33705798
2021-04-24,0.33766657
2021-04-25,0.3387226
2021-04-26,0.3389873
2021-04-27,0.33667934
2021-04-28,0.33457822
2021-04-29,0.33273375
2021-04-30,0.3313253
2021-05-01,0.4056304
2021-05-02,0.4010424
2021-05-03,0.39561558
2021-05-04,0.39533132
2021-05-05,0.3967047
2021-05-06,0.39858294
2021-05-07,0.40050283
2021-05-08,0.4023628
2021-05-09,0.40418354
2021-05-10,0.403697
2021-05-11,0.40520027
2021-05-12,0.40706825
2021-05-13,0.4091369
2021-05-14,0.41092235
2021-05-15,0.41223937
2021-05-16,0.41334447
2021-05-17,0.41272092
2021-05-18,0.41329646
2021-05-19,0.41405997
2021-05-20,0.41508365
2021-05-21,0.41639733
2021-05-22,0.41791216
2021-05-23,0.41950652
2021-05-24,0.41949427
2021-05-25,0.4204708
2021-05-26,0.4214378
2021-05-27,0.42239267
2021-05-28,0.42339265
2021-05-29,0.42443052
2021-05-30,0.4254699
2021-05-31,0.4864393
2021-06-01,0.484292
2021-06-02,0.47966132
2021-06-03,0.4738192
2021-06-04,0.467214
2021-06-05,0.45977727
2021-06-06,0.45217797
2021-06-07,0.44445217
2021-06-08,0.43784314
2021-06-09,0.4334327
2021-06-10,0.43062848
2021-06-11,0.42922857
2021-06-12,0.4291218
2021-06-13,0.4301312
2021-06-14,0.42989868
2021-06-15,0.4299623
2021-06-16,0.4297233
2021-06-17,0.4292548
2021-06-18,0.42869797
2021-06-19,0.42812973
2021-06-20,0.42758983
2021-06-21,0.4254225
2021-06-22,0.42378062
2021-06-23,0.42232513
2021-06-24,0.4210559
2021-06-25,0.42003676
2021-06-26,0.41926056
2021-06-27,0.4186753
2021-06-28,0.41671264
2021-06-29,0.4154392
2021-06-30,0.30235493
2021-07-01,0.29982674
2021-07-02,0.29817697
2021-07-03,0.298056
2021-07-04,0.29857624
2021-07-05,0.29637694
2021-07-06,0.29464945
2021-07-07,0.292539
2021-07-08,0.29070997
2021-07-09,0.2896698
2021-07-10,0.28952166
2021-07-11,0.29016685
2021-07-12,0.2893116
2021-07-13,0.29012996
2021-07-14,0.29085404
2021-07-15,0.2912215
2021-07-16,0.29142818
2021-07-17,0.2916025
2021-07-18,0.2917291
2021-07-19,0.2900955
2021-07-20,0.289261
2021-07-21,0.2885658
2021-07-22,0.2881033
2021-07-23,0.28794834
2021-07-24,0.28806537
2021-07-25,0.28837112
2021-07-26,0.286969
2021-07-27,0.2864246
2021-07-28,0.28592896
2021-07-29,0.28555828
2021-07-30,0.41921312
2021-07-31,0.42616364
2021-08-01,0.42492485
2021-08-02,0.42536512
2021-08-03,0.4234107
2021-08-04,0.42146716
2021-08-05,0.41869432
2021-08-06,0.41408938
2021-08-07,0.40677774
2021-08-08,0.39660963
2021-08-09,0.38333118
2021-08-10,0.3713246
2021-08-11,0.36321494
2021-08-12,0.35794073
2021-08-13,0.35457313
2021-08-14,0.35246426
2021-08-15,0.35082328
2021-08-16,0.3477425
2021-08-17,0.34325683
2021-08-18,0.33820975
2021-08-19,0.33306324
2021-08-20,0.3286059
2021-08-21,0.32542846
2021-08-22,0.32362005
2021-08-23,0.3203023
2021-08-24,0.31885993
2021-08-25,0.31829947
2021-08-26,0.3185358
2021-08-27,0.31961584
2021-08-28,0.32160276
2021-08-29,0.30535787
2021-08-30,0.3054357
2021-08-31,0.30524078
2021-09-01,0.30806416
2021-09-02,0.3120373
2021-09-03,0.31664717
2021-09-04,0.32092375
2021-09-05,0.32468194
2021-09-06,0.33060166
2021-09-07,0.33238074
2021-09-08,0.33334625
2021-09-09,0.33310407
2021-09-10,0.33111626
2021-09-11,0.3261515
