,0
2021-01-01,0.23826662
2021-01-02,0.24943411
2021-01-03,0.25307313
2021-01-04,0.24035636
2021-01-05,0.23953839
2021-01-06,0.24384594
2021-01-07,0.23122616
2021-01-08,0.23372148
2021-01-09,0.24905388
2021-01-10,0.2588346
2021-01-11,0.24622452
2021-01-12,0.2543246
2021-01-13,0.26660562
2021-01-14,0.24923548
2021-01-15,0.25042003
2021-01-16,0.25004357
2021-01-17,0.2602898
2021-01-18,0.2481843
2021-01-19,0.24811515
2021-01-20,0.23343945
2021-01-21,0.24090283
2021-01-22,0.21678026
2021-01-23,0.24987058
2021-01-24,0.23604037
2021-01-25,0.25868258
2021-01-26,0.27216214
2021-01-27,0.23998208
2021-01-28,0.24340849
2021-01-29,0.26942712
2021-01-30,0.29421502
2021-01-31,0.29553077
2021-02-01,0.3096554
2021-02-02,0.35037854
2021-02-03,0.35759526
2021-02-04,0.347509
2021-02-05,0.35912132
2021-02-06,0.35447884
2021-02-07,0.32272145
2021-02-08,0.3584465
2021-02-09,0.32747123
2021-02-10,0.35689518
2021-02-11,0.33068448
2021-02-12,0.34984183
2021-02-13,0.3813327
2021-02-14,0.37404534
2021-02-15,0.35997537
2021-02-16,0.36843285
2021-02-17,0.3586026
2021-02-18,0.3587681
2021-02-19,0.37014353
2021-02-20,0.322899
2021-02-21,0.34319314
2021-02-22,0.33701974
2021-02-23,0.34831986
2021-02-24,0.3799879
2021-02-25,0.3446428
2021-02-26,0.3559408
2021-02-27,0.33647114
2021-02-28,0.37007064
2021-03-01,0.34958324
2021-03-02,0.33589095
2021-03-03,0.35200801
2021-03-04,0.35546234
2021-03-05,0.34236866
2021-03-06,0.34558555
2021-03-07,0.37679848
2021-03-08,0.3618289
2021-03-09,0.3407584
2021-03-10,0.36225614
2021-03-11,0.33393514
2021-03-12,0.34669048
2021-03-13,0.3290437
2021-03-14,0.3543227
2021-03-15,0.32371494
2021-03-16,0.34707284
2021-03-17,0.33972335
2021-03-18,0.284309
2021-03-19,0.3188323
2021-03-20,0.3004527
2021-03-21,0.2853101
2021-03-22,0.35992038
2021-03-23,0.2883731
2021-03-24,0.2755724
2021-03-25,0.3262661
2021-03-26,0.31400788
2021-03-27,0.27732402
2021-03-28,0.30158135
2021-03-29,0.24905857
2021-03-30,0.24400003
2021-03-31,0.26999736
2021-04-01,0.25198138
2021-04-02,0.27931333
2021-04-03,0.2539254
2021-04-04,0.21951158
2021-04-05,0.22997865
2021-04-06,0.20376545
2021-04-07,0.24112062
2021-04-08,0.21064588
2021-04-09,0.2890853
2021-04-10,0.25465655
2021-04-11,0.20534115
2021-04-12,0.23294047
2021-04-13,0.2304908
2021-04-14,0.20200346
2021-04-15,0.22388852
2021-04-16,0.19844368
2021-04-17,0.21838875
2021-04-18,0.21623167
2021-04-19,0.22197968
2021-04-20,0.23514685
2021-04-21,0.2517784
2021-04-22,0.20914747
2021-04-23,0.19198763
2021-04-24,0.22391686
2021-04-25,0.22471042
2021-04-26,0.25233388
2021-04-27,0.21960463
2021-04-28,0.2398627
2021-04-29,0.2392897
2021-04-30,0.17802367
2021-05-01,0.24543022
2021-05-02,0.21675204
2021-05-03,0.19221836
2021-05-04,0.20881838
2021-05-05,0.169455
2021-05-06,0.21319476
2021-05-07,0.216201
2021-05-08,0.22436324
2021-05-09,0.20077385
2021-05-10,0.24675456
2021-05-11,0.19602148
2021-05-12,0.1778108
2021-05-13,0.22523637
2021-05-14,0.22113222
2021-05-15,0.26224136
2021-05-16,0.2554908
2021-05-17,0.27753127
2021-05-18,0.27808234
2021-05-19,0.27970868
2021-05-20,0.29599595
2021-05-21,0.28832388
2021-05-22,0.29720932
2021-05-23,0.2917551
2021-05-24,0.28158453
2021-05-25,0.29235926
2021-05-26,0.251677
2021-05-27,0.27965155
2021-05-28,0.28068763
2021-05-29,0.28678554
2021-05-30,0.2848674
2021-05-31,0.27564692
2021-06-01,0.27893937
2021-06-02,0.32147452
2021-06-03,0.29185018
2021-06-04,0.29241216
2021-06-05,0.29731047
2021-06-06,0.3030118
2021-06-07,0.33143285
2021-06-08,0.2925872
2021-06-09,0.30308053
2021-06-10,0.2875873
2021-06-11,0.28130737
2021-06-12,0.28405827
2021-06-13,0.26366857
2021-06-14,0.24244109
2021-06-15,0.2303564
2021-06-16,0.20784144
2021-06-17,0.22510801
2021-06-18,0.19664583
2021-06-19,0.20246345
2021-06-20,0.2411621
2021-06-21,0.1887987
2021-06-22,0.20446278
2021-06-23,0.19171768
2021-06-24,0.1828401
2021-06-25,0.17784199
2021-06-26,0.20064642
2021-06-27,0.20926718
2021-06-28,0.18369652
2021-06-29,0.16965081
2021-06-30,0.17803234
2021-07-01,0.16862929
2021-07-02,0.18317303
2021-07-03,0.18480855
2021-07-04,0.21109408
2021-07-05,0.1747169
2021-07-06,0.19144352
2021-07-07,0.16565634
2021-07-08,0.16972628
2021-07-09,0.1832842
2021-07-10,0.1911406
2021-07-11,0.177079
2021-07-12,0.17783715
2021-07-13,0.17587337
2021-07-14,0.19266218
2021-07-15,0.20400552
2021-07-16,0.20960179
2021-07-17,0.20045008
2021-07-18,0.21996588
2021-07-19,0.1959288
2021-07-20,0.19204842
2021-07-21,0.20593935
2021-07-22,0.2199211
2021-07-23,0.21301228
2021-07-24,0.2258019
2021-07-25,0.21891326
2021-07-26,0.25504458
2021-07-27,0.24071133
2021-07-28,0.24644084
2021-07-29,0.23456804
2021-07-30,0.25796342
2021-07-31,0.24226433
2021-08-01,0.24963309
2021-08-02,0.26564986
2021-08-03,0.26970914
2021-08-04,0.27038568
2021-08-05,0.24399568
2021-08-06,0.27193043
2021-08-07,0.29226124
2021-08-08,0.27255404
2021-08-09,0.25734034
2021-08-10,0.24275917
2021-08-11,0.279441
2021-08-12,0.26125324
2021-08-13,0.2577711
2021-08-14,0.2646577
2021-08-15,0.2520279
2021-08-16,0.2265132
2021-08-17,0.22902127
2021-08-18,0.27338678
2021-08-19,0.22252971
2021-08-20,0.2049995
2021-08-21,0.2333426
2021-08-22,0.1984663
2021-08-23,0.21007264
2021-08-24,0.21450691
2021-08-25,0.22578616
2021-08-26,0.21201265
2021-08-27,0.21012278
2021-08-28,0.19248624
2021-08-29,0.20921484
2021-08-30,0.21337153
2021-08-31,0.204037
2021-09-01,0.21211359
2021-09-02,0.21810207
2021-09-03,0.19963676
2021-09-04,0.20268561
2021-09-05,0.205893
2021-09-06,0.19633393
2021-09-07,0.194493
2021-09-08,0.19911104
2021-09-09,0.18573113
2021-09-10,0.17764159
2021-09-11,0.19370697
2021-09-12,0.18617669
2021-09-13,0.17338386
2021-09-14,0.21016422
2021-09-15,0.18370047
2021-09-16,0.17588404
2021-09-17,0.19295496
2021-09-18,0.1851022
2021-09-19,0.19758086
2021-09-20,0.19563381
2021-09-21,0.19220985
2021-09-22,0.18936457
2021-09-23,0.18215711
2021-09-24,0.17000735
2021-09-25,0.20355435
2021-09-26,0.18992142
2021-09-27,0.2057593
2021-09-28,0.20446633
2021-09-29,0.20082161
2021-09-30,0.2013677
2021-10-01,0.22592305
2021-10-02,0.25032905
2021-10-03,0.2427627
2021-10-04,0.27021325
2021-10-05,0.28881425
2021-10-06,0.28928626
2021-10-07,0.29852715
2021-10-08,0.30151865
2021-10-09,0.29182035
2021-10-10,0.31883004
2021-10-11,0.30763692
2021-10-12,0.2863383
2021-10-13,0.30193868
2021-10-14,0.307982
