,0
2021-01-01,0.30888432
2021-01-02,0.30678022
2021-01-03,0.31185123
2021-01-04,0.3218745
2021-01-05,0.33423552
2021-01-06,0.34267244
2021-01-07,0.35048202
2021-01-08,0.3728581
2021-01-09,0.38493627
2021-01-10,0.396615
2021-01-11,0.4046796
2021-01-12,0.41368258
2021-01-13,0.4188855
2021-01-14,0.4213392
2021-01-15,0.41216847
2021-01-16,0.40802664
2021-01-17,0.4050899
2021-01-18,0.40363893
2021-01-19,0.3990288
2021-01-20,0.39731506
2021-01-21,0.40574962
2021-01-22,0.40976623
2021-01-23,0.41517282
2021-01-24,0.41914707
2021-01-25,0.42315093
2021-01-26,0.42624122
2021-01-27,0.42637745
2021-01-28,0.4581167
2021-01-29,0.48812598
2021-01-30,0.5312023
2021-01-31,0.56151307
2021-02-01,0.5910712
2021-02-02,0.61381626
2021-02-03,0.6342715
2021-02-04,0.64230853
2021-02-05,0.65048563
2021-02-06,0.65140736
2021-02-07,0.64857215
2021-02-08,0.64277744
2021-02-09,0.6390204
2021-02-10,0.6299008
2021-02-11,0.62522876
2021-02-12,0.6148915
2021-02-13,0.6096362
2021-02-14,0.60339314
2021-02-15,0.60016537
2021-02-16,0.5944511
2021-02-17,0.590361
2021-02-18,0.585391
2021-02-19,0.5754401
2021-02-20,0.5622697
2021-02-21,0.557997
2021-02-22,0.55004936
2021-02-23,0.5518958
2021-02-24,0.5488616
2021-02-25,0.5560661
2021-02-26,0.56386334
2021-02-27,0.5633389
2021-02-28,0.56634665
2021-03-01,0.5724311
2021-03-02,0.5790175
2021-03-03,0.5766516
2021-03-04,0.57113916
2021-03-05,0.5760734
2021-03-06,0.59342146
2021-03-07,0.6041374
2021-03-08,0.61254203
2021-03-09,0.6189852
2021-03-10,0.63160187
2021-03-11,0.6422914
2021-03-12,0.65252453
2021-03-13,0.6607532
2021-03-14,0.6687935
2021-03-15,0.67345643
2021-03-16,0.6762553
2021-03-17,0.6758805
2021-03-18,0.6784512
2021-03-19,0.6855458
2021-03-20,0.6886611
2021-03-21,0.6916016
2021-03-22,0.6941831
2021-03-23,0.6961383
2021-03-24,0.69849026
2021-03-25,0.6941843
2021-03-26,0.6704784
2021-03-27,0.659444
2021-03-28,0.64422727
2021-03-29,0.62399125
2021-03-30,0.5984306
2021-03-31,0.57766616
