,0
2021-01-01,0.29596934
2021-01-02,0.30028564
2021-01-03,0.30371207
2021-01-04,0.29297793
2021-01-05,0.30171803
2021-01-06,0.30594873
2021-01-07,0.3148598
2021-01-08,0.3560955
2021-01-09,0.37419084
2021-01-10,0.3861289
2021-01-11,0.39385873
2021-01-12,0.39924562
2021-01-13,0.402457
2021-01-14,0.40202487
2021-01-15,0.37472394
2021-01-16,0.37376335
2021-01-17,0.37300184
2021-01-18,0.37338665
2021-01-19,0.37434596
2021-01-20,0.37714446
2021-01-21,0.4047714
2021-01-22,0.4148479
2021-01-23,0.4201599
2021-01-24,0.4230092
2021-01-25,0.42463732
2021-01-26,0.4259085
2021-01-27,0.42447016
2021-01-28,0.44849238
2021-01-29,0.4732795
2021-01-30,0.50082266
2021-01-31,0.524173
2021-02-01,0.5411589
2021-02-02,0.5645824
2021-02-03,0.58429265
2021-02-04,0.59994465
2021-02-05,0.61408466
2021-02-06,0.6186266
2021-02-07,0.6196486
2021-02-08,0.61489016
2021-02-09,0.60660577
2021-02-10,0.5939188
2021-02-11,0.5871479
2021-02-12,0.5830155
2021-02-13,0.5808424
2021-02-14,0.5769817
2021-02-15,0.5708851
2021-02-16,0.5659077
2021-02-17,0.5639796
2021-02-18,0.55421513
2021-02-19,0.5243125
2021-02-20,0.5176747
2021-02-21,0.519513
2021-02-22,0.5104266
2021-02-23,0.5151041
2021-02-24,0.5199352
2021-02-25,0.5396899
2021-02-26,0.54841596
2021-02-27,0.5491726
2021-02-28,0.55226433
2021-03-01,0.5472112
2021-03-02,0.5521811
2021-03-03,0.5461259
2021-03-04,0.543685
2021-03-05,0.5517985
2021-03-06,0.58434325
2021-03-07,0.59745556
2021-03-08,0.60149854
2021-03-09,0.6049554
2021-03-10,0.6107324
2021-03-11,0.61624676
2021-03-12,0.623551
2021-03-13,0.62986964
2021-03-14,0.6353328
2021-03-15,0.6398916
2021-03-16,0.64588183
2021-03-17,0.65093446
2021-03-18,0.6549284
2021-03-19,0.6625673
2021-03-20,0.6689439
2021-03-21,0.6736555
2021-03-22,0.67649615
2021-03-23,0.6797779
2021-03-24,0.68429136
2021-03-25,0.67989945
2021-03-26,0.60369664
2021-03-27,0.6091238
2021-03-28,0.5891894
2021-03-29,0.5672656
2021-03-30,0.56283426
2021-03-31,0.559845
2021-04-01,0.55089897
2021-04-02,0.5475102
2021-04-03,0.54404193
2021-04-04,0.53829944
2021-04-05,0.5180728
2021-04-06,0.50992197
2021-04-07,0.50238204
2021-04-08,0.49144378
2021-04-09,0.4816235
2021-04-10,0.47225815
2021-04-11,0.4644284
2021-04-12,0.43742067
2021-04-13,0.43107277
2021-04-14,0.42515203
2021-04-15,0.42112097
2021-04-16,0.42205024
2021-04-17,0.41591173
2021-04-18,0.41253334
2021-04-19,0.3879207
2021-04-20,0.38746628
2021-04-21,0.38821393
2021-04-22,0.39146206
2021-04-23,0.39883175
2021-04-24,0.41226333
2021-04-25,0.41163886
2021-04-26,0.3944588
2021-04-27,0.39242208
2021-04-28,0.39224333
2021-04-29,0.39203155
2021-04-30,0.39380538
2021-05-01,0.38942903
2021-05-02,0.38626948
2021-05-03,0.37447235
2021-05-04,0.3687015
2021-05-05,0.36537203
2021-05-06,0.3626356
2021-05-07,0.36208072
2021-05-08,0.36047783
2021-05-09,0.36046255
2021-05-10,0.35396168
2021-05-11,0.35708565
2021-05-12,0.36797938
2021-05-13,0.429953
2021-05-14,0.45804954
2021-05-15,0.47411767
2021-05-16,0.48395944
2021-05-17,0.4932296
2021-05-18,0.50396776
2021-05-19,0.51390225
2021-05-20,0.5192226
2021-05-21,0.52363384
2021-05-22,0.51646954
2021-05-23,0.51115274
2021-05-24,0.50898814
2021-05-25,0.51016784
2021-05-26,0.5116955
2021-05-27,0.5126919
2021-05-28,0.50707644
2021-05-29,0.49721652
2021-05-30,0.4922995
2021-05-31,0.4884801
2021-06-01,0.46694335
2021-06-02,0.46348402
2021-06-03,0.45652595
2021-06-04,0.45747548
2021-06-05,0.4604804
2021-06-06,0.45982936
2021-06-07,0.45048487
2021-06-08,0.4497712
2021-06-09,0.4476233
2021-06-10,0.45446554
2021-06-11,0.44526917
2021-06-12,0.42371696
2021-06-13,0.4039259
2021-06-14,0.3721764
2021-06-15,0.35209686
2021-06-16,0.33570772
2021-06-17,0.32036915
2021-06-18,0.30746555
2021-06-19,0.29959822
2021-06-20,0.29567537
2021-06-21,0.27228954
2021-06-22,0.2740816
2021-06-23,0.27174452
2021-06-24,0.2706874
2021-06-25,0.27290073
2021-06-26,0.2761543
2021-06-27,0.2794862
2021-06-28,0.25746346
2021-06-29,0.2597143
2021-06-30,0.26317552
2021-07-01,0.2565688
2021-07-02,0.26244992
2021-07-03,0.26533815
2021-07-04,0.2702156
2021-07-05,0.25611743
2021-07-06,0.26235127
2021-07-07,0.27097857
2021-07-08,0.28355283
2021-07-09,0.31087643
2021-07-10,0.3377768
2021-07-11,0.34269893
2021-07-12,0.34661928
2021-07-13,0.3523168
2021-07-14,0.35725343
2021-07-15,0.3601721
2021-07-16,0.36014062
2021-07-17,0.36343032
2021-07-18,0.3658014
2021-07-19,0.3681967
2021-07-20,0.37404191
2021-07-21,0.38064364
2021-07-22,0.3877423
2021-07-23,0.3934566
2021-07-24,0.40025032
2021-07-25,0.4058003
2021-07-26,0.4090385
2021-07-27,0.41393006
2021-07-28,0.41842467
2021-07-29,0.4212563
2021-07-30,0.42374194
2021-07-31,0.42487317
2021-08-01,0.41785058
2021-08-02,0.40934613
2021-08-03,0.40295208
2021-08-04,0.4107411
2021-08-05,0.41565403
2021-08-06,0.4122709
2021-08-07,0.38830853
2021-08-08,0.38107255
2021-08-09,0.37306523
2021-08-10,0.37203026
2021-08-11,0.37161896
2021-08-12,0.3730962
2021-08-13,0.3756464
2021-08-14,0.37515274
2021-08-15,0.3744485
2021-08-16,0.36615214
2021-08-17,0.3586684
2021-08-18,0.34311908
2021-08-19,0.3335102
2021-08-20,0.32548583
2021-08-21,0.3172867
2021-08-22,0.3113936
2021-08-23,0.29651162
2021-08-24,0.29325756
2021-08-25,0.2897573
2021-08-26,0.28725168
2021-08-27,0.28621817
2021-08-28,0.28844848
2021-08-29,0.29065302
2021-08-30,0.27968824
2021-08-31,0.28143698
2021-09-01,0.27134594
2021-09-02,0.26871425
2021-09-03,0.26675406
2021-09-04,0.26646885
2021-09-05,0.2671117
2021-09-06,0.256442
2021-09-07,0.2572889
2021-09-08,0.25889778
2021-09-09,0.2610488
2021-09-10,0.2657672
2021-09-11,0.27744463
2021-09-12,0.28555048
2021-09-13,0.28841823
2021-09-14,0.2934452
2021-09-15,0.30222416
2021-09-16,0.30721802
2021-09-17,0.28542516
2021-09-18,0.29839137
2021-09-19,0.3098672
2021-09-20,0.3171566
2021-09-21,0.32743597
2021-09-22,0.3329684
2021-09-23,0.3410786
2021-09-24,0.3533783
2021-09-25,0.3623618
2021-09-26,0.3689805
2021-09-27,0.37189642
2021-09-28,0.37548444
2021-09-29,0.3927881
2021-09-30,0.4094998
2021-10-01,0.425435
2021-10-02,0.44444072
2021-10-03,0.46105283
2021-10-04,0.47254533
2021-10-05,0.4906586
2021-10-06,0.5084415
2021-10-07,0.5230849
2021-10-08,0.5354611
2021-10-09,0.5413735
2021-10-10,0.54408085
2021-10-11,0.5401419
2021-10-12,0.54164064
2021-10-13,0.5402101
2021-10-14,0.5333636
2021-10-15,0.5586389
2021-10-16,0.5656287
2021-10-17,0.55831504
2021-10-18,0.5430986
2021-10-19,0.5272403
2021-10-20,0.52841365
2021-10-21,0.5180618
2021-10-22,0.49116674
2021-10-23,0.4829506
2021-10-24,0.4815931
2021-10-25,0.47453755
2021-10-26,0.47562137
2021-10-27,0.45876077
2021-10-28,0.46487018
2021-10-29,0.4619367
2021-10-30,0.45631257
2021-10-31,0.44816914
2021-11-01,0.42533404
2021-11-02,0.41411474
2021-11-03,0.40120196
2021-11-04,0.39118463
2021-11-05,0.38118318
2021-11-06,0.37326473
2021-11-07,0.3662239
2021-11-08,0.34253475
2021-11-09,0.33582762
2021-11-10,0.33064678
2021-11-11,0.3290578
2021-11-12,0.3168181
2021-11-13,0.30696854
2021-11-14,0.29998606
2021-11-15,0.27530298
2021-11-16,0.27032706
2021-11-17,0.2645689
2021-11-18,0.25986016
2021-11-19,0.25725266
2021-11-20,0.2555727
2021-11-21,0.2539552
2021-11-22,0.23615596
2021-11-23,0.23606017
2021-11-24,0.23751897
2021-11-25,0.23957632
2021-11-26,0.26040837
2021-11-27,0.3198601
2021-11-28,0.36181554
2021-11-29,0.37637794
2021-11-30,0.3854524
2021-12-01,0.3992594
2021-12-02,0.41902864
2021-12-03,0.4420367
2021-12-04,0.46248198
2021-12-05,0.48052394
2021-12-06,0.49068016
2021-12-07,0.5096537
2021-12-08,0.53652513
2021-12-09,0.559564
2021-12-10,0.5776817
2021-12-11,0.59337217
2021-12-12,0.603336
2021-12-13,0.60022455
2021-12-14,0.60544753
2021-12-15,0.61300915
2021-12-16,0.63522136
2021-12-17,0.65115327
2021-12-18,0.6643535
2021-12-19,0.67178094
2021-12-20,0.67090523
2021-12-21,0.67691565
2021-12-22,0.7022263
2021-12-23,0.7211657
2021-12-24,0.73243815
2021-12-25,0.7324455
2021-12-26,0.72593284
2021-12-27,0.7123156
2021-12-28,0.70255464
