,0
2021-01-01,0.29712617
2021-01-02,0.2931393
2021-01-03,0.29571414
2021-01-04,0.29776102
2021-01-05,0.3039677
2021-01-06,0.301159
2021-01-07,0.30077386
2021-01-08,0.309915
2021-01-09,0.3118643
2021-01-10,0.31214425
2021-01-11,0.31269145
2021-01-12,0.31608817
2021-01-13,0.31660506
2021-01-14,0.32205567
2021-01-15,0.30680448
2021-01-16,0.3006501
2021-01-17,0.29939958
2021-01-18,0.29813072
2021-01-19,0.3037049
2021-01-20,0.3039905
2021-01-21,0.31615335
2021-01-22,0.31964135
2021-01-23,0.3111266
2021-01-24,0.31338507
2021-01-25,0.311658
2021-01-26,0.31417632
2021-01-27,0.31932312
2021-01-28,0.34831282
2021-01-29,0.3544865
2021-01-30,0.36240643
2021-01-31,0.35352343
2021-02-01,0.35633942
2021-02-02,0.35409576
2021-02-03,0.3500597
2021-02-04,0.35070714
2021-02-05,0.35007122
2021-02-06,0.34880158
2021-02-07,0.35663855
2021-02-08,0.36013326
2021-02-09,0.35718223
2021-02-10,0.35780483
2021-02-11,0.3693256
2021-02-12,0.37033
2021-02-13,0.37464097
2021-02-14,0.3805002
2021-02-15,0.38770583
2021-02-16,0.3871348
2021-02-17,0.38635528
2021-02-18,0.38108605
2021-02-19,0.38478786
2021-02-20,0.38597122
2021-02-21,0.38663647
2021-02-22,0.38854176
2021-02-23,0.39124638
2021-02-24,0.39167345
2021-02-25,0.3937208
2021-02-26,0.39443642
2021-02-27,0.3908448
2021-02-28,0.38863873
2021-03-01,0.3944484
2021-03-02,0.39304864
2021-03-03,0.3923953
2021-03-04,0.393237
2021-03-05,0.40127146
2021-03-06,0.4167126
2021-03-07,0.42555755
2021-03-08,0.42736813
2021-03-09,0.4275646
2021-03-10,0.4393195
2021-03-11,0.44228536
2021-03-12,0.44147217
2021-03-13,0.44249016
2021-03-14,0.43908677
2021-03-15,0.43856457
2021-03-16,0.43761924
2021-03-17,0.43338057
2021-03-18,0.43202314
2021-03-19,0.4389003
2021-03-20,0.44147366
2021-03-21,0.433604
2021-03-22,0.44841588
2021-03-23,0.44871286
2021-03-24,0.44483784
2021-03-25,0.44255596
2021-03-26,0.42926
2021-03-27,0.43088126
2021-03-28,0.42368808
2021-03-29,0.41967532
2021-03-30,0.41026127
2021-03-31,0.40783092
2021-04-01,0.40038246
2021-04-02,0.39186874
2021-04-03,0.3907566
2021-04-04,0.37913907
2021-04-05,0.38477308
2021-04-06,0.38127583
2021-04-07,0.3739326
2021-04-08,0.3635862
2021-04-09,0.36128113
2021-04-10,0.35920894
2021-04-11,0.3544971
2021-04-12,0.34831914
2021-04-13,0.3453027
2021-04-14,0.3413304
2021-04-15,0.33519322
2021-04-16,0.34379268
2021-04-17,0.33515945
2021-04-18,0.33071208
2021-04-19,0.3267035
2021-04-20,0.32630473
2021-04-21,0.3212284
2021-04-22,0.3277193
2021-04-23,0.32116362
2021-04-24,0.3242079
2021-04-25,0.3190682
2021-04-26,0.31790325
2021-04-27,0.31036454
2021-04-28,0.30728027
2021-04-29,0.30578044
2021-04-30,0.3106354
2021-05-01,0.30477425
2021-05-02,0.2948001
2021-05-03,0.2832416
2021-05-04,0.2790748
2021-05-05,0.28265154
2021-05-06,0.28348333
2021-05-07,0.28462705
2021-05-08,0.28714943
2021-05-09,0.2928237
2021-05-10,0.28759983
2021-05-11,0.28798988
2021-05-12,0.29557937
2021-05-13,0.31568432
2021-05-14,0.3344096
2021-05-15,0.35127604
2021-05-16,0.3657274
2021-05-17,0.36337367
2021-05-18,0.36551982
2021-05-19,0.37528062
2021-05-20,0.37113234
2021-05-21,0.37114364
2021-05-22,0.37115738
2021-05-23,0.37207162
2021-05-24,0.3764085
2021-05-25,0.37009707
2021-05-26,0.37449574
2021-05-27,0.37157178
2021-05-28,0.37835425
2021-05-29,0.3722268
2021-05-30,0.37374187
2021-05-31,0.380458
2021-06-01,0.37640417
2021-06-02,0.37863564
2021-06-03,0.37481445
2021-06-04,0.3785986
2021-06-05,0.38202146
2021-06-06,0.37978762
2021-06-07,0.3796469
2021-06-08,0.378323
2021-06-09,0.37410778
2021-06-10,0.3656743
2021-06-11,0.32746565
2021-06-12,0.31367072
2021-06-13,0.29286444
2021-06-14,0.2878823
2021-06-15,0.27597016
2021-06-16,0.27037552
2021-06-17,0.2645195
2021-06-18,0.25486404
2021-06-19,0.25382566
2021-06-20,0.2532913
2021-06-21,0.26042998
2021-06-22,0.26224872
2021-06-23,0.26089802
2021-06-24,0.25859132
2021-06-25,0.25350335
2021-06-26,0.2526979
2021-06-27,0.24984965
2021-06-28,0.24731566
2021-06-29,0.24843843
2021-06-30,0.24677555
2021-07-01,0.24279316
2021-07-02,0.24160829
2021-07-03,0.23839308
2021-07-04,0.23546575
2021-07-05,0.23723342
2021-07-06,0.23512213
2021-07-07,0.23028842
2021-07-08,0.22840002
2021-07-09,0.22980689
2021-07-10,0.24364913
2021-07-11,0.24687357
2021-07-12,0.24978626
2021-07-13,0.25246298
2021-07-14,0.25705323
2021-07-15,0.256905
2021-07-16,0.26132002
2021-07-17,0.2627179
2021-07-18,0.26274186
2021-07-19,0.27189147
2021-07-20,0.2747489
2021-07-21,0.28397474
2021-07-22,0.28698865
2021-07-23,0.29202896
2021-07-24,0.2982916
2021-07-25,0.30163762
2021-07-26,0.30047682
2021-07-27,0.30274588
2021-07-28,0.3079502
2021-07-29,0.3137324
2021-07-30,0.31453854
2021-07-31,0.31608054
2021-08-01,0.32298413
2021-08-02,0.3195038
2021-08-03,0.3240291
2021-08-04,0.33233815
2021-08-05,0.33691192
2021-08-06,0.33567986
2021-08-07,0.32311344
2021-08-08,0.32131633
2021-08-09,0.31759608
2021-08-10,0.31876948
2021-08-11,0.32007572
2021-08-12,0.31424516
2021-08-13,0.3148262
2021-08-14,0.30989635
2021-08-15,0.30177605
2021-08-16,0.29188684
2021-08-17,0.28443503
2021-08-18,0.27214184
2021-08-19,0.2647886
2021-08-20,0.2645954
2021-08-21,0.2590461
2021-08-22,0.25921354
2021-08-23,0.25914076
2021-08-24,0.25903937
2021-08-25,0.25219187
2021-08-26,0.251778
2021-08-27,0.24957214
2021-08-28,0.25440383
2021-08-29,0.2557415
2021-08-30,0.2534306
2021-08-31,0.25449276
2021-09-01,0.24801774
2021-09-02,0.24255362
2021-09-03,0.23509426
2021-09-04,0.2328881
2021-09-05,0.22999193
2021-09-06,0.23250693
2021-09-07,0.22939068
2021-09-08,0.23249179
2021-09-09,0.23139389
2021-09-10,0.22865246
2021-09-11,0.23577295
2021-09-12,0.23591286
2021-09-13,0.23709023
2021-09-14,0.23664412
2021-09-15,0.23787837
2021-09-16,0.2388332
2021-09-17,0.22859162
2021-09-18,0.22510958
2021-09-19,0.23517574
2021-09-20,0.248805
2021-09-21,0.2572138
2021-09-22,0.2603479
2021-09-23,0.26602882
2021-09-24,0.28225094
2021-09-25,0.28465062
2021-09-26,0.28342918
2021-09-27,0.28636473
2021-09-28,0.2831898
2021-09-29,0.3188322
2021-09-30,0.3298558
2021-10-01,0.34992352
2021-10-02,0.36579812
2021-10-03,0.38125026
2021-10-04,0.39126313
2021-10-05,0.36111557
2021-10-06,0.35145816
2021-10-07,0.3378824
2021-10-08,0.34291163
2021-10-09,0.34884164
2021-10-10,0.34985024
2021-10-11,0.35233107
2021-10-12,0.3537159
2021-10-13,0.35757914
2021-10-14,0.35857877
2021-10-15,0.36964712
2021-10-16,0.3745274
2021-10-17,0.3804569
2021-10-18,0.37908557
2021-10-19,0.37565678
2021-10-20,0.366378
2021-10-21,0.3624029
2021-10-22,0.35987952
2021-10-23,0.35988143
2021-10-24,0.35983258
2021-10-25,0.3584437
2021-10-26,0.36188167
2021-10-27,0.34574646
2021-10-28,0.3359864
2021-10-29,0.34016156
2021-10-30,0.3277773
2021-10-31,0.3226053
2021-11-01,0.31994674
2021-11-02,0.31326103
2021-11-03,0.3089735
2021-11-04,0.29934335
2021-11-05,0.29165414
2021-11-06,0.2882712
2021-11-07,0.2873188
2021-11-08,0.28354216
2021-11-09,0.28114402
2021-11-10,0.2765997
2021-11-11,0.27361578
2021-11-12,0.25989538
2021-11-13,0.25236973
2021-11-14,0.24404493
2021-11-15,0.24175256
2021-11-16,0.23891863
2021-11-17,0.23221049
2021-11-18,0.22449929
2021-11-19,0.2216466
2021-11-20,0.21772693
2021-11-21,0.21323225
2021-11-22,0.21054602
2021-11-23,0.20813803
2021-11-24,0.20418431
2021-11-25,0.19898975
2021-11-26,0.20471722
2021-11-27,0.2106424
2021-11-28,0.22095226
2021-11-29,0.2201282
2021-11-30,0.2245129
2021-12-01,0.23444143
2021-12-02,0.24194805
2021-12-03,0.25704026
2021-12-04,0.26358157
2021-12-05,0.269898
2021-12-06,0.2766646
2021-12-07,0.28298748
2021-12-08,0.30112064
2021-12-09,0.31333315
2021-12-10,0.32779804
2021-12-11,0.33255118
2021-12-12,0.3415435
2021-12-13,0.34536025
2021-12-14,0.35362035
2021-12-15,0.36070862
2021-12-16,0.37877208
2021-12-17,0.3882065
2021-12-18,0.3909612
2021-12-19,0.40014714
2021-12-20,0.40565118
2021-12-21,0.4054285
2021-12-22,0.41638672
2021-12-23,0.4332806
2021-12-24,0.4393399
2021-12-25,0.4452152
2021-12-26,0.45214733
2021-12-27,0.45124114
2021-12-28,0.4515754
