,0
2021-01-01,0.25771642
2021-01-02,0.26047847
2021-01-03,0.2460416
2021-01-04,0.2471626
2021-01-05,0.23497236
2021-01-06,0.2331564
2021-01-07,0.24893148
2021-01-08,0.25005752
2021-01-09,0.25463718
2021-01-10,0.26280954
2021-01-11,0.2832867
2021-01-12,0.27637306
2021-01-13,0.27929905
2021-01-14,0.29965368
2021-01-15,0.29842117
2021-01-16,0.29881755
2021-01-17,0.32369992
2021-01-18,0.30900803
2021-01-19,0.2963281
2021-01-20,0.32314125
2021-01-21,0.32492423
2021-01-22,0.3221058
2021-01-23,0.34106243
2021-01-24,0.33716628
2021-01-25,0.32958966
2021-01-26,0.34779167
2021-01-27,0.31611037
2021-01-28,0.3769779
2021-01-29,0.3450681
2021-01-30,0.38629964
2021-01-31,0.38654396
2021-02-01,0.40453696
2021-02-02,0.43164372
2021-02-03,0.40690026
2021-02-04,0.415752
2021-02-05,0.46613243
2021-02-06,0.44322473
2021-02-07,0.47019306
2021-02-08,0.465014
2021-02-09,0.47500142
2021-02-10,0.5034642
2021-02-11,0.44774097
2021-02-12,0.41875163
2021-02-13,0.44943932
2021-02-14,0.43654984
2021-02-15,0.4624358
2021-02-16,0.48721004
2021-02-17,0.47783834
2021-02-18,0.4712486
2021-02-19,0.48208413
2021-02-20,0.46918046
2021-02-21,0.45314798
2021-02-22,0.45744625
2021-02-23,0.50534236
2021-02-24,0.5100846
2021-02-25,0.4594964
2021-02-26,0.5012473
2021-02-27,0.48085713
2021-02-28,0.47544843
2021-03-01,0.46469828
2021-03-02,0.49961472
2021-03-03,0.51237565
2021-03-04,0.5082325
2021-03-05,0.5049316
2021-03-06,0.49799815
2021-03-07,0.49897984
2021-03-08,0.47878772
2021-03-09,0.51353425
2021-03-10,0.48651886
2021-03-11,0.51156294
2021-03-12,0.50850517
2021-03-13,0.5047556
2021-03-14,0.53223634
2021-03-15,0.5402716
2021-03-16,0.5467804
2021-03-17,0.5258096
2021-03-18,0.5318993
2021-03-19,0.55020505
2021-03-20,0.5628068
2021-03-21,0.5469415
2021-03-22,0.5338312
2021-03-23,0.56143934
2021-03-24,0.57102704
2021-03-25,0.5619698
2021-03-26,0.59237075
2021-03-27,0.57944584
2021-03-28,0.56687045
2021-03-29,0.52195907
2021-03-30,0.5358682
2021-03-31,0.53914976
2021-04-01,0.5462696
2021-04-02,0.5362206
2021-04-03,0.52960336
2021-04-04,0.54763985
2021-04-05,0.52705765
2021-04-06,0.55544746
2021-04-07,0.5493621
2021-04-08,0.5648326
2021-04-09,0.5340833
2021-04-10,0.52358305
2021-04-11,0.49485004
2021-04-12,0.5137737
2021-04-13,0.48461422
2021-04-14,0.48764983
2021-04-15,0.50533795
2021-04-16,0.46499893
2021-04-17,0.44287074
2021-04-18,0.45182827
2021-04-19,0.45843324
2021-04-20,0.3891324
2021-04-21,0.41791534
2021-04-22,0.43385372
2021-04-23,0.4377409
2021-04-24,0.41686866
