,0
2021-01-01,0.3623843
2021-01-02,0.3604695
2021-01-03,0.3612518
2021-01-04,0.36361277
2021-01-05,0.36553222
2021-01-06,0.36982536
2021-01-07,0.37720418
2021-01-08,0.3964768
2021-01-09,0.42729506
2021-01-10,0.45596135
2021-01-11,0.48388106
2021-01-12,0.5139516
2021-01-13,0.5509365
2021-01-14,0.5808673
2021-01-15,0.5985724
2021-01-16,0.6127928
2021-01-17,0.6257956
2021-01-18,0.63511914
2021-01-19,0.63629
2021-01-20,0.6345627
2021-01-21,0.64146626
2021-01-22,0.6434543
2021-01-23,0.642266
2021-01-24,0.64068514
2021-01-25,0.64162534
2021-01-26,0.64334786
2021-01-27,0.6412267
2021-01-28,0.65910316
2021-01-29,0.67503715
2021-01-30,0.70043474
2021-01-31,0.7264895
2021-02-01,0.75457233
2021-02-02,0.7851355
2021-02-03,0.81581
2021-02-04,0.84828204
2021-02-05,0.87358916
2021-02-06,0.8886618
2021-02-07,0.8977362
2021-02-08,0.8996935
2021-02-09,0.8985962
2021-02-10,0.8829474
2021-02-11,0.8649853
2021-02-12,0.85223633
2021-02-13,0.8356653
2021-02-14,0.8248227
2021-02-15,0.80910593
2021-02-16,0.8028968
2021-02-17,0.7921703
2021-02-18,0.7843066
2021-02-19,0.7723266
2021-02-20,0.76086056
2021-02-21,0.7588859
2021-02-22,0.7580213
2021-02-23,0.76340014
2021-02-24,0.76801896
2021-02-25,0.7769625
2021-02-26,0.79520166
2021-02-27,0.81279373
2021-02-28,0.8248146
2021-03-01,0.8366988
2021-03-02,0.8493032
2021-03-03,0.8506689
2021-03-04,0.84848964
2021-03-05,0.85521394
2021-03-06,0.85953796
2021-03-07,0.8608144
2021-03-08,0.8565494
2021-03-09,0.8551283
2021-03-10,0.87836814
2021-03-11,0.90142196
2021-03-12,0.9206119
2021-03-13,0.93536156
2021-03-14,0.9537813
2021-03-15,0.9724052
2021-03-16,0.9856315
2021-03-17,0.99788797
2021-03-18,1.0060775
2021-03-19,1.0266145
2021-03-20,1.0431874
2021-03-21,1.0517743
2021-03-22,1.0572217
2021-03-23,1.0591179
2021-03-24,1.0639279
2021-03-25,1.064817
2021-03-26,1.0414491
2021-03-27,1.0226818
2021-03-28,1.0040295
2021-03-29,0.986404
2021-03-30,0.9555069
2021-03-31,0.9285751
2021-04-01,0.90487593
2021-04-02,0.87252736
2021-04-03,0.8506797
2021-04-04,0.8298402
2021-04-05,0.82376397
2021-04-06,0.8203734
2021-04-07,0.81812423
2021-04-08,0.7887866
2021-04-09,0.7607291
2021-04-10,0.7380642
2021-04-11,0.7231552
2021-04-12,0.70514685
2021-04-13,0.68877256
2021-04-14,0.6766089
2021-04-15,0.67270744
2021-04-16,0.66463906
2021-04-17,0.63636
2021-04-18,0.6162856
2021-04-19,0.6026394
2021-04-20,0.59688145
2021-04-21,0.59189826
2021-04-22,0.59177166
2021-04-23,0.58883226
2021-04-24,0.5892261
2021-04-25,0.58441925
2021-04-26,0.58486664
2021-04-27,0.58253485
2021-04-28,0.5872664
2021-04-29,0.5889389
2021-04-30,0.58553404
2021-05-01,0.583535
2021-05-02,0.5718271
2021-05-03,0.56186694
2021-05-04,0.5388129
2021-05-05,0.52359354
2021-05-06,0.5115476
2021-05-07,0.50475687
2021-05-08,0.49727497
2021-05-09,0.49302462
2021-05-10,0.4952947
2021-05-11,0.49890766
2021-05-12,0.50423956
2021-05-13,0.53695357
2021-05-14,0.5712014
2021-05-15,0.6043602
2021-05-16,0.63148034
2021-05-17,0.6573481
2021-05-18,0.68273854
2021-05-19,0.69587594
2021-05-20,0.7043741
2021-05-21,0.7072208
2021-05-22,0.71017313
2021-05-23,0.708817
2021-05-24,0.7052745
2021-05-25,0.70095086
2021-05-26,0.69359344
2021-05-27,0.690659
2021-05-28,0.6906397
2021-05-29,0.68686765
2021-05-30,0.68748254
2021-05-31,0.6852002
2021-06-01,0.6889281
2021-06-02,0.68429524
2021-06-03,0.6779245
2021-06-04,0.68039215
2021-06-05,0.6821517
2021-06-06,0.68717426
2021-06-07,0.68435735
2021-06-08,0.68813026
2021-06-09,0.6862799
2021-06-10,0.6800417
2021-06-11,0.6394418
2021-06-12,0.59848803
2021-06-13,0.56253904
2021-06-14,0.5282477
2021-06-15,0.4893502
2021-06-16,0.45342058
2021-06-17,0.4267582
2021-06-18,0.4024819
2021-06-19,0.38179237
2021-06-20,0.36429444
2021-06-21,0.353002
2021-06-22,0.3464409
2021-06-23,0.33989155
2021-06-24,0.33890715
2021-06-25,0.33924428
2021-06-26,0.3377402
2021-06-27,0.34030312
2021-06-28,0.33825046
2021-06-29,0.34161538
