,0
2021-01-01,0.33505186
2021-01-02,0.33788988
2021-01-03,0.34188256
2021-01-04,0.34484667
2021-01-05,0.34518817
2021-01-06,0.35560584
2021-01-07,0.3761564
2021-01-08,0.4499293
2021-01-09,0.48235106
2021-01-10,0.51047575
2021-01-11,0.5386973
2021-01-12,0.56969637
2021-01-13,0.6025283
2021-01-14,0.62301034
2021-01-15,0.5945452
2021-01-16,0.5777211
2021-01-17,0.5707326
2021-01-18,0.5731088
2021-01-19,0.57063705
2021-01-20,0.5698551
2021-01-21,0.6129955
2021-01-22,0.59448284
2021-01-23,0.59012324
2021-01-24,0.5892268
2021-01-25,0.593603
2021-01-26,0.5923416
2021-01-27,0.59224623
2021-01-28,0.7008522
2021-01-29,0.7095048
2021-01-30,0.7739115
2021-01-31,0.8020364
2021-02-01,0.82167864
2021-02-02,0.8462277
2021-02-03,0.8861349
2021-02-04,0.884151
2021-02-05,0.8724267
2021-02-06,0.8298384
2021-02-07,0.80747104
2021-02-08,0.80020726
2021-02-09,0.7856885
2021-02-10,0.7506932
2021-02-11,0.73148596
2021-02-12,0.7300574
2021-02-13,0.7258827
2021-02-14,0.7247578
2021-02-15,0.72517395
2021-02-16,0.72095656
2021-02-17,0.7220255
2021-02-18,0.72489154
2021-02-19,0.69343245
2021-02-20,0.6929556
2021-02-21,0.70997727
2021-02-22,0.727697
2021-02-23,0.7420272
2021-02-24,0.74932325
2021-02-25,0.7627155
2021-02-26,0.80917567
2021-02-27,0.81535745
2021-02-28,0.81468195
2021-03-01,0.81316745
2021-03-02,0.8113018
2021-03-03,0.7629111
2021-03-04,0.76636887
2021-03-05,0.80874884
2021-03-06,0.8073669
2021-03-07,0.8038892
2021-03-08,0.80178124
2021-03-09,0.7979177
2021-03-10,0.8875639
2021-03-11,0.9214299
2021-03-12,0.94588447
2021-03-13,0.95713735
2021-03-14,0.9540826
2021-03-15,0.95148504
2021-03-16,0.9515446
2021-03-17,0.95640564
2021-03-18,0.9691812
2021-03-19,1.0284653
2021-03-20,1.030028
2021-03-21,1.0044059
2021-03-22,0.99095464
2021-03-23,0.97781503
2021-03-24,0.9809368
2021-03-25,0.98995066
2021-03-26,0.8735355
2021-03-27,0.8627607
2021-03-28,0.8502936
2021-03-29,0.8382422
2021-03-30,0.8191502
2021-03-31,0.8172988
2021-04-01,0.7752609
2021-04-02,0.7467997
2021-04-03,0.7535872
2021-04-04,0.7700634
2021-04-05,0.7867305
2021-04-06,0.7961049
2021-04-07,0.8010152
2021-04-08,0.69626975
2021-04-09,0.66230696
2021-04-10,0.6411273
2021-04-11,0.63786304
2021-04-12,0.6411516
2021-04-13,0.6376945
2021-04-14,0.6309369
2021-04-15,0.6302843
2021-04-16,0.61595386
2021-04-17,0.54781127
2021-04-18,0.5389925
2021-04-19,0.5432895
2021-04-20,0.541052
2021-04-21,0.55979645
2021-04-22,0.57628816
2021-04-23,0.5687126
2021-04-24,0.5719681
2021-04-25,0.5705993
2021-04-26,0.56581813
2021-04-27,0.554579
2021-04-28,0.55054224
2021-04-29,0.53954035
2021-04-30,0.53111213
2021-05-01,0.5215394
2021-05-02,0.50317436
2021-05-03,0.4772008
2021-05-04,0.4471529
2021-05-05,0.4561205
2021-05-06,0.46166962
2021-05-07,0.4619509
2021-05-08,0.4614882
2021-05-09,0.47599983
2021-05-10,0.4909309
2021-05-11,0.5013468
2021-05-12,0.50518143
2021-05-13,0.6515031
2021-05-14,0.6771351
2021-05-15,0.6957006
2021-05-16,0.70156014
2021-05-17,0.68542796
2021-05-18,0.667869
2021-05-19,0.6512005
2021-05-20,0.63719285
2021-05-21,0.6330604
2021-05-22,0.62170434
2021-05-23,0.62220454
2021-05-24,0.6273682
2021-05-25,0.6292777
2021-05-26,0.6309396
2021-05-27,0.642046
2021-05-28,0.6448425
