,0
2021-01-01,0.34684837
2021-01-02,0.33833492
2021-01-03,0.3322858
2021-01-04,0.335109
2021-01-05,0.33458507
2021-01-06,0.33370763
2021-01-07,0.33838072
2021-01-08,0.36197722
2021-01-09,0.3888198
2021-01-10,0.40193784
2021-01-11,0.41044235
2021-01-12,0.4207586
2021-01-13,0.43046844
2021-01-14,0.43848756
2021-01-15,0.43136764
2021-01-16,0.43181556
2021-01-17,0.43108833
2021-01-18,0.43777177
2021-01-19,0.4475416
2021-01-20,0.4548261
2021-01-21,0.48191538
2021-01-22,0.48279938
2021-01-23,0.4779718
2021-01-24,0.48531446
2021-01-25,0.502813
2021-01-26,0.50777364
2021-01-27,0.51355004
2021-01-28,0.5586424
2021-01-29,0.58860713
2021-01-30,0.6131252
2021-01-31,0.6404579
2021-02-01,0.6638104
2021-02-02,0.6778031
2021-02-03,0.6949028
2021-02-04,0.6961108
2021-02-05,0.7012451
2021-02-06,0.696877
2021-02-07,0.6944962
2021-02-08,0.69798386
2021-02-09,0.6909348
2021-02-10,0.6781638
2021-02-11,0.67205
2021-02-12,0.669587
2021-02-13,0.6738872
2021-02-14,0.6767069
2021-02-15,0.68765754
2021-02-16,0.677445
2021-02-17,0.67620474
2021-02-18,0.676586
2021-02-19,0.6618143
2021-02-20,0.65956986
2021-02-21,0.66605306
2021-02-22,0.68102694
2021-02-23,0.68859047
2021-02-24,0.6831602
2021-02-25,0.68883544
2021-02-26,0.7101754
2021-02-27,0.7177967
2021-02-28,0.71581626
2021-03-01,0.72301537
2021-03-02,0.72551286
2021-03-03,0.7077362
2021-03-04,0.70803344
2021-03-05,0.7331802
2021-03-06,0.74421096
2021-03-07,0.7420911
2021-03-08,0.73874414
2021-03-09,0.73291796
2021-03-10,0.7810265
2021-03-11,0.81475204
2021-03-12,0.8070426
2021-03-13,0.80531263
2021-03-14,0.80235595
2021-03-15,0.82155794
2021-03-16,0.82077044
2021-03-17,0.82062966
2021-03-18,0.8204134
2021-03-19,0.8578714
2021-03-20,0.87238085
2021-03-21,0.85954756
2021-03-22,0.86572504
2021-03-23,0.85294515
2021-03-24,0.8447956
2021-03-25,0.85304993
2021-03-26,0.8050261
2021-03-27,0.7874306
2021-03-28,0.7863622
2021-03-29,0.783729
2021-03-30,0.7709253
2021-03-31,0.7606939
2021-04-01,0.7381763
2021-04-02,0.7156568
2021-04-03,0.7118781
2021-04-04,0.71605355
2021-04-05,0.72522163
2021-04-06,0.7280987
2021-04-07,0.74481565
2021-04-08,0.6800403
2021-04-09,0.65929896
2021-04-10,0.65022576
2021-04-11,0.64304316
2021-04-12,0.6669976
2021-04-13,0.6398072
2021-04-14,0.6408653
2021-04-15,0.6303739
2021-04-16,0.6265423
2021-04-17,0.5837085
2021-04-18,0.56279397
2021-04-19,0.55281675
2021-04-20,0.56285125
2021-04-21,0.56227255
2021-04-22,0.57271665
2021-04-23,0.5690733
2021-04-24,0.5669226
2021-04-25,0.55710375
2021-04-26,0.55355674
2021-04-27,0.5561561
2021-04-28,0.54918474
2021-04-29,0.54199976
2021-04-30,0.5402062
2021-05-01,0.5285589
