,0
2021-01-01,0.2520603
2021-01-02,0.2614144
2021-01-03,0.2339506
2021-01-04,0.24177906
2021-01-05,0.22983502
2021-01-06,0.24626921
2021-01-07,0.22007853
2021-01-08,0.22507887
2021-01-09,0.21046412
2021-01-10,0.22068065
2021-01-11,0.2305891
2021-01-12,0.2103174
2021-01-13,0.21230942
2021-01-14,0.22000526
2021-01-15,0.21735916
2021-01-16,0.22055277
2021-01-17,0.202878
2021-01-18,0.2162805
2021-01-19,0.19704942
2021-01-20,0.23443027
2021-01-21,0.21720938
2021-01-22,0.20058116
2021-01-23,0.2055639
2021-01-24,0.20744084
2021-01-25,0.20002848
2021-01-26,0.20419572
2021-01-27,0.19952522
2021-01-28,0.20554161
2021-01-29,0.22254919
2021-01-30,0.19671018
2021-01-31,0.19596896
2021-02-01,0.18238996
2021-02-02,0.23048224
2021-02-03,0.2030547
2021-02-04,0.19992024
2021-02-05,0.20739466
2021-02-06,0.2022861
2021-02-07,0.21959
2021-02-08,0.19992357
2021-02-09,0.1950794
2021-02-10,0.23383856
2021-02-11,0.18848404
2021-02-12,0.20373152
2021-02-13,0.22564334
2021-02-14,0.18416037
2021-02-15,0.19738647
2021-02-16,0.20068039
2021-02-17,0.17810899
2021-02-18,0.18056351
2021-02-19,0.18597305
2021-02-20,0.18642691
2021-02-21,0.20925142
2021-02-22,0.1931732
2021-02-23,0.21265866
2021-02-24,0.21297367
2021-02-25,0.1909718
2021-02-26,0.18075985
2021-02-27,0.17314959
2021-02-28,0.18598808
2021-03-01,0.1822081
2021-03-02,0.1906953
2021-03-03,0.17666626
2021-03-04,0.19913279
2021-03-05,0.19400662
2021-03-06,0.21064071
2021-03-07,0.18863054
2021-03-08,0.20848411
2021-03-09,0.1892496
2021-03-10,0.23154849
2021-03-11,0.21787673
2021-03-12,0.2337408
2021-03-13,0.19729435
2021-03-14,0.22071582
2021-03-15,0.23809874
2021-03-16,0.21773022
2021-03-17,0.20145288
2021-03-18,0.22487915
2021-03-19,0.23397097
2021-03-20,0.24502544
2021-03-21,0.22945392
2021-03-22,0.19831471
2021-03-23,0.24144338
2021-03-24,0.22170171
2021-03-25,0.21652098
2021-03-26,0.2328876
2021-03-27,0.23129658
2021-03-28,0.23412569
2021-03-29,0.23519991
2021-03-30,0.2473887
2021-03-31,0.20075274
2021-04-01,0.2116636
2021-04-02,0.2377984
2021-04-03,0.22153778
2021-04-04,0.23492855
2021-04-05,0.23945762
2021-04-06,0.23929332
2021-04-07,0.22473583
2021-04-08,0.22668123
2021-04-09,0.23265302
2021-04-10,0.22894333
2021-04-11,0.23523772
2021-04-12,0.22532573
2021-04-13,0.24256238
2021-04-14,0.23001571
2021-04-15,0.21587257
2021-04-16,0.23282212
2021-04-17,0.23981114
2021-04-18,0.19066782
2021-04-19,0.18798861
2021-04-20,0.21551012
2021-04-21,0.19913544
2021-04-22,0.20726542
2021-04-23,0.21952745
2021-04-24,0.2031906
2021-04-25,0.21357241
2021-04-26,0.18936169
2021-04-27,0.1980272
2021-04-28,0.2033935
2021-04-29,0.19822365
2021-04-30,0.17016798
2021-05-01,0.18054096
2021-05-02,0.15982074
