,0
2021-01-01,0.38159114
2021-01-02,0.38021696
2021-01-03,0.38039595
2021-01-04,0.38273206
2021-01-05,0.38170466
2021-01-06,0.38242045
2021-01-07,0.38335195
2021-01-08,0.3759364
2021-01-09,0.37190026
2021-01-10,0.36906058
2021-01-11,0.367391
2021-01-12,0.37000272
2021-01-13,0.37089747
2021-01-14,0.37166992
2021-01-15,0.3745674
2021-01-16,0.37492672
2021-01-17,0.37579468
2021-01-18,0.37671274
2021-01-19,0.37733597
2021-01-20,0.3796255
2021-01-21,0.37917048
2021-01-22,0.35382664
2021-01-23,0.3244581
2021-01-24,0.30593774
2021-01-25,0.2951676
2021-01-26,0.28785056
2021-01-27,0.28825736
2021-01-28,0.3069239
2021-01-29,0.3261522
2021-01-30,0.36927664
2021-01-31,0.40773988
2021-02-01,0.42871758
2021-02-02,0.4446687
2021-02-03,0.4531872
2021-02-04,0.45949146
2021-02-05,0.460673
2021-02-06,0.46461102
2021-02-07,0.46784973
2021-02-08,0.4675917
2021-02-09,0.4732438
2021-02-10,0.47023353
2021-02-11,0.4704746
2021-02-12,0.46031865
2021-02-13,0.45159343
2021-02-14,0.44794276
2021-02-15,0.44212484
2021-02-16,0.44569817
2021-02-17,0.436138
2021-02-18,0.43655708
2021-02-19,0.4322426
2021-02-20,0.43696114
2021-02-21,0.44318736
2021-02-22,0.44676957
2021-02-23,0.4543093
2021-02-24,0.44876188
2021-02-25,0.4462964
2021-02-26,0.4313301
2021-02-27,0.4297161
2021-02-28,0.42951363
2021-03-01,0.41657606
2021-03-02,0.40219146
2021-03-03,0.3917337
2021-03-04,0.38386807
2021-03-05,0.37536252
2021-03-06,0.39419553
2021-03-07,0.41255125
2021-03-08,0.42283043
2021-03-09,0.43693528
2021-03-10,0.44802928
2021-03-11,0.46163428
2021-03-12,0.46726182
2021-03-13,0.47642395
2021-03-14,0.48123685
2021-03-15,0.48606858
2021-03-16,0.49744835
2021-03-17,0.49935812
2021-03-18,0.50306726
2021-03-19,0.49358922
2021-03-20,0.48799244
2021-03-21,0.48469627
2021-03-22,0.47809753
2021-03-23,0.47663325
2021-03-24,0.46862623
2021-03-25,0.470316
2021-03-26,0.46403044
2021-03-27,0.46533605
2021-03-28,0.47092202
2021-03-29,0.47127447
2021-03-30,0.4690119
2021-03-31,0.4690904
2021-04-01,0.4802102
2021-04-02,0.4829425
2021-04-03,0.48234823
2021-04-04,0.48070797
2021-04-05,0.47104406
2021-04-06,0.46003634
2021-04-07,0.44894245
2021-04-08,0.4402147
2021-04-09,0.4278312
2021-04-10,0.4141521
2021-04-11,0.406564
2021-04-12,0.4003608
2021-04-13,0.3932569
2021-04-14,0.3903864
2021-04-15,0.3873468
2021-04-16,0.3892565
2021-04-17,0.3971803
2021-04-18,0.40070924
2021-04-19,0.4041748
2021-04-20,0.40672618
2021-04-21,0.40980196
2021-04-22,0.41398543
2021-04-23,0.41887462
2021-04-24,0.4168088
2021-04-25,0.4113465
2021-04-26,0.40403506
2021-04-27,0.3932169
2021-04-28,0.3781648
2021-04-29,0.35845837
2021-04-30,0.34606972
2021-05-01,0.33940926
2021-05-02,0.33128738
2021-05-03,0.3242623
2021-05-04,0.31808937
2021-05-05,0.31209737
2021-05-06,0.3089753
2021-05-07,0.3200644
2021-05-08,0.3273887
2021-05-09,0.33413374
2021-05-10,0.34428638
2021-05-11,0.35299516
2021-05-12,0.3641654
2021-05-13,0.37927362
2021-05-14,0.40187165
2021-05-15,0.41811544
2021-05-16,0.42921156
2021-05-17,0.44200963
2021-05-18,0.44891077
2021-05-19,0.45183456
2021-05-20,0.44508666
2021-05-21,0.4431937
2021-05-22,0.44239515
2021-05-23,0.43899423
2021-05-24,0.43522987
2021-05-25,0.42483613
2021-05-26,0.41911283
2021-05-27,0.40977365
2021-05-28,0.4016917
2021-05-29,0.3953174
2021-05-30,0.38951755
2021-05-31,0.38548073
2021-06-01,0.37864622
2021-06-02,0.37531212
2021-06-03,0.37099683
2021-06-04,0.3710582
2021-06-05,0.36532828
2021-06-06,0.35633665
2021-06-07,0.35014778
2021-06-08,0.34785482
2021-06-09,0.34593713
2021-06-10,0.34102526
2021-06-11,0.33011633
2021-06-12,0.3037951
2021-06-13,0.28140932
2021-06-14,0.2640166
2021-06-15,0.24832195
2021-06-16,0.23767531
2021-06-17,0.24562135
2021-06-18,0.25764087
2021-06-19,0.28575924
2021-06-20,0.3139184
2021-06-21,0.33512998
2021-06-22,0.34818828
2021-06-23,0.35888064
2021-06-24,0.3702808
