,0
2021-01-01,0.35072586
2021-01-02,0.35577378
2021-01-03,0.36399737
2021-01-04,0.3718057
2021-01-05,0.37784237
2021-01-06,0.36550444
2021-01-07,0.3615577
2021-01-08,0.35703856
2021-01-09,0.3594706
2021-01-10,0.36435372
2021-01-11,0.3688925
2021-01-12,0.37285072
2021-01-13,0.3745567
2021-01-14,0.37182388
2021-01-15,0.37639564
2021-01-16,0.37837988
2021-01-17,0.37717533
2021-01-18,0.37615412
2021-01-19,0.37463865
2021-01-20,0.37353477
2021-01-21,0.37332198
2021-01-22,0.3275474
2021-01-23,0.3051187
2021-01-24,0.29318506
2021-01-25,0.28826475
2021-01-26,0.2942543
2021-01-27,0.3068415
2021-01-28,0.36223927
2021-01-29,0.3702899
2021-01-30,0.4371611
2021-01-31,0.45133668
2021-02-01,0.45426953
2021-02-02,0.44570673
2021-02-03,0.42542443
2021-02-04,0.42336515
2021-02-05,0.4347412
2021-02-06,0.4511025
2021-02-07,0.45119876
2021-02-08,0.44985548
2021-02-09,0.4489616
2021-02-10,0.43638244
2021-02-11,0.43501034
2021-02-12,0.43957156
2021-02-13,0.4364662
2021-02-14,0.436634
2021-02-15,0.43727055
2021-02-16,0.43639725
2021-02-17,0.43644378
2021-02-18,0.43569967
2021-02-19,0.4354322
2021-02-20,0.4612093
2021-02-21,0.46242934
2021-02-22,0.462365
2021-02-23,0.46029904
2021-02-24,0.44183183
2021-02-25,0.42408434
2021-02-26,0.3963934
2021-02-27,0.43590033
2021-02-28,0.42280802
2021-03-01,0.40495673
2021-03-02,0.39080346
2021-03-03,0.38155502
2021-03-04,0.37430298
2021-03-05,0.37323105
2021-03-06,0.44199723
2021-03-07,0.4519392
2021-03-08,0.4488845
2021-03-09,0.4438715
2021-03-10,0.44107804
2021-03-11,0.47056332
2021-03-12,0.47389993
2021-03-13,0.48070496
2021-03-14,0.4808874
2021-03-15,0.48150036
2021-03-16,0.48171446
2021-03-17,0.4811436
2021-03-18,0.4792391
2021-03-19,0.48185065
2021-03-20,0.45800328
2021-03-21,0.45926332
2021-03-22,0.4620996
2021-03-23,0.4636275
2021-03-24,0.46683952
2021-03-25,0.46972638
2021-03-26,0.46566805
2021-03-27,0.47191674
2021-03-28,0.47231773
2021-03-29,0.472911
2021-03-30,0.47189823
2021-03-31,0.48883504
2021-04-01,0.48485166
2021-04-02,0.48682803
2021-04-03,0.47273156
2021-04-04,0.45939505
2021-04-05,0.44937733
2021-04-06,0.43631932
2021-04-07,0.4333294
2021-04-08,0.4332735
2021-04-09,0.41829586
2021-04-10,0.40794897
2021-04-11,0.40148562
2021-04-12,0.397356
2021-04-13,0.39313522
2021-04-14,0.393646
2021-04-15,0.39380434
2021-04-16,0.40316653
2021-04-17,0.40771833
2021-04-18,0.4096025
2021-04-19,0.4086491
2021-04-20,0.40736073
2021-04-21,0.4081212
2021-04-22,0.4102381
2021-04-23,0.41905448
2021-04-24,0.40573484
2021-04-25,0.39615318
2021-04-26,0.38357806
2021-04-27,0.37048918
2021-04-28,0.34864336
2021-04-29,0.32520142
2021-04-30,0.3400802
2021-05-01,0.33966982
2021-05-02,0.33249953
2021-05-03,0.32626268
2021-05-04,0.3158581
2021-05-05,0.314786
2021-05-06,0.31315213
2021-05-07,0.3413103
2021-05-08,0.34614107
2021-05-09,0.35009268
2021-05-10,0.3527659
2021-05-11,0.3539912
2021-05-12,0.366046
2021-05-13,0.40523028
2021-05-14,0.433577
2021-05-15,0.43232957
2021-05-16,0.4284873
2021-05-17,0.42696038
2021-05-18,0.424922
2021-05-19,0.42071357
2021-05-20,0.41776392
2021-05-21,0.42296672
2021-05-22,0.4221751
2021-05-23,0.41480458
2021-05-24,0.40899998
2021-05-25,0.40183696
2021-05-26,0.40257555
2021-05-27,0.4043854
2021-05-28,0.39071625
2021-05-29,0.39090225
2021-05-30,0.38860002
2021-05-31,0.3843798
2021-06-01,0.37336585
2021-06-02,0.3700216
2021-06-03,0.36746407
2021-06-04,0.3758122
2021-06-05,0.35278946
2021-06-06,0.35075596
2021-06-07,0.35122484
2021-06-08,0.34959105
2021-06-09,0.35110188
2021-06-10,0.34149837
2021-06-11,0.31463295
2021-06-12,0.28464377
2021-06-13,0.2641118
2021-06-14,0.2498989
2021-06-15,0.24181966
2021-06-16,0.24095792
2021-06-17,0.27926204
2021-06-18,0.287265
2021-06-19,0.34691328
2021-06-20,0.3565165
2021-06-21,0.35929674
2021-06-22,0.36022636
2021-06-23,0.35919523
2021-06-24,0.3681898
2021-06-25,0.37309766
2021-06-26,0.37685093
2021-06-27,0.37620917
2021-06-28,0.3768037
2021-06-29,0.3753666
2021-06-30,0.37659645
2021-07-01,0.381239
