,0
2021-01-01,0.3558332
2021-01-02,0.3536163
2021-01-03,0.3548284
2021-01-04,0.36064994
2021-01-05,0.36210594
2021-01-06,0.36746404
2021-01-07,0.36773086
2021-01-08,0.36309546
2021-01-09,0.35366914
2021-01-10,0.35252008
2021-01-11,0.34996033
2021-01-12,0.34504882
2021-01-13,0.3465277
2021-01-14,0.3482407
2021-01-15,0.34800982
2021-01-16,0.34711358
2021-01-17,0.3436973
2021-01-18,0.34388432
2021-01-19,0.3442056
2021-01-20,0.34812617
2021-01-21,0.34766158
2021-01-22,0.31454423
2021-01-23,0.29136613
2021-01-24,0.28295928
2021-01-25,0.2806199
2021-01-26,0.28673667
2021-01-27,0.29732606
2021-01-28,0.30778688
2021-01-29,0.30937526
2021-01-30,0.33274728
2021-01-31,0.33803642
2021-02-01,0.34547034
2021-02-02,0.3459973
2021-02-03,0.33304024
2021-02-04,0.33199233
2021-02-05,0.33662963
2021-02-06,0.3415809
2021-02-07,0.3466772
2021-02-08,0.34905285
2021-02-09,0.3535339
2021-02-10,0.35173878
2021-02-11,0.35307938
2021-02-12,0.35817933
2021-02-13,0.35240188
2021-02-14,0.35339707
2021-02-15,0.35474846
2021-02-16,0.35368472
2021-02-17,0.35375935
2021-02-18,0.35654855
2021-02-19,0.3588888
2021-02-20,0.36749744
2021-02-21,0.37045762
2021-02-22,0.37244278
2021-02-23,0.37511337
2021-02-24,0.37444404
2021-02-25,0.36615872
2021-02-26,0.3471443
2021-02-27,0.3586686
2021-02-28,0.35697064
2021-03-01,0.3653503
2021-03-02,0.35660252
2021-03-03,0.34399974
2021-03-04,0.34020126
2021-03-05,0.33813924
2021-03-06,0.3590227
2021-03-07,0.37262797
2021-03-08,0.37911364
2021-03-09,0.38113222
2021-03-10,0.37999776
2021-03-11,0.3973581
2021-03-12,0.38544545
2021-03-13,0.37762764
2021-03-14,0.38243553
2021-03-15,0.39481008
2021-03-16,0.40052152
2021-03-17,0.39521956
2021-03-18,0.39289433
2021-03-19,0.38876697
2021-03-20,0.37486663
2021-03-21,0.3716078
2021-03-22,0.37860793
2021-03-23,0.3825805
2021-03-24,0.38513947
2021-03-25,0.382832
2021-03-26,0.3725523
2021-03-27,0.37277082
2021-03-28,0.3785096
2021-03-29,0.3840026
2021-03-30,0.3837671
2021-03-31,0.38653058
2021-04-01,0.39101836
2021-04-02,0.38841632
2021-04-03,0.38657
2021-04-04,0.38201186
2021-04-05,0.3757742
2021-04-06,0.36937618
2021-04-07,0.36124015
2021-04-08,0.363702
2021-04-09,0.35847047
2021-04-10,0.35714436
2021-04-11,0.3516167
2021-04-12,0.34953317
2021-04-13,0.3458278
2021-04-14,0.3380297
2021-04-15,0.3375706
2021-04-16,0.3474951
2021-04-17,0.35351586
2021-04-18,0.3518825
2021-04-19,0.3536491
2021-04-20,0.35264125
2021-04-21,0.35271278
2021-04-22,0.3559344
2021-04-23,0.3539461
2021-04-24,0.36209106
2021-04-25,0.3558474
2021-04-26,0.34843415
2021-04-27,0.33387047
2021-04-28,0.32706413
2021-04-29,0.31126058
2021-04-30,0.31513008
2021-05-01,0.31463966
2021-05-02,0.31054515
2021-05-03,0.30634987
2021-05-04,0.29606757
2021-05-05,0.29805413
2021-05-06,0.29404363
2021-05-07,0.3049884
2021-05-08,0.3070031
2021-05-09,0.30848423
2021-05-10,0.30713862
2021-05-11,0.30624524
2021-05-12,0.32655227
2021-05-13,0.34597751
2021-05-14,0.35510582
2021-05-15,0.35811794
2021-05-16,0.3645446
2021-05-17,0.36595315
2021-05-18,0.3640216
2021-05-19,0.36548597
2021-05-20,0.35853267
2021-05-21,0.36060855
2021-05-22,0.3637457
2021-05-23,0.365447
2021-05-24,0.36573085
2021-05-25,0.35878986
2021-05-26,0.3574818
2021-05-27,0.35646275
2021-05-28,0.34981173
2021-05-29,0.35061467
2021-05-30,0.3551297
2021-05-31,0.3537727
2021-06-01,0.35284355
2021-06-02,0.3509723
2021-06-03,0.3385345
2021-06-04,0.3410846
2021-06-05,0.33235335
2021-06-06,0.33118743
2021-06-07,0.3288313
2021-06-08,0.32691932
2021-06-09,0.32920948
2021-06-10,0.3275749
2021-06-11,0.30519006
2021-06-12,0.2804062
2021-06-13,0.2680012
2021-06-14,0.26125723
2021-06-15,0.25643083
2021-06-16,0.25554457
2021-06-17,0.26891848
2021-06-18,0.2785772
2021-06-19,0.2978627
2021-06-20,0.30688018
2021-06-21,0.31142613
2021-06-22,0.31706408
2021-06-23,0.31935403
2021-06-24,0.32098022
2021-06-25,0.32382065
2021-06-26,0.32513267
2021-06-27,0.32302818
2021-06-28,0.32466558
2021-06-29,0.32062724
2021-06-30,0.3212279
2021-07-01,0.32654774
2021-07-02,0.33037776
2021-07-03,0.33491245
2021-07-04,0.33510518
2021-07-05,0.3313923
2021-07-06,0.33194745
2021-07-07,0.3308058
2021-07-08,0.3232674
2021-07-09,0.3252884
2021-07-10,0.32639897
2021-07-11,0.3283465
2021-07-12,0.33401015
2021-07-13,0.33227727
2021-07-14,0.32994628
2021-07-15,0.33537206
2021-07-16,0.3253067
2021-07-17,0.3206283
2021-07-18,0.30894047
2021-07-19,0.29698575
2021-07-20,0.2829965
2021-07-21,0.26580632
2021-07-22,0.26294538
2021-07-23,0.26003963
2021-07-24,0.26776916
2021-07-25,0.26883018
2021-07-26,0.2713117
2021-07-27,0.26686636
2021-07-28,0.2641781
2021-07-29,0.2692118
2021-07-30,0.2628548
2021-07-31,0.2631826
2021-08-01,0.26049718
2021-08-02,0.26297224
2021-08-03,0.26131123
2021-08-04,0.2578768
2021-08-05,0.26851088
2021-08-06,0.27782595
2021-08-07,0.28185079
2021-08-08,0.2801862
2021-08-09,0.27995452
2021-08-10,0.28270862
2021-08-11,0.2825832
2021-08-12,0.27247673
2021-08-13,0.27235186
2021-08-14,0.273831
2021-08-15,0.2804368
2021-08-16,0.28172675
2021-08-17,0.28479284
2021-08-18,0.2815055
2021-08-19,0.2954282
2021-08-20,0.3048642
2021-08-21,0.30197695
2021-08-22,0.30231643
2021-08-23,0.30313575
2021-08-24,0.2994729
2021-08-25,0.30617875
2021-08-26,0.3057108
2021-08-27,0.30687654
2021-08-28,0.3082715
2021-08-29,0.3047073
2021-08-30,0.31002033
2021-08-31,0.3057463
2021-09-01,0.3112456
2021-09-02,0.29515016
2021-09-03,0.28802997
2021-09-04,0.28693637
2021-09-05,0.2875019
2021-09-06,0.29508704
2021-09-07,0.28934452
2021-09-08,0.2953092
2021-09-09,0.30896804
2021-09-10,0.31286982
2021-09-11,0.3159123
2021-09-12,0.315479
2021-09-13,0.3113788
2021-09-14,0.30699083
2021-09-15,0.2986453
2021-09-16,0.29687098
2021-09-17,0.28598896
2021-09-18,0.27349922
2021-09-19,0.2734886
2021-09-20,0.27876368
2021-09-21,0.29555413
2021-09-22,0.30556616
2021-09-23,0.30291343
2021-09-24,0.30310822
2021-09-25,0.29673228
2021-09-26,0.29255334
2021-09-27,0.29150522
2021-09-28,0.29518595
2021-09-29,0.30571675
2021-09-30,0.3187244
2021-10-01,0.347631
2021-10-02,0.3622108
2021-10-03,0.36343315
2021-10-04,0.36450288
2021-10-05,0.3646152
2021-10-06,0.34882802
2021-10-07,0.34285438
2021-10-08,0.34664735
2021-10-09,0.34701017
2021-10-10,0.34604472
2021-10-11,0.34590763
2021-10-12,0.3463792
2021-10-13,0.35079533
2021-10-14,0.34433675
2021-10-15,0.35058838
2021-10-16,0.3583407
2021-10-17,0.35468346
2021-10-18,0.3476903
2021-10-19,0.33996555
2021-10-20,0.33434758
2021-10-21,0.331145
2021-10-22,0.32983235
2021-10-23,0.33544627
2021-10-24,0.34068254
2021-10-25,0.33557928
2021-10-26,0.3372208
2021-10-27,0.32982635
2021-10-28,0.31672746
2021-10-29,0.29076728
2021-10-30,0.277381
2021-10-31,0.2730124
2021-11-01,0.26676157
2021-11-02,0.26681235
2021-11-03,0.27002314
2021-11-04,0.27023372
2021-11-05,0.25917682
2021-11-06,0.26021457
2021-11-07,0.26248834
2021-11-08,0.26570126
2021-11-09,0.26629242
2021-11-10,0.26422092
2021-11-11,0.26914418
2021-11-12,0.2592342
2021-11-13,0.24552633
2021-11-14,0.24140328
2021-11-15,0.23615403
2021-11-16,0.23233373
2021-11-17,0.2407211
2021-11-18,0.23408902
2021-11-19,0.23905551
2021-11-20,0.23397312
2021-11-21,0.22978218
2021-11-22,0.23046505
2021-11-23,0.23742121
2021-11-24,0.23924392
2021-11-25,0.24389353
2021-11-26,0.25135118
2021-11-27,0.25778046
2021-11-28,0.25862345
2021-11-29,0.25499472
2021-11-30,0.25277096
2021-12-01,0.30988565
2021-12-02,0.33299074
2021-12-03,0.35091117
2021-12-04,0.3679154
2021-12-05,0.3803528
2021-12-06,0.39046997
2021-12-07,0.39560777
2021-12-08,0.39915335
2021-12-09,0.40247285
2021-12-10,0.40011406
2021-12-11,0.41597784
2021-12-12,0.42652816
2021-12-13,0.43754783
2021-12-14,0.4463859
2021-12-15,0.44982055
2021-12-16,0.45303494
2021-12-17,0.4610949
2021-12-18,0.4786617
2021-12-19,0.48756936
2021-12-20,0.4847292
2021-12-21,0.48771322
2021-12-22,0.48524982
2021-12-23,0.49297372
2021-12-24,0.49504283
2021-12-25,0.49438426
2021-12-26,0.5010083
2021-12-27,0.50342757
2021-12-28,0.49975857
