,0
2021-01-01,1.3627133
2021-01-02,1.2801403
2021-01-03,1.2758292
2021-01-04,1.3204968
2021-01-05,1.3009163
2021-01-06,1.2206596
2021-01-07,1.1328884
2021-01-08,1.0934289
2021-01-09,1.083077
2021-01-10,1.0896885
2021-01-11,1.0677375
2021-01-12,1.0564001
2021-01-13,1.0322578
2021-01-14,1.0014269
2021-01-15,0.9976505
2021-01-16,1.0102676
2021-01-17,0.98836017
2021-01-18,0.99960136
2021-01-19,0.9599517
2021-01-20,0.98970294
2021-01-21,0.9555865
2021-01-22,0.9549958
2021-01-23,0.9581733
2021-01-24,0.97442895
2021-01-25,0.9435521
2021-01-26,0.9656378
2021-01-27,0.9434365
2021-01-28,0.91531265
2021-01-29,0.9119723
2021-01-30,0.9149396
2021-01-31,0.9068934
2021-02-01,0.98261416
2021-02-02,1.0167377
2021-02-03,0.9427278
2021-02-04,0.93829316
2021-02-05,0.94636184
2021-02-06,0.9392218
2021-02-07,0.9242998
2021-02-08,0.9394038
2021-02-09,0.9386487
2021-02-10,0.9372559
2021-02-11,0.9293885
2021-02-12,0.92567116
2021-02-13,0.9499207
2021-02-14,0.94605255
2021-02-15,0.92920417
2021-02-16,0.93003416
2021-02-17,0.9056976
2021-02-18,0.9475824
2021-02-19,0.94515246
2021-02-20,0.9586618
2021-02-21,0.93099666
2021-02-22,0.9167374
2021-02-23,0.9710074
2021-02-24,0.91233635
2021-02-25,0.91870004
2021-02-26,0.9693805
2021-02-27,0.9608691
2021-02-28,0.99773276
2021-03-01,0.95178574
2021-03-02,0.9347678
2021-03-03,1.0088767
2021-03-04,0.9760573
2021-03-05,1.0044173
2021-03-06,0.99691916
2021-03-07,1.0179834
2021-03-08,1.0021898
2021-03-09,1.0367916
2021-03-10,0.9568432
2021-03-11,1.0804769
2021-03-12,1.0073894
2021-03-13,1.0093802
2021-03-14,0.97585535
2021-03-15,0.98421866
2021-03-16,1.0217443
2021-03-17,0.9982822
2021-03-18,0.9852943
2021-03-19,1.0029255
2021-03-20,1.0347285
2021-03-21,1.0276589
2021-03-22,1.0106287
2021-03-23,0.99844575
2021-03-24,1.0176802
2021-03-25,0.99477786
2021-03-26,1.0071974
2021-03-27,0.98611444
2021-03-28,1.0058007
2021-03-29,0.9684965
2021-03-30,0.97108895
2021-03-31,0.9673274
2021-04-01,1.0127649
2021-04-02,0.9714848
2021-04-03,0.9436798
2021-04-04,0.96838987
2021-04-05,0.9344727
2021-04-06,0.9634053
2021-04-07,0.909896
2021-04-08,0.92597026
2021-04-09,0.9034841
2021-04-10,0.91965014
2021-04-11,0.8846259
2021-04-12,0.89958435
2021-04-13,0.8576368
2021-04-14,0.9221737
2021-04-15,0.90218663
2021-04-16,0.8857528
2021-04-17,0.9137902
2021-04-18,0.8567481
2021-04-19,0.8713388
2021-04-20,0.8381952
2021-04-21,0.78643477
2021-04-22,0.8215612
2021-04-23,0.8004769
2021-04-24,0.7852781
2021-04-25,0.79371625
2021-04-26,0.7577063
2021-04-27,0.73139024
2021-04-28,0.75310063
2021-04-29,0.73856604
2021-04-30,0.7371075
2021-05-01,0.7528444
2021-05-02,0.76350355
2021-05-03,0.74975276
2021-05-04,0.73205316
2021-05-05,0.7446624
2021-05-06,0.7544017
2021-05-07,0.73397166
2021-05-08,0.7573559
2021-05-09,0.73795354
2021-05-10,0.77453583
2021-05-11,0.7441395
2021-05-12,0.74165076
2021-05-13,0.73377764
2021-05-14,0.7537494
2021-05-15,0.76104426
2021-05-16,0.79259104
2021-05-17,0.7550746
2021-05-18,0.776541
2021-05-19,0.7593124
2021-05-20,0.824546
2021-05-21,0.7854004
2021-05-22,0.80571246
2021-05-23,0.8235231
2021-05-24,0.8159776
2021-05-25,0.8242024
2021-05-26,0.811785
2021-05-27,0.8284104
2021-05-28,0.81511956
2021-05-29,0.8233822
2021-05-30,0.8175517
2021-05-31,0.83810747
2021-06-01,0.82956225
2021-06-02,0.8151329
2021-06-03,0.7846434
2021-06-04,0.8283152
2021-06-05,0.7986334
2021-06-06,0.79971755
2021-06-07,0.7664792
2021-06-08,0.7944071
2021-06-09,0.777067
2021-06-10,0.825915
2021-06-11,0.81188005
2021-06-12,0.81160104
2021-06-13,0.77678126
2021-06-14,0.8404671
2021-06-15,0.78052
2021-06-16,0.786119
2021-06-17,0.76637304
2021-06-18,0.76712996
2021-06-19,0.7394941
2021-06-20,0.7728688
2021-06-21,0.752357
2021-06-22,0.73735464
2021-06-23,0.74457383
2021-06-24,0.77770877
2021-06-25,0.76028013
2021-06-26,0.7525863
2021-06-27,0.7234041
2021-06-28,0.7435232
2021-06-29,0.7593637
2021-06-30,0.7431174
2021-07-01,0.78850365
2021-07-02,0.75579834
2021-07-03,0.7283268
2021-07-04,0.7527858
2021-07-05,0.74890435
2021-07-06,0.72562385
2021-07-07,0.74643517
2021-07-08,0.7445463
2021-07-09,0.754739
2021-07-10,0.72811896
2021-07-11,0.7599654
2021-07-12,0.78505844
2021-07-13,0.78452325
2021-07-14,0.79491997
2021-07-15,0.7740496
2021-07-16,0.7763181
2021-07-17,0.80921763
2021-07-18,0.7890842
2021-07-19,0.82909936
2021-07-20,0.82844216
2021-07-21,0.79199684
2021-07-22,0.8379293
2021-07-23,0.85344774
2021-07-24,0.8327634
2021-07-25,0.8503926
2021-07-26,0.85784876
2021-07-27,0.8689795
2021-07-28,0.8410554
2021-07-29,0.82993513
2021-07-30,0.8595056
2021-07-31,0.8525331
2021-08-01,0.865229
2021-08-02,0.8783806
2021-08-03,0.84769803
2021-08-04,0.8074398
2021-08-05,0.8643312
2021-08-06,0.89203995
2021-08-07,0.839798
2021-08-08,0.8694382
2021-08-09,0.83539236
2021-08-10,0.8948832
2021-08-11,0.8769858
2021-08-12,0.8720341
2021-08-13,0.87659293
2021-08-14,0.901555
2021-08-15,0.8145105
2021-08-16,0.8293165
2021-08-17,0.80826193
2021-08-18,0.8047572
2021-08-19,0.7985037
2021-08-20,0.8128473
2021-08-21,0.80850005
2021-08-22,0.79469436
2021-08-23,0.81176955
2021-08-24,0.7876657
2021-08-25,0.762088
2021-08-26,0.8078955
2021-08-27,0.7722255
2021-08-28,0.76917285
2021-08-29,0.7882864
2021-08-30,0.7764941
2021-08-31,0.7749632
2021-09-01,0.7843406
2021-09-02,0.75756407
2021-09-03,0.7785893
2021-09-04,0.76936966
2021-09-05,0.767186
2021-09-06,0.7488006
2021-09-07,0.7719266
2021-09-08,0.751678
2021-09-09,0.72911394
2021-09-10,0.7504314
2021-09-11,0.7569535
2021-09-12,0.7584218
2021-09-13,0.787648
2021-09-14,0.7681768
2021-09-15,0.77009535
2021-09-16,0.750582
2021-09-17,0.77809584
2021-09-18,0.78728426
2021-09-19,0.809985
2021-09-20,0.81133676
2021-09-21,0.7960644
2021-09-22,0.78881025
2021-09-23,0.8168155
2021-09-24,0.7951995
