,0
2021-01-01,1.2718519
2021-01-02,1.2376251
2021-01-03,1.2269148
2021-01-04,1.2016342
2021-01-05,1.1975012
2021-01-06,1.1470399
2021-01-07,1.1162384
2021-01-08,1.0947914
2021-01-09,1.0797975
2021-01-10,1.0768962
2021-01-11,1.0633321
2021-01-12,1.0604024
2021-01-13,1.0541021
2021-01-14,1.0481454
2021-01-15,1.0479954
2021-01-16,1.0721875
2021-01-17,1.0928522
2021-01-18,1.1054437
2021-01-19,1.1364592
2021-01-20,1.1519021
2021-01-21,1.1644832
2021-01-22,1.1770666
2021-01-23,1.1954674
2021-01-24,1.2014765
2021-01-25,1.2070948
2021-01-26,1.2127278
2021-01-27,1.2153252
2021-01-28,1.2201953
2021-01-29,1.2181922
2021-01-30,1.232721
2021-01-31,1.2396911
2021-02-01,1.2536013
2021-02-02,1.2560955
2021-02-03,1.2639462
2021-02-04,1.2742153
2021-02-05,1.2742444
2021-02-06,1.2706908
2021-02-07,1.2732899
2021-02-08,1.278487
2021-02-09,1.2827803
2021-02-10,1.2942845
2021-02-11,1.2879466
2021-02-12,1.2838495
2021-02-13,1.2753352
2021-02-14,1.2644765
2021-02-15,1.2535934
2021-02-16,1.2424535
2021-02-17,1.2286046
2021-02-18,1.2149612
2021-02-19,1.2080871
2021-02-20,1.185698
2021-02-21,1.1751724
2021-02-22,1.1711687
2021-02-23,1.1680983
2021-02-24,1.167779
2021-02-25,1.1755774
2021-02-26,1.1906849
2021-02-27,1.2108849
2021-02-28,1.2306588
2021-03-01,1.247479
2021-03-02,1.2572329
2021-03-03,1.2693917
2021-03-04,1.277397
2021-03-05,1.2700849
2021-03-06,1.2756133
2021-03-07,1.277412
2021-03-08,1.2771411
2021-03-09,1.2803003
2021-03-10,1.2690063
2021-03-11,1.259359
2021-03-12,1.2454083
2021-03-13,1.2338064
2021-03-14,1.2238091
2021-03-15,1.211037
2021-03-16,1.2062007
2021-03-17,1.1957222
2021-03-18,1.192417
2021-03-19,1.2025878
2021-03-20,1.2067974
2021-03-21,1.2130048
2021-03-22,1.2168252
2021-03-23,1.2195133
2021-03-24,1.2113045
2021-03-25,1.2085857
2021-03-26,1.2037916
2021-03-27,1.1986629
2021-03-28,1.1877589
2021-03-29,1.1735201
2021-03-30,1.1585816
2021-03-31,1.1476054
2021-04-01,1.1332947
2021-04-02,1.1188152
2021-04-03,1.1126002
2021-04-04,1.0987916
2021-04-05,1.0899234
2021-04-06,1.0791825
2021-04-07,1.0740671
2021-04-08,1.0643032
2021-04-09,1.0500772
2021-04-10,1.0369107
2021-04-11,1.0280159
2021-04-12,1.0158817
2021-04-13,1.0063483
2021-04-14,0.99816394
2021-04-15,0.98862314
2021-04-16,0.98669606
2021-04-17,0.9544598
2021-04-18,0.93161076
2021-04-19,0.90784895
2021-04-20,0.88223696
2021-04-21,0.86855507
2021-04-22,0.85553324
2021-04-23,0.8373322
2021-04-24,0.81914926
2021-04-25,0.80491465
2021-04-26,0.7877869
2021-04-27,0.7725203
2021-04-28,0.7634929
2021-04-29,0.7692445
2021-04-30,0.77937526
2021-05-01,0.78828233
2021-05-02,0.7997785
2021-05-03,0.8147741
2021-05-04,0.8280866
2021-05-05,0.8444514
2021-05-06,0.86566305
2021-05-07,0.8824302
2021-05-08,0.9057369
2021-05-09,0.92844963
2021-05-10,0.94446576
2021-05-11,0.9630571
2021-05-12,0.9792378
2021-05-13,0.9917834
2021-05-14,1.0046759
2021-05-15,1.0166397
2021-05-16,1.0264953
2021-05-17,1.0375091
2021-05-18,1.0570208
2021-05-19,1.0702108
2021-05-20,1.0862732
2021-05-21,1.0937754
2021-05-22,1.1046336
2021-05-23,1.1077071
2021-05-24,1.1117376
2021-05-25,1.1170825
2021-05-26,1.118951
2021-05-27,1.112137
2021-05-28,1.0990779
2021-05-29,1.0807712
2021-05-30,1.061811
2021-05-31,1.050459
2021-06-01,1.0345128
2021-06-02,1.024656
2021-06-03,1.0265286
2021-06-04,1.013702
2021-06-05,1.0014819
2021-06-06,0.99176407
2021-06-07,0.9804853
2021-06-08,0.9701572
2021-06-09,0.9685104
2021-06-10,0.9511603
2021-06-11,0.9351145
2021-06-12,0.9240214
2021-06-13,0.90562207
2021-06-14,0.8901376
2021-06-15,0.86837524
2021-06-16,0.84646493
2021-06-17,0.817642
2021-06-18,0.80471987
2021-06-19,0.8008845
2021-06-20,0.8072062
2021-06-21,0.8204379
2021-06-22,0.8438617
2021-06-23,0.8624519
2021-06-24,0.8712064
2021-06-25,0.8853494
2021-06-26,0.89880055
2021-06-27,0.91365063
2021-06-28,0.9374416
2021-06-29,0.9571346
2021-06-30,0.9573469
2021-07-01,0.95605326
2021-07-02,0.9525811
2021-07-03,0.94602364
2021-07-04,0.945203
2021-07-05,0.9474803
2021-07-06,0.950575
2021-07-07,0.95931
2021-07-08,0.9712396
2021-07-09,0.98366016
2021-07-10,0.9994952
2021-07-11,1.0186096
2021-07-12,1.032435
2021-07-13,1.0428156
2021-07-14,1.0504247
2021-07-15,1.058429
2021-07-16,1.0718378
2021-07-17,1.0829123
2021-07-18,1.0961523
2021-07-19,1.0973997
2021-07-20,1.1030477
2021-07-21,1.0972894
2021-07-22,1.1088499
2021-07-23,1.1134467
2021-07-24,1.1202427
2021-07-25,1.1301935
2021-07-26,1.1404533
2021-07-27,1.155245
2021-07-28,1.1438226
2021-07-29,1.1451095
2021-07-30,1.1402342
2021-07-31,1.1309127
2021-08-01,1.1236078
2021-08-02,1.1170805
2021-08-03,1.1154743
2021-08-04,1.0967503
2021-08-05,1.089877
2021-08-06,1.082352
2021-08-07,1.0724545
2021-08-08,1.0670223
2021-08-09,1.056686
2021-08-10,1.0593913
2021-08-11,1.0557761
2021-08-12,1.0477988
2021-08-13,1.0391277
2021-08-14,1.0229422
2021-08-15,1.0038731
2021-08-16,0.9766896
2021-08-17,0.9546782
2021-08-18,0.926725
2021-08-19,0.89510846
2021-08-20,0.8776856
2021-08-21,0.8578686
2021-08-22,0.8448849
2021-08-23,0.8378902
2021-08-24,0.8425168
2021-08-25,0.8486414
2021-08-26,0.852018
2021-08-27,0.8634879
2021-08-28,0.88136756
2021-08-29,0.89948255
2021-08-30,0.9218248
2021-08-31,0.9381731
2021-09-01,0.9491551
2021-09-02,0.9465623
2021-09-03,0.95593226
2021-09-04,0.9571182
2021-09-05,0.95928544
2021-09-06,0.960203
2021-09-07,0.9562772
2021-09-08,0.9586261
2021-09-09,0.95104027
2021-09-10,0.95035094
2021-09-11,0.94502294
2021-09-12,0.9482281
2021-09-13,0.9497789
2021-09-14,0.9542749
2021-09-15,0.9582156
2021-09-16,0.9754574
2021-09-17,0.9884991
2021-09-18,0.99244636
2021-09-19,1.0070432
2021-09-20,1.0242379
2021-09-21,1.0430555
2021-09-22,1.0480597
2021-09-23,1.0663962
2021-09-24,1.0889797
2021-09-25,1.1023116
2021-09-26,1.1230621
2021-09-27,1.1408305
2021-09-28,1.1611726
2021-09-29,1.1679429
2021-09-30,1.176693
2021-10-01,1.1879619
2021-10-02,1.195636
2021-10-03,1.2063484
2021-10-04,1.2128528
2021-10-05,1.228804
2021-10-06,1.2309687
2021-10-07,1.2279767
2021-10-08,1.2312244
2021-10-09,1.2468258
2021-10-10,1.2533705
2021-10-11,1.2492983
2021-10-12,1.2516534
2021-10-13,1.2484584
2021-10-14,1.2311403
2021-10-15,1.2117344
2021-10-16,1.1957952
2021-10-17,1.170195
2021-10-18,1.1382966
2021-10-19,1.1066622
2021-10-20,1.0713556
2021-10-21,1.0302845
2021-10-22,0.98815465
2021-10-23,0.9531714
2021-10-24,0.91508657
2021-10-25,0.8816808
2021-10-26,0.84753174
2021-10-27,0.8199872
2021-10-28,0.8040315
2021-10-29,0.78680843
2021-10-30,0.7668179
2021-10-31,0.74979526
2021-11-01,0.7359253
2021-11-02,0.71974516
2021-11-03,0.7132871
2021-11-04,0.7027859
2021-11-05,0.6914101
2021-11-06,0.67965066
2021-11-07,0.66796297
2021-11-08,0.65339094
2021-11-09,0.6374469
2021-11-10,0.6299426
2021-11-11,0.6359896
2021-11-12,0.64366305
2021-11-13,0.6442356
2021-11-14,0.6500639
2021-11-15,0.6584865
2021-11-16,0.669612
2021-11-17,0.68076617
2021-11-18,0.6886919
2021-11-19,0.68894356
2021-11-20,0.71988195
2021-11-21,0.7414369
2021-11-22,0.76476717
2021-11-23,0.7900267
2021-11-24,0.8209232
2021-11-25,0.83524483
2021-11-26,0.8631359
2021-11-27,0.89828193
2021-11-28,0.927223
2021-11-29,0.95182866
2021-11-30,0.98289967
2021-12-01,1.0054152
2021-12-02,1.0219454
2021-12-03,1.0461127
2021-12-04,1.0687152
2021-12-05,1.083853
2021-12-06,1.096327
2021-12-07,1.1023575
2021-12-08,1.1093565
2021-12-09,1.1263578
2021-12-10,1.1258793
2021-12-11,1.1292951
2021-12-12,1.1264104
2021-12-13,1.1346744
2021-12-14,1.1278954
2021-12-15,1.1336551
2021-12-16,1.1379048
2021-12-17,1.1331244
2021-12-18,1.1362221
2021-12-19,1.133525
2021-12-20,1.127495
2021-12-21,1.116003
2021-12-22,1.1206168
2021-12-23,1.1022341
2021-12-24,1.0880126
2021-12-25,1.0716202
2021-12-26,1.0521175
2021-12-27,1.0306666
2021-12-28,1.0066453
