,0
2021-01-01,1.1935087
2021-01-02,1.1596055
2021-01-03,1.1589772
2021-01-04,1.1641147
2021-01-05,1.128895
2021-01-06,1.0733569
2021-01-07,1.1021752
2021-01-08,1.1096325
2021-01-09,1.1135501
2021-01-10,1.1014558
2021-01-11,1.0881331
2021-01-12,1.0503063
2021-01-13,1.1346523
2021-01-14,1.0535074
2021-01-15,1.0887871
2021-01-16,1.2200307
2021-01-17,1.2313613
2021-01-18,1.2356913
2021-01-19,1.2423077
2021-01-20,1.2547992
2021-01-21,1.237625
2021-01-22,1.2491964
2021-01-23,1.2311848
2021-01-24,1.2230961
2021-01-25,1.2133119
2021-01-26,1.2042717
2021-01-27,1.24011
2021-01-28,1.247625
2021-01-29,1.25229
2021-01-30,1.3005905
2021-01-31,1.3087447
2021-02-01,1.3096294
2021-02-02,1.3052905
2021-02-03,1.3119268
2021-02-04,1.3012015
2021-02-05,1.2469941
2021-02-06,1.2371427
2021-02-07,1.2796214
2021-02-08,1.3187797
2021-02-09,1.3590151
2021-02-10,1.3504602
2021-02-11,1.2888052
2021-02-12,1.2998778
2021-02-13,1.2548305
2021-02-14,1.2355306
2021-02-15,1.2191306
2021-02-16,1.200388
2021-02-17,1.1842822
2021-02-18,1.1724973
2021-02-19,1.2082661
2021-02-20,1.1554685
2021-02-21,1.170357
2021-02-22,1.2006549
2021-02-23,1.2308998
2021-02-24,1.2432941
2021-02-25,1.2976854
2021-02-26,1.3089104
2021-02-27,1.3350313
2021-02-28,1.3241553
2021-03-01,1.3055134
2021-03-02,1.2951086
2021-03-03,1.2952379
2021-03-04,1.3032604
2021-03-05,1.2213874
2021-03-06,1.3089868
2021-03-07,1.3078604
2021-03-08,1.3032074
2021-03-09,1.3022658
2021-03-10,1.2074717
2021-03-11,1.2391889
2021-03-12,1.2149643
2021-03-13,1.1984782
2021-03-14,1.197034
2021-03-15,1.19561
2021-03-16,1.1916109
2021-03-17,1.2096517
2021-03-18,1.1985941
2021-03-19,1.3181541
2021-03-20,1.2997967
2021-03-21,1.2791001
2021-03-22,1.2589142
2021-03-23,1.2387441
2021-03-24,1.2347273
2021-03-25,1.1944484
2021-03-26,1.1692505
2021-03-27,1.1691341
2021-03-28,1.1603715
2021-03-29,1.1501129
2021-03-30,1.1324948
2021-03-31,1.1337236
2021-04-01,1.1264589
2021-04-02,1.1311458
2021-04-03,1.1201344
2021-04-04,1.1071265
2021-04-05,1.0943102
2021-04-06,1.0739014
2021-04-07,1.0705795
2021-04-08,1.0538002
2021-04-09,1.0281566
2021-04-10,1.0197074
2021-04-11,1.0205563
2021-04-12,1.0228168
2021-04-13,1.0149522
2021-04-14,1.0055561
2021-04-15,0.99970037
2021-04-16,1.0017444
2021-04-17,0.895022
2021-04-18,0.8592972
2021-04-19,0.83876884
2021-04-20,0.81949997
2021-04-21,0.8374349
2021-04-22,0.8420875
2021-04-23,0.8034477
2021-04-24,0.80860126
2021-04-25,0.7960789
2021-04-26,0.7802304
2021-04-27,0.7450826
2021-04-28,0.7473314
2021-04-29,0.87463397
2021-04-30,0.8888995
2021-05-01,0.8728177
2021-05-02,0.87700725
2021-05-03,0.88157433
2021-05-04,0.8867034
2021-05-05,0.8884927
2021-05-06,0.9961177
2021-05-07,0.98132735
2021-05-08,1.0065955
2021-05-09,1.0041125
2021-05-10,0.9987254
2021-05-11,0.99844986
2021-05-12,1.0592716
2021-05-13,0.9980825
2021-05-14,1.0008394
2021-05-15,1.0723369
2021-05-16,1.0922006
2021-05-17,1.1028792
2021-05-18,1.1139826
2021-05-19,1.102055
2021-05-20,1.130548
2021-05-21,1.125163
2021-05-22,1.1168901
2021-05-23,1.1169927
2021-05-24,1.1171746
2021-05-25,1.120117
2021-05-26,1.139585
2021-05-27,1.0596583
2021-05-28,1.0471269
2021-05-29,0.98858654
2021-05-30,1.003372
2021-05-31,1.0195533
2021-06-01,1.0240061
2021-06-02,1.0397843
2021-06-03,1.0716838
2021-06-04,0.9870964
2021-06-05,0.98349786
2021-06-06,0.97753394
2021-06-07,0.9701967
2021-06-08,0.95758116
2021-06-09,0.9633265
2021-06-10,0.92227596
2021-06-11,0.91036856
2021-06-12,0.8998461
2021-06-13,0.87944645
2021-06-14,0.8546752
2021-06-15,0.8247678
2021-06-16,0.7992991
2021-06-17,0.76467985
2021-06-18,0.78042936
2021-06-19,0.8828578
2021-06-20,0.9243709
2021-06-21,0.9549356
2021-06-22,0.98769677
2021-06-23,0.9816221
2021-06-24,0.9394823
2021-06-25,0.94061506
2021-06-26,0.9458308
2021-06-27,0.9852314
2021-06-28,1.0178221
2021-06-29,1.0501444
2021-06-30,0.9278994
2021-07-01,0.8929972
2021-07-02,0.9252958
2021-07-03,0.92446494
2021-07-04,0.9530337
2021-07-05,0.97803706
2021-07-06,1.0056777
2021-07-07,1.0315871
2021-07-08,1.0476296
2021-07-09,1.0452629
2021-07-10,1.0786182
2021-07-11,1.0814149
2021-07-12,1.076596
2021-07-13,1.0758514
2021-07-14,1.0785927
2021-07-15,1.1215923
2021-07-16,1.1371754
2021-07-17,1.1084788
