,0
2021-01-01,1.1801789
2021-01-02,1.1512117
2021-01-03,1.1413149
2021-01-04,1.1713321
2021-01-05,1.1506568
2021-01-06,1.1274489
2021-01-07,1.1332543
2021-01-08,1.0846559
2021-01-09,1.079694
2021-01-10,1.0711697
2021-01-11,1.0694476
2021-01-12,1.0404692
2021-01-13,1.051746
2021-01-14,1.0208381
2021-01-15,1.021799
2021-01-16,1.0529265
2021-01-17,1.0617993
2021-01-18,1.1008099
2021-01-19,1.0988705
2021-01-20,1.1268562
2021-01-21,1.1206568
2021-01-22,1.1219009
2021-01-23,1.0816711
2021-01-24,1.0557405
2021-01-25,1.0491576
2021-01-26,1.0462877
2021-01-27,1.0607721
2021-01-28,1.0305161
2021-01-29,1.026675
2021-01-30,1.0529319
2021-01-31,1.0508373
2021-02-01,1.0503701
2021-02-02,1.0780913
2021-02-03,1.049168
2021-02-04,1.0412166
2021-02-05,1.0148046
2021-02-06,0.9918344
2021-02-07,1.0126747
2021-02-08,1.024909
2021-02-09,1.0683197
2021-02-10,1.0696391
2021-02-11,1.0374984
2021-02-12,1.02875
2021-02-13,1.0014077
2021-02-14,0.98122823
2021-02-15,0.9730133
2021-02-16,0.96595633
2021-02-17,0.95450544
2021-02-18,0.9279271
2021-02-19,0.94827926
2021-02-20,0.92211336
2021-02-21,0.93442476
2021-02-22,0.9454041
2021-02-23,0.9677686
2021-02-24,0.9760568
2021-02-25,0.99693954
2021-02-26,1.0136564
2021-02-27,1.0495937
2021-02-28,1.0535958
2021-03-01,1.0840772
2021-03-02,1.058376
2021-03-03,1.057165
2021-03-04,1.0922107
2021-03-05,1.055523
2021-03-06,1.0856938
2021-03-07,1.0954771
2021-03-08,1.0856452
2021-03-09,1.0795275
2021-03-10,1.054344
2021-03-11,1.0675778
2021-03-12,1.0577117
2021-03-13,1.0462718
2021-03-14,1.0424745
2021-03-15,1.0356632
2021-03-16,1.0314837
2021-03-17,1.026274
2021-03-18,1.0096401
2021-03-19,1.0659946
2021-03-20,1.0748444
2021-03-21,1.0643958
2021-03-22,1.0609825
2021-03-23,1.0395261
2021-03-24,1.0337386
2021-03-25,0.9974278
2021-03-26,0.98492926
2021-03-27,0.9724826
2021-03-28,0.96383685
2021-03-29,0.9530757
2021-03-30,0.94030595
2021-03-31,0.9419804
2021-04-01,0.9355538
2021-04-02,0.92606044
2021-04-03,0.92012435
2021-04-04,0.91262
2021-04-05,0.90318143
2021-04-06,0.897374
2021-04-07,0.8802845
2021-04-08,0.8760669
2021-04-09,0.8585562
2021-04-10,0.86528784
2021-04-11,0.8589369
2021-04-12,0.8495704
2021-04-13,0.85612
2021-04-14,0.8513588
2021-04-15,0.85865736
2021-04-16,0.8484913
2021-04-17,0.7719661
2021-04-18,0.7544297
2021-04-19,0.7293578
2021-04-20,0.7261508
2021-04-21,0.73493975
2021-04-22,0.744343
2021-04-23,0.7252322
2021-04-24,0.72474474
2021-04-25,0.712982
2021-04-26,0.715986
2021-04-27,0.6901573
2021-04-28,0.6752603
2021-04-29,0.7173879
2021-04-30,0.72792894
2021-05-01,0.7514417
2021-05-02,0.7443783
2021-05-03,0.7604432
2021-05-04,0.7551413
2021-05-05,0.74897486
2021-05-06,0.8172209
2021-05-07,0.8131804
2021-05-08,0.83742255
2021-05-09,0.8339466
2021-05-10,0.8283603
2021-05-11,0.83255714
2021-05-12,0.8492627
2021-05-13,0.8260752
2021-05-14,0.8386716
2021-05-15,0.90036964
2021-05-16,0.9317279
2021-05-17,0.9279881
2021-05-18,0.9251737
2021-05-19,0.92950684
2021-05-20,0.94039947
2021-05-21,0.94708717
2021-05-22,0.94446
2021-05-23,0.9512827
2021-05-24,0.94578356
2021-05-25,0.930084
2021-05-26,0.9427095
2021-05-27,0.88907707
2021-05-28,0.888926
2021-05-29,0.8449266
2021-05-30,0.8495412
2021-05-31,0.8445645
2021-06-01,0.8646234
