,0
2021-01-01,0.35547498
2021-01-02,0.319654
2021-01-03,0.3151084
2021-01-04,0.31607088
2021-01-05,0.32666877
2021-01-06,0.29440653
2021-01-07,0.29230475
2021-01-08,0.3691067
2021-01-09,0.35744584
2021-01-10,0.36076522
2021-01-11,0.3977051
2021-01-12,0.4213379
2021-01-13,0.4067624
2021-01-14,0.3914039
2021-01-15,0.39401555
2021-01-16,0.4215713
2021-01-17,0.368715
2021-01-18,0.36202773
2021-01-19,0.38768455
2021-01-20,0.38724458
2021-01-21,0.39355388
2021-01-22,0.37987727
2021-01-23,0.3850559
2021-01-24,0.37796077
2021-01-25,0.3876974
2021-01-26,0.41421032
2021-01-27,0.4237819
2021-01-28,0.3991412
2021-01-29,0.41911662
2021-01-30,0.41950852
2021-01-31,0.45340168
2021-02-01,0.45067784
2021-02-02,0.40942916
2021-02-03,0.42347768
2021-02-04,0.4600959
2021-02-05,0.41917396
2021-02-06,0.39310437
2021-02-07,0.39241832
2021-02-08,0.38125974
2021-02-09,0.32502937
2021-02-10,0.39434037
2021-02-11,0.33395317
2021-02-12,0.3455052
2021-02-13,0.3501847
2021-02-14,0.3284653
2021-02-15,0.36707854
2021-02-16,0.35940662
2021-02-17,0.40200245
2021-02-18,0.3770491
2021-02-19,0.3697874
2021-02-20,0.37955058
2021-02-21,0.33317754
2021-02-22,0.39944878
2021-02-23,0.3990366
2021-02-24,0.39019832
2021-02-25,0.3723357
2021-02-26,0.40794018
2021-02-27,0.3600913
2021-02-28,0.37032655
2021-03-01,0.4086849
2021-03-02,0.40991402
2021-03-03,0.40450862
2021-03-04,0.39603442
2021-03-05,0.36785847
2021-03-06,0.43056566
2021-03-07,0.40898055
2021-03-08,0.4107854
2021-03-09,0.40423697
2021-03-10,0.4077481
2021-03-11,0.5015229
2021-03-12,0.40094593
2021-03-13,0.4451539
2021-03-14,0.45143893
2021-03-15,0.44961762
2021-03-16,0.45231673
2021-03-17,0.4417943
2021-03-18,0.42827576
2021-03-19,0.39273056
2021-03-20,0.42131793
2021-03-21,0.42766243
2021-03-22,0.41957805
2021-03-23,0.4492973
2021-03-24,0.43110642
2021-03-25,0.3815358
2021-03-26,0.41471848
2021-03-27,0.3934764
2021-03-28,0.3646563
2021-03-29,0.3973243
2021-03-30,0.39487562
2021-03-31,0.36625922
2021-04-01,0.3761767
2021-04-02,0.36454895
2021-04-03,0.42157498
2021-04-04,0.39241993
2021-04-05,0.3373105
2021-04-06,0.36550272
2021-04-07,0.33661246
2021-04-08,0.3352252
2021-04-09,0.36417583
2021-04-10,0.34885702
2021-04-11,0.35441768
2021-04-12,0.3438901
2021-04-13,0.30713212
2021-04-14,0.31862462
2021-04-15,0.34377387
2021-04-16,0.29279283
2021-04-17,0.29884377
2021-04-18,0.31209752
2021-04-19,0.28243652
