,0
2021-01-01,0.51358247
2021-01-02,0.48805174
2021-01-03,0.486346
2021-01-04,0.47978988
2021-01-05,0.47680286
2021-01-06,0.47386676
2021-01-07,0.5283951
2021-01-08,0.5943478
2021-01-09,0.6475861
2021-01-10,0.69874185
2021-01-11,0.74266106
2021-01-12,0.7719185
2021-01-13,0.781073
2021-01-14,0.78872496
2021-01-15,0.7826249
2021-01-16,0.78565323
2021-01-17,0.77971077
2021-01-18,0.7671049
2021-01-19,0.7521747
2021-01-20,0.7409528
2021-01-21,0.72874296
2021-01-22,0.7189041
2021-01-23,0.7085395
2021-01-24,0.7073046
2021-01-25,0.6978327
2021-01-26,0.69457334
2021-01-27,0.69404155
2021-01-28,0.7202012
2021-01-29,0.7448396
2021-01-30,0.77222914
2021-01-31,0.80610174
2021-02-01,0.83015347
2021-02-02,0.8544172
2021-02-03,0.8767582
2021-02-04,0.8941915
2021-02-05,0.87507504
2021-02-06,0.85176617
2021-02-07,0.8283055
2021-02-08,0.8016282
2021-02-09,0.7776414
2021-02-10,0.7589823
2021-02-11,0.7458289
2021-02-12,0.73348874
2021-02-13,0.7267484
2021-02-14,0.72335184
2021-02-15,0.7215623
2021-02-16,0.7284716
2021-02-17,0.7361629
2021-02-18,0.7445638
2021-02-19,0.75007033
2021-02-20,0.755474
2021-02-21,0.76103973
2021-02-22,0.7611697
2021-02-23,0.7666598
2021-02-24,0.76712185
2021-02-25,0.7740766
2021-02-26,0.7648632
2021-02-27,0.76125145
2021-02-28,0.7660922
2021-03-01,0.7689483
2021-03-02,0.7777683
2021-03-03,0.7783089
2021-03-04,0.769337
2021-03-05,0.76244843
2021-03-06,0.7509566
2021-03-07,0.7399172
2021-03-08,0.73402065
2021-03-09,0.7328943
2021-03-10,0.73215574
2021-03-11,0.7406165
2021-03-12,0.75095004
2021-03-13,0.75875396
2021-03-14,0.7706032
2021-03-15,0.7759321
2021-03-16,0.783158
2021-03-17,0.7798815
2021-03-18,0.77999175
2021-03-19,0.7760606
2021-03-20,0.7749834
2021-03-21,0.77511084
2021-03-22,0.77609795
2021-03-23,0.77704906
2021-03-24,0.78166884
2021-03-25,0.77538484
2021-03-26,0.7725257
2021-03-27,0.7636489
2021-03-28,0.7490539
2021-03-29,0.72694284
2021-03-30,0.69931716
2021-03-31,0.6788345
2021-04-01,0.6604774
2021-04-02,0.6451881
2021-04-03,0.6321225
2021-04-04,0.6224244
2021-04-05,0.614037
2021-04-06,0.60600114
2021-04-07,0.5957531
2021-04-08,0.58705074
2021-04-09,0.5688816
2021-04-10,0.5565511
2021-04-11,0.54605234
2021-04-12,0.5361499
2021-04-13,0.5285042
2021-04-14,0.5249073
2021-04-15,0.52144897
2021-04-16,0.5156174
2021-04-17,0.5166872
2021-04-18,0.51313865
2021-04-19,0.51279765
2021-04-20,0.5118791
2021-04-21,0.5155451
2021-04-22,0.5176027
2021-04-23,0.52278584
2021-04-24,0.5301104
2021-04-25,0.53364116
2021-04-26,0.5319417
2021-04-27,0.5296378
2021-04-28,0.52413094
2021-04-29,0.51843625
2021-04-30,0.52330124
2021-05-01,0.5273985
2021-05-02,0.5292849
2021-05-03,0.5311398
2021-05-04,0.5321227
2021-05-05,0.5336795
2021-05-06,0.53455925
2021-05-07,0.54596937
2021-05-08,0.55258715
2021-05-09,0.5593917
2021-05-10,0.56583875
2021-05-11,0.56943816
2021-05-12,0.5800557
2021-05-13,0.5904618
2021-05-14,0.6070656
2021-05-15,0.62731725
2021-05-16,0.642661
2021-05-17,0.6570446
2021-05-18,0.66525805
2021-05-19,0.6677347
2021-05-20,0.6614129
2021-05-21,0.6506371
2021-05-22,0.62998176
2021-05-23,0.60993403
2021-05-24,0.5946467
2021-05-25,0.5790124
2021-05-26,0.56958014
2021-05-27,0.562886
2021-05-28,0.55148476
2021-05-29,0.54057014
2021-05-30,0.5316974
2021-05-31,0.5272354
2021-06-01,0.5246318
2021-06-02,0.52591306
2021-06-03,0.5265921
2021-06-04,0.52471656
2021-06-05,0.5155453
2021-06-06,0.5052231
2021-06-07,0.49814117
2021-06-08,0.4912074
2021-06-09,0.4875207
2021-06-10,0.4757922
2021-06-11,0.4695712
2021-06-12,0.45475557
2021-06-13,0.4408007
2021-06-14,0.4263535
2021-06-15,0.41179082
2021-06-16,0.4027678
2021-06-17,0.38358134
2021-06-18,0.41058508
2021-06-19,0.45848396
2021-06-20,0.5021411
2021-06-21,0.5489643
2021-06-22,0.5928429
