,0
2021-01-01,0.44672555
2021-01-02,0.50247264
2021-01-03,0.5262099
2021-01-04,0.49838793
2021-01-05,0.48424786
2021-01-06,0.47737205
2021-01-07,0.71057737
2021-01-08,0.76134884
2021-01-09,0.7573864
2021-01-10,0.7456004
2021-01-11,0.74688727
2021-01-12,0.74305093
2021-01-13,0.7414025
2021-01-14,0.7275568
2021-01-15,0.6978755
2021-01-16,0.71824837
2021-01-17,0.7213884
2021-01-18,0.72940826
2021-01-19,0.7284738
2021-01-20,0.72851336
2021-01-21,0.7228251
2021-01-22,0.7258756
2021-01-23,0.7225195
2021-01-24,0.7147406
2021-01-25,0.7120378
2021-01-26,0.7016195
2021-01-27,0.7085351
2021-01-28,0.793118
2021-01-29,0.83431804
2021-01-30,0.87036085
2021-01-31,0.87019724
2021-02-01,0.87024146
2021-02-02,0.8680161
2021-02-03,0.9004457
2021-02-04,0.90789926
2021-02-05,0.7867543
2021-02-06,0.73229015
2021-02-07,0.739022
2021-02-08,0.74584
2021-02-09,0.7536071
2021-02-10,0.7574515
2021-02-11,0.7503304
2021-02-12,0.75197566
2021-02-13,0.7619833
2021-02-14,0.76645553
2021-02-15,0.7620487
2021-02-16,0.75957316
2021-02-17,0.76146674
2021-02-18,0.76539236
2021-02-19,0.76928735
2021-02-20,0.77363384
2021-02-21,0.77623296
2021-02-22,0.7719176
2021-02-23,0.76930875
2021-02-24,0.768442
2021-02-25,0.8003898
2021-02-26,0.7584817
2021-02-27,0.7567512
2021-02-28,0.77294904
2021-03-01,0.7821692
2021-03-02,0.80432546
2021-03-03,0.79205906
2021-03-04,0.7430387
2021-03-05,0.7478133
2021-03-06,0.7417936
2021-03-07,0.7476181
2021-03-08,0.75410664
2021-03-09,0.75917894
2021-03-10,0.75209296
2021-03-11,0.7897227
2021-03-12,0.79604167
2021-03-13,0.8034471
2021-03-14,0.8009158
2021-03-15,0.7987586
2021-03-16,0.7954018
2021-03-17,0.77754885
2021-03-18,0.7766473
2021-03-19,0.77690536
2021-03-20,0.7774281
2021-03-21,0.7845487
2021-03-22,0.7925278
2021-03-23,0.8002405
2021-03-24,0.81605816
2021-03-25,0.7861426
2021-03-26,0.7731869
2021-03-27,0.76100457
2021-03-28,0.73197716
2021-03-29,0.7113963
2021-03-30,0.6879442
2021-03-31,0.6731299
2021-04-01,0.66611224
2021-04-02,0.66861975
2021-04-03,0.66529506
2021-04-04,0.65964526
2021-04-05,0.64942116
2021-04-06,0.6331352
2021-04-07,0.6134922
2021-04-08,0.6046142
2021-04-09,0.56054485
2021-04-10,0.5578875
2021-04-11,0.5631035
2021-04-12,0.56053317
2021-04-13,0.54745406
2021-04-14,0.55872524
2021-04-15,0.5525059
2021-04-16,0.54805195
2021-04-17,0.5554351
2021-04-18,0.55460984
2021-04-19,0.5376213
2021-04-20,0.5188943
2021-04-21,0.527063
2021-04-22,0.53019404
2021-04-23,0.54853445
2021-04-24,0.5607908
2021-04-25,0.5544283
2021-04-26,0.53555596
2021-04-27,0.51878947
2021-04-28,0.51662886
2021-04-29,0.5137473
2021-04-30,0.54783684
2021-05-01,0.54235196
2021-05-02,0.5432455
2021-05-03,0.5356146
2021-05-04,0.5309966
2021-05-05,0.53975827
2021-05-06,0.5492794
2021-05-07,0.58321875
2021-05-08,0.5831044
2021-05-09,0.5797269
2021-05-10,0.57582957
2021-05-11,0.5732701
2021-05-12,0.5999023
2021-05-13,0.6143914
2021-05-14,0.63339293
2021-05-15,0.65623355
2021-05-16,0.6731417
2021-05-17,0.6805274
2021-05-18,0.6772697
2021-05-19,0.65006167
2021-05-20,0.6234227
2021-05-21,0.6046693
2021-05-22,0.5740559
2021-05-23,0.5734374
2021-05-24,0.5730574
2021-05-25,0.57296777
2021-05-26,0.5805008
2021-05-27,0.58232915
2021-05-28,0.5618925
2021-05-29,0.5536156
2021-05-30,0.5552939
2021-05-31,0.55131686
2021-06-01,0.5469047
2021-06-02,0.5511595
2021-06-03,0.54583144
2021-06-04,0.5384538
2021-06-05,0.508538
2021-06-06,0.50765294
2021-06-07,0.50841594
2021-06-08,0.50562704
2021-06-09,0.50933564
2021-06-10,0.4728487
2021-06-11,0.47522172
2021-06-12,0.4438097
2021-06-13,0.4343294
2021-06-14,0.42423356
2021-06-15,0.40883696
2021-06-16,0.40964246
2021-06-17,0.37647116
2021-06-18,0.5139429
2021-06-19,0.613048
2021-06-20,0.63400334
2021-06-21,0.6429984
2021-06-22,0.6517551
2021-06-23,0.6472564
2021-06-24,0.63188255
2021-06-25,0.6425939
2021-06-26,0.64450157
2021-06-27,0.6439854
2021-06-28,0.6498811
2021-06-29,0.65252954
2021-06-30,0.65086764
2021-07-01,0.64729255
2021-07-02,0.6546535
2021-07-03,0.65386796
2021-07-04,0.6563988
2021-07-05,0.66772234
2021-07-06,0.67386353
2021-07-07,0.6806537
2021-07-08,0.68156534
2021-07-09,0.7117346
2021-07-10,0.7828676
2021-07-11,0.7910425
2021-07-12,0.79384625
2021-07-13,0.7930659
2021-07-14,0.7910002
2021-07-15,0.78967285
2021-07-16,0.78786784
2021-07-17,0.7198297
2021-07-18,0.7131342
2021-07-19,0.72376275
2021-07-20,0.7359725
2021-07-21,0.76400304
2021-07-22,0.79666746
2021-07-23,0.81199396
2021-07-24,0.7991529
2021-07-25,0.79095167
2021-07-26,0.78823745
2021-07-27,0.78428817
2021-07-28,0.7796452
2021-07-29,0.7788972
2021-07-30,0.7892933
2021-07-31,0.79167783
2021-08-01,0.78817433
2021-08-02,0.7909073
2021-08-03,0.7892978
2021-08-04,0.7761252
2021-08-05,0.7809484
2021-08-06,0.7603635
2021-08-07,0.7214718
2021-08-08,0.7162023
2021-08-09,0.7105012
2021-08-10,0.70421696
2021-08-11,0.70365125
2021-08-12,0.7196241
2021-08-13,0.7236486
2021-08-14,0.7081966
2021-08-15,0.67596483
2021-08-16,0.65056443
2021-08-17,0.6234369
2021-08-18,0.5795322
2021-08-19,0.5397195
2021-08-20,0.50918204
2021-08-21,0.4994329
2021-08-22,0.5087007
2021-08-23,0.517003
2021-08-24,0.51041156
2021-08-25,0.52180207
2021-08-26,0.5495346
2021-08-27,0.5405959
2021-08-28,0.5574974
2021-08-29,0.5703832
2021-08-30,0.5643992
2021-08-31,0.5614611
2021-09-01,0.54257524
2021-09-02,0.5432941
2021-09-03,0.52432674
2021-09-04,0.469271
2021-09-05,0.4694247
2021-09-06,0.4650764
2021-09-07,0.4579165
2021-09-08,0.46142218
2021-09-09,0.44678086
2021-09-10,0.4252071
2021-09-11,0.4364842
2021-09-12,0.44759703
2021-09-13,0.4479113
2021-09-14,0.44791234
2021-09-15,0.47790885
2021-09-16,0.48943123
2021-09-17,0.46810937
2021-09-18,0.45931694
2021-09-19,0.4912461
2021-09-20,0.5277631
2021-09-21,0.5692513
2021-09-22,0.565287
2021-09-23,0.5943824
2021-09-24,0.64424556
2021-09-25,0.66438806
2021-09-26,0.6664156
2021-09-27,0.65497077
2021-09-28,0.65052974
2021-09-29,0.65698814
2021-09-30,0.6571089
2021-10-01,0.67797047
2021-10-02,0.71087044
2021-10-03,0.71230954
2021-10-04,0.7094679
2021-10-05,0.70936555
2021-10-06,0.7436178
2021-10-07,0.7484726
2021-10-08,0.7488574
2021-10-09,0.7433763
2021-10-10,0.7395515
2021-10-11,0.74254864
2021-10-12,0.7428946
2021-10-13,0.72859156
2021-10-14,0.7215801
2021-10-15,0.7464529
2021-10-16,0.7684099
2021-10-17,0.7480967
2021-10-18,0.7187042
2021-10-19,0.6828617
2021-10-20,0.690092
2021-10-21,0.6709198
2021-10-22,0.60780674
2021-10-23,0.62311697
2021-10-24,0.6235813
2021-10-25,0.6151427
2021-10-26,0.60184336
2021-10-27,0.57227266
2021-10-28,0.6000364
2021-10-29,0.59672177
2021-10-30,0.5632163
2021-10-31,0.5582559
2021-11-01,0.55451673
2021-11-02,0.54659986
2021-11-03,0.49613816
2021-11-04,0.48909795
2021-11-05,0.51805836
2021-11-06,0.5269709
2021-11-07,0.5293991
2021-11-08,0.5177322
2021-11-09,0.50082976
2021-11-10,0.50422585
2021-11-11,0.5023421
2021-11-12,0.45851207
2021-11-13,0.41746628
2021-11-14,0.41857243
2021-11-15,0.4166224
2021-11-16,0.4093494
2021-11-17,0.39354694
2021-11-18,0.40982887
2021-11-19,0.41905943
2021-11-20,0.40825462
2021-11-21,0.42372793
2021-11-22,0.43014127
2021-11-23,0.4345099
2021-11-24,0.4736256
2021-11-25,0.43666637
2021-11-26,0.50250834
2021-11-27,0.5850222
2021-11-28,0.5954125
2021-11-29,0.5887904
2021-11-30,0.58517385
2021-12-01,0.64761156
2021-12-02,0.6790223
2021-12-03,0.734254
2021-12-04,0.7794057
2021-12-05,0.80466354
2021-12-06,0.79733515
2021-12-07,0.7963333
2021-12-08,0.81785333
2021-12-09,0.8178652
2021-12-10,0.8115282
2021-12-11,0.8050109
2021-12-12,0.8036921
2021-12-13,0.80999166
2021-12-14,0.81702995
2021-12-15,0.8238633
2021-12-16,0.8281245
2021-12-17,0.8324933
2021-12-18,0.869598
2021-12-19,0.8866976
2021-12-20,0.9034432
2021-12-21,0.91890895
2021-12-22,0.93835324
2021-12-23,0.9266421
2021-12-24,0.92403054
2021-12-25,0.9047219
2021-12-26,0.88089216
2021-12-27,0.854772
2021-12-28,0.82239467
