,0
2021-01-01,0.44803184
2021-01-02,0.4408509
2021-01-03,0.435923
2021-01-04,0.44751534
2021-01-05,0.4430877
2021-01-06,0.45226324
2021-01-07,0.5595107
2021-01-08,0.6211344
2021-01-09,0.63874453
2021-01-10,0.6469988
2021-01-11,0.65124923
2021-01-12,0.6548148
2021-01-13,0.64728844
2021-01-14,0.64235985
2021-01-15,0.6224024
2021-01-16,0.6218397
2021-01-17,0.6145675
2021-01-18,0.6221306
2021-01-19,0.62910074
2021-01-20,0.6296039
2021-01-21,0.6053785
2021-01-22,0.6058397
2021-01-23,0.60514617
2021-01-24,0.6042766
2021-01-25,0.6058722
2021-01-26,0.59683305
2021-01-27,0.5837118
2021-01-28,0.6212221
2021-01-29,0.6331167
2021-01-30,0.62730193
2021-01-31,0.60568374
2021-02-01,0.5910191
2021-02-02,0.56322205
2021-02-03,0.5499521
2021-02-04,0.5453424
2021-02-05,0.49039975
2021-02-06,0.4785112
2021-02-07,0.4727595
2021-02-08,0.465973
2021-02-09,0.47148877
2021-02-10,0.45904198
2021-02-11,0.460866
2021-02-12,0.46721685
2021-02-13,0.4670294
2021-02-14,0.4644401
2021-02-15,0.47138053
2021-02-16,0.47146595
2021-02-17,0.47273892
2021-02-18,0.47990254
2021-02-19,0.47872952
2021-02-20,0.47659412
2021-02-21,0.48628724
2021-02-22,0.4930386
2021-02-23,0.4791339
2021-02-24,0.4813156
2021-02-25,0.48618218
2021-02-26,0.4814956
2021-02-27,0.49088538
2021-02-28,0.48269802
2021-03-01,0.47832534
2021-03-02,0.49329868
2021-03-03,0.5025499
2021-03-04,0.49162146
2021-03-05,0.48763627
2021-03-06,0.5012216
2021-03-07,0.49641618
2021-03-08,0.4979446
2021-03-09,0.5040968
2021-03-10,0.51972365
2021-03-11,0.5334941
2021-03-12,0.5471628
2021-03-13,0.54634356
2021-03-14,0.5543398
2021-03-15,0.56056875
2021-03-16,0.56790996
2021-03-17,0.5594012
2021-03-18,0.5599517
2021-03-19,0.54557425
2021-03-20,0.5381611
2021-03-21,0.53661513
2021-03-22,0.53896886
2021-03-23,0.5411335
2021-03-24,0.55017525
2021-03-25,0.54556483
2021-03-26,0.54667205
2021-03-27,0.5404883
2021-03-28,0.5283453
2021-03-29,0.52006936
2021-03-30,0.51363623
2021-03-31,0.50378245
2021-04-01,0.49011105
2021-04-02,0.48813865
2021-04-03,0.48794487
2021-04-04,0.4896487
2021-04-05,0.47459653
2021-04-06,0.4779278
2021-04-07,0.4606142
2021-04-08,0.46180674
2021-04-09,0.44740865
2021-04-10,0.4399196
2021-04-11,0.43920478
2021-04-12,0.4260999
2021-04-13,0.42536917
2021-04-14,0.41171417
2021-04-15,0.41111937
2021-04-16,0.41140774
2021-04-17,0.40234524
2021-04-18,0.3998745
2021-04-19,0.39800572
2021-04-20,0.38725144
2021-04-21,0.39227006
2021-04-22,0.3840288
2021-04-23,0.38423526
2021-04-24,0.3984665
2021-04-25,0.38913158
2021-04-26,0.38378254
2021-04-27,0.3844725
2021-04-28,0.37204745
2021-04-29,0.37558055
2021-04-30,0.38200906
2021-05-01,0.37805486
2021-05-02,0.37892437
2021-05-03,0.37622032
2021-05-04,0.3801233
2021-05-05,0.3815474
2021-05-06,0.3848906
2021-05-07,0.40123984
2021-05-08,0.40709382
2021-05-09,0.41078174
2021-05-10,0.415707
2021-05-11,0.4045097
2021-05-12,0.4226742
2021-05-13,0.42640534
2021-05-14,0.44896427
2021-05-15,0.46365693
2021-05-16,0.47993523
2021-05-17,0.4788107
2021-05-18,0.47991702
2021-05-19,0.46393558
2021-05-20,0.4539235
2021-05-21,0.44130093
2021-05-22,0.42267922
2021-05-23,0.41584134
2021-05-24,0.41130108
2021-05-25,0.40988705
2021-05-26,0.4060642
2021-05-27,0.40927804
2021-05-28,0.4009594
2021-05-29,0.39624336
2021-05-30,0.3963059
2021-05-31,0.3972995
2021-06-01,0.39298195
2021-06-02,0.38952282
2021-06-03,0.39032483
2021-06-04,0.39076746
2021-06-05,0.38141853
2021-06-06,0.37678435
2021-06-07,0.3740433
2021-06-08,0.36994663
2021-06-09,0.37299812
2021-06-10,0.35969475
2021-06-11,0.3598975
2021-06-12,0.34689194
2021-06-13,0.33901885
2021-06-14,0.32498813
2021-06-15,0.32175946
2021-06-16,0.321496
2021-06-17,0.30704078
2021-06-18,0.33399284
2021-06-19,0.36965033
2021-06-20,0.3802417
2021-06-21,0.39787906
2021-06-22,0.4195202
2021-06-23,0.4383783
2021-06-24,0.43933362
2021-06-25,0.44129908
2021-06-26,0.44700536
2021-06-27,0.45160022
2021-06-28,0.449745
2021-06-29,0.45715633
2021-06-30,0.46629035
2021-07-01,0.46424225
2021-07-02,0.47662193
2021-07-03,0.47292924
2021-07-04,0.4716251
2021-07-05,0.47011593
2021-07-06,0.47714448
2021-07-07,0.4822273
2021-07-08,0.48117623
2021-07-09,0.49651286
2021-07-10,0.5256727
2021-07-11,0.54574525
2021-07-12,0.550821
