,0
2021-01-01,0.34885085
2021-01-02,0.3209227
2021-01-03,0.3067943
2021-01-04,0.35468635
2021-01-05,0.30269963
2021-01-06,0.33293462
2021-01-07,0.37446293
2021-01-08,0.34643337
2021-01-09,0.35307586
2021-01-10,0.367298
2021-01-11,0.40103474
2021-01-12,0.35774726
2021-01-13,0.39743686
2021-01-14,0.3890287
2021-01-15,0.37127995
2021-01-16,0.4128625
2021-01-17,0.39836246
2021-01-18,0.36037624
2021-01-19,0.42494485
2021-01-20,0.37188035
2021-01-21,0.41841605
2021-01-22,0.40047997
2021-01-23,0.41160676
2021-01-24,0.4147366
2021-01-25,0.4359503
2021-01-26,0.41840392
2021-01-27,0.42765152
2021-01-28,0.44365737
2021-01-29,0.45563224
2021-01-30,0.4314917
2021-01-31,0.46599075
2021-02-01,0.4646003
2021-02-02,0.47708854
2021-02-03,0.50003225
2021-02-04,0.50169665
2021-02-05,0.4854414
2021-02-06,0.4326538
2021-02-07,0.4656164
2021-02-08,0.45023736
2021-02-09,0.45674396
2021-02-10,0.42878112
2021-02-11,0.41616765
2021-02-12,0.41896987
2021-02-13,0.39635783
2021-02-14,0.42167094
2021-02-15,0.42239016
2021-02-16,0.40725952
2021-02-17,0.4134106
2021-02-18,0.4124879
2021-02-19,0.36867714
2021-02-20,0.40461236
2021-02-21,0.42631304
2021-02-22,0.40626445
2021-02-23,0.42359307
2021-02-24,0.40761125
2021-02-25,0.37799877
2021-02-26,0.4047496
2021-02-27,0.40023297
2021-02-28,0.42293185
2021-03-01,0.46279085
2021-03-02,0.39247945
2021-03-03,0.43138427
2021-03-04,0.3926586
2021-03-05,0.3988546
2021-03-06,0.41270348
2021-03-07,0.46578404
2021-03-08,0.43321693
2021-03-09,0.44340688
2021-03-10,0.4554247
2021-03-11,0.47563714
2021-03-12,0.49809903
2021-03-13,0.5335416
2021-03-14,0.5015313
2021-03-15,0.5029449
2021-03-16,0.49536008
2021-03-17,0.54591924
2021-03-18,0.5086743
2021-03-19,0.5420033
2021-03-20,0.5987466
2021-03-21,0.53994834
2021-03-22,0.540626
2021-03-23,0.51340914
2021-03-24,0.5405577
2021-03-25,0.5488611
2021-03-26,0.5751447
2021-03-27,0.5393164
2021-03-28,0.5680797
2021-03-29,0.5599186
2021-03-30,0.5377914
2021-03-31,0.4977937
2021-04-01,0.5149236
2021-04-02,0.50590163
2021-04-03,0.5240036
2021-04-04,0.53319997
2021-04-05,0.4845648
2021-04-06,0.5254247
2021-04-07,0.5075224
2021-04-08,0.48235998
2021-04-09,0.4319672
2021-04-10,0.42882648
2021-04-11,0.43191615
2021-04-12,0.4184437
2021-04-13,0.4210777
2021-04-14,0.3820082
2021-04-15,0.3552407
2021-04-16,0.36332092
2021-04-17,0.32612517
2021-04-18,0.39985257
2021-04-19,0.3468845
2021-04-20,0.3861358
2021-04-21,0.35260272
2021-04-22,0.4155709
2021-04-23,0.36708772
2021-04-24,0.35457116
2021-04-25,0.40536317
2021-04-26,0.35890985
2021-04-27,0.36430484
2021-04-28,0.30185255
2021-04-29,0.33247963
2021-04-30,0.35048282
2021-05-01,0.29513624
2021-05-02,0.32197112
2021-05-03,0.3260558
2021-05-04,0.30804044
2021-05-05,0.3022757
2021-05-06,0.3319793
2021-05-07,0.30393502
2021-05-08,0.30780065
2021-05-09,0.30798674
2021-05-10,0.28966418
2021-05-11,0.3068602
2021-05-12,0.28670487
2021-05-13,0.30441424
2021-05-14,0.32398307
2021-05-15,0.31123868
2021-05-16,0.31641304
2021-05-17,0.33467537
2021-05-18,0.37334406
2021-05-19,0.3810312
2021-05-20,0.39164612
2021-05-21,0.39986756
2021-05-22,0.42416242
2021-05-23,0.40817842
2021-05-24,0.4337265
2021-05-25,0.44044983
2021-05-26,0.42024365
2021-05-27,0.42336148
2021-05-28,0.42822275
2021-05-29,0.4470715
2021-05-30,0.45164692
2021-05-31,0.44613647
2021-06-01,0.4357557
2021-06-02,0.4482426
2021-06-03,0.42857438
2021-06-04,0.43911555
2021-06-05,0.44721484
2021-06-06,0.45958248
2021-06-07,0.41391432
2021-06-08,0.45552987
2021-06-09,0.44044328
2021-06-10,0.4444537
2021-06-11,0.43237862
2021-06-12,0.41586077
2021-06-13,0.4152235
2021-06-14,0.38789108
2021-06-15,0.36900383
2021-06-16,0.33651948
2021-06-17,0.3425503
2021-06-18,0.3271518
2021-06-19,0.31453982
2021-06-20,0.34059107
2021-06-21,0.3452928
2021-06-22,0.35527295
2021-06-23,0.32009354
2021-06-24,0.34363925
2021-06-25,0.34463796
2021-06-26,0.35227486
2021-06-27,0.3527354
2021-06-28,0.33702
2021-06-29,0.3107888
2021-06-30,0.35304013
2021-07-01,0.3371401
2021-07-02,0.33441162
2021-07-03,0.30067736
2021-07-04,0.32703578
2021-07-05,0.32210815
2021-07-06,0.3296799
2021-07-07,0.36333638
2021-07-08,0.33670235
2021-07-09,0.33678296
2021-07-10,0.3687222
2021-07-11,0.40930063
2021-07-12,0.3738908
2021-07-13,0.38502613
2021-07-14,0.37144047
2021-07-15,0.36647496
2021-07-16,0.40167996
2021-07-17,0.3686756
2021-07-18,0.39735606
2021-07-19,0.3802855
2021-07-20,0.35832524
2021-07-21,0.39048034
2021-07-22,0.40657997
2021-07-23,0.38044834
2021-07-24,0.42200324
2021-07-25,0.4242885
2021-07-26,0.4308165
2021-07-27,0.41396314
2021-07-28,0.4445096
2021-07-29,0.42384076
2021-07-30,0.43644086
2021-07-31,0.42751008
2021-08-01,0.4275092
2021-08-02,0.45365426
2021-08-03,0.38781604
2021-08-04,0.42925298
2021-08-05,0.43562838
2021-08-06,0.44051364
2021-08-07,0.43193695
2021-08-08,0.42327058
2021-08-09,0.41586006
2021-08-10,0.43511158
2021-08-11,0.451726
2021-08-12,0.44266793
2021-08-13,0.43905678
2021-08-14,0.38973048
2021-08-15,0.4254434
2021-08-16,0.43422136
2021-08-17,0.4015189
2021-08-18,0.41508213
2021-08-19,0.3690432
2021-08-20,0.39241424
2021-08-21,0.3577285
2021-08-22,0.3678667
2021-08-23,0.33380377
2021-08-24,0.32801482
2021-08-25,0.35961592
2021-08-26,0.34577835
2021-08-27,0.32761857
2021-08-28,0.34797192
2021-08-29,0.33135968
2021-08-30,0.37237626
2021-08-31,0.34035277
2021-09-01,0.34094602
2021-09-02,0.31822008
2021-09-03,0.31200063
2021-09-04,0.30702373
2021-09-05,0.3180848
2021-09-06,0.29293028
2021-09-07,0.33509052
2021-09-08,0.30994752
2021-09-09,0.3173688
2021-09-10,0.3035941
2021-09-11,0.3224889
2021-09-12,0.31202197
2021-09-13,0.2961786
2021-09-14,0.33392227
2021-09-15,0.31999528
2021-09-16,0.32311317
2021-09-17,0.3409168
2021-09-18,0.32133883
2021-09-19,0.35009098
2021-09-20,0.34400868
2021-09-21,0.34159443
2021-09-22,0.31634855
2021-09-23,0.3411287
2021-09-24,0.3968211
2021-09-25,0.35253978
2021-09-26,0.35699534
2021-09-27,0.36577147
2021-09-28,0.38920632
2021-09-29,0.38322398
2021-09-30,0.39541617
2021-10-01,0.38517916
2021-10-02,0.38296714
2021-10-03,0.3891073
2021-10-04,0.39255333
2021-10-05,0.39800403
2021-10-06,0.3823982
2021-10-07,0.41444206
2021-10-08,0.41840035
2021-10-09,0.39706525
2021-10-10,0.40691575
2021-10-11,0.39676666
2021-10-12,0.4001726
2021-10-13,0.3647887
2021-10-14,0.3748011
2021-10-15,0.3983186
2021-10-16,0.38559344
2021-10-17,0.3763124
2021-10-18,0.36596036
2021-10-19,0.33302343
2021-10-20,0.3883557
2021-10-21,0.36424777
2021-10-22,0.39435792
2021-10-23,0.34478286
2021-10-24,0.33376557
2021-10-25,0.3666407
2021-10-26,0.3475285
2021-10-27,0.34513095
2021-10-28,0.36775988
2021-10-29,0.38395873
2021-10-30,0.34675068
2021-10-31,0.35767704
2021-11-01,0.30719167
2021-11-02,0.31537697
2021-11-03,0.34262478
2021-11-04,0.30631834
2021-11-05,0.2986825
2021-11-06,0.30129164
2021-11-07,0.2793132
2021-11-08,0.33619735
