,0
2021-01-01,0.32667473
2021-01-02,0.338237
2021-01-03,0.35185614
2021-01-04,0.37161383
2021-01-05,0.40251303
2021-01-06,0.42880565
2021-01-07,0.4631729
2021-01-08,0.49617362
2021-01-09,0.51713395
2021-01-10,0.53327
2021-01-11,0.5376493
2021-01-12,0.5401134
2021-01-13,0.54573613
2021-01-14,0.5421589
2021-01-15,0.5335738
2021-01-16,0.5272003
2021-01-17,0.51965225
2021-01-18,0.51438504
2021-01-19,0.5120543
2021-01-20,0.51192164
2021-01-21,0.5123585
2021-01-22,0.5101727
2021-01-23,0.51008075
2021-01-24,0.5119531
2021-01-25,0.5122366
2021-01-26,0.5127899
2021-01-27,0.51755553
2021-01-28,0.53237176
2021-01-29,0.5541911
2021-01-30,0.5823303
2021-01-31,0.61000437
2021-02-01,0.6300481
2021-02-02,0.64794606
2021-02-03,0.6521848
2021-02-04,0.65102684
2021-02-05,0.6385119
2021-02-06,0.61986667
2021-02-07,0.60773355
2021-02-08,0.5940172
2021-02-09,0.5845947
2021-02-10,0.57821536
2021-02-11,0.5688844
2021-02-12,0.55921173
2021-02-13,0.553068
2021-02-14,0.5517352
2021-02-15,0.55148816
2021-02-16,0.54990274
2021-02-17,0.5484987
2021-02-18,0.54588485
2021-02-19,0.5432449
2021-02-20,0.54607767
2021-02-21,0.54973775
2021-02-22,0.5506524
2021-02-23,0.5522042
2021-02-24,0.55052006
2021-02-25,0.5587816
2021-02-26,0.5680296
2021-02-27,0.56897336
2021-02-28,0.57541704
2021-03-01,0.5770677
2021-03-02,0.5802746
2021-03-03,0.58221936
2021-03-04,0.5667666
2021-03-05,0.5616527
2021-03-06,0.5703114
2021-03-07,0.5793357
2021-03-08,0.59271646
2021-03-09,0.6020939
2021-03-10,0.60572135
2021-03-11,0.61671406
2021-03-12,0.625495
2021-03-13,0.63891155
2021-03-14,0.65030783
2021-03-15,0.65347683
2021-03-16,0.6597684
2021-03-17,0.6693349
2021-03-18,0.6784723
2021-03-19,0.68525976
2021-03-20,0.68125045
2021-03-21,0.67799336
2021-03-22,0.6742622
2021-03-23,0.67065626
2021-03-24,0.678554
2021-03-25,0.6780342
2021-03-26,0.6714494
