,0
2021-01-01,0.41200548
2021-01-02,0.44050854
2021-01-03,0.467171
2021-01-04,0.48654664
2021-01-05,0.50387025
2021-01-06,0.49501717
2021-01-07,0.55806
2021-01-08,0.5718117
2021-01-09,0.57866013
2021-01-10,0.57588017
2021-01-11,0.56820184
2021-01-12,0.5623736
2021-01-13,0.5734377
2021-01-14,0.5631382
2021-01-15,0.5371587
2021-01-16,0.55467564
2021-01-17,0.5556682
2021-01-18,0.5517939
2021-01-19,0.5495178
2021-01-20,0.5484937
2021-01-21,0.5539141
2021-01-22,0.5490637
2021-01-23,0.5505781
2021-01-24,0.55248696
2021-01-25,0.5505117
2021-01-26,0.5505358
2021-01-27,0.5614254
2021-01-28,0.61139077
2021-01-29,0.64278495
2021-01-30,0.6846005
2021-01-31,0.6981425
2021-02-01,0.7093467
2021-02-02,0.7133188
2021-02-03,0.69653195
2021-02-04,0.67800844
2021-02-05,0.6216145
2021-02-06,0.61936533
2021-02-07,0.6229066
2021-02-08,0.6240873
2021-02-09,0.6259774
2021-02-10,0.6271555
2021-02-11,0.61744636
2021-02-12,0.61056006
2021-02-13,0.6164626
2021-02-14,0.61259234
2021-02-15,0.60644346
2021-02-16,0.6007144
2021-02-17,0.5954653
2021-02-18,0.5955358
2021-02-19,0.59410805
2021-02-20,0.6204066
2021-02-21,0.6195713
2021-02-22,0.61780185
2021-02-23,0.61664736
2021-02-24,0.6119613
2021-02-25,0.6420091
2021-02-26,0.6361842
2021-02-27,0.62415445
2021-02-28,0.631855
2021-03-01,0.6342009
2021-03-02,0.6387297
2021-03-03,0.62870127
2021-03-04,0.5730388
2021-03-05,0.604593
2021-03-06,0.65398735
2021-03-07,0.66750705
2021-03-08,0.67135537
2021-03-09,0.67310876
2021-03-10,0.66603523
2021-03-11,0.6846435
2021-03-12,0.690293
2021-03-13,0.70606184
2021-03-14,0.71219075
2021-03-15,0.7116556
2021-03-16,0.7107344
2021-03-17,0.72881377
2021-03-18,0.7444775
2021-03-19,0.746218
2021-03-20,0.7257659
2021-03-21,0.7225828
2021-03-22,0.7196394
2021-03-23,0.7186524
2021-03-24,0.7484718
2021-03-25,0.7222831
2021-03-26,0.7097357
2021-03-27,0.72866225
2021-03-28,0.70707464
2021-03-29,0.6831965
2021-03-30,0.6581457
2021-03-31,0.66168416
2021-04-01,0.6636595
2021-04-02,0.6308065
2021-04-03,0.6166864
2021-04-04,0.6062509
2021-04-05,0.593596
2021-04-06,0.57982653
2021-04-07,0.5648336
2021-04-08,0.5579806
2021-04-09,0.53595465
2021-04-10,0.53754485
2021-04-11,0.53345615
2021-04-12,0.5266089
2021-04-13,0.5175011
2021-04-14,0.51028764
2021-04-15,0.47752982
2021-04-16,0.4550315
2021-04-17,0.453314
2021-04-18,0.4539401
2021-04-19,0.45529026
2021-04-20,0.4532495
2021-04-21,0.47753733
2021-04-22,0.4533869
2021-04-23,0.44825324
2021-04-24,0.421069
2021-04-25,0.39956412
2021-04-26,0.37985998
2021-04-27,0.3576749
2021-04-28,0.37030765
2021-04-29,0.3713969
2021-04-30,0.38394186
2021-05-01,0.40212423
2021-05-02,0.39960495
2021-05-03,0.3958073
