,0
2021-01-01,0.3922742
2021-01-02,0.40364134
2021-01-03,0.42121148
2021-01-04,0.44901538
2021-01-05,0.48818165
2021-01-06,0.49186665
2021-01-07,0.53137964
2021-01-08,0.53812605
2021-01-09,0.5359329
2021-01-10,0.5314191
2021-01-11,0.5362701
2021-01-12,0.5352872
2021-01-13,0.5496036
2021-01-14,0.53564674
2021-01-15,0.5103615
2021-01-16,0.5196543
2021-01-17,0.5211452
2021-01-18,0.5216279
2021-01-19,0.53159505
2021-01-20,0.5329164
2021-01-21,0.53403914
2021-01-22,0.5273751
2021-01-23,0.51226383
2021-01-24,0.51002413
2021-01-25,0.503855
2021-01-26,0.49015826
2021-01-27,0.49789038
2021-01-28,0.5180632
2021-01-29,0.5246216
2021-01-30,0.5359213
2021-01-31,0.5348415
2021-02-01,0.5331485
2021-02-02,0.5460216
2021-02-03,0.531878
2021-02-04,0.51510024
2021-02-05,0.49315783
2021-02-06,0.48873654
2021-02-07,0.4898314
2021-02-08,0.49231043
2021-02-09,0.49101117
2021-02-10,0.4924628
2021-02-11,0.49163693
2021-02-12,0.48705554
2021-02-13,0.48842067
2021-02-14,0.4897893
2021-02-15,0.48431587
2021-02-16,0.48180985
2021-02-17,0.47407487
2021-02-18,0.4742778
2021-02-19,0.47691363
2021-02-20,0.48114684
2021-02-21,0.48273885
2021-02-22,0.48093823
2021-02-23,0.47980636
2021-02-24,0.4768376
2021-02-25,0.48263562
2021-02-26,0.49124122
2021-02-27,0.4868716
2021-02-28,0.48772508
2021-03-01,0.4908919
2021-03-02,0.5034032
2021-03-03,0.51057136
2021-03-04,0.48906413
2021-03-05,0.5016478
2021-03-06,0.5238097
2021-03-07,0.53482896
2021-03-08,0.5429279
2021-03-09,0.54168457
2021-03-10,0.534647
2021-03-11,0.5541619
2021-03-12,0.56445
2021-03-13,0.5696513
2021-03-14,0.57441705
2021-03-15,0.58015245
2021-03-16,0.5776053
2021-03-17,0.59041697
2021-03-18,0.5913163
2021-03-19,0.58394057
2021-03-20,0.577554
2021-03-21,0.57397556
2021-03-22,0.57020026
2021-03-23,0.57629555
2021-03-24,0.59039
2021-03-25,0.5849253
2021-03-26,0.5811886
2021-03-27,0.58906764
2021-03-28,0.5782415
2021-03-29,0.563425
2021-03-30,0.5562196
2021-03-31,0.55545455
2021-04-01,0.5486561
2021-04-02,0.5376442
2021-04-03,0.5222233
2021-04-04,0.52117527
2021-04-05,0.50851035
2021-04-06,0.50193465
2021-04-07,0.50365996
2021-04-08,0.49706468
2021-04-09,0.48069873
2021-04-10,0.48178795
2021-04-11,0.481742
2021-04-12,0.47626773
2021-04-13,0.46598077
2021-04-14,0.45973733
2021-04-15,0.4451506
2021-04-16,0.4335888
2021-04-17,0.43341762
2021-04-18,0.42944294
2021-04-19,0.41801792
2021-04-20,0.42125434
2021-04-21,0.4256939
2021-04-22,0.415338
2021-04-23,0.40823784
2021-04-24,0.39450142
2021-04-25,0.38595557
2021-04-26,0.37009466
2021-04-27,0.35320774
2021-04-28,0.35151234
2021-04-29,0.3469781
2021-04-30,0.35107422
2021-05-01,0.35077807
2021-05-02,0.34808594
2021-05-03,0.34664097
2021-05-04,0.34387168
2021-05-05,0.3433703
2021-05-06,0.33816612
2021-05-07,0.33620042
2021-05-08,0.34071872
2021-05-09,0.34024197
2021-05-10,0.3338822
2021-05-11,0.33578086
2021-05-12,0.35166535
2021-05-13,0.40774548
2021-05-14,0.4415353
2021-05-15,0.46174672
2021-05-16,0.46705243
2021-05-17,0.47432438
2021-05-18,0.48313567
2021-05-19,0.49946392
2021-05-20,0.49253067
2021-05-21,0.48646542
2021-05-22,0.48243794
2021-05-23,0.48475295
2021-05-24,0.48479062
2021-05-25,0.4837804
2021-05-26,0.47114763
2021-05-27,0.4727648
2021-05-28,0.48233014
2021-05-29,0.48810336
2021-05-30,0.4904124
2021-05-31,0.4896799
2021-06-01,0.48660514
2021-06-02,0.4846758
2021-06-03,0.48228028
2021-06-04,0.48748252
2021-06-05,0.48880756
2021-06-06,0.49450672
2021-06-07,0.48560104
2021-06-08,0.47710633
2021-06-09,0.4677311
2021-06-10,0.46231887
2021-06-11,0.4226141
2021-06-12,0.38460305
2021-06-13,0.37406975
2021-06-14,0.3625005
2021-06-15,0.35027394
2021-06-16,0.34368554
2021-06-17,0.33497754
2021-06-18,0.34461454
2021-06-19,0.36462215
2021-06-20,0.37506542
2021-06-21,0.38358057
2021-06-22,0.39589068
2021-06-23,0.3941585
2021-06-24,0.40051857
2021-06-25,0.4042139
2021-06-26,0.38811025
2021-06-27,0.38024285
2021-06-28,0.37528157
2021-06-29,0.37990552
2021-06-30,0.38034302
2021-07-01,0.38469148
2021-07-02,0.38781422
2021-07-03,0.3920103
2021-07-04,0.38841367
2021-07-05,0.38017595
2021-07-06,0.38287055
2021-07-07,0.38226533
2021-07-08,0.40229085
2021-07-09,0.4070546
2021-07-10,0.4213479
2021-07-11,0.42254865
2021-07-12,0.42275178
2021-07-13,0.4279841
2021-07-14,0.43587053
2021-07-15,0.44132364
2021-07-16,0.433381
2021-07-17,0.4185194
2021-07-18,0.42768848
2021-07-19,0.4339793
2021-07-20,0.44609886
2021-07-21,0.4850251
2021-07-22,0.5034672
2021-07-23,0.50873685
2021-07-24,0.5099638
2021-07-25,0.5039465
2021-07-26,0.5021875
2021-07-27,0.49644306
2021-07-28,0.48779663
2021-07-29,0.48960286
2021-07-30,0.49211597
2021-07-31,0.49467137
2021-08-01,0.49886066
2021-08-02,0.49990928
2021-08-03,0.49746782
2021-08-04,0.51257485
2021-08-05,0.5215985
2021-08-06,0.5167696
2021-08-07,0.50045574
2021-08-08,0.49617454
2021-08-09,0.49660668
2021-08-10,0.49699005
2021-08-11,0.49140513
2021-08-12,0.50518084
2021-08-13,0.51179034
2021-08-14,0.5069574
2021-08-15,0.49730355
2021-08-16,0.47382876
2021-08-17,0.46102893
2021-08-18,0.40584242
2021-08-19,0.39370197
2021-08-20,0.39841738
2021-08-21,0.39423707
2021-08-22,0.39647663
2021-08-23,0.39631867
2021-08-24,0.39618614
2021-08-25,0.40861106
2021-08-26,0.4061206
2021-08-27,0.4049712
2021-08-28,0.40744194
2021-08-29,0.40301853
2021-08-30,0.39999744
2021-08-31,0.39356527
2021-09-01,0.36888412
2021-09-02,0.34997332
2021-09-03,0.35409462
2021-09-04,0.3567731
2021-09-05,0.35985854
2021-09-06,0.37159142
2021-09-07,0.37452734
2021-09-08,0.38922447
2021-09-09,0.38332242
2021-09-10,0.36574483
2021-09-11,0.3639585
2021-09-12,0.3651413
2021-09-13,0.37036037
2021-09-14,0.37421358
2021-09-15,0.39088082
2021-09-16,0.38670695
2021-09-17,0.37351814
2021-09-18,0.377633
2021-09-19,0.38038746
2021-09-20,0.3905943
2021-09-21,0.40270042
2021-09-22,0.4058097
2021-09-23,0.41098595
2021-09-24,0.43070152
2021-09-25,0.4333705
2021-09-26,0.4321344
2021-09-27,0.42710304
2021-09-28,0.42919496
2021-09-29,0.44627124
2021-09-30,0.4584473
2021-10-01,0.48716044
2021-10-02,0.5044392
2021-10-03,0.5094875
2021-10-04,0.5017153
2021-10-05,0.48763686
2021-10-06,0.4584029
