,0
2021-01-01,0.20524678
2021-01-02,0.2089211
2021-01-03,0.19241352
2021-01-04,0.20229496
2021-01-05,0.19798917
2021-01-06,0.21629506
2021-01-07,0.21183132
2021-01-08,0.21087767
2021-01-09,0.22025663
2021-01-10,0.22599384
2021-01-11,0.22708799
2021-01-12,0.23333691
2021-01-13,0.2424881
2021-01-14,0.24545869
2021-01-15,0.24450031
2021-01-16,0.24066406
2021-01-17,0.2328032
2021-01-18,0.23135798
2021-01-19,0.23070036
2021-01-20,0.23436205
2021-01-21,0.24270672
2021-01-22,0.24259801
2021-01-23,0.25801578
2021-01-24,0.26102316
2021-01-25,0.26167184
2021-01-26,0.25560844
2021-01-27,0.2698411
2021-01-28,0.272113
2021-01-29,0.27398816
2021-01-30,0.2858982
2021-01-31,0.27517226
2021-02-01,0.29077348
2021-02-02,0.30351657
2021-02-03,0.29542962
2021-02-04,0.30644295
2021-02-05,0.3017087
2021-02-06,0.30779028
2021-02-07,0.29949254
2021-02-08,0.27566674
2021-02-09,0.28445518
2021-02-10,0.27839413
2021-02-11,0.28262678
2021-02-12,0.29059637
2021-02-13,0.2648411
2021-02-14,0.27631015
2021-02-15,0.2676936
2021-02-16,0.2809411
2021-02-17,0.2683886
2021-02-18,0.26917166
2021-02-19,0.2734127
2021-02-20,0.23907357
2021-02-21,0.2740377
2021-02-22,0.25523245
2021-02-23,0.28105414
2021-02-24,0.2560148
2021-02-25,0.26908255
2021-02-26,0.26676238
2021-02-27,0.2636825
2021-02-28,0.29127404
2021-03-01,0.32773235
2021-03-02,0.28735006
2021-03-03,0.31797728
2021-03-04,0.34153268
2021-03-05,0.33990738
2021-03-06,0.34698337
2021-03-07,0.36369565
2021-03-08,0.3529755
2021-03-09,0.38449174
2021-03-10,0.41577852
2021-03-11,0.365142
2021-03-12,0.41918343
2021-03-13,0.42290348
2021-03-14,0.41139
2021-03-15,0.396422
2021-03-16,0.410122
2021-03-17,0.45235088
2021-03-18,0.4424558
2021-03-19,0.43451867
2021-03-20,0.44193733
2021-03-21,0.4404196
2021-03-22,0.47822627
2021-03-23,0.44295156
2021-03-24,0.46335334
2021-03-25,0.4282218
2021-03-26,0.45217463
2021-03-27,0.46600017
2021-03-28,0.41381848
2021-03-29,0.47146833
2021-03-30,0.4311779
2021-03-31,0.41721103
2021-04-01,0.43805876
2021-04-02,0.41774613
2021-04-03,0.40426576
2021-04-04,0.449481
2021-04-05,0.4432289
2021-04-06,0.40289357
2021-04-07,0.40801623
2021-04-08,0.376965
2021-04-09,0.38017672
2021-04-10,0.3604634
2021-04-11,0.356479
2021-04-12,0.3668634
2021-04-13,0.3441706
2021-04-14,0.3691055
2021-04-15,0.34523034
2021-04-16,0.31569538
2021-04-17,0.3325357
2021-04-18,0.3232773
2021-04-19,0.30937874
2021-04-20,0.30949497
2021-04-21,0.33274388
2021-04-22,0.32007134
2021-04-23,0.316425
2021-04-24,0.3203022
2021-04-25,0.31522664
2021-04-26,0.29730767
2021-04-27,0.31098056
2021-04-28,0.3053576
2021-04-29,0.2837927
2021-04-30,0.28054097
2021-05-01,0.26739568
2021-05-02,0.26824048
2021-05-03,0.26775473
2021-05-04,0.22698455
2021-05-05,0.24788636
2021-05-06,0.23235977
2021-05-07,0.24544005
2021-05-08,0.25231814
2021-05-09,0.25433463
2021-05-10,0.25562924
2021-05-11,0.23673096
2021-05-12,0.25614524
2021-05-13,0.2365474
2021-05-14,0.26087546
2021-05-15,0.2792884
2021-05-16,0.29504114
2021-05-17,0.29004386
2021-05-18,0.30100632
2021-05-19,0.32338575
2021-05-20,0.30774057
2021-05-21,0.31969333
2021-05-22,0.31073746
2021-05-23,0.31420127
2021-05-24,0.30875888
2021-05-25,0.3212015
2021-05-26,0.33486533
2021-05-27,0.30603954
2021-05-28,0.33405194
2021-05-29,0.32050925
2021-05-30,0.33224434
2021-05-31,0.30510658
2021-06-01,0.30883622
2021-06-02,0.32804072
2021-06-03,0.33624944
2021-06-04,0.3453177
2021-06-05,0.32171008
2021-06-06,0.3160004
2021-06-07,0.3290547
2021-06-08,0.32097533
2021-06-09,0.3270582
2021-06-10,0.2847868
2021-06-11,0.32214972
2021-06-12,0.3123927
2021-06-13,0.29041874
2021-06-14,0.30426043
2021-06-15,0.25889763
2021-06-16,0.25581157
2021-06-17,0.26003087
2021-06-18,0.2552532
2021-06-19,0.23517805
2021-06-20,0.25225684
2021-06-21,0.2402223
2021-06-22,0.22457717
2021-06-23,0.20756714
2021-06-24,0.205506
2021-06-25,0.23554187
2021-06-26,0.21807575
2021-06-27,0.20672615
2021-06-28,0.20414014
2021-06-29,0.2011541
2021-06-30,0.20987655
2021-07-01,0.22451538
2021-07-02,0.20731874
2021-07-03,0.20273691
2021-07-04,0.23521873
2021-07-05,0.21072824
2021-07-06,0.20314021
2021-07-07,0.1938533
2021-07-08,0.19716153
2021-07-09,0.18307704
2021-07-10,0.18750551
2021-07-11,0.19387586
2021-07-12,0.180542
2021-07-13,0.18230331
2021-07-14,0.19857702
2021-07-15,0.17813602
2021-07-16,0.18579365
2021-07-17,0.19539839
2021-07-18,0.18084383
2021-07-19,0.18012011
2021-07-20,0.17096047
2021-07-21,0.17458902
2021-07-22,0.18953031
2021-07-23,0.18375807
2021-07-24,0.17962335
2021-07-25,0.18060045
2021-07-26,0.19417974
2021-07-27,0.17815816
2021-07-28,0.16993868
2021-07-29,0.18501528
2021-07-30,0.18019272
2021-07-31,0.18988761
2021-08-01,0.19423102
2021-08-02,0.1794324
2021-08-03,0.1931019
2021-08-04,0.19729158
2021-08-05,0.20131736
2021-08-06,0.19418663
2021-08-07,0.19744307
2021-08-08,0.18679634
2021-08-09,0.19430006
2021-08-10,0.18674216
2021-08-11,0.19152224
2021-08-12,0.18313746
2021-08-13,0.17387058
2021-08-14,0.1779093
2021-08-15,0.17323543
2021-08-16,0.17472237
