,0
2021-01-01,0.414973
2021-01-02,0.4143299
2021-01-03,0.41682643
2021-01-04,0.4189828
2021-01-05,0.42862135
2021-01-06,0.43392274
2021-01-07,0.4489675
2021-01-08,0.48293686
2021-01-09,0.50206476
2021-01-10,0.52170074
2021-01-11,0.54106903
2021-01-12,0.5543292
2021-01-13,0.56282985
2021-01-14,0.56903243
2021-01-15,0.5622927
2021-01-16,0.5608708
2021-01-17,0.55947524
2021-01-18,0.55541766
2021-01-19,0.5479484
2021-01-20,0.5460458
2021-01-21,0.55520356
2021-01-22,0.56775427
2021-01-23,0.5780632
2021-01-24,0.59241575
2021-01-25,0.6009686
2021-01-26,0.6025294
2021-01-27,0.60839224
2021-01-28,0.6188906
2021-01-29,0.6238088
2021-01-30,0.64069325
2021-01-31,0.66121495
2021-02-01,0.6864842
2021-02-02,0.7085738
2021-02-03,0.7290045
2021-02-04,0.7418608
2021-02-05,0.7486842
2021-02-06,0.73447406
2021-02-07,0.72300684
2021-02-08,0.7049869
2021-02-09,0.69007814
2021-02-10,0.67488647
2021-02-11,0.66465896
2021-02-12,0.6529632
2021-02-13,0.6448904
2021-02-14,0.64041793
2021-02-15,0.6333714
2021-02-16,0.6305543
2021-02-17,0.6293504
2021-02-18,0.62889785
2021-02-19,0.61632395
2021-02-20,0.6016635
2021-02-21,0.5964587
2021-02-22,0.58896494
2021-02-23,0.59058636
2021-02-24,0.59472877
2021-02-25,0.6058865
2021-02-26,0.63761467
2021-02-27,0.6647595
2021-02-28,0.6975501
2021-03-01,0.72949207
2021-03-02,0.75612795
2021-03-03,0.77159417
2021-03-04,0.79294956
2021-03-05,0.81257683
2021-03-06,0.830276
2021-03-07,0.8527755
2021-03-08,0.8709433
2021-03-09,0.8856368
2021-03-10,0.91930574
2021-03-11,0.9432564
2021-03-12,0.9668385
2021-03-13,0.98628515
2021-03-14,1.0124215
2021-03-15,1.023339
2021-03-16,1.0249571
2021-03-17,1.0270905
2021-03-18,1.0291215
2021-03-19,1.040062
2021-03-20,1.0408119
2021-03-21,1.0464609
2021-03-22,1.0495069
2021-03-23,1.0437571
2021-03-24,1.0410616
2021-03-25,1.0391291
2021-03-26,1.015255
2021-03-27,0.9996617
2021-03-28,0.9798596
2021-03-29,0.9603958
2021-03-30,0.9334239
2021-03-31,0.9125878
2021-04-01,0.8832983
2021-04-02,0.8618833
2021-04-03,0.84249234
2021-04-04,0.82422113
2021-04-05,0.82048404
2021-04-06,0.81777245
2021-04-07,0.80484456
2021-04-08,0.77313477
2021-04-09,0.7546531
2021-04-10,0.7250379
2021-04-11,0.6943069
2021-04-12,0.67668796
2021-04-13,0.66820204
2021-04-14,0.65543866
2021-04-15,0.6539631
2021-04-16,0.66010046
2021-04-17,0.6481492
2021-04-18,0.64421326
2021-04-19,0.6377411
2021-04-20,0.6376559
2021-04-21,0.62794614
2021-04-22,0.6271537
2021-04-23,0.6235407
2021-04-24,0.6278347
2021-04-25,0.6289897
2021-04-26,0.6259973
2021-04-27,0.6108284
