,0
2021-01-01,0.42311305
2021-01-02,0.44563717
2021-01-03,0.4625805
2021-01-04,0.47501507
2021-01-05,0.4866797
2021-01-06,0.47714347
2021-01-07,0.5305777
2021-01-08,0.57898504
2021-01-09,0.5841545
2021-01-10,0.5970447
2021-01-11,0.6016167
2021-01-12,0.600683
2021-01-13,0.5991036
2021-01-14,0.599905
2021-01-15,0.5661595
2021-01-16,0.57204455
2021-01-17,0.57673156
2021-01-18,0.5813729
2021-01-19,0.5861919
2021-01-20,0.59004664
2021-01-21,0.64364
2021-01-22,0.6706203
2021-01-23,0.6596503
2021-01-24,0.6525261
2021-01-25,0.6507281
2021-01-26,0.6518502
2021-01-27,0.6469268
2021-01-28,0.6744631
2021-01-29,0.6750999
2021-01-30,0.7394036
2021-01-31,0.7687968
2021-02-01,0.80284417
2021-02-02,0.82529825
2021-02-03,0.8232016
2021-02-04,0.8087484
2021-02-05,0.7920249
2021-02-06,0.70427173
2021-02-07,0.7050094
2021-02-08,0.71216714
2021-02-09,0.716658
2021-02-10,0.71107596
2021-02-11,0.7092965
2021-02-12,0.7180075
2021-02-13,0.7133454
2021-02-14,0.71042544
2021-02-15,0.70863724
2021-02-16,0.7050781
2021-02-17,0.7018759
2021-02-18,0.6895507
2021-02-19,0.64899033
2021-02-20,0.62805307
2021-02-21,0.6415218
2021-02-22,0.6628422
2021-02-23,0.6834412
2021-02-24,0.67800534
2021-02-25,0.7057432
2021-02-26,0.8054033
2021-02-27,0.8119047
2021-02-28,0.8207016
2021-03-01,0.8382778
2021-03-02,0.8569961
2021-03-03,0.8118407
2021-03-04,0.8602712
2021-03-05,0.9088232
2021-03-06,0.9305786
2021-03-07,0.9476337
2021-03-08,0.96338457
2021-03-09,0.98239595
2021-03-10,1.0479519
2021-03-11,1.0792842
2021-03-12,1.1088611
2021-03-13,1.1018885
2021-03-14,1.0863713
2021-03-15,1.078964
2021-03-16,1.0789341
2021-03-17,1.0796485
2021-03-18,1.071282
2021-03-19,1.128802
2021-03-20,1.1305707
2021-03-21,1.1205704
2021-03-22,1.1159012
2021-03-23,1.1140299
2021-03-24,1.1168573
2021-03-25,1.1119957
2021-03-26,1.0282496
2021-03-27,1.0672522
2021-03-28,1.0477288
2021-03-29,1.0233928
2021-03-30,0.9935004
2021-03-31,0.97527987
2021-04-01,0.91710556
2021-04-02,0.9252515
2021-04-03,0.9335588
2021-04-04,0.93603134
2021-04-05,0.93878984
2021-04-06,0.9353876
2021-04-07,0.89053607
2021-04-08,0.8139342
2021-04-09,0.7849269
2021-04-10,0.75822514
2021-04-11,0.75723636
2021-04-12,0.7666285
2021-04-13,0.7569338
2021-04-14,0.754835
2021-04-15,0.76124954
2021-04-16,0.788719
2021-04-17,0.7223863
2021-04-18,0.7144784
2021-04-19,0.71786016
2021-04-20,0.7098366
2021-04-21,0.68855375
2021-04-22,0.6929308
2021-04-23,0.6948172
2021-04-24,0.71911526
2021-04-25,0.70150745
2021-04-26,0.68129206
2021-04-27,0.65032554
2021-04-28,0.6454848
2021-04-29,0.64665216
2021-04-30,0.6211575
2021-05-01,0.5952771
2021-05-02,0.58156896
2021-05-03,0.5646091
2021-05-04,0.53564435
2021-05-05,0.56606424
2021-05-06,0.5730126
2021-05-07,0.5636926
2021-05-08,0.5596721
2021-05-09,0.58181405
2021-05-10,0.61184686
2021-05-11,0.6409491
2021-05-12,0.63261926
2021-05-13,0.7138899
2021-05-14,0.70396286
2021-05-15,0.7551304
2021-05-16,0.7581579
2021-05-17,0.7540607
2021-05-18,0.7522879
2021-05-19,0.7495518
2021-05-20,0.73939645
2021-05-21,0.76193506
2021-05-22,0.74351937
2021-05-23,0.750437
2021-05-24,0.7615639
2021-05-25,0.7734191
2021-05-26,0.77316093
2021-05-27,0.7644692
2021-05-28,0.7665462
2021-05-29,0.7520484
2021-05-30,0.75190276
2021-05-31,0.75401556
2021-06-01,0.7452844
2021-06-02,0.7465427
2021-06-03,0.72111326
2021-06-04,0.7270554
2021-06-05,0.7445519
2021-06-06,0.73757356
2021-06-07,0.73753476
2021-06-08,0.73654294
2021-06-09,0.67370725
2021-06-10,0.6661211
2021-06-11,0.6398537
2021-06-12,0.6023592
2021-06-13,0.5688092
2021-06-14,0.53586483
2021-06-15,0.50490683
2021-06-16,0.48411924
2021-06-17,0.47934812
2021-06-18,0.5040048
2021-06-19,0.47138417
2021-06-20,0.47220418
2021-06-21,0.47888154
2021-06-22,0.47241592
2021-06-23,0.43760186
2021-06-24,0.43460044
2021-06-25,0.44340777
2021-06-26,0.44275266
2021-06-27,0.44913787
2021-06-28,0.45771497
2021-06-29,0.45671928
2021-06-30,0.4636643
2021-07-01,0.448181
2021-07-02,0.43715295
2021-07-03,0.40392128
2021-07-04,0.39822468
2021-07-05,0.39825866
2021-07-06,0.3929565
2021-07-07,0.39398175
2021-07-08,0.4014655
2021-07-09,0.4189772
2021-07-10,0.43024862
2021-07-11,0.42935115
