,0
2021-01-01,0.46903503
2021-01-02,0.46323365
2021-01-03,0.46242547
2021-01-04,0.46553418
2021-01-05,0.47365364
2021-01-06,0.4758549
2021-01-07,0.5007683
2021-01-08,0.5571221
2021-01-09,0.5540492
2021-01-10,0.5439529
2021-01-11,0.5488505
2021-01-12,0.5507722
2021-01-13,0.55533755
2021-01-14,0.5589318
2021-01-15,0.5454095
2021-01-16,0.5473788
2021-01-17,0.5525256
2021-01-18,0.55322206
2021-01-19,0.5585449
2021-01-20,0.5648937
2021-01-21,0.5872085
2021-01-22,0.61193484
2021-01-23,0.6147259
2021-01-24,0.61473525
2021-01-25,0.62011325
2021-01-26,0.6202168
2021-01-27,0.6224167
2021-01-28,0.6422648
2021-01-29,0.6367895
2021-01-30,0.666293
2021-01-31,0.69004583
2021-02-01,0.71157855
2021-02-02,0.72306055
2021-02-03,0.7021578
2021-02-04,0.6907528
2021-02-05,0.6915144
2021-02-06,0.65411896
2021-02-07,0.6442614
2021-02-08,0.6506849
2021-02-09,0.65363723
2021-02-10,0.6485318
2021-02-11,0.6491549
2021-02-12,0.6505162
2021-02-13,0.65289533
2021-02-14,0.6499174
2021-02-15,0.6542454
2021-02-16,0.64747447
2021-02-17,0.6453302
2021-02-18,0.6401706
2021-02-19,0.62330717
2021-02-20,0.6070605
2021-02-21,0.60876596
2021-02-22,0.618428
2021-02-23,0.6270478
2021-02-24,0.63286793
2021-02-25,0.6495892
2021-02-26,0.68209153
2021-02-27,0.6994169
2021-02-28,0.7082631
2021-03-01,0.7331333
2021-03-02,0.7511986
2021-03-03,0.7413101
2021-03-04,0.7716808
2021-03-05,0.8150499
2021-03-06,0.8402334
2021-03-07,0.8488894
2021-03-08,0.8638357
2021-03-09,0.8871842
2021-03-10,0.93925184
2021-03-11,0.95349884
2021-03-12,0.97559965
2021-03-13,0.9608474
2021-03-14,0.9611056
2021-03-15,0.95308745
2021-03-16,0.9610131
2021-03-17,0.95617354
2021-03-18,0.9506295
2021-03-19,0.981684
2021-03-20,0.9914788
2021-03-21,0.9873728
2021-03-22,0.99114287
2021-03-23,0.9891997
2021-03-24,0.9767412
2021-03-25,0.9728501
2021-03-26,0.9266276
2021-03-27,0.94203943
2021-03-28,0.9425976
2021-03-29,0.9247753
2021-03-30,0.9107762
2021-03-31,0.89611053
2021-04-01,0.8789442
2021-04-02,0.8809338
2021-04-03,0.87231284
2021-04-04,0.8728321
2021-04-05,0.8725867
2021-04-06,0.866648
2021-04-07,0.83643633
2021-04-08,0.7784712
2021-04-09,0.77171737
2021-04-10,0.7536987
2021-04-11,0.750131
2021-04-12,0.73752517
2021-04-13,0.73241216
2021-04-14,0.733372
2021-04-15,0.7386229
2021-04-16,0.751333
2021-04-17,0.7042044
2021-04-18,0.6997841
2021-04-19,0.69238925
2021-04-20,0.69883734
2021-04-21,0.6781002
2021-04-22,0.6913681
2021-04-23,0.684969
2021-04-24,0.6939801
2021-04-25,0.69299424
2021-04-26,0.6626225
2021-04-27,0.6461504
2021-04-28,0.64035225
2021-04-29,0.6324388
2021-04-30,0.618729
2021-05-01,0.5937384
2021-05-02,0.57015985
2021-05-03,0.54896194
2021-05-04,0.53377897
2021-05-05,0.5753335
2021-05-06,0.5745007
2021-05-07,0.5626352
2021-05-08,0.55808645
2021-05-09,0.5733454
2021-05-10,0.58468205
2021-05-11,0.61250705
2021-05-12,0.60863644
2021-05-13,0.6532257
2021-05-14,0.6738063
2021-05-15,0.70022255
2021-05-16,0.7118026
2021-05-17,0.7070762
2021-05-18,0.7033854
2021-05-19,0.70779663
2021-05-20,0.7053839
2021-05-21,0.7140324
2021-05-22,0.71155417
2021-05-23,0.71959025
2021-05-24,0.7325003
2021-05-25,0.737444
2021-05-26,0.7320732
2021-05-27,0.72914976
2021-05-28,0.7343287
2021-05-29,0.72058594
2021-05-30,0.7268566
2021-05-31,0.72562927
2021-06-01,0.7252762
2021-06-02,0.7359108
2021-06-03,0.72317195
2021-06-04,0.72813165
2021-06-05,0.7421918
2021-06-06,0.7411014
2021-06-07,0.7387005
2021-06-08,0.7449618
2021-06-09,0.69794554
2021-06-10,0.69089174
2021-06-11,0.61726564
2021-06-12,0.58690137
2021-06-13,0.57152003
2021-06-14,0.55463827
2021-06-15,0.5347048
2021-06-16,0.53561646
2021-06-17,0.52569795
2021-06-18,0.52897763
2021-06-19,0.5051475
2021-06-20,0.497636
2021-06-21,0.4940649
2021-06-22,0.49146616
2021-06-23,0.47505173
2021-06-24,0.47269195
2021-06-25,0.46921158
2021-06-26,0.46650827
2021-06-27,0.4633375
2021-06-28,0.4646177
2021-06-29,0.46745527
2021-06-30,0.46622536
2021-07-01,0.45851213
2021-07-02,0.44043976
2021-07-03,0.4145026
2021-07-04,0.40450916
2021-07-05,0.40485615
2021-07-06,0.40714657
2021-07-07,0.40739882
2021-07-08,0.40328988
2021-07-09,0.41017842
2021-07-10,0.420919
2021-07-11,0.4194226
2021-07-12,0.41623652
2021-07-13,0.41159183
2021-07-14,0.40304124
2021-07-15,0.39891654
2021-07-16,0.40735844
2021-07-17,0.4023454
2021-07-18,0.40378177
2021-07-19,0.40782034
2021-07-20,0.41540745
2021-07-21,0.4300805
2021-07-22,0.43199715
2021-07-23,0.43274412
2021-07-24,0.4414125
2021-07-25,0.43916884
2021-07-26,0.4378722
2021-07-27,0.44142693
2021-07-28,0.44148532
2021-07-29,0.4402035
2021-07-30,0.44561246
2021-07-31,0.44573048
2021-08-01,0.44212672
2021-08-02,0.43530583
2021-08-03,0.42738542
2021-08-04,0.43183663
2021-08-05,0.43133473
2021-08-06,0.42532593
2021-08-07,0.41558343
2021-08-08,0.41552275
2021-08-09,0.4187235
2021-08-10,0.4190217
2021-08-11,0.42191148
2021-08-12,0.41760898
2021-08-13,0.41263497
2021-08-14,0.40406218
2021-08-15,0.39443356
2021-08-16,0.3861034
2021-08-17,0.37590787
2021-08-18,0.35897556
2021-08-19,0.36705005
2021-08-20,0.37315726
2021-08-21,0.38389
2021-08-22,0.391004
2021-08-23,0.39845735
2021-08-24,0.40532267
2021-08-25,0.39936256
2021-08-26,0.39229664
2021-08-27,0.39290342
2021-08-28,0.4069121
2021-08-29,0.41332418
2021-08-30,0.4197648
2021-08-31,0.42646372
2021-09-01,0.42779866
2021-09-02,0.42495778
2021-09-03,0.41100112
2021-09-04,0.41321144
2021-09-05,0.40854767
2021-09-06,0.40938717
2021-09-07,0.41115832
2021-09-08,0.4114094
2021-09-09,0.40345958
2021-09-10,0.40317097
2021-09-11,0.40753326
2021-09-12,0.41027412
2021-09-13,0.40947643
2021-09-14,0.41068634
2021-09-15,0.4059559
2021-09-16,0.40205804
2021-09-17,0.37875926
2021-09-18,0.38805553
2021-09-19,0.4000134
2021-09-20,0.4134422
2021-09-21,0.4300314
2021-09-22,0.4192114
2021-09-23,0.43049553
2021-09-24,0.45114514
2021-09-25,0.44927213
2021-09-26,0.44912922
2021-09-27,0.450405
2021-09-28,0.45128354
2021-09-29,0.5189041
2021-09-30,0.5348683
2021-10-01,0.5451786
2021-10-02,0.5718559
2021-10-03,0.58658385
2021-10-04,0.5992931
2021-10-05,0.6084308
2021-10-06,0.6135671
2021-10-07,0.60962176
2021-10-08,0.6131678
2021-10-09,0.61238015
2021-10-10,0.61433935
2021-10-11,0.6197161
2021-10-12,0.612308
2021-10-13,0.62097
2021-10-14,0.6250316
2021-10-15,0.65220034
2021-10-16,0.6519077
2021-10-17,0.6506224
2021-10-18,0.6460714
2021-10-19,0.6396722
2021-10-20,0.63381624
2021-10-21,0.6219957
2021-10-22,0.61368406
2021-10-23,0.6199226
2021-10-24,0.6201601
2021-10-25,0.6200684
2021-10-26,0.6177534
2021-10-27,0.56658953
2021-10-28,0.5443728
2021-10-29,0.54661965
2021-10-30,0.5356514
2021-10-31,0.5177712
2021-11-01,0.5064889
2021-11-02,0.4864052
2021-11-03,0.47305274
2021-11-04,0.46866402
2021-11-05,0.4735346
2021-11-06,0.469965
2021-11-07,0.46686673
2021-11-08,0.4670633
2021-11-09,0.4700112
2021-11-10,0.4640489
