,0
2021-01-01,0.38021573
2021-01-02,0.40095168
2021-01-03,0.34850982
2021-01-04,0.33500046
2021-01-05,0.3604354
2021-01-06,0.3706301
2021-01-07,0.35743117
2021-01-08,0.37936962
2021-01-09,0.36695087
2021-01-10,0.38855037
2021-01-11,0.40768716
2021-01-12,0.3930353
2021-01-13,0.40045696
2021-01-14,0.3951438
2021-01-15,0.39248443
2021-01-16,0.41515696
2021-01-17,0.4040822
2021-01-18,0.40494576
2021-01-19,0.40020683
2021-01-20,0.4048623
2021-01-21,0.3974865
2021-01-22,0.45645317
2021-01-23,0.4479391
2021-01-24,0.4327672
2021-01-25,0.42049235
2021-01-26,0.42287377
2021-01-27,0.42477718
2021-01-28,0.4356916
2021-01-29,0.45068187
2021-01-30,0.4783265
2021-01-31,0.45852315
2021-02-01,0.4770996
2021-02-02,0.48583156
2021-02-03,0.50772834
2021-02-04,0.46463028
2021-02-05,0.46307015
2021-02-06,0.47044483
2021-02-07,0.4621209
2021-02-08,0.44793049
2021-02-09,0.43856198
2021-02-10,0.45825973
2021-02-11,0.44151497
2021-02-12,0.43066406
2021-02-13,0.41958424
2021-02-14,0.462642
2021-02-15,0.4669305
2021-02-16,0.42954564
2021-02-17,0.4511787
2021-02-18,0.39528206
2021-02-19,0.45945704
2021-02-20,0.40607506
2021-02-21,0.45906308
2021-02-22,0.44061705
2021-02-23,0.4761028
2021-02-24,0.4181517
2021-02-25,0.4631875
2021-02-26,0.41866627
2021-02-27,0.40346727
2021-02-28,0.4184401
2021-03-01,0.4056713
2021-03-02,0.41205144
2021-03-03,0.39979112
2021-03-04,0.39412418
2021-03-05,0.39331496
2021-03-06,0.3913107
2021-03-07,0.40271762
2021-03-08,0.39790988
2021-03-09,0.44220173
2021-03-10,0.45689538
2021-03-11,0.4081005
2021-03-12,0.42864174
2021-03-13,0.42373523
2021-03-14,0.40556115
2021-03-15,0.43668723
2021-03-16,0.43538913
2021-03-17,0.42896512
2021-03-18,0.415003
2021-03-19,0.42970178
2021-03-20,0.42727208
2021-03-21,0.41170353
2021-03-22,0.4036462
2021-03-23,0.41860473
2021-03-24,0.44244003
2021-03-25,0.40704972
2021-03-26,0.4193727
2021-03-27,0.4071579
2021-03-28,0.41251668
2021-03-29,0.41238177
2021-03-30,0.41615355
2021-03-31,0.42417076
2021-04-01,0.43411735
2021-04-02,0.40618056
2021-04-03,0.41088653
2021-04-04,0.41628757
2021-04-05,0.42988914
2021-04-06,0.40943232
2021-04-07,0.3794186
2021-04-08,0.38720033
2021-04-09,0.3471795
2021-04-10,0.37403205
2021-04-11,0.33843818
2021-04-12,0.37366036
2021-04-13,0.402133
2021-04-14,0.3538015
2021-04-15,0.3546415
2021-04-16,0.3289005
2021-04-17,0.33425844
2021-04-18,0.35414693
2021-04-19,0.34800217
2021-04-20,0.34200263
2021-04-21,0.36894047
2021-04-22,0.3950745
2021-04-23,0.36880508
2021-04-24,0.38494495
2021-04-25,0.38544303
2021-04-26,0.39418685
2021-04-27,0.37192315
2021-04-28,0.38193387
2021-04-29,0.38298807
2021-04-30,0.33434334
2021-05-01,0.35904273
2021-05-02,0.3628421
2021-05-03,0.36432716
2021-05-04,0.35749736
2021-05-05,0.3586792
2021-05-06,0.37046856
2021-05-07,0.39856172
2021-05-08,0.38000056
2021-05-09,0.3709368
2021-05-10,0.34014058
2021-05-11,0.37013924
2021-05-12,0.36358997
2021-05-13,0.362955
2021-05-14,0.4011703
2021-05-15,0.38108373
2021-05-16,0.38861468
2021-05-17,0.38568726
2021-05-18,0.36573452
2021-05-19,0.37636936
2021-05-20,0.40854478
2021-05-21,0.41813853
2021-05-22,0.39082104
2021-05-23,0.37931702
2021-05-24,0.37614793
2021-05-25,0.38461655
2021-05-26,0.38571966
2021-05-27,0.3733719
2021-05-28,0.38167283
2021-05-29,0.39148566
2021-05-30,0.3669758
2021-05-31,0.39079294
2021-06-01,0.38362023
2021-06-02,0.34535575
2021-06-03,0.379733
2021-06-04,0.3912377
2021-06-05,0.40051764
2021-06-06,0.37995732
2021-06-07,0.38370013
2021-06-08,0.34214267
2021-06-09,0.38851693
2021-06-10,0.36554596
2021-06-11,0.36330894
2021-06-12,0.3708453
2021-06-13,0.34516072
2021-06-14,0.32490575
2021-06-15,0.34410584
2021-06-16,0.34379548
2021-06-17,0.32835725
2021-06-18,0.34200504
2021-06-19,0.33941585
2021-06-20,0.3163664
2021-06-21,0.3128878
2021-06-22,0.3415149
2021-06-23,0.3293502
2021-06-24,0.33772683
2021-06-25,0.35653955
2021-06-26,0.32499418
2021-06-27,0.34351638
2021-06-28,0.3394657
2021-06-29,0.34070972
2021-06-30,0.3404564
2021-07-01,0.34334037
2021-07-02,0.34474164
2021-07-03,0.34026238
2021-07-04,0.32342422
2021-07-05,0.33992806
2021-07-06,0.33929414
2021-07-07,0.33164504
2021-07-08,0.34421974
2021-07-09,0.33407488
2021-07-10,0.33292162
2021-07-11,0.35575312
