,0
2021-01-01,0.5136458
2021-01-02,0.5048818
2021-01-03,0.50097406
2021-01-04,0.4957716
2021-01-05,0.49550247
2021-01-06,0.49898267
2021-01-07,0.5430065
2021-01-08,0.58431304
2021-01-09,0.6235774
2021-01-10,0.6578681
2021-01-11,0.68078107
2021-01-12,0.6971773
2021-01-13,0.71646464
2021-01-14,0.72680736
2021-01-15,0.7220067
2021-01-16,0.7294887
2021-01-17,0.73292065
2021-01-18,0.7406149
2021-01-19,0.740801
2021-01-20,0.73576945
2021-01-21,0.730474
2021-01-22,0.7278648
2021-01-23,0.7207094
2021-01-24,0.7188055
2021-01-25,0.7127538
2021-01-26,0.70807076
2021-01-27,0.71360564
2021-01-28,0.7337385
2021-01-29,0.7630148
2021-01-30,0.79354715
2021-01-31,0.8139108
2021-02-01,0.8249801
2021-02-02,0.8409604
2021-02-03,0.858206
2021-02-04,0.86082613
2021-02-05,0.8232314
2021-02-06,0.7954933
2021-02-07,0.7698041
2021-02-08,0.7502699
2021-02-09,0.7393396
2021-02-10,0.7283841
2021-02-11,0.712839
2021-02-12,0.7015788
2021-02-13,0.6935601
2021-02-14,0.68061
2021-02-15,0.6700876
2021-02-16,0.6565682
2021-02-17,0.65114886
2021-02-18,0.64561373
2021-02-19,0.64483875
2021-02-20,0.65121895
2021-02-21,0.6554379
2021-02-22,0.65430725
2021-02-23,0.66073924
2021-02-24,0.66451293
2021-02-25,0.6628697
2021-02-26,0.6541896
2021-02-27,0.63649076
2021-02-28,0.6253838
2021-03-01,0.62596637
2021-03-02,0.6309118
2021-03-03,0.62807614
2021-03-04,0.6203116
2021-03-05,0.62556916
2021-03-06,0.6439432
2021-03-07,0.65915453
2021-03-08,0.67329705
2021-03-09,0.6822265
2021-03-10,0.685999
2021-03-11,0.697062
2021-03-12,0.70681703
2021-03-13,0.71380687
2021-03-14,0.7212245
2021-03-15,0.7254157
2021-03-16,0.7278702
2021-03-17,0.73185605
2021-03-18,0.7335947
2021-03-19,0.73562014
2021-03-20,0.72920245
