,0
2021-01-01,0.5318591
2021-01-02,0.52374965
2021-01-03,0.5267122
2021-01-04,0.53192985
2021-01-05,0.53006583
2021-01-06,0.5461075
2021-01-07,0.7247957
2021-01-08,0.75038576
2021-01-09,0.7542198
2021-01-10,0.75037104
2021-01-11,0.7476187
2021-01-12,0.7439448
2021-01-13,0.75513184
2021-01-14,0.7517893
2021-01-15,0.71918267
2021-01-16,0.73660123
2021-01-17,0.73752594
2021-01-18,0.7382141
2021-01-19,0.73450613
2021-01-20,0.7302712
2021-01-21,0.7284866
2021-01-22,0.7397118
2021-01-23,0.73943967
2021-01-24,0.7405996
2021-01-25,0.74514383
2021-01-26,0.745335
2021-01-27,0.7590966
2021-01-28,0.8389449
2021-01-29,0.8707576
2021-01-30,0.88740253
2021-01-31,0.8905921
2021-02-01,0.8944996
2021-02-02,0.8958373
2021-02-03,0.90131646
2021-02-04,0.8616967
2021-02-05,0.69827574
2021-02-06,0.70531034
2021-02-07,0.7134458
2021-02-08,0.7214622
2021-02-09,0.72381806
2021-02-10,0.7315434
2021-02-11,0.71265393
2021-02-12,0.6987648
2021-02-13,0.7119589
2021-02-14,0.7077496
2021-02-15,0.70444864
2021-02-16,0.6949981
2021-02-17,0.6878281
2021-02-18,0.6866849
2021-02-19,0.69143444
2021-02-20,0.707103
2021-02-21,0.7082423
2021-02-22,0.7113441
2021-02-23,0.7085195
2021-02-24,0.7054514
2021-02-25,0.6897456
2021-02-26,0.64120173
2021-02-27,0.62196743
2021-02-28,0.63559675
2021-03-01,0.6520149
2021-03-02,0.65871245
2021-03-03,0.6422843
2021-03-04,0.62948406
2021-03-05,0.6805395
2021-03-06,0.7335932
2021-03-07,0.7357267
2021-03-08,0.7302401
2021-03-09,0.723829
2021-03-10,0.71931356
2021-03-11,0.7402721
2021-03-12,0.74604255
2021-03-13,0.7469126
2021-03-14,0.7432638
2021-03-15,0.7400744
2021-03-16,0.7361937
2021-03-17,0.74235356
2021-03-18,0.75101906
2021-03-19,0.7510935
2021-03-20,0.7205193
2021-03-21,0.7179934
2021-03-22,0.71952623
2021-03-23,0.7194968
2021-03-24,0.7623523
2021-03-25,0.7642832
2021-03-26,0.72910565
2021-03-27,0.7686752
2021-03-28,0.7525494
2021-03-29,0.73113847
2021-03-30,0.70654356
2021-03-31,0.6999434
2021-04-01,0.6886699
2021-04-02,0.652981
2021-04-03,0.6484348
2021-04-04,0.6384686
2021-04-05,0.6276249
2021-04-06,0.61210966
2021-04-07,0.5922759
2021-04-08,0.6094064
2021-04-09,0.586645
2021-04-10,0.587445
2021-04-11,0.5914885
2021-04-12,0.5966599
2021-04-13,0.5936017
2021-04-14,0.59483844
2021-04-15,0.59322613
2021-04-16,0.60281813
2021-04-17,0.6207604
2021-04-18,0.6212315
2021-04-19,0.6235296
2021-04-20,0.62127364
2021-04-21,0.631465
2021-04-22,0.6148568
2021-04-23,0.64419925
2021-04-24,0.6525256
2021-04-25,0.62908465
2021-04-26,0.6016584
2021-04-27,0.5679346
2021-04-28,0.56495994
2021-04-29,0.56644243
2021-04-30,0.56991905
2021-05-01,0.5764954
2021-05-02,0.5802024
2021-05-03,0.5847626
2021-05-04,0.5876372
2021-05-05,0.6025926
2021-05-06,0.5838149
2021-05-07,0.59205467
2021-05-08,0.59555423
2021-05-09,0.5961972
2021-05-10,0.59750056
2021-05-11,0.5975595
2021-05-12,0.59792197
2021-05-13,0.65245014
2021-05-14,0.67120004
2021-05-15,0.6820905
2021-05-16,0.6877004
2021-05-17,0.68924224
2021-05-18,0.6906822
2021-05-19,0.69373626
2021-05-20,0.68533283
2021-05-21,0.6520024
2021-05-22,0.6196023
2021-05-23,0.6181808
2021-05-24,0.6219801
2021-05-25,0.6241026
2021-05-26,0.63203245
2021-05-27,0.63171434
2021-05-28,0.6344377
2021-05-29,0.62097293
2021-05-30,0.61881804
2021-05-31,0.6196193
2021-06-01,0.6173469
2021-06-02,0.6147255
2021-06-03,0.60730624
2021-06-04,0.5821382
2021-06-05,0.5705339
2021-06-06,0.5741277
2021-06-07,0.5806046
2021-06-08,0.58259565
2021-06-09,0.5803452
2021-06-10,0.58865947
2021-06-11,0.5170882
2021-06-12,0.4821321
2021-06-13,0.46488458
2021-06-14,0.46351317
2021-06-15,0.4590478
2021-06-16,0.4487961
2021-06-17,0.4477936
2021-06-18,0.50044304
2021-06-19,0.5504518
2021-06-20,0.562489
2021-06-21,0.57638717
2021-06-22,0.5869342
2021-06-23,0.57804775
2021-06-24,0.5718583
2021-06-25,0.5717321
2021-06-26,0.56291413
2021-06-27,0.5617738
2021-06-28,0.5635126
2021-06-29,0.5624914
2021-06-30,0.5338314
2021-07-01,0.51960003
2021-07-02,0.5225346
2021-07-03,0.52291715
2021-07-04,0.52631605
2021-07-05,0.53151006
2021-07-06,0.5340225
2021-07-07,0.5361863
2021-07-08,0.5499461
2021-07-09,0.56754917
2021-07-10,0.6083969
2021-07-11,0.61656314
2021-07-12,0.6155313
2021-07-13,0.61341625
2021-07-14,0.6040837
2021-07-15,0.6024019
2021-07-16,0.5870558
2021-07-17,0.549781
2021-07-18,0.55502963
2021-07-19,0.5664549
2021-07-20,0.57652825
2021-07-21,0.55921614
2021-07-22,0.57115227
2021-07-23,0.5669611
2021-07-24,0.57172835
2021-07-25,0.5754007
2021-07-26,0.5798025
2021-07-27,0.5827732
2021-07-28,0.5827049
2021-07-29,0.5833333
2021-07-30,0.59718084
2021-07-31,0.5964871
2021-08-01,0.6020112
2021-08-02,0.6082298
2021-08-03,0.6142031
2021-08-04,0.6000824
2021-08-05,0.59635353
2021-08-06,0.57182425
2021-08-07,0.54162467
2021-08-08,0.53870565
2021-08-09,0.54119253
2021-08-10,0.54098016
2021-08-11,0.56575483
2021-08-12,0.5923724
2021-08-13,0.59402
2021-08-14,0.5629105
2021-08-15,0.5345095
2021-08-16,0.51820683
2021-08-17,0.5018438
2021-08-18,0.49296415
2021-08-19,0.4918773
2021-08-20,0.50625736
2021-08-21,0.508165
2021-08-22,0.50894666
2021-08-23,0.51129067
2021-08-24,0.50948197
2021-08-25,0.51610136
2021-08-26,0.5185832
2021-08-27,0.50585276
2021-08-28,0.5316127
2021-08-29,0.52511203
2021-08-30,0.51801634
2021-08-31,0.50770295
2021-09-01,0.48825976
2021-09-02,0.4702112
2021-09-03,0.47703284
2021-09-04,0.45269364
2021-09-05,0.45050395
2021-09-06,0.45575303
2021-09-07,0.4573882
2021-09-08,0.46068877
2021-09-09,0.4362232
2021-09-10,0.40577286
2021-09-11,0.39829335
2021-09-12,0.39781916
2021-09-13,0.40097404
2021-09-14,0.39854255
2021-09-15,0.41952857
2021-09-16,0.41770804
2021-09-17,0.4132729
2021-09-18,0.4794246
2021-09-19,0.50782347
2021-09-20,0.5345711
2021-09-21,0.55745447
2021-09-22,0.5526251
2021-09-23,0.55730456
2021-09-24,0.5775785
2021-09-25,0.5776874
2021-09-26,0.57270515
2021-09-27,0.56689227
2021-09-28,0.56179047
2021-09-29,0.5797304
2021-09-30,0.58375144
2021-10-01,0.61123174
2021-10-02,0.6380954
2021-10-03,0.6439111
2021-10-04,0.6426382
2021-10-05,0.6408186
2021-10-06,0.64430046
2021-10-07,0.63517696
2021-10-08,0.65354663
2021-10-09,0.66029763
2021-10-10,0.6613381
2021-10-11,0.66156024
2021-10-12,0.6611629
2021-10-13,0.64711004
2021-10-14,0.63904285
2021-10-15,0.6881832
2021-10-16,0.64694655
2021-10-17,0.61878556
2021-10-18,0.5927125
2021-10-19,0.55885345
2021-10-20,0.5609193
2021-10-21,0.556729
2021-10-22,0.52983034
2021-10-23,0.5275589
2021-10-24,0.5319998
2021-10-25,0.5388796
2021-10-26,0.53961563
2021-10-27,0.51718706
2021-10-28,0.54585195
2021-10-29,0.5259092
2021-10-30,0.49040282
2021-10-31,0.48492435
2021-11-01,0.48747346
2021-11-02,0.48108608
2021-11-03,0.49117947
2021-11-04,0.5127181
2021-11-05,0.48382595
2021-11-06,0.48768473
2021-11-07,0.4990129
2021-11-08,0.51189613
2021-11-09,0.5194278
2021-11-10,0.5219082
2021-11-11,0.51971054
2021-11-12,0.42879888
2021-11-13,0.42562208
2021-11-14,0.4310689
2021-11-15,0.43779776
2021-11-16,0.4379627
2021-11-17,0.43507588
2021-11-18,0.43150726
2021-11-19,0.43423304
2021-11-20,0.43528417
2021-11-21,0.4294344
2021-11-22,0.42446533
2021-11-23,0.41533622
2021-11-24,0.41386902
2021-11-25,0.3846392
2021-11-26,0.39995593
2021-11-27,0.4262409
2021-11-28,0.42792052
2021-11-29,0.42894307
2021-11-30,0.42732072
2021-12-01,0.51930016
2021-12-02,0.5291273
2021-12-03,0.5573834
2021-12-04,0.56725144
2021-12-05,0.5747266
2021-12-06,0.58040595
2021-12-07,0.5871645
2021-12-08,0.59641004
2021-12-09,0.59868973
2021-12-10,0.5975531
2021-12-11,0.59516156
2021-12-12,0.5953915
2021-12-13,0.5954258
2021-12-14,0.5950496
2021-12-15,0.5925928
2021-12-16,0.5920743
2021-12-17,0.5997044
2021-12-18,0.6176852
2021-12-19,0.6395302
2021-12-20,0.65998673
2021-12-21,0.6796694
2021-12-22,0.6959566
2021-12-23,0.7035266
2021-12-24,0.7087179
2021-12-25,0.70775235
2021-12-26,0.70629233
2021-12-27,0.70411295
2021-12-28,0.7021322
