,0
2021-01-01,0.53386855
2021-01-02,0.5355587
2021-01-03,0.51611924
2021-01-04,0.5110948
2021-01-05,0.5122591
2021-01-06,0.5217147
2021-01-07,0.59959465
2021-01-08,0.6292589
2021-01-09,0.63501465
2021-01-10,0.6282117
2021-01-11,0.62166893
2021-01-12,0.6338347
2021-01-13,0.63633114
2021-01-14,0.64437294
2021-01-15,0.6307129
2021-01-16,0.6377425
2021-01-17,0.63964456
2021-01-18,0.6398472
2021-01-19,0.6416884
2021-01-20,0.6440744
2021-01-21,0.6391639
2021-01-22,0.6461223
2021-01-23,0.65652215
2021-01-24,0.6556148
2021-01-25,0.65743876
2021-01-26,0.657965
2021-01-27,0.6696049
2021-01-28,0.7006845
2021-01-29,0.7144163
2021-01-30,0.7230337
2021-01-31,0.71896887
2021-02-01,0.71988076
2021-02-02,0.71698356
2021-02-03,0.7014271
2021-02-04,0.6866387
2021-02-05,0.6442053
2021-02-06,0.63309646
2021-02-07,0.63295895
2021-02-08,0.6347743
2021-02-09,0.63740706
2021-02-10,0.634404
2021-02-11,0.63376147
2021-02-12,0.6234338
2021-02-13,0.6204997
2021-02-14,0.6220957
2021-02-15,0.61898977
2021-02-16,0.6119952
2021-02-17,0.60794276
2021-02-18,0.61545694
2021-02-19,0.6095861
2021-02-20,0.61216444
2021-02-21,0.611161
2021-02-22,0.6080397
2021-02-23,0.6067622
2021-02-24,0.6020125
2021-02-25,0.5899056
2021-02-26,0.5841415
2021-02-27,0.5709919
2021-02-28,0.5688215
2021-03-01,0.5720631
2021-03-02,0.5696542
2021-03-03,0.57485235
2021-03-04,0.57776755
2021-03-05,0.5864948
2021-03-06,0.6046537
2021-03-07,0.6096897
2021-03-08,0.6042034
2021-03-09,0.6116551
2021-03-10,0.6045915
2021-03-11,0.61074317
2021-03-12,0.6128004
2021-03-13,0.61766154
2021-03-14,0.6117364
2021-03-15,0.6097202
2021-03-16,0.60677534
2021-03-17,0.6064903
2021-03-18,0.60918176
2021-03-19,0.6033265
2021-03-20,0.5925991
2021-03-21,0.58941585
2021-03-22,0.5892192
2021-03-23,0.5860439
2021-03-24,0.60699296
2021-03-25,0.6068175
2021-03-26,0.59819007
2021-03-27,0.60866606
2021-03-28,0.60725224
2021-03-29,0.5964683
2021-03-30,0.5979777
2021-03-31,0.59672797
2021-04-01,0.58290666
2021-04-02,0.5788218
2021-04-03,0.5711288
2021-04-04,0.5685868
2021-04-05,0.55907637
2021-04-06,0.5579491
2021-04-07,0.5469359
2021-04-08,0.5509358
2021-04-09,0.5418365
2021-04-10,0.5419228
2021-04-11,0.53340304
2021-04-12,0.5319836
2021-04-13,0.5303027
2021-04-14,0.5275936
2021-04-15,0.52729756
2021-04-16,0.52960557
2021-04-17,0.5303022
2021-04-18,0.5253355
2021-04-19,0.5256351
2021-04-20,0.5227663
2021-04-21,0.52727515
2021-04-22,0.5269006
2021-04-23,0.52569234
2021-04-24,0.53108925
2021-04-25,0.5276101
2021-04-26,0.52214104
2021-04-27,0.5090033
2021-04-28,0.50523776
2021-04-29,0.5031021
2021-04-30,0.5047907
2021-05-01,0.5085406
2021-05-02,0.5054968
2021-05-03,0.5114377
2021-05-04,0.51922154
2021-05-05,0.5168309
2021-05-06,0.51473254
2021-05-07,0.51399785
2021-05-08,0.5170414
2021-05-09,0.5246861
2021-05-10,0.5202902
2021-05-11,0.5235361
2021-05-12,0.5226202
2021-05-13,0.54960907
2021-05-14,0.56291014
2021-05-15,0.5638602
2021-05-16,0.5694015
2021-05-17,0.5788636
2021-05-18,0.586393
2021-05-19,0.593649
2021-05-20,0.5895562
2021-05-21,0.57792413
2021-05-22,0.5656097
2021-05-23,0.56356716
2021-05-24,0.5650526
2021-05-25,0.5616164
2021-05-26,0.5622589
2021-05-27,0.5623332
2021-05-28,0.561972
2021-05-29,0.5581531
2021-05-30,0.5573283
2021-05-31,0.5528028
2021-06-01,0.55305225
2021-06-02,0.5527051
2021-06-03,0.54833317
2021-06-04,0.5434576
2021-06-05,0.5390289
2021-06-06,0.53527695
2021-06-07,0.5373658
2021-06-08,0.53864515
2021-06-09,0.523296
2021-06-10,0.52838343
2021-06-11,0.4988247
2021-06-12,0.47976333
2021-06-13,0.46646512
2021-06-14,0.46721953
2021-06-15,0.46529704
2021-06-16,0.45270413
2021-06-17,0.45284912
2021-06-18,0.46000212
2021-06-19,0.4722242
2021-06-20,0.47715867
2021-06-21,0.4773987
2021-06-22,0.47986
2021-06-23,0.48296538
2021-06-24,0.48124105
2021-06-25,0.4828517
2021-06-26,0.48542175
2021-06-27,0.47968605
2021-06-28,0.4750449
2021-06-29,0.47663108
2021-06-30,0.47217706
2021-07-01,0.46909377
2021-07-02,0.46314147
2021-07-03,0.46421397
2021-07-04,0.46169406
2021-07-05,0.45823157
2021-07-06,0.4594158
