,0
2021-01-01,0.35281235
2021-01-02,0.3857445
2021-01-03,0.39001536
2021-01-04,0.38538834
2021-01-05,0.36889508
2021-01-06,0.3694399
2021-01-07,0.39043713
2021-01-08,0.39945567
2021-01-09,0.39244565
2021-01-10,0.39738837
2021-01-11,0.41525155
2021-01-12,0.4166231
2021-01-13,0.40823483
2021-01-14,0.3914035
2021-01-15,0.3972577
2021-01-16,0.4010087
2021-01-17,0.40581864
2021-01-18,0.4043737
2021-01-19,0.42793483
2021-01-20,0.4109472
2021-01-21,0.39023703
2021-01-22,0.41197696
2021-01-23,0.3943257
2021-01-24,0.4156497
2021-01-25,0.41857818
2021-01-26,0.4308525
2021-01-27,0.39872468
2021-01-28,0.41499817
2021-01-29,0.40218827
2021-01-30,0.403694
2021-01-31,0.40409186
2021-02-01,0.4474656
2021-02-02,0.42900681
2021-02-03,0.4490654
2021-02-04,0.41815814
2021-02-05,0.407959
2021-02-06,0.42329326
2021-02-07,0.3658479
2021-02-08,0.39554542
2021-02-09,0.3985435
2021-02-10,0.40702274
2021-02-11,0.3871484
2021-02-12,0.3967906
2021-02-13,0.38985085
2021-02-14,0.381156
2021-02-15,0.38786727
2021-02-16,0.3831043
2021-02-17,0.36900508
2021-02-18,0.35825157
2021-02-19,0.34885743
2021-02-20,0.36676693
2021-02-21,0.35149005
2021-02-22,0.38591832
2021-02-23,0.29526964
2021-02-24,0.33957908
2021-02-25,0.32406864
2021-02-26,0.32288018
2021-02-27,0.3034355
2021-02-28,0.35501587
2021-03-01,0.32483798
2021-03-02,0.3155049
2021-03-03,0.32919258
2021-03-04,0.307885
2021-03-05,0.3161954
2021-03-06,0.319678
2021-03-07,0.31543618
2021-03-08,0.2920225
2021-03-09,0.30989227
2021-03-10,0.29209998
2021-03-11,0.2935394
2021-03-12,0.30694377
2021-03-13,0.31018642
2021-03-14,0.31335658
2021-03-15,0.30671832
2021-03-16,0.3215847
2021-03-17,0.31138194
2021-03-18,0.31637254
2021-03-19,0.2963531
2021-03-20,0.30196005
2021-03-21,0.2815366
2021-03-22,0.29203624
2021-03-23,0.28080294
2021-03-24,0.27721584
2021-03-25,0.2856324
2021-03-26,0.27450055
2021-03-27,0.29538718
2021-03-28,0.28741354
2021-03-29,0.31578124
2021-03-30,0.26964125
2021-03-31,0.27965876
2021-04-01,0.29305384
2021-04-02,0.3112176
2021-04-03,0.30663648
2021-04-04,0.31564835
2021-04-05,0.29787448
2021-04-06,0.30674484
2021-04-07,0.30011392
2021-04-08,0.31269163
2021-04-09,0.28525296
2021-04-10,0.32473198
2021-04-11,0.31494722
2021-04-12,0.29313308
2021-04-13,0.3026763
2021-04-14,0.27834287
2021-04-15,0.31002232
2021-04-16,0.30072305
2021-04-17,0.32012418
2021-04-18,0.31912166
2021-04-19,0.29752824
2021-04-20,0.28859878
2021-04-21,0.28575927
2021-04-22,0.27859506
2021-04-23,0.2716038
2021-04-24,0.2950381
2021-04-25,0.2966329
2021-04-26,0.2895189
2021-04-27,0.26360303
2021-04-28,0.275066
2021-04-29,0.27006716
2021-04-30,0.26992917
2021-05-01,0.27949283
2021-05-02,0.28236595
2021-05-03,0.26765984
2021-05-04,0.26589286
2021-05-05,0.26857263
2021-05-06,0.28598657
2021-05-07,0.28645873
2021-05-08,0.27579734
2021-05-09,0.29392424
2021-05-10,0.29381502
2021-05-11,0.29111028
2021-05-12,0.30125806
2021-05-13,0.32746878
2021-05-14,0.29714766
2021-05-15,0.30601838
2021-05-16,0.30540758
2021-05-17,0.30874872
2021-05-18,0.3133712
2021-05-19,0.2994505
2021-05-20,0.29426435
2021-05-21,0.3070314
2021-05-22,0.30267158
2021-05-23,0.3100449
2021-05-24,0.2984597
2021-05-25,0.31693646
2021-05-26,0.31893787
2021-05-27,0.33666557
2021-05-28,0.31653786
2021-05-29,0.34400085
2021-05-30,0.32329547
2021-05-31,0.32591802
2021-06-01,0.3329634
2021-06-02,0.33220616
2021-06-03,0.33367145
2021-06-04,0.34584618
2021-06-05,0.34856725
2021-06-06,0.35010976
2021-06-07,0.3500278
2021-06-08,0.36568433
2021-06-09,0.34330216
2021-06-10,0.35614952
2021-06-11,0.33895427
2021-06-12,0.33895856
2021-06-13,0.30145106
2021-06-14,0.33978194
2021-06-15,0.31759608
2021-06-16,0.31741807
2021-06-17,0.3213858
2021-06-18,0.32767734
2021-06-19,0.31121883
2021-06-20,0.3161377
2021-06-21,0.32393524
2021-06-22,0.31834054
2021-06-23,0.3188246
2021-06-24,0.32968995
2021-06-25,0.31458652
2021-06-26,0.32724217
2021-06-27,0.3169841
2021-06-28,0.3193205
2021-06-29,0.3348487
2021-06-30,0.30312783
2021-07-01,0.30232546
2021-07-02,0.29363164
2021-07-03,0.2893534
2021-07-04,0.29585063
2021-07-05,0.28521767
2021-07-06,0.30054623
2021-07-07,0.29239485
2021-07-08,0.2990973
2021-07-09,0.31500867
2021-07-10,0.28621745
2021-07-11,0.30349475
2021-07-12,0.2909277
2021-07-13,0.2855335
2021-07-14,0.29500762
2021-07-15,0.30398014
2021-07-16,0.29733902
2021-07-17,0.30405545
2021-07-18,0.27300006
2021-07-19,0.28687248
2021-07-20,0.26581782
2021-07-21,0.28885558
2021-07-22,0.2875137
2021-07-23,0.29059082
2021-07-24,0.30725086
2021-07-25,0.29288766
2021-07-26,0.2819622
2021-07-27,0.28664196
2021-07-28,0.29799968
2021-07-29,0.28632036
2021-07-30,0.29498595
2021-07-31,0.28987506
2021-08-01,0.3094721
2021-08-02,0.2924231
2021-08-03,0.29422614
2021-08-04,0.2974164
2021-08-05,0.2985449
2021-08-06,0.2950337
2021-08-07,0.29262456
2021-08-08,0.30182326
2021-08-09,0.29757652
2021-08-10,0.27765706
2021-08-11,0.30594906
2021-08-12,0.29894102
2021-08-13,0.26408014
2021-08-14,0.27249682
2021-08-15,0.27822682
2021-08-16,0.28200275
2021-08-17,0.27437785
2021-08-18,0.26777032
2021-08-19,0.25266284
2021-08-20,0.24823993
2021-08-21,0.24885216
2021-08-22,0.2605557
2021-08-23,0.24358812
2021-08-24,0.2512186
2021-08-25,0.23446594
2021-08-26,0.22612791
2021-08-27,0.24043751
2021-08-28,0.2273896
2021-08-29,0.23601647
2021-08-30,0.23698774
2021-08-31,0.23166214
2021-09-01,0.23064803
2021-09-02,0.24172673
2021-09-03,0.24900994
2021-09-04,0.24232918
2021-09-05,0.24899462
2021-09-06,0.24460623
2021-09-07,0.24314192
2021-09-08,0.2570479
2021-09-09,0.25497764
2021-09-10,0.24746886
2021-09-11,0.2606628
2021-09-12,0.2730932
2021-09-13,0.26315352
2021-09-14,0.28574342
2021-09-15,0.272005
2021-09-16,0.27633825
2021-09-17,0.27959254
2021-09-18,0.29050294
2021-09-19,0.28213042
2021-09-20,0.28830928
2021-09-21,0.2954367
2021-09-22,0.28696212
2021-09-23,0.30163276
2021-09-24,0.290057
2021-09-25,0.31392726
2021-09-26,0.29000986
2021-09-27,0.31032592
2021-09-28,0.32106274
2021-09-29,0.33749515
2021-09-30,0.32355446
2021-10-01,0.31179363
2021-10-02,0.34100953
2021-10-03,0.32201463
2021-10-04,0.32559273
2021-10-05,0.32545033
2021-10-06,0.32404387
2021-10-07,0.3428907
2021-10-08,0.32722747
2021-10-09,0.34670553
2021-10-10,0.32695255
2021-10-11,0.32067385
2021-10-12,0.3387344
2021-10-13,0.31887475
2021-10-14,0.3161889
2021-10-15,0.31022653
2021-10-16,0.34474927
2021-10-17,0.3430681
2021-10-18,0.35425475
2021-10-19,0.32037744
2021-10-20,0.34447426
2021-10-21,0.36215088
2021-10-22,0.33393642
2021-10-23,0.32718927
2021-10-24,0.33995068
2021-10-25,0.3390352
2021-10-26,0.33425182
2021-10-27,0.3048951
2021-10-28,0.31750047
2021-10-29,0.31156546
2021-10-30,0.2972904
2021-10-31,0.3063831
2021-11-01,0.3184828
2021-11-02,0.31081498
2021-11-03,0.3144318
2021-11-04,0.32672474
2021-11-05,0.30071703
2021-11-06,0.3163194
2021-11-07,0.31947368
2021-11-08,0.29824087
2021-11-09,0.30286872
2021-11-10,0.3016236
2021-11-11,0.30178553
2021-11-12,0.28984508
2021-11-13,0.27707464
2021-11-14,0.29568833
2021-11-15,0.27797568
2021-11-16,0.2803335
2021-11-17,0.28132972
2021-11-18,0.27031833
2021-11-19,0.27916607
2021-11-20,0.26882136
2021-11-21,0.27977377
2021-11-22,0.27705827
2021-11-23,0.26541692
2021-11-24,0.26806325
2021-11-25,0.2795492
2021-11-26,0.28049767
2021-11-27,0.28166163
2021-11-28,0.29422447
2021-11-29,0.29172772
2021-11-30,0.30353802
2021-12-01,0.30868733
2021-12-02,0.31355658
2021-12-03,0.3083596
2021-12-04,0.33294865
2021-12-05,0.32069623
2021-12-06,0.36023873
2021-12-07,0.32384786
2021-12-08,0.3286627
2021-12-09,0.36370608
2021-12-10,0.360069
2021-12-11,0.37071502
2021-12-12,0.36787316
2021-12-13,0.39747226
2021-12-14,0.39509118
2021-12-15,0.40174416
2021-12-16,0.42083102
2021-12-17,0.39448142
2021-12-18,0.42376474
2021-12-19,0.42648414
2021-12-20,0.4157434
2021-12-21,0.4005062
2021-12-22,0.43628284
2021-12-23,0.42984238
2021-12-24,0.41946706
2021-12-25,0.47072834
2021-12-26,0.446197
2021-12-27,0.44547975
2021-12-28,0.45075938
