,0
2021-01-01,0.6267043
2021-01-02,0.63472766
2021-01-03,0.6444571
2021-01-04,0.66429096
2021-01-05,0.680323
2021-01-06,0.6896487
2021-01-07,0.6991291
2021-01-08,0.70558053
2021-01-09,0.70885414
2021-01-10,0.7127029
2021-01-11,0.7156136
2021-01-12,0.721979
2021-01-13,0.7261785
2021-01-14,0.73160666
2021-01-15,0.73252714
2021-01-16,0.73457456
2021-01-17,0.739883
2021-01-18,0.74263823
2021-01-19,0.74094373
2021-01-20,0.73671097
2021-01-21,0.74008197
2021-01-22,0.73050725
2021-01-23,0.7204531
2021-01-24,0.712481
2021-01-25,0.70332843
2021-01-26,0.6965117
2021-01-27,0.68767303
2021-01-28,0.6824594
2021-01-29,0.6793268
2021-01-30,0.6841808
2021-01-31,0.6888565
2021-02-01,0.69664496
2021-02-02,0.7082069
2021-02-03,0.6917656
2021-02-04,0.668433
2021-02-05,0.653781
2021-02-06,0.64467084
2021-02-07,0.633898
2021-02-08,0.6204682
2021-02-09,0.61450094
2021-02-10,0.5975314
2021-02-11,0.5889388
2021-02-12,0.5732606
2021-02-13,0.5560692
2021-02-14,0.5483721
2021-02-15,0.54250914
2021-02-16,0.5303864
2021-02-17,0.5201189
2021-02-18,0.51802456
2021-02-19,0.49636588
2021-02-20,0.4785839
2021-02-21,0.46997648
2021-02-22,0.45524135
2021-02-23,0.44732708
2021-02-24,0.4387936
2021-02-25,0.43047893
2021-02-26,0.42615455
2021-02-27,0.4434186
2021-02-28,0.4548105
2021-03-01,0.45981276
2021-03-02,0.46456513
2021-03-03,0.4509334
2021-03-04,0.43802956
2021-03-05,0.43656576
2021-03-06,0.439333
2021-03-07,0.43913049
2021-03-08,0.44238344
2021-03-09,0.4469275
2021-03-10,0.44585484
2021-03-11,0.45792007
2021-03-12,0.46999595
2021-03-13,0.4886652
2021-03-14,0.5112901
2021-03-15,0.53277636
2021-03-16,0.5439332
2021-03-17,0.554992
2021-03-18,0.56475455
2021-03-19,0.5684883
2021-03-20,0.57950395
2021-03-21,0.58744895
2021-03-22,0.58706594
2021-03-23,0.5904806
2021-03-24,0.5890806
2021-03-25,0.5898432
2021-03-26,0.5875233
2021-03-27,0.5892622
2021-03-28,0.59062266
2021-03-29,0.5924341
2021-03-30,0.58823717
2021-03-31,0.58394057
2021-04-01,0.582139
2021-04-02,0.58351535
2021-04-03,0.5881827
2021-04-04,0.58512515
2021-04-05,0.5819817
2021-04-06,0.5803394
2021-04-07,0.57920676
2021-04-08,0.5730215
2021-04-09,0.5694152
2021-04-10,0.5585703
2021-04-11,0.5429351
2021-04-12,0.52985317
2021-04-13,0.5122378
2021-04-14,0.49172014
2021-04-15,0.4805413
2021-04-16,0.4842824
2021-04-17,0.48804772
2021-04-18,0.488565
2021-04-19,0.48764324
2021-04-20,0.48401022
2021-04-21,0.4900387
2021-04-22,0.4937169
2021-04-23,0.49694803
2021-04-24,0.4975082
2021-04-25,0.49611086
2021-04-26,0.48585138
2021-04-27,0.46572933
2021-04-28,0.44770718
2021-04-29,0.43542972
2021-04-30,0.42563424
2021-05-01,0.40870255
2021-05-02,0.3913047
2021-05-03,0.37953833
2021-05-04,0.3715276
2021-05-05,0.36927375
2021-05-06,0.37176147
2021-05-07,0.38006252
2021-05-08,0.38919678
2021-05-09,0.40085202
2021-05-10,0.4087242
2021-05-11,0.41705844
2021-05-12,0.4300142
2021-05-13,0.4641077
2021-05-14,0.48633033
2021-05-15,0.50271285
2021-05-16,0.5181555
2021-05-17,0.52890867
2021-05-18,0.54109377
2021-05-19,0.5463292
2021-05-20,0.54621184
2021-05-21,0.5467743
2021-05-22,0.5524264
2021-05-23,0.55005926
2021-05-24,0.5451585
2021-05-25,0.5468373
2021-05-26,0.55180055
