,0
2021-01-01,0.59083897
2021-01-02,0.6056777
2021-01-03,0.62520295
2021-01-04,0.64145875
2021-01-05,0.66456217
2021-01-06,0.6769329
2021-01-07,0.6835451
2021-01-08,0.6882846
2021-01-09,0.6902921
2021-01-10,0.6926479
2021-01-11,0.6934654
2021-01-12,0.7045773
2021-01-13,0.71221435
2021-01-14,0.7229082
2021-01-15,0.71592635
2021-01-16,0.72303843
2021-01-17,0.72575986
2021-01-18,0.72345
2021-01-19,0.72578585
2021-01-20,0.72563004
2021-01-21,0.7324784
2021-01-22,0.7026622
2021-01-23,0.6843615
2021-01-24,0.6785534
2021-01-25,0.6748702
2021-01-26,0.67694867
2021-01-27,0.67954516
2021-01-28,0.6895972
2021-01-29,0.68868333
2021-01-30,0.69497144
2021-01-31,0.7059688
2021-02-01,0.71131724
2021-02-02,0.72400177
2021-02-03,0.6703954
2021-02-04,0.64430475
2021-02-05,0.6312415
2021-02-06,0.6214708
2021-02-07,0.61218107
2021-02-08,0.6022436
2021-02-09,0.59390944
2021-02-10,0.58168393
2021-02-11,0.56986576
2021-02-12,0.5550776
2021-02-13,0.54197544
2021-02-14,0.5290244
2021-02-15,0.5165394
2021-02-16,0.50839907
2021-02-17,0.49967128
2021-02-18,0.49091607
2021-02-19,0.47627544
2021-02-20,0.45680365
2021-02-21,0.43937492
2021-02-22,0.4241282
2021-02-23,0.41579634
2021-02-24,0.4077564
2021-02-25,0.39714134
2021-02-26,0.4137376
2021-02-27,0.45578557
2021-02-28,0.47543544
2021-03-01,0.48341233
2021-03-02,0.47782877
2021-03-03,0.39646176
2021-03-04,0.40259176
2021-03-05,0.4149159
2021-03-06,0.43105435
2021-03-07,0.43780163
2021-03-08,0.44038808
2021-03-09,0.4408444
2021-03-10,0.4547118
2021-03-11,0.46832597
2021-03-12,0.49097008
2021-03-13,0.5198286
2021-03-14,0.5327183
2021-03-15,0.5399136
2021-03-16,0.547992
2021-03-17,0.5507589
2021-03-18,0.5528931
2021-03-19,0.55553913
2021-03-20,0.5622742
2021-03-21,0.5680033
2021-03-22,0.5721102
2021-03-23,0.5769172
2021-03-24,0.57966554
2021-03-25,0.58067226
2021-03-26,0.5653929
2021-03-27,0.5767952
2021-03-28,0.5820487
2021-03-29,0.582271
2021-03-30,0.587561
2021-03-31,0.58935606
2021-04-01,0.56093085
2021-04-02,0.5725266
2021-04-03,0.57590616
2021-04-04,0.5756924
2021-04-05,0.5658939
2021-04-06,0.5674544
2021-04-07,0.5686726
2021-04-08,0.5596642
2021-04-09,0.5496492
2021-04-10,0.531155
2021-04-11,0.5268278
2021-04-12,0.5152608
2021-04-13,0.50304085
2021-04-14,0.48934212
2021-04-15,0.47869095
2021-04-16,0.4832173
2021-04-17,0.4933362
2021-04-18,0.49826315
2021-04-19,0.49846265
2021-04-20,0.48473433
2021-04-21,0.49736533
2021-04-22,0.5040388
2021-04-23,0.5067015
2021-04-24,0.503684
2021-04-25,0.4795326
2021-04-26,0.44834268
2021-04-27,0.4297064
2021-04-28,0.41702986
2021-04-29,0.4057061
2021-04-30,0.3975824
2021-05-01,0.3792312
2021-05-02,0.3683414
2021-05-03,0.35751203
2021-05-04,0.35103375
2021-05-05,0.352611
2021-05-06,0.38208443
2021-05-07,0.40267783
2021-05-08,0.4268515
2021-05-09,0.4350859
2021-05-10,0.43264556
2021-05-11,0.4343986
2021-05-12,0.44724083
2021-05-13,0.50100845
2021-05-14,0.5132359
2021-05-15,0.5238163
2021-05-16,0.52751476
2021-05-17,0.5275146
2021-05-18,0.53110635
2021-05-19,0.52450985
2021-05-20,0.51928794
2021-05-21,0.52639866
2021-05-22,0.5274562
2021-05-23,0.52987313
2021-05-24,0.53155446
2021-05-25,0.5401145
2021-05-26,0.5461334
2021-05-27,0.5490676
2021-05-28,0.5460603
2021-05-29,0.5435832
2021-05-30,0.54661715
2021-05-31,0.548929
2021-06-01,0.54193985
2021-06-02,0.5545293
2021-06-03,0.5709278
2021-06-04,0.5668012
2021-06-05,0.5617832
2021-06-06,0.5570048
2021-06-07,0.5467029
2021-06-08,0.546257
2021-06-09,0.5482636
2021-06-10,0.5368662
2021-06-11,0.50040275
2021-06-12,0.47803625
2021-06-13,0.4628537
2021-06-14,0.44869065
2021-06-15,0.43688834
2021-06-16,0.4289854
2021-06-17,0.4270627
2021-06-18,0.43390054
2021-06-19,0.45167005
2021-06-20,0.4677912
2021-06-21,0.48039407
2021-06-22,0.49102956
2021-06-23,0.48482186
2021-06-24,0.48365864
2021-06-25,0.485742
2021-06-26,0.49265438
2021-06-27,0.49319085
2021-06-28,0.48941994
2021-06-29,0.48895502
2021-06-30,0.45301336
2021-07-01,0.41749224
2021-07-02,0.42265543
2021-07-03,0.42500356
2021-07-04,0.42481878
2021-07-05,0.42518035
2021-07-06,0.42205796
2021-07-07,0.42083782
2021-07-08,0.41989684
2021-07-09,0.41913784
2021-07-10,0.42608377
2021-07-11,0.42992732
2021-07-12,0.4316761
2021-07-13,0.43424913
2021-07-14,0.45060474
2021-07-15,0.4559028
2021-07-16,0.448451
2021-07-17,0.44445705
2021-07-18,0.44287294
2021-07-19,0.440481
2021-07-20,0.44092685
2021-07-21,0.4585933
2021-07-22,0.46413946
2021-07-23,0.47077274
2021-07-24,0.47819024
2021-07-25,0.48012048
2021-07-26,0.47929847
2021-07-27,0.4793015
2021-07-28,0.48258513
2021-07-29,0.48530564
2021-07-30,0.48653775
2021-07-31,0.48638487
2021-08-01,0.47901812
2021-08-02,0.47312328
2021-08-03,0.4723072
2021-08-04,0.4661216
2021-08-05,0.46239886
2021-08-06,0.46788132
2021-08-07,0.45063427
2021-08-08,0.44395095
2021-08-09,0.44169194
2021-08-10,0.4351903
2021-08-11,0.4278348
2021-08-12,0.42322972
2021-08-13,0.41861403
2021-08-14,0.41914877
2021-08-15,0.413256
2021-08-16,0.40651673
2021-08-17,0.39715266
2021-08-18,0.37358293
2021-08-19,0.3591658
2021-08-20,0.34647882
2021-08-21,0.33296353
2021-08-22,0.3215497
2021-08-23,0.3138459
2021-08-24,0.31161448
2021-08-25,0.31398776
2021-08-26,0.3130354
2021-08-27,0.3163345
2021-08-28,0.3255359
2021-08-29,0.33471566
2021-08-30,0.3459893
2021-08-31,0.3570632
2021-09-01,0.36407667
2021-09-02,0.39567712
2021-09-03,0.4033003
2021-09-04,0.405752
2021-09-05,0.40904862
2021-09-06,0.40580577
2021-09-07,0.4144772
2021-09-08,0.42207244
2021-09-09,0.41834477
2021-09-10,0.4404641
2021-09-11,0.45947397
2021-09-12,0.473091
2021-09-13,0.48262244
2021-09-14,0.49443954
2021-09-15,0.5044941
2021-09-16,0.51247376
2021-09-17,0.512038
2021-09-18,0.5095726
2021-09-19,0.5084693
2021-09-20,0.5067898
2021-09-21,0.5159779
2021-09-22,0.52077466
