,0
2021-01-01,0.59488624
2021-01-02,0.6094862
2021-01-03,0.63051134
2021-01-04,0.6569598
2021-01-05,0.6760072
2021-01-06,0.6818455
2021-01-07,0.6754091
2021-01-08,0.6812298
2021-01-09,0.6794594
2021-01-10,0.6840795
2021-01-11,0.690401
2021-01-12,0.694024
2021-01-13,0.7018552
2021-01-14,0.7194378
2021-01-15,0.7153516
2021-01-16,0.71247923
2021-01-17,0.7225688
2021-01-18,0.7280386
2021-01-19,0.73060614
2021-01-20,0.7376676
2021-01-21,0.7435405
2021-01-22,0.72726256
2021-01-23,0.7130475
2021-01-24,0.711452
2021-01-25,0.7032433
2021-01-26,0.70351714
2021-01-27,0.70361567
2021-01-28,0.71261454
2021-01-29,0.7146269
2021-01-30,0.7117889
2021-01-31,0.7145836
2021-02-01,0.72776777
2021-02-02,0.7380268
2021-02-03,0.69860154
2021-02-04,0.6756137
2021-02-05,0.67373323
2021-02-06,0.6733831
2021-02-07,0.66333854
2021-02-08,0.657772
2021-02-09,0.65821725
2021-02-10,0.6470416
2021-02-11,0.6406037
2021-02-12,0.6284783
2021-02-13,0.61482275
2021-02-14,0.6099669
2021-02-15,0.60394037
2021-02-16,0.6016432
2021-02-17,0.5925476
2021-02-18,0.585976
2021-02-19,0.55999815
2021-02-20,0.5462445
2021-02-21,0.5367803
2021-02-22,0.5278517
2021-02-23,0.5280836
2021-02-24,0.52798116
2021-02-25,0.5112173
2021-02-26,0.510615
2021-02-27,0.516547
2021-02-28,0.51452357
2021-03-01,0.5205896
2021-03-02,0.5191545
2021-03-03,0.4894228
2021-03-04,0.47803548
2021-03-05,0.47750464
2021-03-06,0.46991986
2021-03-07,0.46716523
2021-03-08,0.46500233
2021-03-09,0.4625517
2021-03-10,0.47174552
2021-03-11,0.47089344
2021-03-12,0.47952625
2021-03-13,0.49194378
2021-03-14,0.49880093
2021-03-15,0.5017789
2021-03-16,0.50874615
2021-03-17,0.5075575
2021-03-18,0.5038903
2021-03-19,0.49733734
2021-03-20,0.5010599
2021-03-21,0.5041659
2021-03-22,0.5118181
2021-03-23,0.5187925
2021-03-24,0.5209056
2021-03-25,0.51765573
2021-03-26,0.50206894
2021-03-27,0.509325
2021-03-28,0.52392083
2021-03-29,0.53424144
2021-03-30,0.5385149
2021-03-31,0.5375756
2021-04-01,0.53200656
2021-04-02,0.5372691
2021-04-03,0.53828424
2021-04-04,0.541428
2021-04-05,0.54243666
2021-04-06,0.5458541
2021-04-07,0.5470996
2021-04-08,0.5407608
2021-04-09,0.53110915
2021-04-10,0.51626325
2021-04-11,0.5109674
2021-04-12,0.5024357
2021-04-13,0.5046056
2021-04-14,0.49462685
2021-04-15,0.4865003
2021-04-16,0.51024556
2021-04-17,0.5186055
2021-04-18,0.51577914
2021-04-19,0.5158019
2021-04-20,0.50873107
2021-04-21,0.51755846
2021-04-22,0.52061164
2021-04-23,0.5149547
2021-04-24,0.51278496
2021-04-25,0.50001794
2021-04-26,0.48088977
2021-04-27,0.462724
2021-04-28,0.44670418
2021-04-29,0.44027686
2021-04-30,0.43751678
2021-05-01,0.42772865
2021-05-02,0.4196149
2021-05-03,0.4200442
2021-05-04,0.42064545
2021-05-05,0.41786113
2021-05-06,0.43065393
2021-05-07,0.43566555
2021-05-08,0.44829223
2021-05-09,0.45421246
2021-05-10,0.4543567
2021-05-11,0.45100906
2021-05-12,0.45263273
2021-05-13,0.48187292
2021-05-14,0.486984
2021-05-15,0.49586743
2021-05-16,0.5045918
2021-05-17,0.5104649
2021-05-18,0.5049185
2021-05-19,0.4931432
2021-05-20,0.49223435
2021-05-21,0.50269276
2021-05-22,0.5086108
2021-05-23,0.51706046
2021-05-24,0.5241882
2021-05-25,0.5178309
2021-05-26,0.51644826
2021-05-27,0.52293146
2021-05-28,0.51908475
2021-05-29,0.52271724
2021-05-30,0.5275845
2021-05-31,0.542617
2021-06-01,0.5472383
2021-06-02,0.54803216
2021-06-03,0.5583472
