,0
2021-01-01,0.28531143
2021-01-02,0.27920267
2021-01-03,0.27031675
2021-01-04,0.2615478
2021-01-05,0.26623574
2021-01-06,0.24831583
2021-01-07,0.27400315
2021-01-08,0.2694816
2021-01-09,0.25233138
2021-01-10,0.2741882
2021-01-11,0.25939637
2021-01-12,0.2704999
2021-01-13,0.2616843
2021-01-14,0.27630794
2021-01-15,0.2831896
2021-01-16,0.2792849
2021-01-17,0.29472485
2021-01-18,0.26697457
2021-01-19,0.2883743
2021-01-20,0.29943955
2021-01-21,0.31088686
2021-01-22,0.3181673
2021-01-23,0.32441154
2021-01-24,0.3348891
2021-01-25,0.34149757
2021-01-26,0.34175813
2021-01-27,0.35139585
2021-01-28,0.3661506
2021-01-29,0.3703596
2021-01-30,0.35190666
2021-01-31,0.3990139
2021-02-01,0.3948682
2021-02-02,0.38967228
2021-02-03,0.4046728
2021-02-04,0.4165471
2021-02-05,0.4319686
2021-02-06,0.41734466
2021-02-07,0.43005916
2021-02-08,0.4376223
2021-02-09,0.40406063
2021-02-10,0.45048973
2021-02-11,0.4232642
2021-02-12,0.45391053
2021-02-13,0.44569752
2021-02-14,0.46132505
2021-02-15,0.44302505
2021-02-16,0.47500587
2021-02-17,0.4596499
2021-02-18,0.44887012
2021-02-19,0.44611675
2021-02-20,0.40991482
2021-02-21,0.4324786
2021-02-22,0.4441437
2021-02-23,0.40779164
2021-02-24,0.44349372
2021-02-25,0.4142933
2021-02-26,0.41789508
2021-02-27,0.41018444
2021-02-28,0.41833404
2021-03-01,0.39921367
2021-03-02,0.41531327
2021-03-03,0.3937615
2021-03-04,0.4203279
2021-03-05,0.40996295
2021-03-06,0.4039193
2021-03-07,0.39372802
2021-03-08,0.42988366
2021-03-09,0.4203802
2021-03-10,0.40055016
2021-03-11,0.39003128
2021-03-12,0.389513
2021-03-13,0.39428988
2021-03-14,0.3936524
2021-03-15,0.39193493
2021-03-16,0.39305252
2021-03-17,0.36486349
2021-03-18,0.3991433
2021-03-19,0.3649823
2021-03-20,0.37872645
2021-03-21,0.37476882
2021-03-22,0.36025593
2021-03-23,0.3651234
2021-03-24,0.3741917
2021-03-25,0.37637764
2021-03-26,0.38754135
2021-03-27,0.35274905
2021-03-28,0.3955928
2021-03-29,0.39319852
2021-03-30,0.39157593
2021-03-31,0.398322
2021-04-01,0.37302792
2021-04-02,0.37898946
2021-04-03,0.37112498
2021-04-04,0.37347084
2021-04-05,0.3975663
2021-04-06,0.3851179
2021-04-07,0.3613642
2021-04-08,0.38653174
2021-04-09,0.39801928
2021-04-10,0.3738438
2021-04-11,0.3813293
2021-04-12,0.38066888
2021-04-13,0.36481807
2021-04-14,0.35297385
2021-04-15,0.36524525
2021-04-16,0.3801637
2021-04-17,0.36107373
2021-04-18,0.38303003
2021-04-19,0.3802413
2021-04-20,0.37499717
2021-04-21,0.36423367
2021-04-22,0.37212127
2021-04-23,0.3508041
2021-04-24,0.35900632
2021-04-25,0.34611022
2021-04-26,0.35808784
2021-04-27,0.3352213
2021-04-28,0.3335727
2021-04-29,0.33925706
2021-04-30,0.30529317
2021-05-01,0.32606637
2021-05-02,0.3422345
2021-05-03,0.34145412
2021-05-04,0.3279121
2021-05-05,0.33724618
2021-05-06,0.3292939
2021-05-07,0.3150461
2021-05-08,0.3152898
2021-05-09,0.31612125
2021-05-10,0.3277522
2021-05-11,0.35063386
2021-05-12,0.3312168
2021-05-13,0.3300243
2021-05-14,0.34322512
2021-05-15,0.34498814
2021-05-16,0.34320945
2021-05-17,0.33497903
2021-05-18,0.36871132
2021-05-19,0.3686396
2021-05-20,0.37243453
2021-05-21,0.3676671
2021-05-22,0.36130124
2021-05-23,0.36061713
2021-05-24,0.37629634
2021-05-25,0.39482933
2021-05-26,0.37696877
2021-05-27,0.37792957
2021-05-28,0.38202205
2021-05-29,0.38546506
2021-05-30,0.37261853
2021-05-31,0.38401982
2021-06-01,0.36120388
2021-06-02,0.3700023
2021-06-03,0.3794557
2021-06-04,0.36956573
2021-06-05,0.37656507
2021-06-06,0.35950044
2021-06-07,0.35922107
2021-06-08,0.37034455
2021-06-09,0.4036659
2021-06-10,0.37743327
2021-06-11,0.35776952
2021-06-12,0.38758472
2021-06-13,0.33870342
2021-06-14,0.3535099
2021-06-15,0.34129107
2021-06-16,0.32680702
2021-06-17,0.35730216
2021-06-18,0.34067222
2021-06-19,0.3395466
2021-06-20,0.33087802
2021-06-21,0.32828522
2021-06-22,0.29643983
2021-06-23,0.32071486
2021-06-24,0.30390155
2021-06-25,0.30241016
2021-06-26,0.28889012
2021-06-27,0.29487872
2021-06-28,0.30647177
2021-06-29,0.28121203
2021-06-30,0.2888325
2021-07-01,0.2728473
2021-07-02,0.25378156
2021-07-03,0.27332792
2021-07-04,0.2660945
2021-07-05,0.24646384
2021-07-06,0.24816352
2021-07-07,0.2540079
2021-07-08,0.23850392
2021-07-09,0.21858399
2021-07-10,0.24933416
2021-07-11,0.23521286
2021-07-12,0.23501942
2021-07-13,0.23794939
2021-07-14,0.25451717
2021-07-15,0.23731877
2021-07-16,0.23707204
2021-07-17,0.22961773
2021-07-18,0.23551017
2021-07-19,0.24507576
2021-07-20,0.25728717
2021-07-21,0.22950497
2021-07-22,0.24625234
2021-07-23,0.25445974
2021-07-24,0.2520797
2021-07-25,0.2608537
2021-07-26,0.25434187
2021-07-27,0.2602844
2021-07-28,0.26739106
2021-07-29,0.25903794
2021-07-30,0.27421567
2021-07-31,0.27843773
2021-08-01,0.2819582
2021-08-02,0.28547797
2021-08-03,0.2894051
2021-08-04,0.29587138
2021-08-05,0.29018125
2021-08-06,0.27783334
2021-08-07,0.30659708
2021-08-08,0.29829997
2021-08-09,0.27869233
2021-08-10,0.2774235
2021-08-11,0.30022645
2021-08-12,0.30814126
2021-08-13,0.30000696
2021-08-14,0.2958313
2021-08-15,0.30769956
2021-08-16,0.30445856
2021-08-17,0.28216603
2021-08-18,0.26422393
2021-08-19,0.25710356
2021-08-20,0.27524975
2021-08-21,0.30411834
2021-08-22,0.2583496
2021-08-23,0.2611202
2021-08-24,0.25533506
2021-08-25,0.26118833
2021-08-26,0.26371726
2021-08-27,0.27743703
2021-08-28,0.24766614
2021-08-29,0.26888564
2021-08-30,0.24444868
2021-08-31,0.27083495
2021-09-01,0.24769668
2021-09-02,0.26468593
2021-09-03,0.2514663
2021-09-04,0.26679
2021-09-05,0.25252834
2021-09-06,0.24526583
2021-09-07,0.23582754
2021-09-08,0.23975536
2021-09-09,0.24359053
2021-09-10,0.23262727
2021-09-11,0.24804042
2021-09-12,0.22437696
2021-09-13,0.23597403
2021-09-14,0.22665487
2021-09-15,0.22047818
2021-09-16,0.22657329
2021-09-17,0.24049093
2021-09-18,0.23297358
2021-09-19,0.22837539
2021-09-20,0.23290272
2021-09-21,0.23394035
2021-09-22,0.22189869
2021-09-23,0.252775
2021-09-24,0.25060996
2021-09-25,0.24747024
2021-09-26,0.24410841
2021-09-27,0.24682848
2021-09-28,0.24619499
2021-09-29,0.23930754
2021-09-30,0.26779136
2021-10-01,0.26481542
2021-10-02,0.27488953
2021-10-03,0.27776825
2021-10-04,0.2811228
2021-10-05,0.28999
2021-10-06,0.2922933
2021-10-07,0.32285473
2021-10-08,0.32720798
2021-10-09,0.3200327
2021-10-10,0.35124606
2021-10-11,0.3303011
2021-10-12,0.3451015
2021-10-13,0.3384047
2021-10-14,0.34461644
2021-10-15,0.3488768
2021-10-16,0.35635403
2021-10-17,0.36037338
2021-10-18,0.35349
2021-10-19,0.35475743
2021-10-20,0.36822525
2021-10-21,0.3649684
2021-10-22,0.38437936
2021-10-23,0.37982002
2021-10-24,0.37998688
2021-10-25,0.37078774
2021-10-26,0.37124988
2021-10-27,0.38988915
2021-10-28,0.4097936
2021-10-29,0.37211618
2021-10-30,0.35684562
2021-10-31,0.37455487
2021-11-01,0.35750946
2021-11-02,0.38195664
2021-11-03,0.34915134
2021-11-04,0.33545485
2021-11-05,0.33739692
2021-11-06,0.3413563
2021-11-07,0.3516085
